Sample_ID,Fe_avg_nfoci_0_4h,Ar_avg_nfoci_0_4h,Si_avg_nfoci_0_4h,Gamma_avg_nfoci_0_4h,baseline_nfoci
1224,2.124822908,2.847924146,2.117610775,1.827787649,2.22953637
1225,1.410275113,2.348258535,1.787235755,2.92595765,2.117931763
1226,2.208887355,1.923011207,2.481697533,1.382777583,1.99909342
1227,2.867392186,1.710387543,1.955794439,1.583749871,2.02933101
1228,2.678247182,1.827330558,2.421016407,1.813432486,2.185006658
1229,2.306962543,1.976167123,2.25920007,2.193844316,2.184043513
1230,2.257924949,1.497763879,2.090641386,1.878030721,1.931090234
1231,1.697495305,1.40208323,2.245715375,2.086180591,1.857868625
1232,2.096801426,0.966204719,1.241105619,1.088496733,1.348152124
1233,1.382253631,1.37018968,1.692842892,2.057470264,1.625689117
1234,1.690489935,1.221353115,1.77375106,1.777544577,1.615784672
1235,1.613430859,2.465201551,2.00299087,1.863675558,1.986324709
1236,1.816586604,2.103741322,1.827689839,1.555039544,1.825764327
1237,2.194876614,2.210053154,1.740039323,1.311001766,1.863992714
1238,2.461080695,2.380152085,3.621154236,1.267936276,2.432580823
1239,2.040758462,1.869855291,3.263809826,1.476086146,2.162627431
1240,2.348994766,2.19942197,2.508666922,1.433020655,2.122526078
1241,2.068779944,1.625338077,2.286169459,1.727301505,1.926897247
1242,2.334984025,2.23131552,2.737906732,2.229732225,2.383484626
1243,1.613430859,2.975498345,1.87488627,2.653209546,2.279256255
1244,1.795570493,2.188790787,2.171549554,1.820610068,1.994130225
1245,1.382253631,2.220684337,1.409664303,1.389955165,1.600639359
1246,2.264930319,2.412045635,2.495182227,1.425843074,2.149500314
1247,1.991720868,3.347589757,1.87488627,2.035937519,2.312533604
1248,1.305194555,2.220684337,2.050187302,1.74883425,1.831225111
1249,1.655463082,2.178159604,2.252457723,1.655525688,1.935401524
1250,1.935677904,1.678493993,2.522151617,1.820610068,1.989233395
1251,1.613430859,1.848592925,2.859268985,2.301508042,2.155700202
1252,2.117817538,1.614706894,2.313138849,1.906741048,1.988101082
1253,2.27193569,1.869855291,3.337975647,2.653209546,2.533244043
1254,1.648457711,1.115041283,2.205261291,1.669880852,1.659660284
1255,1.697495305,1.348927314,2.346850586,1.66270327,1.763994119
1256,1.522361041,1.200090749,1.895113313,1.684236015,1.57545028
1257,1.347226778,1.391452047,1.807462797,1.677058433,1.555800014
1258,1.410275113,2.029323039,2.225488333,1.511974054,1.794265135
1259,1.585409376,1.763543459,1.591707681,1.66270327,1.650840947
1260,1.963699386,2.284471436,2.056929649,1.626815361,1.982978958
1261,1.865624198,1.529657428,2.144580165,1.734479087,1.81858522
1262,4.079321291,2.061216589,4.463947656,1.935451375,3.134984228
1263,1.606425488,1.721018726,2.286169459,1.32535693,1.734742651
1264,1.816586604,2.19942197,2.731164385,1.949806538,2.174244875
1265,1.718511417,2.061216589,2.144580165,1.863675558,1.946995932
1266,1.683484564,2.114372505,3.061539406,2.215377061,2.268693384
1267,1.396264372,2.093110138,2.313138849,2.351751114,2.038566118
1269,1.298189184,2.380152085,2.117610775,1.504796472,1.825187129
1270,1.200113996,2.241946703,2.077156691,1.712946342,1.808040933
1271,1.347226778,2.614038116,1.510799513,1.210515622,1.670645007
1272,1.466318077,2.125003688,1.679358197,1.332534511,1.650803618
1273,1.305194555,1.029991818,1.591707681,1.138739805,1.266408465
1275,1.368242889,1.051254184,1.652388808,0.77986072,1.21293665
1276,1.221130108,1.508395062,2.00299087,1.203338041,1.48396352
1277,1.263162331,1.487132696,1.659131155,0.77986072,1.297321726
1278,1.536371783,1.550919795,1.834432186,1.346889675,1.56715336
1279,1.354232148,1.880486474,2.25920007,1.433020655,1.731734837
1280,1.452307336,1.635969261,1.854659228,1.311001766,1.563484398
1282,1.606425488,2.103741322,1.692842892,1.160272551,1.640820563
1283,1.536371783,1.710387543,1.87488627,1.066963988,1.547152396
1284,1.557387894,1.710387543,2.043444954,0.916234772,1.556863791
1288,1.830597345,1.99742949,2.764876122,2.028759937,2.155415723
1290,1.564393265,1.550919795,2.9469195,1.655525688,1.929439562
1299,2.068779944,2.348258535,2.61654448,1.791899741,2.206370675
1300,1.935677904,2.4970951,1.713069934,2.150778826,2.074155441
1301,2.846376075,1.837961741,1.955794439,1.641170525,2.070325695
1302,1.396264372,2.061216589,2.050187302,1.892385885,1.850013537
1303,2.482096806,2.422676818,2.178291902,2.445059676,2.3820313
1304,2.594182735,1.944273574,2.919950111,1.863675558,2.330520494
1305,2.306962543,1.519026245,1.760266365,1.57657229,1.790706861
1306,2.026747721,2.093110138,2.960404195,2.229732225,2.32749857
1307,2.587177364,2.571513383,1.638904113,1.648348107,2.111485742
1309,1.543377153,2.188790787,1.847916881,1.246403531,1.706622088
1310,2.465721119,3.976992688,2.764953273,2.501295175,2.927240564
1311,2.059768112,2.407498854,2.848293125,2.278873795,2.398608472
1312,2.476404092,2.763147703,3.098312682,2.385636057,2.680875134
1313,3.010552785,2.469350827,2.931632978,2.670335424,2.770468003
1314,2.796893308,2.500276814,2.741141887,2.198802098,2.559278527
1315,2.08113406,2.090507488,2.860198819,1.878515311,2.227588919
1316,1.749961871,1.835368096,2.205385695,1.353600854,1.786079129
1317,1.653815106,1.703932652,1.65772381,1.255735447,1.567801754
1318,1.878157557,2.075044495,2.348254013,1.656093931,1.989387499
1319,2.690063569,2.384304363,2.705424808,2.038658705,2.454612861
1320,2.273427589,2.291526403,2.253008467,2.803788252,2.405437678
1321,1.685864028,2.538934298,1.562478264,1.914102732,1.92534483
1322,2.091817034,2.670369742,2.395876785,2.198802098,2.339216415
1323,3.405822817,2.623980762,2.157762922,2.145420967,2.583246867
1325,2.668697622,2.36884137,2.145857229,2.350048637,2.383361214
1326,2.123865956,2.206479939,2.038705991,1.638300221,2.001838026
1327,1.429472656,2.075044495,1.336270094,1.6027128,1.610875011
1328,1.52561942,2.175553952,1.800592127,1.220148026,1.680478381
1329,2.294793537,2.005461024,1.812497821,1.834031035,1.986695854
1332,1.450838603,1.758053129,1.62200673,1.727268773,1.639541809
1334,1.920889452,2.987361108,2.348254013,1.762856193,2.254840192
1336,2.572550857,1.843099593,2.312536933,1.584919089,2.078276618
1337,1.536302394,1.951340547,2.812576046,1.318013433,1.904558105
1338,2.134548929,2.051850004,2.383971092,1.362497709,1.983216934
1339,1.653815106,2.098238985,1.669629503,1.487053682,1.727184319
1340,1.696547002,1.881757077,2.383971092,1.460363117,1.855659572
1341,1.653815106,2.136896468,1.586289651,1.567125379,1.736031651
1342,1.333325891,1.719395645,2.002988911,1.451466261,1.626794177
1343,1.344008865,1.49518224,1.776780741,1.086695198,1.425666761
1344,2.230695694,1.935877554,1.967271832,1.273529157,1.851843559
1345,1.440155629,1.526108227,1.39579856,1.086695198,1.362189404
1346,1.52561942,2.716758722,1.586289651,1.246838592,1.768876596
1347,2.572550857,2.430693344,2.038705991,2.06534927,2.276824865
1348,1.771327819,2.013192521,2.193480002,2.394532913,2.093133313
1349,1.707229976,2.34564688,2.348254013,2.394532913,2.198915945
1350,1.119666414,1.711664149,1.610101037,1.335807144,1.444309686
1351,1.589717263,1.240042849,1.752969355,1.558228524,1.535239498
1352,1.376057786,1.309626319,1.729157968,1.576022234,1.497716077
1353,1.9422554,1.37920979,2.050611684,1.860721601,1.808199619
1354,1.226496153,1.100875908,1.086250538,0.962139225,1.093940456
1355,1.643132133,1.719395645,1.943460445,1.389188275,1.673794125
1356,1.194447231,1.87402558,1.764875048,1.264632302,1.52449504
1357,1.418789682,1.557034214,1.943460445,1.318013433,1.559324444
1358,1.333325891,2.191016945,2.050611684,1.709475062,1.821107396
