Plate_number;Duplicate ;Run ;Staining_date
331;A;18B;2018-07-24
332;A;18B;2018-07-24
333;B;18B;2018-07-24
334;B;18B;2018-07-24
335;A;18B;2018-07-24
336;A;18B;2018-07-24
337;B;18B;2018-07-24
338;B;18B;2018-07-24
339;A;18B;2018-07-24
340;A;18B;2018-07-24
341;B;18B;2018-07-24
342;B;18B;2018-07-24
343;A;18B;2018-07-24
344;A;18B;2018-07-24
345;B;18B;2018-07-24
346;B;18B;2018-07-24
347;A;18B;2018-07-24
348;A;18B;2018-07-24
349;B;18B;2018-07-24
350;B;18B;2018-07-24
351;A;18B;2018-07-24
352;A;18B;2018-07-24
353;B;18B;2018-07-24
354;B;18B;2018-07-24
355;A;18B;2018-06-26
356;A;18B;2018-06-26
357;B;18B;2018-06-26
358;B;18B;2018-06-26
359;A;18B;2018-06-26
360;A;18B;2018-06-26
361;B;18B;2018-06-26
362;B;18B;2018-06-26
363;A;18B;2018-06-26
364;A;18B;2018-06-26
365;B;18B;2018-06-26
366;B;18B;2018-06-26
367;A;18B;2018-06-26
368;A;18B;2018-06-26
369;B;18B;2018-06-26
370;B;18B;2018-06-26
371;A;18B;2018-06-26
372;A;18B;2018-06-26
373;B;18B;2018-06-26
374;B;18B;2018-06-26
375;A;18B;2018-06-26
376;A;18B;2018-06-26
377;B;18B;2018-06-26
378;B;18B;2018-06-26
379;A;18B;2018-09-18
380;A;18B;2018-09-18
381;B;18B;2018-09-18
382;B;18B;2018-09-18
383;A;18B;2018-09-18
384;A;18B;2018-09-18
385;B;18B;2018-09-18
386;B;18B;2018-09-18
387;A;18B;2018-09-18
388;A;18B;2018-09-18
389;B;18B;2018-09-18
390;B;18B;2018-09-18
391;A;18B;2018-09-18
392;A;18B;2018-09-18
393;B;18B;2018-09-18
394;B;18B;2018-09-18
395;A;18B;2018-09-18
396;A;18B;2018-09-18
397;B;18B;2018-09-18
398;B;18B;2018-09-18
399;A;18B;2018-09-18
400;A;18B;2018-09-18
401;B;18B;2018-09-18
402;B;18B;2018-09-18
403;A;18B;2019-01-29
404;A;18B;2019-01-29
405;B;18B;2019-01-29
406;B;18B;2019-01-29
407;A;18B;2019-01-29
408;A;18B;2019-01-29
409;B;18B;2019-01-29
410;B;18B;2019-01-29
411;A;18B;2019-01-29
412;A;18B;2019-01-29
413;B;18B;2019-01-29
414;B;18B;2019-01-29
415;A;18B;2019-01-29
416;A;18B;2019-01-29
417;B;18B;2019-01-29
418;B;18B;2019-01-29
419;A;18B;2019-01-29
420;A;18B;2019-01-29
421;B;18B;2019-01-29
422;B;18B;2019-01-29
423;A;18B;2019-01-29
424;A;18B;2019-01-29
425;B;18B;2019-01-29
426;B;18B;2019-01-29
433;A;19A;2019-04-29
441;A;19A;2019-04-29
449;A;19A;2019-04-29
457;A;19A;2019-04-29
465;A;19A;2019-04-29
473;A;19A;2019-04-29
481;A;19A;2019-04-29
489;A;19A;2019-04-29
497;A;19A;2019-04-29
505;A;19A;2019-04-29
513;A;19A;2019-04-29
521;A;19A;2019-04-29
529;A;19A;2019-04-29
537;A;19A;2019-04-29
545;A;19A;2019-04-29
553;A;19A;2019-04-29
561;A;19A;2019-04-29
569;A;19A;2019-04-29
577;A;19A;2019-04-29
585;A;19A;2019-04-29
593;A;19A;2019-04-29
601;A;19A;2019-04-29
609;A;19A;2019-04-29
617;A;19A;2019-04-29
435;A;19A;2019-05-14
451;A;19A;2019-05-14
459;A;19A;2019-05-14
