Plate_number,BNL_code,Sample_sets,Duplicates,Rad_type,Dose_Fluence,Timepoint,Run
331,Si_0_4h_Set_1_A,Set_1,A,Si,0,4h,Run_18B
332,Si_0_4h_Set_2_A,Set_2,A,Si,0,4h,Run_18B
333,Si_0_4h_Set_1_B,Set_1,B,Si,0,4h,Run_18B
334,Si_0_4h_Set_2_B,Set_2,B,Si,0,4h,Run_18B
335,Si_0_24h_Set_1_A,Set_1,A,Si,0,24h,Run_18B
336,Si_0_24h_Set_2_A,Set_2,A,Si,0,24h,Run_18B
337,Si_0_24h_Set_1_B,Set_1,B,Si,0,24h,Run_18B
338,Si_0_24h_Set_2_B,Set_2,B,Si,0,24h,Run_18B
339,Si_1.1_4h_Set_1_A,Set_1,A,Si,1.1,4h,Run_18B
340,Si_1.1_4h_Set_2_A,Set_2,A,Si,1.1,4h,Run_18B
341,Si_1.1_4h_Set_1_B,Set_1,B,Si,1.1,4h,Run_18B
342,Si_1.1_4h_Set_2_B,Set_2,B,Si,1.1,4h,Run_18B
343,Si_1.1_24h_Set_1_A,Set_1,A,Si,1.1,24h,Run_18B
344,Si_1.1_24h_Set_2_A,Set_2,A,Si,1.1,24h,Run_18B
345,Si_1.1_24h_Set_1_B,Set_1,B,Si,1.1,24h,Run_18B
346,Si_1.1_24h_Set_2_B,Set_2,B,Si,1.1,24h,Run_18B
347,Si_3_4h_Set_1_A,Set_1,A,Si,3,4h,Run_18B
348,Si_3_4h_Set_2_A,Set_2,A,Si,3,4h,Run_18B
349,Si_3_4h_Set_1_B,Set_1,B,Si,3,4h,Run_18B
350,Si_3_4h_Set_2_B,Set_2,B,Si,3,4h,Run_18B
351,Si_3_24h_Set_1_A,Set_1,A,Si,3,24h,Run_18B
352,Si_3_24h_Set_2_A,Set_2,A,Si,3,24h,Run_18B
353,Si_3_24h_Set_1_B,Set_1,B,Si,3,24h,Run_18B
354,Si_3_24h_Set_2_B,Set_2,B,Si,3,24h,Run_18B
355,Fe_0_4h_Set_1_A,Set_1,A,Fe,0,4h,Run_18B
356,Fe_0_4h_Set_2_A,Set_2,A,Fe,0,4h,Run_18B
357,Fe_0_4h_Set_1_B,Set_1,B,Fe,0,4h,Run_18B
358,Fe_0_4h_Set_2_B,Set_2,B,Fe,0,4h,Run_18B
359,Fe_0_24h_Set_1_A,Set_1,A,Fe,0,24h,Run_18B
360,Fe_0_24h_Set_2_A,Set_2,A,Fe,0,24h,Run_18B
361,Fe_0_24h_Set_1_B,Set_1,B,Fe,0,24h,Run_18B
