Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
A1	Foci_processed_11-Sep-2020	376	 0.38	 0.98	313	 0.39	 0.97	591.62	394.92	 0.56	10023.26	 1.06	1613.93
A10	Foci_processed_11-Sep-2020	714	 0.67	 1.16	597	 0.73	 1.19	738.60	498.42	 0.60	9106.07	 1.07	3244.68
A11	Foci_processed_11-Sep-2020	136	 0.49	 1.25	106	 0.42	 1.14	631.91	418.46	 0.60	8679.78	 1.06	1523.02
A12	Foci_processed_11-Sep-2020	614	 0.57	 1.18	504	 0.60	 1.11	692.18	467.54	 0.57	9373.30	 1.07	2602.54
A2	Foci_processed_11-Sep-2020	801	 0.34	 0.89	668	 0.37	 0.90	684.69	474.63	 0.62	8367.47	 1.13	1625.16
A3	Foci_processed_11-Sep-2020	801	 0.83	 1.50	673	 0.84	 1.50	657.96	449.28	 0.56	9648.75	 1.08	3733.09
A4	Foci_processed_11-Sep-2020	801	 0.68	 1.19	675	 0.70	 1.19	650.85	442.86	 0.61	9276.94	 1.06	3104.70
A5	Foci_processed_11-Sep-2020	697	 0.53	 1.00	564	 0.55	 0.95	704.74	469.76	 0.57	9380.42	 1.05	2334.02
A6	Foci_processed_11-Sep-2020	518	 0.50	 1.00	431	 0.52	 1.00	642.33	454.25	 0.62	8419.56	 1.08	2113.74
A7	Foci_processed_11-Sep-2020	264	 0.71	 1.63	209	 0.73	 1.68	649.17	433.59	 0.61	8433.33	 1.07	2846.17
A8	Foci_processed_11-Sep-2020	570	 0.59	 1.08	467	 0.62	 1.06	708.72	483.56	 0.62	8776.77	 1.08	2757.57
A9	Foci_processed_11-Sep-2020	686	 0.47	 1.11	562	 0.48	 1.13	662.17	449.75	 0.62	8915.95	 1.07	2036.55
B1	Foci_processed_11-Sep-2020	111	 0.32	 0.80	90	 0.29	 0.67	639.30	493.11	 0.61	9462.02	 1.06	1268.19
B10	Foci_processed_11-Sep-2020	421	 0.48	 1.13	360	 0.49	 1.13	733.72	548.33	 0.59	8724.69	 1.08	2162.29
B11	Foci_processed_11-Sep-2020	283	 0.44	 1.08	220	 0.37	 0.97	740.00	546.00	 0.60	7926.94	 1.14	1501.51
B12	Foci_processed_11-Sep-2020	620	 0.62	 1.30	533	 0.64	 1.27	828.09	614.49	 0.56	9441.13	 1.08	2666.35
B2	Foci_processed_11-Sep-2020	801	 0.51	 1.08	666	 0.50	 0.97	751.49	507.80	 0.57	9655.81	 1.06	2278.79
B3	Foci_processed_11-Sep-2020	679	 0.57	 1.14	562	 0.56	 1.04	688.75	476.95	 0.58	9415.54	 1.06	2362.26
B4	Foci_processed_11-Sep-2020	197	 0.56	 1.23	164	 0.59	 1.28	800.90	527.11	 0.54	10403.24	 1.04	2542.35
B5	Foci_processed_11-Sep-2020	316	 0.71	 1.47	270	 0.76	 1.53	816.97	551.59	 0.55	10519.71	 1.04	3040.63
B6	Foci_processed_11-Sep-2020	801	 0.39	 0.97	682	 0.38	 0.90	742.83	558.61	 0.54	10091.23	 1.08	1541.44
B7	Foci_processed_11-Sep-2020	102	 0.84	 1.82	83	 0.77	 1.52	807.97	558.24	 0.61	9268.98	 1.06	3219.34
B8	Foci_processed_11-Sep-2020	337	 0.59	 1.24	279	 0.53	 1.14	751.53	548.74	 0.59	8819.08	 1.09	2111.62
B9	Foci_processed_11-Sep-2020	641	 0.61	 1.47	546	 0.62	 1.35	822.46	605.85	 0.64	8372.13	 1.09	2584.67
C1	Foci_processed_11-Sep-2020	801	 0.50	 1.19	686	 0.40	 0.98	757.49	556.26	 0.52	10770.92	 1.06	1440.11
C10	Foci_processed_11-Sep-2020	284	 0.48	 1.31	230	 0.42	 1.07	796.97	599.12	 0.57	9073.25	 1.10	1659.83
C11	Foci_processed_11-Sep-2020	801	 0.55	 1.27	693	 0.50	 1.13	809.91	590.27	 0.56	10182.74	 1.07	2019.43
C12	Foci_processed_11-Sep-2020	171	 0.56	 1.39	148	 0.47	 1.12	860.94	676.05	 0.53	10770.57	 1.04	1901.18
C2	Foci_processed_11-Sep-2020	801	 0.44	 0.96	677	 0.45	 0.90	728.33	518.13	 0.60	9087.14	 1.09	1903.74
C3	Foci_processed_11-Sep-2020	801	 0.47	 0.99	658	 0.49	 0.94	728.54	515.77	 0.58	9174.94	 1.07	2120.87
C4	Foci_processed_11-Sep-2020	190	 0.63	 1.87	165	 0.60	 1.73	734.52	536.56	 0.58	9906.62	 1.06	2308.61
