Well#	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
A1	Foci_processed_06-Jul-2020	264	 0.23	 0.83	229	 0.14	 0.60	716.39	637.54	 0.49	10741.26	 1.05	451.55
A10	Foci_processed_06-Jul-2020	762	 1.99	 2.45	646	 2.16	 2.46	848.79	637.45	 0.55	10113.02	 1.06	9948.42
A11	Foci_processed_06-Jul-2020	120	 0.99	 1.94	98	 1.10	 2.05	618.12	432.61	 0.56	10269.41	 1.06	4739.89
A12	Foci_processed_06-Jul-2020	498	 2.22	 2.52	430	 2.29	 2.56	882.54	699.71	 0.63	9408.27	 1.06	10846.31
A2	Foci_processed_06-Jul-2020	663	 1.65	 2.43	553	 1.79	 2.46	881.13	673.49	 0.57	8957.61	 1.09	8191.63
A3	Foci_processed_06-Jul-2020	801	 2.66	 2.65	675	 2.69	 2.63	911.97	687.52	 0.55	9865.93	 1.05	13261.62
A4	Foci_processed_06-Jul-2020	801	 2.54	 2.64	697	 2.65	 2.66	876.95	665.27	 0.56	10039.95	 1.06	12561.02
A5	Foci_processed_06-Jul-2020	525	 2.48	 2.27	435	 2.65	 2.25	685.28	452.71	 0.59	9647.06	 1.05	12850.83
A6	Foci_processed_06-Jul-2020	541	 1.65	 2.34	436	 1.83	 2.37	797.99	626.10	 0.60	8777.76	 1.06	8195.73
A7	Foci_processed_06-Jul-2020	507	 2.29	 2.45	419	 2.42	 2.53	638.50	420.46	 0.55	9747.34	 1.05	10973.07
A8	Foci_processed_06-Jul-2020	670	 1.92	 2.52	565	 1.97	 2.51	838.47	627.89	 0.55	9830.21	 1.05	9918.03
A9	Foci_processed_06-Jul-2020	586	 1.70	 2.31	495	 1.70	 2.24	751.84	575.68	 0.55	9861.34	 1.06	7739.39
B1	Foci_processed_06-Jul-2020	67	 0.42	 1.29	53	 0.34	 1.19	799.35	723.32	 0.52	10229.73	 1.06	1348.51
B10	Foci_processed_06-Jul-2020	630	 1.25	 2.22	525	 1.40	 2.34	792.47	611.62	 0.52	10107.05	 1.06	5876.47
B11	Foci_processed_06-Jul-2020	185	 0.81	 1.61	162	 0.81	 1.65	763.87	556.94	 0.60	8998.53	 1.08	3252.06
B12	Foci_processed_06-Jul-2020	801	 1.43	 2.30	709	 1.43	 2.30	965.87	784.33	 0.52	10820.11	 1.05	6608.38
B2	Foci_processed_06-Jul-2020	801	 2.64	 2.61	669	 2.79	 2.55	1093.03	846.55	 0.55	9845.73	 1.07	13895.37
B3	Foci_processed_06-Jul-2020	762	 1.82	 2.30	636	 1.80	 2.26	811.22	603.96	 0.53	9977.76	 1.05	8133.94
B4	Foci_processed_06-Jul-2020	193	 1.78	 2.13	161	 1.84	 2.12	823.40	585.69	 0.55	10280.27	 1.04	8151.55
B5	Foci_processed_06-Jul-2020	385	 1.51	 1.91	323	 1.63	 1.97	808.30	582.58	 0.54	10361.93	 1.04	7094.14
B6	Foci_processed_06-Jul-2020	801	 1.31	 2.02	686	 1.37	 2.03	736.53	572.22	 0.54	9913.40	 1.07	6070.96
B7	Foci_processed_06-Jul-2020	203	 1.24	 1.89	173	 1.34	 1.97	730.14	528.63	 0.52	10540.07	 1.04	5682.57
B8	Foci_processed_06-Jul-2020	561	 1.27	 2.15	472	 1.31	 2.14	700.45	512.61	 0.54	10126.74	 1.05	5818.57
B9	Foci_processed_06-Jul-2020	801	 1.83	 2.53	683	 1.94	 2.54	892.22	709.16	 0.59	9287.48	 1.07	8759.33
C1	Foci_processed_06-Jul-2020	723	 0.70	 1.55	628	 0.61	 1.41	1021.16	829.45	 0.53	10075.86	 1.06	2343.94
C10	Foci_processed_06-Jul-2020	387	 1.58	 2.29	339	 1.58	 2.30	848.97	652.88	 0.55	10590.33	 1.05	6908.11
C11	Foci_processed_06-Jul-2020	801	 1.34	 2.04	688	 1.41	 2.08	797.29	599.06	 0.54	10226.38	 1.05	6046.50
C12	Foci_processed_06-Jul-2020	111	 1.23	 2.03	93	 1.29	 2.11	961.63	795.92	 0.53	10961.87	 1.04	5450.56
C2	Foci_processed_06-Jul-2020	801	 1.82	 2.41	662	 2.02	 2.44	953.69	750.51	 0.56	9235.77	 1.08	8871.74
C3	Foci_processed_06-Jul-2020	767	 1.84	 2.37	642	 1.94	 2.17	774.21	577.83	 0.58	9357.36	 1.06	8745.05
C4	Foci_processed_06-Jul-2020	158	 1.50	 2.04	140	 1.51	 2.02	831.55	613.70	 0.55	10206.16	 1.05	6255.81
C5	Foci_processed_06-Jul-2020	98	 1.48	 2.45	83	 1.66	 2.59	747.58	524.51	 0.52	10520.69	 1.04	6683.87
