Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
A1	Foci_processed_14-Sep-2020	70	 0.86	 1.83	59	 0.71	 1.70	757.13	681.45	 0.33	2428.62	 1.34	1474.37
A10	Foci_processed_14-Sep-2020	362	 3.09	 3.31	297	 3.22	 3.14	716.63	587.86	 0.37	2505.29	 1.19	5647.71
A11	Foci_processed_14-Sep-2020	59	 3.81	 4.43	51	 3.96	 4.55	636.06	528.29	 0.38	2880.13	 1.16	5054.22
A12	Foci_processed_14-Sep-2020	539	 1.98	 2.91	434	 2.00	 2.86	692.80	578.47	 0.37	2782.72	 1.19	3490.01
A2	Foci_processed_14-Sep-2020	239	 1.56	 2.39	200	 1.65	 2.40	682.07	555.20	 0.36	2203.17	 1.23	2519.00
A3	Foci_processed_14-Sep-2020	767	 2.45	 2.96	656	 2.36	 2.69	658.44	533.71	 0.32	2957.75	 1.16	4093.11
A4	Foci_processed_14-Sep-2020	793	 2.34	 3.01	722	 2.38	 2.94	662.94	538.65	 0.34	2596.17	 1.20	3915.28
A5	Foci_processed_14-Sep-2020	654	 2.19	 2.57	536	 2.35	 2.53	682.32	548.41	 0.36	2525.11	 1.21	3978.59
A6	Foci_processed_14-Sep-2020	493	 2.45	 2.91	428	 2.48	 2.91	659.01	541.33	 0.36	2554.25	 1.19	4181.76
A7	Foci_processed_14-Sep-2020	491	 3.40	 3.39	424	 3.46	 3.29	692.11	545.61	 0.34	2860.28	 1.16	6318.85
A8	Foci_processed_14-Sep-2020	436	 2.70	 3.09	369	 2.87	 3.03	693.51	548.23	 0.36	2555.32	 1.18	4947.12
A9	Foci_processed_14-Sep-2020	453	 2.84	 3.34	390	 3.05	 3.43	663.36	543.26	 0.36	2709.70	 1.17	4925.68
B1	Foci_processed_14-Sep-2020	35	 0.89	 2.37	31	 0.55	 1.43	662.60	610.78	 0.36	2782.05	 1.17	1236.84
B10	Foci_processed_14-Sep-2020	712	 2.44	 3.08	614	 2.51	 3.06	751.84	602.06	 0.32	2432.09	 1.18	4970.63
B11	Foci_processed_14-Sep-2020	114	 2.46	 3.62	102	 2.53	 3.68	691.48	584.64	 0.38	2644.62	 1.18	3930.28
B12	Foci_processed_14-Sep-2020	654	 2.09	 2.89	549	 2.06	 2.83	747.79	616.66	 0.32	3201.60	 1.16	3769.48
B2	Foci_processed_14-Sep-2020	797	 2.46	 2.82	705	 2.54	 2.81	752.84	581.58	 0.32	2608.85	 1.17	5051.38
B3	Foci_processed_14-Sep-2020	605	 3.32	 3.59	531	 3.22	 3.47	695.67	553.65	 0.36	2783.38	 1.17	5448.91
B4	Foci_processed_14-Sep-2020	237	 3.08	 3.47	194	 3.22	 3.54	720.39	562.92	 0.40	2658.05	 1.17	5452.74
B5	Foci_processed_14-Sep-2020	373	 2.55	 3.02	310	 2.66	 3.00	725.23	584.01	 0.39	2697.34	 1.17	4397.35
B6	Foci_processed_14-Sep-2020	771	 1.87	 2.60	672	 1.86	 2.57	702.91	584.68	 0.34	2935.51	 1.16	3296.54
B7	Foci_processed_14-Sep-2020	147	 3.21	 3.35	116	 3.34	 3.39	704.17	580.74	 0.40	2622.41	 1.18	5216.79
B8	Foci_processed_14-Sep-2020	581	 2.36	 3.03	481	 2.44	 3.09	724.27	588.00	 0.36	2789.43	 1.17	4416.46
B9	Foci_processed_14-Sep-2020	777	 2.21	 2.91	666	 2.23	 2.76	723.63	592.84	 0.35	2766.62	 1.18	3933.77
C1	Foci_processed_14-Sep-2020	644	 1.86	 2.93	560	 1.73	 2.76	699.83	597.14	 0.33	2762.00	 1.18	2424.05
C10	Foci_processed_14-Sep-2020	375	 2.34	 2.99	320	 2.44	 3.08	758.24	621.21	 0.39	2684.13	 1.18	4512.20
C11	Foci_processed_14-Sep-2020	654	 2.75	 3.22	552	 2.81	 3.17	735.60	592.72	 0.37	2749.42	 1.18	4873.26
C12	Foci_processed_14-Sep-2020	198	 2.28	 2.90	178	 2.08	 2.67	774.31	650.05	 0.36	2802.63	 1.18	3976.03
C2	Foci_processed_14-Sep-2020	790	 2.16	 2.79	693	 2.20	 2.75	735.06	576.44	 0.34	2492.22	 1.20	3887.70
C3	Foci_processed_14-Sep-2020	793	 2.39	 2.93	682	 2.50	 2.91	707.87	563.81	 0.35	2551.99	 1.20	4411.16
C4	Foci_processed_14-Sep-2020	267	 2.79	 3.47	234	 2.91	 3.51	690.31	568.86	 0.39	2663.90	 1.16	4597.92
C5	Foci_processed_14-Sep-2020	157	 1.49	 2.81	133	 1.38	 2.66	610.55	538.74	 0.37	2665.11	 1.17	1778.95
