Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
A1	Foci_processed_05-Mar-2020	801	 0.17	 0.44	729	 0.16	 0.42	964.57	803.88	 0.17	2870.44	 1.14	336.45
A10	Foci_processed_05-Mar-2020	801	 0.66	 1.02	728	 0.66	 1.01	1307.44	1041.85	 0.17	2764.75	 1.11	2091.04
A11	Foci_processed_05-Mar-2020	801	 0.51	 0.86	730	 0.49	 0.83	1330.38	1078.21	 0.16	3242.17	 1.11	1572.23
A12	Foci_processed_05-Mar-2020	801	 0.75	 1.02	731	 0.72	 0.99	1629.40	1275.50	 0.17	2609.55	 1.16	2743.23
A2	Foci_processed_05-Mar-2020	801	 0.46	 0.79	712	 0.45	 0.78	1408.64	1055.72	 0.17	2628.36	 1.19	1463.00
A3	Foci_processed_05-Mar-2020	801	 0.59	 0.90	725	 0.54	 0.84	1229.41	978.67	 0.15	2496.47	 1.14	1559.19
A4	Foci_processed_05-Mar-2020	789	 0.49	 0.83	720	 0.48	 0.83	1218.31	950.56	 0.16	2126.11	 1.14	1431.31
A5	Foci_processed_05-Mar-2020	801	 0.57	 0.86	736	 0.57	 0.84	1179.89	923.33	 0.17	3076.08	 1.09	1554.31
A6	Foci_processed_05-Mar-2020	801	 0.57	 0.92	732	 0.54	 0.87	1181.24	940.95	 0.17	2751.21	 1.11	1524.70
A7	Foci_processed_05-Mar-2020	801	 0.50	 0.79	734	 0.48	 0.77	1322.68	996.51	 0.16	3255.65	 1.14	1549.98
A8	Foci_processed_05-Mar-2020	739	 0.92	 1.33	675	 0.83	 1.19	1467.12	1121.56	 0.18	2420.62	 1.20	3152.82
A9	Foci_processed_05-Mar-2020	801	 0.67	 1.21	733	 0.63	 0.92	1412.24	1053.57	 0.17	2417.13	 1.14	2044.25
B1	Foci_processed_05-Mar-2020	717	 0.56	 0.88	636	 0.53	 0.86	1205.91	888.39	 0.16	1751.32	 1.21	1568.23
B10	Foci_processed_05-Mar-2020	783	 0.68	 1.04	704	 0.68	 1.04	1168.09	840.58	 0.17	1950.60	 1.13	1947.11
B11	Foci_processed_05-Mar-2020	784	 0.50	 0.83	720	 0.51	 0.84	1127.13	874.60	 0.16	1709.71	 1.15	1390.62
B12	Foci_processed_05-Mar-2020	801	 0.70	 1.07	720	 0.69	 1.07	1100.96	911.45	 0.18	3096.59	 1.11	1692.33
B2	Foci_processed_05-Mar-2020	801	 0.41	 0.77	746	 0.42	 0.79	1059.58	816.25	 0.17	2645.40	 1.10	1080.39
B3	Foci_processed_05-Mar-2020	801	 0.64	 0.95	732	 0.65	 0.95	1053.52	813.53	 0.16	1998.67	 1.11	1721.17
B4	Foci_processed_05-Mar-2020	801	 0.72	 1.00	727	 0.70	 0.98	1243.24	902.31	 0.16	1886.75	 1.19	2075.46
B5	Foci_processed_05-Mar-2020	801	 0.62	 0.90	727	 0.61	 0.88	1249.31	955.09	 0.15	1852.32	 1.19	1833.69
B6	Foci_processed_05-Mar-2020	766	 0.62	 1.00	696	 0.59	 0.92	1090.88	855.87	 0.16	1826.39	 1.18	1620.15
B7	Foci_processed_05-Mar-2020	772	 0.54	 0.89	699	 0.52	 0.87	1182.26	885.11	 0.16	1673.21	 1.15	1439.24
B8	Foci_processed_05-Mar-2020	801	 0.54	 0.88	727	 0.54	 0.88	1085.73	852.99	 0.16	1735.14	 1.17	1491.04
B9	Foci_processed_05-Mar-2020	751	 0.54	 0.86	688	 0.51	 0.83	1252.56	999.25	 0.17	1895.61	 1.24	1575.35
C1	Foci_processed_05-Mar-2020	801	 0.39	 0.74	725	 0.37	 0.71	919.77	710.89	 0.17	2068.71	 1.12	837.47
C10	Foci_processed_05-Mar-2020	801	 0.40	 0.85	727	 0.38	 0.82	980.61	799.27	 0.17	2991.14	 1.12	962.21
C11	Foci_processed_05-Mar-2020	662	 0.48	 0.88	593	 0.46	 0.81	1100.07	858.54	 0.16	2617.53	 1.14	1163.02
C12	Foci_processed_05-Mar-2020	785	 0.63	 1.07	697	 0.59	 1.02	1033.53	815.91	 0.20	2316.80	 1.13	1530.28
C2	Foci_processed_05-Mar-2020	758	 0.51	 0.83	655	 0.52	 0.84	1046.65	772.74	 0.19	2255.37	 1.12	1315.92
C3	Foci_processed_05-Mar-2020	798	 0.85	 1.15	713	 0.81	 1.10	1103.35	800.54	 0.17	2005.69	 1.16	2298.88
C4	Foci_processed_05-Mar-2020	801	 0.85	 1.19	748	 0.84	 1.17	1050.33	768.60	 0.18	2796.95	 1.10	2155.83
C5	Foci_processed_05-Mar-2020	801	 0.69	 0.97	737	 0.66	 0.96	999.82	742.38	 0.16	1916.11	 1.17	1709.63
C6	Foci_processed_05-Mar-2020	801	 0.68	 0.97	734	 0.67	 0.97	1019.36	788.22	 0.16	2898.27	 1.12	1681.55
C7	Foci_processed_05-Mar-2020	801	 0.50	 0.86	726	 0.51	 0.85	1026.77	780.45	 0.17	3187.69	 1.09	1260.54
C8	Foci_processed_05-Mar-2020	801	 0.54	 0.89	733	 0.55	 0.89	1035.42	780.22	 0.18	2396.48	 1.11	1402.72
C9	Foci_processed_05-Mar-2020	801	 0.69	 1.06	731	 0.66	 1.01	1052.49	782.13	 0.16	2551.45	 1.17	1804.80
D1	Foci_processed_05-Mar-2020	801	 0.38	 0.77	727	 0.36	 0.71	963.68	752.38	 0.16	2227.28	 1.10	822.75
D10	Foci_processed_05-Mar-2020	801	 0.90	 1.16	733	 0.91	 1.16	1210.67	842.57	 0.15	1784.44	 1.16	2720.74
D11	Foci_processed_05-Mar-2020	799	 0.58	 0.96	740	 0.58	 0.96	1031.73	801.91	 0.20	3022.47	 1.09	1384.15
D12	Foci_processed_05-Mar-2020	797	 0.78	 1.11	728	 0.77	 1.10	1141.44	879.90	 0.16	2129.75	 1.15	2290.65
D2	Foci_processed_05-Mar-2020	801	 0.47	 0.92	737	 0.45	 0.89	897.61	728.17	 0.18	2730.23	 1.10	981.89
D3	Foci_processed_05-Mar-2020	801	 0.81	 1.14	744	 0.80	 1.09	967.42	737.91	 0.20	2611.15	 1.10	1847.15
D4	Foci_processed_05-Mar-2020	796	 0.81	 1.11	740	 0.80	 1.10	967.18	743.53	 0.18	2437.47	 1.11	1974.86
D5	Foci_processed_05-Mar-2020	801	 0.79	 1.16	747	 0.80	 1.14	1034.47	779.35	 0.18	2636.96	 1.10	2119.77
D6	Foci_processed_05-Mar-2020	678	 0.69	 1.07	634	 0.69	 1.06	938.66	735.58	 0.20	2693.18	 1.09	1609.94
D7	Foci_processed_05-Mar-2020	801	 0.73	 1.09	738	 0.71	 1.06	1012.80	786.10	 0.19	2707.28	 1.11	1796.02
D8	Foci_processed_05-Mar-2020	783	 0.57	 0.97	695	 0.57	 0.96	957.25	776.17	 0.20	2866.54	 1.11	1387.51
D9	Foci_processed_05-Mar-2020	765	 0.61	 0.97	693	 0.59	 0.94	1094.86	811.58	 0.17	1802.61	 1.14	1701.20
E1	Foci_processed_05-Mar-2020	801	 0.44	 0.79	724	 0.38	 0.71	1000.21	837.26	 0.18	2674.25	 1.13	884.02
E10	Foci_processed_05-Mar-2020	775	 0.52	 0.88	705	 0.51	 0.87	1055.08	818.54	 0.16	1725.94	 1.19	1318.95
E11	Foci_processed_05-Mar-2020	800	 0.58	 1.01	741	 0.58	 1.00	1046.57	815.00	 0.17	2982.55	 1.11	1449.74
E12	Foci_processed_05-Mar-2020	786	 0.66	 1.09	729	 0.67	 1.10	987.12	744.50	 0.20	2558.31	 1.11	1561.95
E2	Foci_processed_05-Mar-2020	795	 0.43	 0.78	714	 0.41	 0.76	903.42	742.14	 0.15	1855.32	 1.16	883.79
E3	Foci_processed_05-Mar-2020	776	 0.37	 0.80	698	 0.34	 0.74	940.08	776.53	 0.16	1796.23	 1.16	762.22
E4	Foci_processed_05-Mar-2020	747	 0.50	 0.97	671	 0.44	 0.88	944.62	804.57	 0.17	1943.00	 1.22	1057.54
E5	Foci_processed_05-Mar-2020	770	 0.44	 0.91	702	 0.40	 0.85	972.51	817.66	 0.17	1922.33	 1.18	978.85
E6	Foci_processed_05-Mar-2020	801	 0.49	 0.81	722	 0.44	 0.74	879.56	711.25	 0.16	3107.78	 1.18	835.68
E7	Foci_processed_05-Mar-2020	801	 0.54	 1.03	711	 0.49	 0.96	927.12	799.45	 0.16	2667.39	 1.20	1093.78
E8	Foci_processed_05-Mar-2020	801	 0.42	 0.85	707	 0.36	 0.75	956.86	826.77	 0.17	2219.01	 1.23	887.78
E9	Foci_processed_05-Mar-2020	801	 0.67	 1.02	710	 0.66	 0.98	937.39	765.60	 0.17	2982.07	 1.18	1503.20
F1	Foci_processed_05-Mar-2020	801	 0.25	 0.63	721	 0.25	 0.63	1030.69	811.53	 0.18	2519.87	 1.12	626.39
F10	Foci_processed_05-Mar-2020	801	 0.56	 1.15	727	 0.54	 0.92	1005.73	776.15	 0.18	2778.85	 1.10	1385.08
F11	Foci_processed_05-Mar-2020	801	 0.37	 0.74	736	 0.37	 0.72	1016.89	781.98	 0.18	3264.06	 1.09	862.27
F12	Foci_processed_05-Mar-2020	780	 0.57	 0.99	680	 0.55	 0.97	895.43	732.91	 0.18	3025.15	 1.12	1138.91
F2	Foci_processed_05-Mar-2020	801	 0.29	 0.79	743	 0.28	 0.76	860.89	709.39	 0.17	2516.66	 1.11	589.49
F3	Foci_processed_05-Mar-2020	789	 0.60	 1.01	725	 0.59	 1.01	871.94	711.90	 0.19	2494.46	 1.11	1216.14
F4	Foci_processed_05-Mar-2020	790	 0.80	 1.14	711	 0.74	 1.08	829.79	659.40	 0.21	2496.73	 1.12	1435.64
F5	Foci_processed_05-Mar-2020	801	 0.74	 1.12	738	 0.72	 1.06	968.57	751.28	 0.16	2576.31	 1.12	1677.47
F6	Foci_processed_06-Mar-2020	801	 0.67	 1.04	725	 0.66	 1.01	948.02	720.43	 0.17	2020.83	 1.13	1547.46
F7	Foci_processed_06-Mar-2020	801	 0.52	 0.92	724	 0.52	 0.88	904.26	705.37	 0.18	2546.13	 1.11	1119.27
F8	Foci_processed_06-Mar-2020	795	 0.52	 0.89	705	 0.52	 0.89	942.99	724.68	 0.18	1813.49	 1.16	1296.20
F9	Foci_processed_06-Mar-2020	772	 0.64	 0.92	692	 0.64	 0.91	1017.22	769.67	 0.17	1793.99	 1.15	1534.34
G1	Foci_processed_06-Mar-2020	762	 0.40	 0.75	650	 0.39	 0.74	1103.64	830.77	 0.21	1995.07	 1.18	1037.47
G10	Foci_processed_06-Mar-2020	793	 0.68	 1.15	716	 0.64	 1.08	908.12	721.99	 0.19	2444.51	 1.13	1469.04
G11	Foci_processed_06-Mar-2020	801	 0.66	 1.04	723	 0.65	 1.03	996.61	756.56	 0.17	2117.24	 1.16	1596.48
G12	Foci_processed_06-Mar-2020	230	 0.75	 1.09	212	 0.75	 1.10	1078.72	804.52	 0.20	2799.03	 1.11	2038.97
G2	Foci_processed_06-Mar-2020	727	 0.71	 1.15	644	 0.63	 1.04	877.38	711.00	 0.20	2097.33	 1.25	1333.35
G3	Foci_processed_06-Mar-2020	348	 0.93	 1.12	309	 0.94	 1.11	831.42	659.93	 0.25	1934.01	 1.27	1619.39
G4	Foci_processed_06-Mar-2020	652	 0.74	 1.11	569	 0.75	 1.11	879.88	693.10	 0.22	2247.61	 1.25	1555.57
G5	Foci_processed_06-Mar-2020	768	 1.01	 1.26	716	 1.03	 1.27	957.01	710.57	 0.21	2099.70	 1.24	2454.94
G6	Foci_processed_06-Mar-2020	650	 0.87	 1.22	581	 0.83	 1.18	876.43	701.92	 0.21	2239.66	 1.17	1681.48
G7	Foci_processed_06-Mar-2020	780	 0.78	 1.07	721	 0.74	 0.99	895.16	691.13	 0.19	2370.57	 1.14	1513.56
G8	Foci_processed_06-Mar-2020	647	 0.68	 1.05	590	 0.66	 1.01	911.75	718.28	 0.19	2464.39	 1.11	1474.17
G9	Foci_processed_06-Mar-2020	677	 0.94	 1.56	608	 0.94	 1.61	919.70	713.29	 0.24	2347.20	 1.18	2380.00
H1	Foci_processed_06-Mar-2020	800	 0.25	 0.57	729	 0.22	 0.51	1097.10	889.32	 0.17	2326.02	 1.13	507.34
H10	Foci_processed_06-Mar-2020	370	 0.86	 1.41	341	 0.82	 1.35	1678.26	1310.24	 0.15	2276.65	 1.25	3207.96
H11	Foci_processed_06-Mar-2020	243	 0.69	 1.05	203	 0.75	 1.08	1098.62	858.12	 0.16	2079.09	 1.23	1838.45
H12	Foci_processed_06-Mar-2020	779	 0.41	 0.91	707	 0.35	 0.77	1079.17	853.05	 0.17	2699.17	 1.15	1021.33
H2	Foci_processed_06-Mar-2020	801	 0.19	 0.46	729	 0.19	 0.46	899.29	714.22	 0.17	2739.84	 1.08	415.69
