Well#	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
A2	Foci_processed_25-Jul-2020	571	 0.40	 0.96	488	 0.41	 0.90	628.81	436.63	 0.60	8696.65	 1.11	1898.77
A3	Foci_processed_25-Jul-2020	801	 0.58	 1.17	675	 0.58	 1.09	672.60	472.57	 0.59	8564.82	 1.10	2968.37
A4	Foci_processed_25-Jul-2020	801	 0.62	 1.13	663	 0.62	 1.10	621.65	432.15	 0.58	9649.10	 1.09	3108.83
A5	Foci_processed_25-Jul-2020	801	 0.63	 1.16	669	 0.66	 1.16	682.78	472.95	 0.60	8972.77	 1.10	3407.46
A6	Foci_processed_25-Jul-2020	801	 0.77	 1.11	659	 0.81	 1.08	723.14	472.55	 0.61	9632.83	 1.09	4206.59
A7	Foci_processed_25-Jul-2020	801	 1.05	 1.23	675	 1.12	 1.21	676.33	451.03	 0.55	10121.87	 1.07	6182.76
A8	Foci_processed_25-Jul-2020	801	 1.15	 1.36	664	 1.19	 1.28	673.13	448.61	 0.58	9800.28	 1.07	6036.98
B1	Foci_processed_25-Jul-2020	801	 0.74	 1.07	679	 0.76	 1.03	690.25	466.58	 0.58	9154.76	 1.10	3878.50
B2	Foci_processed_25-Jul-2020	801	 0.84	 1.16	679	 0.81	 1.00	727.94	493.65	 0.53	10403.51	 1.09	4332.99
B3	Foci_processed_25-Jul-2020	801	 0.74	 1.21	708	 0.76	 1.21	693.27	474.51	 0.57	10146.14	 1.07	3773.81
B4	Foci_processed_25-Jul-2020	320	 0.73	 1.17	267	 0.76	 1.13	721.29	484.95	 0.57	9599.41	 1.08	3651.29
B5	Foci_processed_25-Jul-2020	485	 0.88	 1.12	411	 0.86	 1.09	716.47	506.92	 0.49	8870.23	 1.07	4384.91
B6	Foci_processed_25-Jul-2020	801	 0.63	 1.08	679	 0.66	 1.09	749.81	520.49	 0.59	9530.44	 1.08	3395.61
B7	Foci_processed_25-Jul-2020	801	 0.82	 1.10	664	 0.89	 1.10	744.87	521.06	 0.57	10040.50	 1.08	4503.66
B8	Foci_processed_25-Jul-2020	801	 0.85	 1.24	659	 0.88	 1.16	730.89	511.36	 0.55	10222.10	 1.08	4500.58
C1	Foci_processed_26-Jul-2020	801	 1.03	 1.28	693	 1.10	 1.27	702.93	470.77	 0.56	8842.56	 1.07	5754.31
C2	Foci_processed_26-Jul-2020	801	 0.78	 1.19	687	 0.82	 1.19	743.28	511.98	 0.56	9749.69	 1.08	3876.67
C3	Foci_processed_26-Jul-2020	801	 0.81	 1.19	691	 0.81	 1.15	701.49	485.21	 0.51	10150.32	 1.08	4104.64
C4	Foci_processed_26-Jul-2020	801	 0.52	 1.04	684	 0.51	 0.98	703.53	517.65	 0.55	10018.42	 1.10	2539.86
C5	Foci_processed_26-Jul-2020	801	 0.74	 1.14	673	 0.78	 1.05	712.02	506.03	 0.56	9711.62	 1.10	4085.85
C6	Foci_processed_26-Jul-2020	801	 0.64	 1.03	702	 0.68	 1.04	727.55	533.41	 0.52	10894.21	 1.07	3433.74
C7	Foci_processed_26-Jul-2020	801	 0.84	 1.36	660	 0.95	 1.42	658.44	465.85	 0.54	10452.50	 1.05	4650.13
C8	Foci_processed_26-Jul-2020	801	 0.70	 1.23	681	 0.72	 1.21	717.73	541.41	 0.53	10156.69	 1.09	3769.39
D1	Foci_processed_26-Jul-2020	801	 0.64	 0.88	665	 0.65	 0.89	747.01	512.60	 0.61	8451.99	 1.12	3192.41
D2	Foci_processed_26-Jul-2020	801	 0.67	 0.99	684	 0.69	 0.98	756.30	527.22	 0.58	9401.73	 1.10	3421.87
D3	Foci_processed_26-Jul-2020	801	 0.64	 0.97	677	 0.67	 0.93	718.74	522.20	 0.57	9849.39	 1.11	3356.13
D4	Foci_processed_26-Jul-2020	801	 0.71	 1.11	687	 0.72	 1.05	719.92	514.80	 0.55	9976.74	 1.09	3592.90
D5	Foci_processed_26-Jul-2020	801	 0.67	 1.07	678	 0.74	 1.11	1080.38	877.27	 0.55	9919.88	 1.10	3781.50
D6	Foci_processed_26-Jul-2020	801	 0.81	 1.09	691	 0.83	 1.02	714.06	510.63	 0.48	11783.45	 1.06	4227.98
D7	Foci_processed_26-Jul-2020	801	 0.61	 1.04	678	 0.63	 0.96	652.54	475.18	 0.52	10747.36	 1.07	3161.71
D8	Foci_processed_26-Jul-2020	801	 0.62	 1.04	690	 0.64	 1.04	761.01	554.16	 0.55	10405.27	 1.08	3163.10
E1	Foci_processed_26-Jul-2020	132	 0.69	 1.04	122	 0.70	 1.06	637.55	411.68	 0.56	8464.99	 1.04	3549.65
E2	Foci_processed_26-Jul-2020	320	 0.50	 1.32	283	 0.50	 1.08	670.72	458.17	 0.58	8500.96	 1.08	2250.89
E3	Foci_processed_26-Jul-2020	133	 1.42	 2.54	118	 1.29	 1.74	742.21	464.04	 0.52	10522.83	 1.03	6506.27
E4	Foci_processed_26-Jul-2020	801	 1.02	 1.24	687	 1.12	 1.23	673.72	461.03	 0.55	9725.79	 1.07	5560.64
E5	Foci_processed_26-Jul-2020	801	 0.58	 1.09	689	 0.63	 1.01	742.92	572.85	 0.52	9745.45	 1.07	3097.11
E6	Foci_processed_26-Jul-2020	321	 0.39	 0.92	270	 0.37	 0.85	652.63	454.21	 0.57	9838.07	 1.05	1511.69
E7	Foci_processed_26-Jul-2020	229	 0.40	 1.23	204	 0.39	 1.20	618.39	423.66	 0.57	9845.06	 1.05	1539.44
E8	Foci_processed_26-Jul-2020	346	 0.49	 0.95	314	 0.53	 0.98	727.93	509.02	 0.52	10916.77	 1.05	2191.46
F1	Foci_processed_26-Jul-2020	353	 0.31	 0.72	299	 0.30	 0.72	630.20	450.07	 0.53	9742.94	 1.07	1179.78
