Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
A1	Foci_processed_13-Mar-2020	107	 2.24	 3.26	92	 2.20	 3.08	1334.33	1176.70	 0.63	8468.15	 1.10	9484.87
A10	Foci_processed_13-Mar-2020	801	 0.79	 1.51	720	 0.78	 1.40	736.45	578.38	 0.46	9120.35	 1.06	3553.78
A11	Foci_processed_13-Mar-2020	361	 0.49	 1.36	312	 0.44	 1.18	633.54	541.62	 0.60	6238.21	 1.09	1918.90
A12	Foci_processed_13-Mar-2020	224	 0.64	 1.64	189	 0.57	 1.47	674.11	549.92	 0.60	6498.96	 1.08	2546.81
A2	Foci_processed_13-Mar-2020	801	 0.96	 1.71	694	 0.99	 1.67	716.03	549.24	 0.56	8592.02	 1.06	4411.87
A3	Foci_processed_14-Mar-2020	560	 0.64	 1.21	490	 0.62	 1.14	676.96	531.85	 0.53	7937.30	 1.06	2840.92
A4	Foci_processed_14-Mar-2020	801	 0.61	 1.55	702	 0.58	 1.43	716.88	575.98	 0.49	9164.84	 1.05	2413.24
A5	Foci_processed_14-Mar-2020	801	 0.58	 1.20	703	 0.55	 1.08	711.20	569.44	 0.53	7546.08	 1.06	2347.15
A6	Foci_processed_14-Mar-2020	801	 0.61	 1.28	698	 0.59	 1.19	692.63	545.88	 0.50	8956.22	 1.06	2596.18
A7	Foci_processed_14-Mar-2020	801	 0.73	 1.41	694	 0.72	 1.38	692.43	548.84	 0.49	8056.16	 1.06	3104.17
A8	Foci_processed_14-Mar-2020	801	 0.49	 1.37	677	 0.37	 0.96	646.53	539.15	 0.48	9584.45	 1.05	1514.39
A9	Foci_processed_14-Mar-2020	801	 0.46	 1.10	676	 0.40	 1.02	607.67	485.09	 0.50	7929.35	 1.05	1784.91
B1	Foci_processed_14-Mar-2020	377	 0.64	 1.27	307	 0.65	 1.14	596.84	483.42	 0.69	6203.18	 1.09	2751.16
B10	Foci_processed_14-Mar-2020	801	 1.25	 1.76	676	 1.07	 1.59	881.33	673.99	 0.49	7618.71	 1.06	5748.96
B11	Foci_processed_14-Mar-2020	801	 1.43	 1.99	692	 1.31	 1.79	912.04	714.95	 0.51	8184.52	 1.07	6962.77
B12	Foci_processed_14-Mar-2020	801	 1.58	 2.11	655	 1.56	 1.95	1236.28	1000.54	 0.61	6632.87	 1.07	7775.28
B2	Foci_processed_14-Mar-2020	801	 1.06	 1.69	706	 1.00	 1.59	682.70	516.81	 0.47	8904.78	 1.05	4812.97
