Well#	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
A1	Foci_processed_26-Jul-2020	279	 0.02	 0.22	240	 0.00	 0.06	510.06	417.04	 0.66	9038.33	 1.10	13.70
A10	Foci_processed_26-Jul-2020	548	 0.36	 1.00	449	 0.27	 0.72	652.07	481.92	 0.68	7743.12	 1.11	1081.80
A11	Foci_processed_26-Jul-2020	372	 0.45	 1.10	303	 0.40	 1.03	660.66	460.84	 0.59	6478.14	 1.11	1560.07
A12	Foci_processed_26-Jul-2020	597	 0.40	 1.09	511	 0.38	 0.98	663.31	504.62	 0.61	7188.20	 1.10	1596.45
A2	Foci_processed_26-Jul-2020	114	 0.00	 0.00	91	 0.00	 0.00	474.46	388.29	 0.59	9219.84	 1.09	 0.00
A3	Foci_processed_26-Jul-2020	89	 0.12	 0.45	77	 0.14	 0.48	557.56	419.52	 0.57	7302.30	 1.08	533.48
A4	Foci_processed_26-Jul-2020	302	 0.31	 0.91	252	 0.27	 0.78	582.78	445.92	 0.61	7461.52	 1.09	1100.95
A5	Foci_processed_26-Jul-2020	187	 0.39	 1.00	161	 0.38	 0.92	656.41	474.89	 0.62	6910.19	 1.09	1521.98
A6	Foci_processed_26-Jul-2020	448	 0.22	 0.86	362	 0.18	 0.62	603.09	462.17	 0.61	7504.38	 1.09	702.40
A7	Foci_processed_26-Jul-2020	365	 0.61	 1.40	298	 0.53	 1.23	672.33	471.34	 0.64	7751.25	 1.10	2070.95
A8	Foci_processed_26-Jul-2020	320	 0.54	 1.53	265	 0.54	 1.37	685.76	490.26	 0.64	7908.26	 1.09	2177.00
A9	Foci_processed_26-Jul-2020	146	 0.58	 2.52	126	 0.47	 1.60	665.61	486.11	 0.61	6365.57	 1.10	1998.73
B1	Foci_processed_26-Jul-2020	608	 0.11	 0.45	526	 0.08	 0.34	599.52	488.91	 0.50	10965.49	 1.05	363.38
B10	Foci_processed_26-Jul-2020	107	 0.78	 1.41	85	 0.84	 1.53	956.78	684.08	 0.48	10573.55	 1.05	3357.49
B11	Foci_processed_26-Jul-2020	103	 0.80	 2.05	88	 0.82	 2.13	827.05	604.18	 0.53	10613.52	 1.05	3337.19
B12	Foci_processed_26-Jul-2020	269	 0.94	 1.44	225	 0.96	 1.43	958.21	759.83	 0.63	7699.93	 1.11	4424.61
