Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
A1	Foci_processed_06-Dec-2020	108	 1.06	 1.54	88	 1.02	 1.48	1033.33	726.93	 0.49	8834.84	 1.06	4682.28
A10	Foci_processed_06-Dec-2020	73	 0.78	 1.34	58	 0.78	 1.33	1031.17	723.99	 0.50	8933.11	 1.05	3838.67
A11	Foci_processed_06-Dec-2020	65	 1.12	 1.73	57	 1.16	 1.78	1031.75	693.53	 0.52	8678.13	 1.05	5900.09
A12	Foci_processed_06-Dec-2020	164	 1.31	 2.35	145	 1.10	 1.92	1162.77	838.23	 0.53	8247.89	 1.06	5549.71
A2	Foci_processed_06-Dec-2020	131	 1.25	 2.24	113	 1.05	 1.82	1179.51	881.23	 0.51	8088.90	 1.06	4991.71
A3	Foci_processed_06-Dec-2020	82	 1.57	 1.67	73	 1.62	 1.68	1259.70	774.91	 0.50	9125.28	 1.04	8233.01
A4	Foci_processed_06-Dec-2020	179	 1.27	 1.61	154	 1.28	 1.66	1290.74	869.49	 0.51	8969.26	 1.04	6299.46
A5	Foci_processed_06-Dec-2020	590	 0.92	 1.59	511	 0.93	 1.62	1021.93	683.01	 0.48	8059.75	 1.06	4512.71
A6	Foci_processed_06-Dec-2020	462	 1.48	 2.11	401	 1.46	 2.08	1305.02	919.31	 0.52	9067.28	 1.05	7238.58
A7	Foci_processed_06-Dec-2020	194	 1.30	 1.88	162	 1.36	 1.95	1188.24	745.67	 0.48	9191.17	 1.04	6540.18
A8	Foci_processed_06-Dec-2020	323	 1.41	 1.76	263	 1.44	 1.74	1391.21	897.43	 0.52	9412.91	 1.04	7786.68
A9	Foci_processed_06-Dec-2020	128	 1.30	 1.92	106	 1.23	 1.70	1127.32	727.33	 0.51	8655.58	 1.05	5954.41
B1	Foci_processed_06-Dec-2020	286	 1.10	 1.63	233	 1.10	 1.63	1266.20	952.74	 0.51	9317.84	 1.04	4914.12
B10	Foci_processed_06-Dec-2020	107	 1.12	 1.61	89	 1.19	 1.69	1309.33	974.96	 0.54	9058.75	 1.06	5564.83
B11	Foci_processed_06-Dec-2020	400	 0.92	 1.85	337	 0.95	 1.91	1244.30	993.80	 0.51	9210.86	 1.05	4074.41
B12	Foci_processed_06-Dec-2020	801	 1.07	 2.05	677	 0.91	 1.37	1343.54	1027.33	 0.54	8697.01	 1.06	4580.49
B2	Foci_processed_06-Dec-2020	770	 1.14	 1.51	661	 1.14	 1.52	1321.52	945.16	 0.53	7639.80	 1.08	5569.63
B3	Foci_processed_06-Dec-2020	414	 0.75	 1.24	333	 0.80	 1.31	1054.76	758.59	 0.49	9058.02	 1.06	3541.80
B4	Foci_processed_06-Dec-2020	209	 1.08	 1.74	172	 1.10	 1.70	1276.75	912.22	 0.52	8940.62	 1.04	5347.33
B5	Foci_processed_06-Dec-2020	395	 1.18	 1.66	330	 1.18	 1.62	1362.89	1059.30	 0.55	8393.40	 1.07	5662.27
B6	Foci_processed_06-Dec-2020	251	 1.15	 1.80	206	 1.16	 1.85	1266.71	886.88	 0.50	9887.60	 1.04	5459.92
B7	Foci_processed_06-Dec-2020	540	 1.07	 1.94	472	 1.03	 1.64	1418.14	1031.42	 0.50	9374.67	 1.05	5214.89
B8	Foci_processed_06-Dec-2020	405	 1.23	 1.60	331	 1.26	 1.53	1415.81	988.74	 0.50	9800.46	 1.05	6192.52
B9	Foci_processed_06-Dec-2020	281	 1.14	 1.69	241	 1.16	 1.71	1438.18	1091.05	 0.51	9856.20	 1.05	5501.83
C1	Foci_processed_06-Dec-2020	571	 1.15	 1.83	490	 1.11	 1.62	1350.74	1047.65	 0.50	9035.75	 1.06	5440.23
C10	Foci_processed_06-Dec-2020	512	 1.20	 1.50	420	 1.18	 1.50	1685.95	1290.03	 0.55	8593.64	 1.09	6009.36
C11	Foci_processed_06-Dec-2020	309	 1.42	 1.78	263	 1.37	 1.70	1570.33	1191.74	 0.58	8764.76	 1.07	6445.62
C12	Foci_processed_06-Dec-2020	34	 1.62	 2.13	24	 1.63	 2.18	1672.40	1240.46	 0.54	9303.61	 1.04	7773.75
C2	Foci_processed_06-Dec-2020	170	 1.32	 1.81	147	 1.44	 1.89	1571.53	1117.50	 0.50	9826.69	 1.04	7441.63
C3	Foci_processed_06-Dec-2020	151	 1.23	 2.05	125	 1.30	 2.17	1398.88	1009.11	 0.51	9574.25	 1.05	6548.95
C4	Foci_processed_06-Dec-2020	154	 1.72	 2.08	133	 1.91	 2.13	1751.00	1206.74	 0.52	10526.00	 1.03	10519.83
C5	Foci_processed_06-Dec-2020	175	 1.37	 2.26	148	 1.30	 2.09	1317.78	949.33	 0.50	9896.43	 1.04	5997.44
C6	Foci_processed_06-Dec-2020	417	 1.57	 1.98	349	 1.60	 2.04	1578.69	1214.10	 0.54	9311.11	 1.06	8263.07
C7	Foci_processed_06-Dec-2020	701	 1.04	 1.58	595	 1.03	 1.61	1299.36	999.06	 0.53	8573.61	 1.07	5004.94
