Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
A1	Foci_processed_22-Oct-2019	225	 1.08	 1.79	187	 0.91	 1.51	4627.60	2661.20	 0.49	20267.49	 1.05	12362.16
A10	Foci_processed_22-Oct-2019	518	 0.47	 1.37	473	 0.37	 0.74	3563.28	2119.08	 0.47	16880.50	 1.05	4092.90
A11	Foci_processed_22-Oct-2019	801	 0.21	 0.75	716	 0.18	 0.51	2582.24	1661.26	 0.46	16947.45	 1.05	1443.22
A12	Foci_processed_22-Oct-2019	801	 0.25	 1.02	704	 0.20	 0.57	2464.74	1711.07	 0.42	2046.88	 1.16	1504.55
A2	Foci_processed_22-Oct-2019	401	 0.57	 1.27	345	 0.52	 1.20	3550.25	2073.58	 0.47	21289.22	 1.04	5444.12
A3	Foci_processed_22-Oct-2019	286	 0.62	 1.11	245	 0.50	 0.87	3794.19	2236.87	 0.48	19217.11	 1.05	5785.19
A4	Foci_processed_22-Oct-2019	193	 0.64	 1.03	167	 0.56	 0.90	2630.67	1716.37	 0.48	16739.06	 1.05	4253.08
A5	Foci_processed_22-Oct-2019	319	 0.32	 0.80	268	 0.25	 0.56	3303.83	2036.34	 0.46	22000.86	 1.05	2247.09
A6	Foci_processed_22-Oct-2019	317	 0.33	 0.80	279	 0.27	 0.65	3258.07	2016.86	 0.46	19426.94	 1.05	2972.69
A7	Foci_processed_22-Oct-2019	801	 0.39	 0.72	685	 0.37	 0.67	3600.27	2217.30	 0.47	17766.18	 1.05	3987.47
A8	Foci_processed_22-Oct-2019	445	 0.22	 0.53	387	 0.21	 0.54	3045.29	1882.88	 0.46	16950.48	 1.05	1905.98
A9	Foci_processed_22-Oct-2019	527	 0.30	 0.81	465	 0.28	 0.83	3569.49	2165.13	 0.44	2715.66	 1.09	2958.75
B1	Foci_processed_22-Oct-2019	444	 0.65	 1.17	391	 0.57	 1.04	2883.67	1807.24	 0.48	19724.70	 1.05	5354.48
B10	Foci_processed_22-Oct-2019	6	 0.00	 0.00	5	 0.00	 0.00	2528.05	1718.13	 0.38	836.05	 1.61	 0.00
B11	Foci_processed_22-Oct-2019	801	 0.26	 0.71	737	 0.23	 0.63	3439.67	2370.35	 0.41	27236.38	 1.05	2305.73
B12	Foci_processed_22-Oct-2019	641	 0.75	 1.50	529	 0.67	 1.38	3544.47	2103.82	 0.49	16350.00	 1.05	6732.62
B2	Foci_processed_22-Oct-2019	237	 0.27	 0.64	210	 0.23	 0.59	2655.04	1692.77	 0.45	22674.66	 1.04	1908.55
B3	Foci_processed_22-Oct-2019	801	 0.30	 0.77	691	 0.23	 0.58	2464.48	1580.11	 0.45	23782.82	 1.04	1796.29
B4	Foci_processed_22-Oct-2019	141	 0.08	 0.29	130	 0.07	 0.28	2462.86	1495.29	 0.47	16754.85	 1.04	515.48
B5	Foci_processed_22-Oct-2019	736	 0.32	 0.69	645	 0.29	 0.63	2805.88	1777.17	 0.45	24600.99	 1.05	2375.21
B6	Foci_processed_22-Oct-2019	402	 0.44	 0.82	348	 0.40	 0.78	2997.84	1755.74	 0.46	25733.50	 1.04	3597.91
B7	Foci_processed_22-Oct-2019	459	 0.43	 1.02	397	 0.36	 0.78	3810.03	2284.85	 0.45	23464.16	 1.05	3731.90
B8	Foci_processed_22-Oct-2019	518	 0.50	 1.51	465	 0.46	 1.13	3226.55	1960.24	 0.46	9265.43	 1.04	4917.83
B9	Foci_processed_22-Oct-2019	590	 0.59	 1.23	506	 0.52	 1.09	3675.32	2160.20	 0.47	20471.94	 1.05	5926.80
C1	Foci_processed_22-Oct-2019	219	 0.91	 1.79	191	 0.75	 1.49	3535.90	2039.24	 0.48	22306.64	 1.04	7463.92
C10	Foci_processed_22-Oct-2019	195	 0.52	 0.92	167	 0.50	 0.78	3192.80	1984.60	 0.54	9243.28	 1.07	5258.54
C11	Foci_processed_22-Oct-2019	53	 0.94	 1.49	41	 1.02	 1.46	3402.62	2108.85	 0.52	7317.61	 1.08	11554.24
C12	Foci_processed_22-Oct-2019	701	 0.69	 1.31	601	 0.59	 1.07	3665.68	2285.55	 0.50	16311.64	 1.06	6940.41
C2	Foci_processed_22-Oct-2019	183	 0.69	 1.75	157	 0.53	 1.14	3175.84	1899.35	 0.47	20696.51	 1.04	7204.46
C3	Foci_processed_22-Oct-2019	323	 0.12	 0.39	270	 0.11	 0.36	2199.55	1401.66	 0.45	22859.49	 1.04	802.12
C4	Foci_processed_22-Oct-2019	315	 0.31	 1.24	291	 0.21	 0.53	2974.55	1854.19	 0.44	24120.92	 1.04	1839.68
C5	Foci_processed_22-Oct-2019	715	 0.44	 1.22	633	 0.38	 0.91	3631.08	2156.85	 0.46	24981.92	 1.04	4015.57
