Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	2	1	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
2	4	4	11	11	7	7	0.900523	0.10478	8.94089e-07	9.92856e-07
3	4	4	15	15	10	9	0.869271	0.1401	1.15171e-06	1.32491e-06
4	3	3	5	7	2	15	0.886513	0.12046	1.05684e-06	1.19213e-06
5	2	2	6	6	4	2	0.953248	0.04788	4.2415e-07	4.44952e-07
6	0	0	0	0	0	0	1	-0	0	0
7	10	10	31	31	25	13	0.770296	0.26098	1.87999e-06	2.44061e-06
8	5	5	5	5	5	0	0.969088	0.0314	2.73513e-07	2.82238e-07
9	6	6	32	34	18	32	0.686108	0.37672	2.48336e-06	3.61948e-06
10	3	3	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
11	5	5	22	22	17	7	0.840415	0.17386	1.35624e-06	1.61378e-06
12	6	6	12	12	8	5	0.90406	0.10086	8.52562e-07	9.43037e-07
13	6	6	20	21	14	17	0.803659	0.21858	1.67857e-06	2.08866e-06
14	4	4	7	7	6	1	0.952124	0.04906	4.26805e-07	4.48266e-07
15	2	2	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
16	2	2	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
17	4	4	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
18	3	3	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
19	5	5	22	24	11	68	0.608037	0.49752	3.0206e-06	4.9678e-06
20	6	6	26	26	17	10	0.807122	0.21428	1.61341e-06	1.99897e-06
21	7	7	41	43	25	28	0.661768	0.41284	2.59081e-06	3.91498e-06
22	9	9	23	23	16	10	0.822473	0.19544	1.50482e-06	1.82963e-06
23	4	3	10	10	6	5	0.915486	0.0883	7.59984e-07	8.30142e-07
24	2	2	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
25	3	3	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
26	5	5	18	19	15	5	0.865178	0.14482	1.15776e-06	1.33817e-06
27	7	6	11	12	10	2	0.917998	0.08556	7.19378e-07	7.83638e-07
28	5	5	33	33	18	28	0.70466	0.35004	2.36096e-06	3.3505e-06
29	3	3	0	0	0	0	1	-0	0	0
30	2	2	7	7	6	1	0.952124	0.04906	4.26805e-07	4.48266e-07
31	4	4	11	11	6	9	0.891384	0.11498	9.7974e-07	1.09912e-06
