Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	324	318	143	147	124	30	0.340902	1.07616	3.37213e-06	9.89179e-06
2	283	276	128	130	106	28	0.383199	0.9592	3.38209e-06	8.82592e-06
3	346	342	153	153	132	25	0.336775	1.08834	3.3559e-06	9.96481e-06
4	295	286	139	141	114	34	0.346844	1.05888	3.38715e-06	9.76564e-06
5	298	292	130	134	116	23	0.383345	0.95882	3.36808e-06	8.78604e-06
6	314	304	156	157	134	27	0.325088	1.12366	3.34739e-06	1.02969e-05
7	297	291	129	130	113	18	0.403249	0.9082	3.34479e-06	8.29459e-06
8	272	265	112	114	99	18	0.445873	0.80772	3.29564e-06	7.39142e-06
9	261	255	117	119	110	9	0.452386	0.79322	3.25513e-06	7.19546e-06
10	335	327	152	159	133	32	0.312947	1.16172	3.34085e-06	1.06754e-05
11	310	305	148	149	123	32	0.333231	1.09892	3.36928e-06	1.0111e-05
12	293	286	145	148	129	21	0.35468	1.03654	3.35883e-06	9.47004e-06
13	296	287	165	170	144	29	0.296562	1.2155	3.30279e-06	1.1137e-05
14	289	282	143	146	129	18	0.3647	1.00868	3.35442e-06	9.19775e-06
15	305	293	138	142	117	29	0.353575	1.03966	3.37891e-06	9.55642e-06
16	306	298	133	134	112	26	0.377524	0.97412	3.37712e-06	8.94544e-06
17	315	309	127	127	116	13	0.421532	0.86386	3.31306e-06	7.85958e-06
18	296	292	141	144	117	41	0.328434	1.11342	3.38514e-06	1.03069e-05
19	329	318	156	161	137	27	0.317023	1.14878	3.33593e-06	1.05227e-05
20	287	278	119	124	102	28	0.397914	0.92152	3.37719e-06	8.48723e-06
21	301	294	138	139	117	26	0.365854	1.00552	3.37599e-06	9.22768e-06
22	298	292	133	139	115	38	0.344135	1.06672	3.39499e-06	9.86528e-06
23	312	307	141	144	124	23	0.360011	1.02162	3.36629e-06	9.35052e-06
24	307	304	123	123	111	12	0.434465	0.83364	3.29353e-06	7.58065e-06
25	314	305	165	165	147	20	0.320395	1.1382	3.32459e-06	1.03765e-05
26	317	307	159	163	135	43	0.288535	1.24294	3.31402e-06	1.14857e-05
27	273	271	121	125	104	27	0.397444	0.9227	3.37452e-06	8.49055e-06
28	332	327	175	180	143	45	0.256686	1.3599	3.22182e-06	1.25516e-05
29	289	281	144	145	124	24	0.355938	1.033	3.3672e-06	9.4601e-06
30	310	302	173	181	140	54	0.243636	1.41208	3.18827e-06	1.30862e-05
31	299	297	141	142	117	32	0.348206	1.05496	3.38311e-06	9.71582e-06
32	305	298	156	161	132	35	0.304349	1.18958	3.33193e-06	1.09477e-05
33	300	293	165	171	135	42	0.2758	1.28808	3.27764e-06	1.18841e-05
34	274	270	118	121	104	20	0.422367	0.86188	3.33367e-06	7.89282e-06
35	306	302	115	115	100	16	0.447625	0.8038	3.28628e-06	7.34161e-06
36	288	283	140	141	116	30	0.353992	1.03848	3.38173e-06	9.55311e-06
