Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	582	567	156	157	137	23	0.331788	1.10326	3.34586e-06	1.00843e-05
2	527	514	108	109	97	13	0.471979	0.75082	3.23e-06	6.84352e-06
3	613	603	148	150	128	32	0.331145	1.1052	3.36688e-06	1.01674e-05
4	543	524	144	146	128	21	0.359163	1.02398	3.36074e-06	9.35715e-06
5	547	530	140	143	122	27	0.354964	1.03574	3.3745e-06	9.5066e-06
6	569	554	150	153	133	21	0.343716	1.06794	3.35201e-06	9.75228e-06
7	546	534	160	160	133	35	0.306266	1.1833	3.33563e-06	1.08913e-05
8	512	499	119	121	105	18	0.426697	0.85168	3.3225e-06	7.78656e-06
9	498	490	122	124	105	26	0.401993	0.91132	3.36909e-06	8.38097e-06
10	598	584	128	130	106	35	0.36976	0.9949	3.401e-06	9.19785e-06
11	530	518	167	170	143	32	0.292059	1.2308	3.2992e-06	1.12964e-05
12	540	527	137	139	115	28	0.362142	1.01572	3.38021e-06	9.33395e-06
13	545	529	140	144	121	26	0.354545	1.03692	3.37169e-06	9.50992e-06
14	535	524	139	139	125	18	0.38109	0.96472	3.35459e-06	8.80261e-06
15	557	543	136	140	121	22	0.371057	0.9914	3.36608e-06	9.07159e-06
16	558	544	132	134	117	18	0.393246	0.93332	3.3506e-06	8.52038e-06
17	570	556	127	128	114	15	0.414642	0.88034	3.32638e-06	8.02229e-06
18	544	534	116	117	96	25	0.422207	0.86226	3.34924e-06	7.9327e-06
19	589	572	138	145	116	33	0.339969	1.0789	3.37872e-06	9.9383e-06
20	532	515	112	113	98	20	0.444129	0.81164	3.30487e-06	7.44124e-06
21	552	537	145	147	130	18	0.362417	1.01496	3.35388e-06	9.25419e-06
22	547	535	141	147	124	26	0.347928	1.05576	3.36768e-06	9.67926e-06
23	566	556	157	160	136	29	0.315783	1.1527	3.33861e-06	1.05725e-05
24	559	549	138	141	118	34	0.346844	1.05888	3.38715e-06	9.76564e-06
25	570	554	126	127	107	31	0.384558	0.95566	3.39026e-06	8.81597e-06
26	573	560	156	161	142	24	0.321911	1.13348	3.33605e-06	1.03633e-05
27	513	506	122	127	114	17	0.41302	0.88426	3.33394e-06	8.07211e-06
28	593	578	154	160	133	37	0.303158	1.1935	3.334e-06	1.09975e-05
29	535	518	128	133	112	27	0.37797	0.97294	3.37986e-06	8.94213e-06
30	563	550	170	171	145	37	0.282923	1.26258	3.28713e-06	1.16185e-05
31	549	542	152	155	127	42	0.304952	1.1876	3.34867e-06	1.0981e-05
32	557	544	127	131	114	19	0.398686	0.91958	3.35063e-06	8.40417e-06
33	551	538	167	175	154	22	0.29784	1.2112	3.29031e-06	1.10473e-05
