Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	274	268	28	28	25	3	0.826017	0.19114	1.43721e-06	1.73993e-06
2	236	230	17	17	16	1	0.894169	0.11186	9.05563e-07	1.01274e-06
3	295	292	18	18	15	4	0.87508	0.13344	1.07511e-06	1.22859e-06
4	248	241	14	15	14	1	0.905471	0.0993	8.14786e-07	8.99847e-07
5	250	245	19	19	16	3	0.874048	0.13462	1.07674e-06	1.2319e-06
6	266	259	21	21	20	1	0.871988	0.13698	1.07999e-06	1.23853e-06
7	250	245	20	20	19	1	0.877481	0.1307	1.03726e-06	1.18209e-06
8	227	221	15	15	14	1	0.905471	0.0993	8.14786e-07	8.99847e-07
9	217	212	9	9	9	0	0.945048	0.05652	4.80111e-07	5.08028e-07
10	285	281	17	18	15	3	0.879554	0.12834	1.03388e-06	1.17546e-06
11	239	233	14	14	13	1	0.911175	0.09302	7.68485e-07	8.434e-07
12	246	241	23	23	21	2	0.856724	0.15464	1.20332e-06	1.40456e-06
13	249	242	19	20	18	2	0.873017	0.1358	1.07837e-06	1.23522e-06
14	242	236	21	22	21	1	0.866529	0.14326	1.12214e-06	1.29498e-06
15	257	247	16	16	15	1	0.899802	0.10558	8.60476e-07	9.56295e-07
16	258	250	15	15	13	2	0.900865	0.1044	8.58507e-07	9.5298e-07
17	266	263	12	12	12	0	0.92741	0.07536	6.28201e-07	6.77371e-07
18	248	246	14	14	13	1	0.911175	0.09302	7.68485e-07	8.434e-07
19	279	269	22	22	22	0	0.870959	0.13816	1.0816e-06	1.24185e-06
20	240	234	18	18	16	2	0.884051	0.12324	9.92191e-07	1.12232e-06
21	254	248	21	22	20	2	0.862121	0.14836	1.16224e-06	1.34811e-06
22	250	246	18	18	17	1	0.888572	0.11814	9.50052e-07	1.06919e-06
23	263	258	31	32	30	2	0.809645	0.21116	1.54852e-06	1.91259e-06
24	259	257	23	23	18	5	0.843715	0.16994	1.31954e-06	1.56396e-06
25	266	258	15	15	15	0	0.910101	0.0942	7.70595e-07	8.46714e-07
26	268	260	21	21	21	0	0.876446	0.13188	1.03894e-06	1.1854e-06
27	227	225	11	11	10	1	0.928505	0.07418	6.25865e-07	6.74057e-07
28	282	277	27	28	22	12	0.78896	0.23704	1.75002e-06	2.21813e-06
29	242	235	17	17	17	0	0.898741	0.10676	8.6244e-07	9.59609e-07
