Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	56	56	48	48	39	11	0.699395	0.35754	2.30377e-06	3.29395e-06
2	39	38	26	26	24	2	0.840734	0.17348	1.32323e-06	1.5739e-06
3	65	65	30	30	28	2	0.819878	0.1986	1.47553e-06	1.79969e-06
4	44	44	27	28	25	3	0.826017	0.19114	1.43721e-06	1.73993e-06
5	42	41	33	34	26	10	0.767574	0.26452	1.88098e-06	2.45055e-06
6	52	51	38	40	36	4	0.762159	0.2716	1.88287e-06	2.47044e-06
7	45	44	23	23	19	5	0.843715	0.16994	1.31954e-06	1.56396e-06
8	35	35	18	18	14	7	0.861793	0.14874	1.19616e-06	1.38799e-06
9	31	31	15	15	13	2	0.900865	0.1044	8.58507e-07	9.5298e-07
10	60	60	48	48	41	8	0.710178	0.34224	2.22609e-06	3.13455e-06
11	50	48	26	26	25	1	0.845033	0.16838	1.2851e-06	1.52077e-06
12	43	42	29	29	23	7	0.80427	0.21782	1.61571e-06	2.00891e-06
13	45	45	41	42	35	8	0.737448	0.30456	2.0618e-06	2.79586e-06
14	42	41	37	38	34	4	0.771792	0.25904	1.81953e-06	2.35754e-06
15	48	45	32	32	28	4	0.801428	0.22136	1.61797e-06	2.01886e-06
16	48	45	28	29	25	4	0.81667	0.20252	1.51044e-06	1.84951e-06
17	52	52	38	39	36	3	0.770882	0.26022	1.81994e-06	2.36086e-06
18	44	44	37	40	29	13	0.727967	0.3175	2.14651e-06	2.94864e-06
19	58	57	33	33	29	5	0.79236	0.23274	1.68649e-06	2.12844e-06
20	41	39	27	27	26	1	0.839742	0.17466	1.32446e-06	1.57722e-06
21	47	47	38	38	29	13	0.737168	0.30494	2.09042e-06	2.83574e-06
22	45	44	21	22	21	1	0.866529	0.14326	1.12214e-06	1.29498e-06
23	38	38	29	29	22	8	0.800179	0.22292	1.65001e-06	2.06205e-06
24	49	49	36	36	32	5	0.777571	0.25158	1.78669e-06	2.29778e-06
25	52	50	29	29	25	6	0.808382	0.21272	1.58102e-06	1.95578e-06
26	53	52	42	44	37	7	0.731967	0.31202	2.09022e-06	2.85563e-06
27	35	34	31	32	24	8	0.785245	0.24176	1.75219e-06	2.23139e-06
28	59	59	44	44	37	7	0.731967	0.31202	2.09022e-06	2.85563e-06
29	42	39	39	39	35	7	0.755315	0.28062	1.94372e-06	2.57339e-06
30	50	49	22	22	22	0	0.870959	0.13816	1.0816e-06	1.24185e-06
31	46	46	31	31	22	15	0.762479	0.27118	1.94194e-06	2.54687e-06
32	48	48	31	31	25	7	0.794232	0.23038	1.68521e-06	2.12181e-06
33	46	46	25	26	25	1	0.845033	0.16838	1.2851e-06	1.52077e-06
34	36	36	29	29	23	6	0.808382	0.21272	1.58102e-06	1.95578e-06
35	48	47	13	13	13	0	0.921604	0.08164	6.7629e-07	7.33819e-07
36	41	40	23	24	22	2	0.85136	0.16092	1.24384e-06	1.46101e-06
37	50	50	46	47	39	9	0.711016	0.34106	2.22636e-06	3.13124e-06
38	42	41	37	38	32	9	0.75236	0.28454	1.9736e-06	2.62321e-06
39	54	53	43	44	35	13	0.709908	0.34262	2.25355e-06	3.17443e-06
40	46	46	32	33	28	5	0.79236	0.23274	1.68649e-06	2.12844e-06
41	52	52	56	57	38	31	0.596868	0.51606	2.90355e-06	4.86464e-06
42	50	50	39	41	34	13	0.723409	0.32378	2.17391e-06	3.00508e-06
43	66	62	49	51	45	7	0.700487	0.35598	2.27711e-06	3.25076e-06
44	54	53	34	35	30	5	0.78247	0.2453	1.75377e-06	2.24133e-06
45	38	38	29	29	24	5	0.812516	0.20762	1.54593e-06	1.90265e-06
46	42	41	17	17	15	2	0.889621	0.11696	9.48225e-07	1.06588e-06
47	43	43	25	25	23	2	0.84603	0.1672	1.28381e-06	1.51746e-06
48	60	60	30	30	23	10	0.7871	0.2394	1.75111e-06	2.22476e-06
49	47	44	40	42	32	11	0.726251	0.31986	2.14626e-06	2.95526e-06
50	50	49	37	37	28	13	0.741812	0.29866	2.06171e-06	2.77929e-06
