Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	7	7	20	22	14	13	0.815087	0.20446	1.57522e-06	1.93258e-06
2	6	6	15	15	11	5	0.887187	0.1197	9.86889e-07	1.11238e-06
3	10	10	25	25	18	11	0.808075	0.2131	1.61264e-06	1.99566e-06
4	6	6	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
5	7	6	19	19	12	17	0.813817	0.20602	1.60791e-06	1.97577e-06
6	3	3	6	6	6	0	0.963021	0.03768	3.26161e-07	3.38686e-07
7	12	11	18	18	15	4	0.87508	0.13344	1.07511e-06	1.22859e-06
8	9	9	21	21	19	2	0.867552	0.14208	1.12059e-06	1.29167e-06
9	9	8	22	23	19	7	0.835153	0.18014	1.3949e-06	1.67023e-06
10	6	6	17	20	11	16	0.812857	0.2072	1.60871e-06	1.97908e-06
11	9	9	11	11	8	3	0.919082	0.08438	7.17181e-07	7.80323e-07
12	13	13	27	27	21	6	0.8186	0.20016	1.50858e-06	1.84288e-06
13	7	7	11	11	7	6	0.905127	0.09968	8.50568e-07	9.39723e-07
14	9	9	13	13	9	7	0.889283	0.11734	9.83326e-07	1.10575e-06
15	9	9	17	19	13	7	0.856398	0.15502	1.23701e-06	1.44444e-06
16	4	4	8	8	5	3	0.936562	0.06554	5.72221e-07	6.1098e-07
17	9	9	26	26	20	6	0.823757	0.19388	1.47159e-06	1.78644e-06
18	9	9	23	23	12	22	0.773647	0.25664	1.90876e-06	2.46723e-06
19	6	6	7	7	4	4	0.937667	0.06436	5.69789e-07	6.07666e-07
20	12	11	27	30	17	26	0.725423	0.321	2.2306e-06	3.07489e-06
21	10	10	25	27	19	14	0.785873	0.24096	1.78232e-06	2.26795e-06
22	12	12	27	27	22	5	0.822785	0.19506	1.47258e-06	1.78975e-06
23	9	9	33	34	19	24	0.71468	0.33592	2.28299e-06	3.19442e-06
24	10	10	9	9	7	2	0.935457	0.06672	5.74646e-07	6.14295e-07
25	6	5	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
26	10	9	27	29	23	12	0.784021	0.24332	1.78332e-06	2.27458e-06
27	12	12	38	39	23	24	0.692588	0.36732	2.40789e-06	3.47665e-06
28	11	10	40	42	27	27	0.669342	0.40146	2.54711e-06	3.8054e-06
29	10	9	26	27	17	32	0.716942	0.33276	2.31167e-06	3.22435e-06
30	4	4	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
31	6	6	17	17	13	5	0.876113	0.13226	1.07348e-06	1.22528e-06
32	9	8	16	16	13	3	0.890671	0.11578	9.46393e-07	1.06256e-06
33	8	8	12	12	7	11	0.876814	0.13146	1.1064e-06	1.26184e-06
34	10	10	20	20	16	5	0.859762	0.1511	1.19904e-06	1.39462e-06
35	7	7	9	9	6	3	0.930698	0.07182	6.21174e-07	6.67428e-07
36	13	13	29	31	18	22	0.735739	0.30688	2.14748e-06	2.91881e-06
37	6	6	34	34	23	12	0.759785	0.27472	1.94263e-06	2.55682e-06
38	14	14	48	49	35	20	0.663836	0.40972	2.54156e-06	3.8286e-06
39	10	10	24	24	15	11	0.813166	0.20682	1.5769e-06	1.93921e-06
40	16	16	37	37	28	12	0.745604	0.29356	2.03264e-06	2.72616e-06
