Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	0	0	0	0	0	0	1	-0	0	0
2	1	1	7	7	7	0	0.956992	0.04396	3.78139e-07	3.95133e-07
3	0	0	0	0	0	0	1	-0	0	0
4	1	1	10	17	7	46	0.710803	0.34136	2.41939e-06	3.40374e-06
5	0	0	0	0	0	0	1	-0	0	0
6	0	0	0	0	0	0	1	-0	0	0
7	0	0	0	0	0	0	1	-0	0	0
8	0	0	0	0	0	0	1	-0	0	0
9	2	2	15	15	12	3	0.896282	0.1095	9.01762e-07	1.00611e-06
10	0	0	0	0	0	0	1	-0	0	0
11	2	2	80	99	31	356	0.0873948	2.43732	2.1415e-06	2.45037e-05
12	0	0	0	0	0	0	1	-0	0	0
13	2	2	35	43	20	165	0.329052	1.11154	3.68348e-06	1.11942e-05
14	0	0	0	0	0	0	1	-0	0	0
15	0	0	0	0	0	0	1	-0	0	0
16	0	0	0	0	0	0	1	-0	0	0
17	0	0	0	0	0	0	1	-0	0	0
18	1	1	4	4	4	0	0.975193	0.02512	2.20189e-07	2.2579e-07
19	0	0	0	0	0	0	1	-0	0	0
20	1	1	6	6	5	1	0.958122	0.04278	3.7541e-07	3.91819e-07
21	0	0	0	0	0	0	1	-0	0	0
22	1	1	7	7	6	1	0.952124	0.04906	4.26805e-07	4.48266e-07
23	0	0	0	0	0	0	1	-0	0	0
24	0	0	0	0	0	0	1	-0	0	0
25	1	1	11	12	10	3	0.913328	0.09066	7.64246e-07	8.36771e-07
26	0	0	0	0	0	0	1	-0	0	0
27	1	1	14	16	7	18	0.825076	0.19228	1.53428e-06	1.85956e-06
28	0	0	0	0	0	0	1	-0	0	0
29	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
30	0	0	0	0	0	0	1	-0	0	0
31	1	1	51	69	20	362	0.102333	2.27952	2.36688e-06	2.31291e-05
32	0	0	0	0	0	0	1	-0	0	0
33	0	0	0	0	0	0	1	-0	0	0
34	2	2	102	156	31	1613	0.000100437	9.20598	9.49227e-09	9.45097e-05
35	0	0	0	0	0	0	1	-0	0	0
36	2	2	7	7	7	0	0.956992	0.04396	3.78139e-07	3.95133e-07
37	0	0	0	0	0	0	1	-0	0	0
38	2	2	72	105	22	889	0.00555365	5.1933	2.95245e-07	5.31624e-05
39	0	0	0	0	0	0	1	-0	0	0
40	3	3	141	185	47	2401	1.50473e-06	13.4069	2.07676e-10	0.000138016
41	0	0	0	0	0	0	1	-0	0	0
42	0	0	0	0	0	0	1	-0	0	0
43	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
44	0	0	0	0	0	0	1	-0	0	0
45	1	1	4	4	4	0	0.975193	0.02512	2.20189e-07	2.2579e-07
46	0	0	0	0	0	0	1	-0	0	0
47	1	1	6	8	3	11	0.899119	0.10634	9.31529e-07	1.03605e-06
48	0	0	0	0	0	0	1	-0	0	0
49	1	0	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
50	0	0	0	0	0	0	1	-0	0	0
51	0	0	0	0	0	0	1	-0	0	0
52	1	1	34	60	18	200	0.247387	1.3968	3.46676e-06	1.40135e-05
53	0	0	0	0	0	0	1	-0	0	0
54	1	1	56	76	22	435	0.0674897	2.69578	1.84942e-06	2.7403e-05
55	0	0	0	0	0	0	1	-0	0	0
56	1	1	69	111	21	1124	0.00161329	6.42948	1.06457e-07	6.59874e-05
57	0	0	0	0	0	0	1	-0	0	0
58	1	1	9	9	9	0	0.945048	0.05652	4.80111e-07	5.08028e-07
59	0	0	0	0	0	0	1	-0	0	0
60	0	0	0	0	0	0	1	-0	0	0
61	2	2	18	22	12	26	0.7628	0.27076	2.00106e-06	2.62331e-06
62	0	0	0	0	0	0	1	-0	0	0
63	2	2	96	126	25	2163	7.337e-06	11.8226	8.95404e-10	0.00012204
64	0	0	0	0	0	0	1	-0	0	0
65	2	2	14	14	10	7	0.883716	0.12362	1.02705e-06	1.1622e-06
66	0	0	0	0	0	0	1	-0	0	0
67	0	0	0	0	0	0	1	-0	0	0
68	0	0	0	0	0	0	1	-0	0	0
69	0	0	0	0	0	0	1	-0	0	0
70	1	1	58	90	15	665	0.0191261	3.9567	7.72961e-07	4.04139e-05
71	0	0	0	0	0	0	1	-0	0	0
72	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
73	0	0	0	0	0	0	1	-0	0	0
74	1	1	5	5	5	0	0.969088	0.0314	2.73513e-07	2.82238e-07
75	0	0	0	0	0	0	1	-0	0	0
76	0	0	0	0	0	0	1	-0	0	0
77	1	1	152	239	32	3650	1.83555e-09	20.1159	3.80744e-13	0.000207427
78	0	0	0	0	0	0	1	-0	0	0
79	1	1	24	41	8	529	0.0520589	2.95538	1.58373e-06	3.04218e-05
80	0	0	0	0	0	0	1	-0	0	0
81	1	1	41	57	21	227	0.219663	1.51566	3.35618e-06	1.52787e-05
82	0	0	0	0	0	0	1	-0	0	0
83	1	1	64	106	23	823	0.00772742	4.86298	3.84146e-07	4.97121e-05
84	0	0	0	0	0	0	1	-0	0	0
85	0	0	0	0	0	0	1	-0	0	0
86	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
87	0	0	0	0	0	0	1	-0	0	0
88	3	3	75	112	33	533	0.0326582	3.42166	1.13135e-06	3.46421e-05
89	0	0	0	0	0	0	1	-0	0	0
90	2	2	74	102	32	329	0.098425	2.31846	2.28725e-06	2.32385e-05
91	0	0	0	0	0	0	1	-0	0	0
92	2	2	9	9	9	0	0.945048	0.05652	4.80111e-07	5.08028e-07
93	0	0	0	0	0	0	1	-0	0	0
94	0	0	0	0	0	0	1	-0	0	0
95	1	1	11	24	5	140	0.421169	0.86472	3.70351e-06	8.79339e-06
96	0	0	0	0	0	0	1	-0	0	0
97	1	1	15	17	15	2	0.889621	0.11696	9.48225e-07	1.06588e-06
98	0	0	0	0	0	0	1	-0	0	0
99	1	1	23	29	12	109	0.47806	0.73802	3.55126e-06	7.4285e-06
100	0	0	0	0	0	0	1	-0	0	0
101	1	1	6	6	6	0	0.963021	0.03768	3.26161e-07	3.38686e-07
102	0	0	0	0	0	0	1	-0	0	0
103	0	0	0	0	0	0	1	-0	0	0
104	1	1	43	51	17	207	0.252592	1.37598	3.50532e-06	1.38774e-05
105	0	0	0	0	0	0	1	-0	0	0
106	1	1	60	93	15	1100	0.00204156	6.19404	1.3004e-07	6.36961e-05
107	0	0	0	0	0	0	1	-0	0	0
108	1	1	22	24	14	55	0.649716	0.43122	2.77888e-06	4.27707e-06
109	0	0	0	0	0	0	1	-0	0	0
110	1	1	24	27	15	37	0.698891	0.35826	2.43914e-06	3.49001e-06
111	0	0	0	0	0	0	1	-0	0	0
