Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	909	889	138	140	118	24	0.367291	1.0016	3.37095e-06	9.17786e-06
2	839	820	127	130	109	25	0.389107	0.9439	3.37221e-06	8.66652e-06
3	948	934	161	164	125	51	0.275265	1.29002	3.29415e-06	1.19672e-05
4	860	831	167	168	132	49	0.271189	1.30494	3.27778e-06	1.20867e-05
5	865	844	128	131	108	27	0.382747	0.96038	3.37937e-06	8.82923e-06
6	893	870	157	159	128	47	0.2899	1.23822	3.32585e-06	1.14724e-05
7	864	846	141	144	120	30	0.347386	1.05732	3.37744e-06	9.72245e-06
8	821	804	105	108	90	22	0.453645	0.79044	3.29586e-06	7.26527e-06
9	803	792	140	145	119	35	0.336519	1.0891	3.38019e-06	1.00446e-05
10	929	908	145	149	117	41	0.318281	1.14482	3.37033e-06	1.05892e-05
11	885	872	173	176	141	40	0.270014	1.30928	3.2564e-06	1.20601e-05
12	856	831	141	143	111	47	0.320543	1.13774	3.3879e-06	1.05693e-05
13	862	835	156	160	114	58	0.272368	1.3006	3.29929e-06	1.21133e-05
14	850	835	164	166	128	64	0.254392	1.36888	3.24879e-06	1.27708e-05
15	878	858	140	141	115	31	0.352192	1.04358	3.38324e-06	9.60624e-06
16	878	859	180	184	146	50	0.244016	1.41052	3.18271e-06	1.3043e-05
17	894	871	176	179	135	60	0.23928	1.43012	3.18054e-06	1.32921e-05
18	861	845	115	115	98	18	0.443082	0.814	3.30002e-06	7.44787e-06
19	918	898	144	146	117	33	0.337841	1.08518	3.37663e-06	9.99475e-06
20	847	825	133	137	110	36	0.352058	1.04396	3.39599e-06	9.64612e-06
21	871	849	148	150	111	52	0.299033	1.2072	3.35816e-06	1.12301e-05
22	865	847	148	154	117	50	0.294605	1.22212	3.34365e-06	1.13496e-05
23	888	873	182	187	147	51	0.238244	1.43446	3.16042e-06	1.32655e-05
24	880	865	145	150	121	34	0.327784	1.1154	3.36755e-06	1.02737e-05
25	893	875	166	167	130	45	0.278522	1.27826	3.2915e-06	1.18177e-05
26	897	879	156	160	121	51	0.282268	1.2649	3.31422e-06	1.17414e-05
27	822	804	102	103	89	17	0.480206	0.73354	3.22572e-06	6.71737e-06
28	923	897	190	193	140	70	0.208245	1.56904	3.04323e-06	1.46137e-05
29	850	826	124	126	96	39	0.37151	0.99018	3.41217e-06	9.18459e-06
30	885	865	181	187	143	61	0.226398	1.48546	3.12358e-06	1.37968e-05
31	867	855	128	130	109	26	0.387128	0.949	3.37562e-06	8.71965e-06
