Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	2	1	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
2	4	4	13	14	8	12	0.861466	0.14912	1.23006e-06	1.42786e-06
3	4	4	15	16	11	11	0.855063	0.15658	1.27201e-06	1.48763e-06
4	3	3	10	11	4	28	0.809062	0.21188	1.70603e-06	2.10865e-06
5	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
6	0	0	0	0	0	0	1	-0	0	0
7	9	8	32	32	20	17	0.750017	0.28766	2.03224e-06	2.70959e-06
8	3	3	11	15	6	20	0.821848	0.1962	1.56922e-06	1.90938e-06
9	6	6	43	46	18	82	0.493082	0.70708	3.42865e-06	6.95351e-06
10	3	3	4	4	2	2	0.965296	0.03532	3.20533e-07	3.32057e-07
11	4	4	23	24	5	76	0.583728	0.53832	3.14797e-06	5.39287e-06
12	4	4	13	13	7	9	0.880258	0.12754	1.06689e-06	1.21202e-06
13	6	6	16	16	10	9	0.863829	0.14638	1.19326e-06	1.38136e-06
14	3	3	8	8	4	10	0.903716	0.10124	8.88274e-07	9.82913e-07
15	1	1	12	12	4	15	0.859109	0.15186	1.26664e-06	1.47437e-06
16	2	2	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
17	4	4	16	17	7	22	0.803354	0.21896	1.70997e-06	2.12854e-06
18	3	3	11	11	7	5	0.909755	0.09458	8.06579e-07	8.8659e-07
19	4	4	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
20	6	6	36	38	15	51	0.607295	0.49874	2.9483e-06	4.8548e-06
21	7	7	40	42	16	62	0.559921	0.57996	3.17198e-06	5.66506e-06
22	7	7	30	30	20	26	0.725423	0.321	2.2306e-06	3.07489e-06
23	4	3	14	15	6	25	0.801156	0.2217	1.74255e-06	2.17504e-06
24	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
25	3	3	0	0	0	0	1	-0	0	0
26	4	3	10	10	7	3	0.924872	0.0781	6.69492e-07	7.23876e-07
27	6	6	23	24	11	24	0.761001	0.27312	2.00139e-06	2.62994e-06
28	4	4	17	17	7	24	0.795201	0.22916	1.77712e-06	2.23481e-06
