Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	1	1	0	0	0	0	1	-0	0	0
2	1	1	8	8	7	1	0.946163	0.05534	4.77542e-07	5.04714e-07
3	1	1	14	17	9	17	0.824103	0.19346	1.5352e-06	1.86287e-06
4	1	1	18	27	7	159	0.375138	0.98046	3.74098e-06	9.97226e-06
5	1	1	6	6	5	1	0.958122	0.04278	3.7541e-07	3.91819e-07
6	0	0	0	0	0	0	1	-0	0	0
7	5	5	281	436	59	8733	2.93852e-21	47.2764	1.43583e-24	0.000488623
8	0	0	0	0	0	0	1	-0	0	0
9	3	3	112	182	18	4033	3.72323e-10	21.7113	8.36087e-14	0.00022456
10	1	1	6	10	2	36	0.78161	0.2464	1.93626e-06	2.47727e-06
11	2	2	64	105	19	873	0.00602583	5.1117	3.15225e-07	5.23123e-05
12	3	3	100	133	20	2055	1.21797e-05	11.3157	1.42133e-09	0.000116696
13	4	4	63	98	11	1048	0.00257929	5.96024	1.57893e-07	6.12155e-05
14	2	2	84	157	23	1561	0.000130119	8.94706	1.19454e-08	9.18032e-05
15	0	0	0	0	0	0	1	-0	0	0
16	2	2	4	4	4	0	0.975193	0.02512	2.20189e-07	2.2579e-07
17	0	0	0	0	0	0	1	-0	0	0
18	3	3	48	74	11	515	0.0454465	3.09122	1.43341e-06	3.15407e-05
19	1	1	56	73	17	399	0.0826335	2.49334	2.09235e-06	2.53208e-05
20	2	2	57	94	10	2877	2.35155e-07	15.263	3.71946e-11	0.00015817
21	1	1	67	96	20	572	0.0295971	3.52008	1.05991e-06	3.58112e-05
22	5	5	130	203	39	4534	2.53501e-11	24.3982	6.39746e-15	0.000252365
23	1	1	103	177	14	4268	1.15892e-10	22.8784	2.74391e-14	0.000236764
24	0	0	0	0	0	0	1	-0	0	0
25	1	1	13	13	11	2	0.912251	0.09184	7.66369e-07	8.40085e-07
26	0	0	0	0	0	0	1	-0	0	0
27	1	1	28	35	11	94	0.496983	0.6992	3.46406e-06	6.97019e-06
28	1	1	10	17	2	120	0.487356	0.71876	3.57505e-06	7.33559e-06
29	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
30	1	1	0	0	0	0	1	-0	0	0
31	1	1	69	93	12	1065	0.00244053	6.01554	1.50914e-07	6.18365e-05
32	1	1	19	25	6	92	0.53462	0.6262	3.36781e-06	6.29944e-06
33	0	0	0	0	0	0	1	-0	0	0
34	2	2	123	234	28	5737	4.51756e-14	30.7282	1.43674e-17	0.000318034
35	0	0	0	0	0	0	1	-0	0	0
36	6	6	142	254	37	4525	1.92671e-11	24.6726	4.9086e-15	0.000254765
37	2	2	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
38	3	3	30	44	18	108	0.437307	0.82712	3.59557e-06	8.22208e-06
39	2	2	67	127	18	1181	0.001091	6.82066	7.62818e-08	6.99192e-05
40	5	5	94	149	27	1257	0.000644897	7.34642	4.84957e-08	7.51991e-05
41	3	3	127	217	20	4790	6.29189e-12	25.7918	1.67841e-15	0.000266757
42	0	0	0	0	0	0	1	-0	0	0
43	2	2	66	89	14	1282	0.000827485	7.09712	6.05227e-08	7.31406e-05
44	0	0	0	0	0	0	1	-0	0	0
45	3	3	5	5	5	0	0.969088	0.0314	2.73513e-07	2.82238e-07
46	1	1	43	84	10	1206	0.00125814	6.67812	8.65856e-08	6.88202e-05
47	2	2	179	286	38	5451	1.40134e-13	29.5962	4.28491e-17	0.000305773
48	1	1	88	138	24	2518	1.11301e-06	13.7084	1.57579e-10	0.000141579
49	2	2	41	53	14	194	0.266538	1.32224	3.54483e-06	1.32996e-05
50	1	1	14	16	11	11	0.855063	0.15658	1.27201e-06	1.48763e-06
51	0	0	0	0	0	0	1	-0	0	0
52	1	1	43	73	13	484	0.053566	2.92684	1.59826e-06	2.98371e-05
53	0	0	0	0	0	0	1	-0	0	0
54	1	1	71	152	22	2512	1.05101e-06	13.7658	1.49296e-10	0.000142051
55	1	1	0	0	0	0	1	-0	0	0
56	1	1	88	168	17	4360	7.67061e-11	23.291	1.84972e-14	0.000241144
