Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	0	0	0	0	0	0	1	-0	0	0
2	1	1	16	16	11	7	0.872686	0.13618	1.11276e-06	1.27509e-06
3	0	0	0	0	0	0	1	-0	0	0
4	1	1	23	47	15	468	0.0684289	2.68196	1.88312e-06	2.75194e-05
5	0	0	0	0	0	0	1	-0	0	0
6	0	0	0	0	0	0	1	-0	0	0
7	3	3	8	13	5	24	0.81543	0.20404	1.63821e-06	2.00902e-06
8	0	0	0	0	0	0	1	-0	0	0
9	2	2	21	23	13	18	0.789591	0.23624	1.78029e-06	2.25469e-06
10	0	0	0	0	0	0	1	-0	0	0
11	2	2	156	291	41	6708	2.23241e-16	36.0383	8.3234e-20	0.000372844
12	0	0	0	0	0	0	1	-0	0	0
13	2	2	33	69	12	916	0.00606682	5.10492	3.18902e-07	5.25649e-05
14	0	0	0	0	0	0	1	-0	0	0
15	0	0	0	0	0	0	1	-0	0	0
16	1	1	5	5	3	2	0.959253	0.0416	3.72674e-07	3.88504e-07
17	0	0	0	0	0	0	1	-0	0	0
18	1	1	0	0	0	0	1	-0	0	0
19	0	0	0	0	0	0	1	-0	0	0
20	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
21	0	0	0	0	0	0	1	-0	0	0
22	1	1	0	0	0	0	1	-0	0	0
23	0	0	0	0	0	0	1	-0	0	0
24	0	0	0	0	0	0	1	-0	0	0
25	1	1	31	35	25	22	0.717487	0.332	2.25621e-06	3.1446e-06
26	0	0	0	0	0	0	1	-0	0	0
27	1	1	54	80	17	684	0.0184849	3.9908	7.55274e-07	4.08589e-05
28	0	0	0	0	0	0	1	-0	0	0
29	1	1	4	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
30	0	0	0	0	0	0	1	-0	0	0
31	1	1	101	179	25	3235	2.22123e-08	17.6226	4.04242e-12	0.00018199
32	1	1	28	60	12	558	0.0398513	3.2226	1.3165e-06	3.30352e-05
33	0	0	0	0	0	0	1	-0	0	0
34	2	2	179	449	37	20830	4.35517e-48	109.053	4.93053e-51	0.00113211
35	0	0	0	0	0	0	1	-0	0	0
36	3	2	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
37	0	0	0	0	0	0	1	-0	0	0
38	2	2	143	321	40	9960	1.15902e-23	52.8119	6.34364e-27	0.000547326
39	0	0	0	0	0	0	1	-0	0	0
40	3	3	281	548	48	32823	6.39261e-75	170.839	1.13464e-77	0.00177492
41	1	1	76	154	15	3373	1.28565e-08	18.1694	2.41587e-12	0.000187911
42	0	0	0	0	0	0	1	-0	0	0
43	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
44	0	0	0	0	0	0	1	-0	0	0
45	1	1	0	0	0	0	1	-0	0	0
46	0	0	0	0	0	0	1	-0	0	0
47	1	1	9	17	4	61	0.658454	0.41786	2.76599e-06	4.20073e-06
48	0	0	0	0	0	0	1	-0	0	0
49	1	0	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
50	1	1	31	41	20	103	0.457133	0.78278	3.55973e-06	7.78707e-06
51	0	0	0	0	0	0	1	-0	0	0
52	1	1	79	150	27	1951	1.86046e-05	10.8921	2.08614e-09	0.00011213
53	0	0	0	0	0	0	1	-0	0	0
54	1	1	128	287	31	7363	8.10817e-18	39.3537	3.30343e-21	0.00040742
55	0	0	0	0	0	0	1	-0	0	0
56	1	1	102	296	25	15958	7.0355e-37	83.2447	6.08295e-40	0.000864608
57	0	0	0	0	0	0	1	-0	0	0
58	1	1	12	17	7	39	0.736637	0.30566	2.23334e-06	3.0318e-06
59	1	1	7	7	7	0	0.956992	0.04396	3.78139e-07	3.95133e-07
60	0	0	0	0	0	0	1	-0	0	0
61	2	2	56	63	27	154	0.306959	1.18104	3.60331e-06	1.17387e-05
62	0	0	0	0	0	0	1	-0	0	0
63	2	2	170	379	33	21045	2.25797e-48	109.71	2.57314e-51	0.00113958
64	0	0	0	0	0	0	1	-0	0	0
65	3	3	45	79	13	1117	0.00204405	6.19282	1.30429e-07	6.38091e-05
66	0	0	0	0	0	0	1	-0	0	0
67	0	0	0	0	0	0	1	-0	0	0
68	1	1	12	12	8	5	0.90406	0.10086	8.52562e-07	9.43037e-07
69	0	0	0	0	0	0	1	-0	0	0
70	1	1	114	257	15	6114	5.71684e-15	32.7954	1.94009e-18	0.000339363
71	0	0	0	0	0	0	1	-0	0	0
72	1	1	2	2	1	1	0.982495	0.01766	1.63122e-07	1.66028e-07
73	0	0	0	0	0	0	1	-0	0	0
