Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut	SiDom
H	1	1	10	4.58728	0.5	1000	0	69.227	67.747	17.214	17.566	14.738	3.514	0.880608	0.128236	1.0196e-06	1.17827e-06	0.8
H	1	1	10	4.58728	1	1000	0	138.643	135.584	34.237	34.953	29.065	7.37	0.774989	0.257092	1.80086e-06	2.3646e-06	0.8
H	1	1	10	4.58728	2	1000	0	277.485	271.465	68.95	70.482	56.883	17.689	0.58978	0.532841	2.84707e-06	4.91841e-06	0.8
H	1	1	10	4.58728	4	1000	0	555.35	543.424	137.391	140.335	107.736	44.578	0.334232	1.10865	3.35866e-06	1.02901e-05	0.8
H	1	1	50	1.24344	0.5	1000	0	256.013	250.432	18.285	18.614	16.525	2.541	0.878934	0.129855	1.02896e-06	1.18573e-06	0.8
H	1	1	50	1.24344	1	1000	0	512.168	501.173	36.359	36.975	32.406	5.618	0.771774	0.260855	1.81538e-06	2.38565e-06	0.8
H	1	1	50	1.24344	2	1000	0	1024.19	1002.14	72.666	73.961	63.07	13.387	0.589143	0.532749	2.83829e-06	4.88622e-06	0.8
H	1	1	50	1.24344	4	1000	0	2048.29	2004.31	146.718	149.407	119.927	38.339	0.324582	1.1338	3.34589e-06	1.04707e-05	0.8
H	1	1	100	0.727649	0.5	1000	0	437.603	428.201	18.236	18.544	16.691	2.207	0.880721	0.127712	1.01379e-06	1.16403e-06	0.8
H	1	1	100	0.727649	1	1000	0	875.31	856.436	36.46	37.121	32.768	5.309	0.772098	0.260196	1.81331e-06	2.37748e-06	0.8
H	1	1	100	0.727649	2	1000	0	1750.34	1712.71	73.157	74.402	63.955	13.032	0.588624	0.533708	2.83837e-06	4.89225e-06	0.8
H	1	1	100	0.727649	4	1000	0	3500.42	3425.14	146.41	148.977	120.663	36.535	0.328452	1.1219	3.34658e-06	1.03506e-05	0.8
H	1	1	200	0.448328	0.5	1000	0	710.323	695.023	17.94	18.236	16.527	2.023	0.883198	0.124839	9.9372e-07	1.13687e-06	0.8
H	1	1	200	0.448328	1	1000	0	1420.52	1390.01	36.335	36.982	32.794	5.029	0.773814	0.257895	1.80099e-06	2.35475e-06	0.8
H	1	1	200	0.448328	2	1000	0	2840.64	2779.49	72.504	73.806	63.699	12.423	0.592301	0.526859	2.82406e-06	4.82625e-06	0.8
H	1	1	200	0.448328	4	1000	0	5681.09	5559.28	145.846	148.339	121.06	34.917	0.332211	1.10965	3.34994e-06	1.02286e-05	0.8
H	1	1	400	0.302604	0.5	1000	0	1052.18	1029.52	17.979	18.298	16.549	2.101	0.88254	0.125627	9.99042e-07	1.14451e-06	0.8
H	1	1	400	0.302604	1	1000	0	2104.55	2059.4	35.842	36.472	32.452	4.958	0.776566	0.25433	1.78231e-06	2.32219e-06	0.8
H	1	1	400	0.302604	2	1000	0	4208.69	4118.3	72.005	73.257	63.376	12.206	0.595296	0.522305	2.80761e-06	4.78373e-06	0.8
H	1	1	400	0.302604	4	1000	0	8416.69	8235.92	144.051	146.441	119.88	33.977	0.338199	1.09293	3.34993e-06	1.00715e-05	0.8
H	1	1	800	0.232827	0.5	1000	0	1367.35	1338.05	17.371	17.676	16.052	2.006	0.88641	0.121236	9.68045e-07	1.10435e-06	0.8
H	1	1	800	0.232827	1	1000	0	2734.97	2676.13	35.308	35.913	32.096	4.542	0.780923	0.248698	1.75099e-06	2.26853e-06	0.8
H	1	1	800	0.232827	2	1000	0	5469.85	5352.54	70.813	71.987	62.528	11.639	0.601515	0.511437	2.78107e-06	4.68191e-06	0.8
H	1	1	800	0.232827	4	1000	0	10939.1	10704.2	141.301	143.758	117.939	33.02	0.345355	1.0712	3.35602e-06	9.86925e-06	0.8
H	1	1	1000	0.220775	0.5	1000	0	1442.46	1411.45	17.44	17.74	16.091	2.002	0.886129	0.121617	9.69707e-07	1.10775e-06	0.8
H	1	1	1000	0.220775	1	1000	0	2884.17	2822.06	34.405	34.971	31.312	4.425	0.786066	0.242185	1.71503e-06	2.20914e-06	0.8
H	1	1	1000	0.220775	2	1000	0	5768.16	5644.45	68.878	70.093	60.889	11.339	0.609673	0.498013	2.74324e-06	4.55906e-06	0.8
H	1	1	1000	0.220775	4	1000	0	11536	11288.1	138.889	141.29	116.241	32.138	0.35233	1.0512	3.35843e-06	9.68308e-06	0.8
H	1	1	1600	0.206857	0.5	1000	0	1539.35	1506.22	16.274	16.544	15.105	1.72	0.893956	0.112668	9.07114e-07	1.02526e-06	0.8
H	1	1	1600	0.206857	1	1000	0	3078.12	3011.85	32.791	33.335	29.909	4.078	0.795509	0.230142	1.64906e-06	2.09836e-06	0.8
H	1	1	1600	0.206857	2	1000	0	6156.44	6024.23	65.722	66.808	58.267	10.485	0.624965	0.473028	2.67036e-06	4.32825e-06	0.8
H	1	1	1600	0.206857	4	1000	0	12312.1	12047.4	131.17	133.341	110.529	28.966	0.376344	0.985108	3.35628e-06	9.06584e-06	0.8
He	4	2	10	18.3487	0.5	1000	0	17.3	16.904	16.634	17.192	11.761	8.313	0.863237	0.150362	1.16509e-06	1.41214e-06	0.8
