Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	22	22	174	192	47	675	0.00957825	4.64826	4.47332e-07	4.67028e-05
2	12	12	59	66	28	98	0.400805	0.91428	3.58023e-06	8.9326e-06
3	27	27	245	270	45	1664	3.78454e-05	10.182	3.92285e-09	0.000103654
4	15	15	112	116	36	321	0.0938948	2.36558	2.21626e-06	2.36037e-05
5	16	15	114	124	37	465	0.0428427	3.15022	1.35839e-06	3.17064e-05
6	20	20	147	168	48	436	0.0376795	3.27864	1.23021e-06	3.26493e-05
7	18	17	142	158	45	394	0.0497055	3.00164	1.48387e-06	2.98532e-05
8	19	19	172	196	42	963	0.00215023	6.14218	1.33811e-07	6.2231e-05
9	14	13	74	82	26	226	0.188707	1.66756	3.13948e-06	1.66368e-05
10	22	20	202	228	43	2008	8.52387e-06	11.6726	1.01913e-09	0.000119562
11	13	13	79	89	19	356	0.0930591	2.37452	2.22777e-06	2.39393e-05
12	14	14	73	78	28	198	0.223211	1.49964	3.33103e-06	1.49233e-05
13	15	15	145	159	36	588	0.0183648	3.99732	7.38586e-07	4.02175e-05
14	14	13	145	160	35	932	0.00315742	5.758	1.84873e-07	5.85518e-05
15	17	17	131	145	38	415	0.048456	3.0271	1.46507e-06	3.02352e-05
16	18	15	131	145	40	427	0.0455794	3.0883	1.40716e-06	3.08728e-05
17	20	20	282	314	47	2013	4.84182e-06	12.2382	6.03686e-10	0.000124682
18	15	15	137	154	37	806	0.00623411	5.07772	3.21171e-07	5.15183e-05
19	23	22	150	156	46	380	0.054059	2.91768	1.56752e-06	2.89964e-05
20	13	13	69	75	29	145	0.298048	1.2105	3.55807e-06	1.19379e-05
21	17	17	186	211	38	1106	0.000943721	6.96568	6.66982e-08	7.06758e-05
22	16	16	166	184	36	880	0.00354038	5.64352	2.0231e-07	5.71436e-05
23	16	16	158	178	38	866	0.00394842	5.53444	2.21352e-07	5.6061e-05
24	18	18	113	126	35	384	0.0639483	2.74968	1.75957e-06	2.75155e-05
25	24	23	152	163	49	401	0.0464797	3.06874	1.41797e-06	3.05074e-05
26	20	19	190	209	45	803	0.0044814	5.40782	2.44073e-07	5.44635e-05
27	10	9	54	60	23	104	0.403653	0.9072	3.59764e-06	8.91271e-06
28	24	24	182	197	45	1056	0.00132976	6.62276	8.93979e-08	6.72288e-05
29	14	13	128	141	35	847	0.00548806	5.20518	2.90664e-07	5.29629e-05
30	19	19	123	131	37	925	0.00392582	5.54018	2.21977e-07	5.65428e-05
31	16	16	122	129	38	277	0.108303	2.22282	2.38263e-06	2.19996e-05
32	17	17	161	175	39	743	0.00753422	4.8883	3.71861e-07	4.93563e-05
33	16	16	95	103	29	358	0.0843618	2.47264	2.09519e-06	2.48358e-05
34	16	14	98	103	32	281	0.124938	2.07994	2.59177e-06	2.07445e-05
35	18	17	148	156	42	549	0.0228323	3.77958	8.67078e-07	3.7976e-05
36	13	12	71	80	27	167	0.25818	1.3541	3.45678e-06	1.33891e-05
37	19	19	182	199	46	760	0.00594194	5.12572	3.06689e-07	5.16143e-05
38	14	14	88	99	32	221	0.173979	1.74882	3.01519e-06	1.73307e-05
39	21	20	134	148	35	614	0.0172345	4.06084	7.06237e-07	4.0978e-05
40	16	16	157	169	37	935	0.00293861	5.82982	1.74022e-07	5.92192e-05
41	20	20	255	290	44	1716	2.5603e-05	10.5728	2.75351e-09	0.000107546
42	19	19	164	187	47	906	0.00304285	5.79496	1.78598e-07	5.86944e-05
43	28	26	220	239	51	974	0.00155183	6.46832	1.01246e-07	6.52427e-05
44	21	20	210	231	50	1012	0.0013443	6.61188	8.98131e-08	6.68102e-05
45	11	11	74	77	32	170	0.259095	1.35056	3.46646e-06	1.33791e-05
46	14	13	47	51	20	119	0.395668	0.92718	3.64081e-06	9.20168e-06
47	14	14	108	120	35	380	0.0677724	2.6916	1.82744e-06	2.69643e-05
48	16	16	95	103	35	170	0.220063	1.51384	3.26722e-06	1.48467e-05
49	17	16	136	149	42	539	0.0251067	3.68462	9.30191e-07	3.70495e-05
50	18	17	131	147	45	537	0.0256847	3.66186	9.45976e-07	3.68303e-05
51	19	18	127	138	33	567	0.0233224	3.75834	8.843e-07	3.79163e-05
52	21	21	216	251	41	1718	3.23764e-05	10.3381	3.41413e-09	0.000105451
53	22	21	198	214	42	871	0.00307018	5.78602	1.79172e-07	5.83588e-05
54	12	11	85	97	33	300	0.117754	2.13916	2.52174e-06	2.14154e-05
55	27	27	231	257	55	1471	0.000109887	9.11606	1.01828e-08	9.2666e-05
56	15	15	225	242	43	1431	0.000148065	8.81786	1.32805e-08	8.96939e-05
57	15	15	106	116	31	326	0.0915308	2.39108	2.18478e-06	2.38693e-05
58	17	17	151	164	36	1378	0.000316648	8.05772	2.61155e-08	8.2475e-05
59	14	13	125	138	26	660	0.014514	4.23264	6.22037e-07	4.28577e-05
60	12	11	77	85	28	334	0.106757	2.2372	2.40679e-06	2.25445e-05
61	13	13	113	124	36	333	0.0839932	2.47702	2.07403e-06	2.46929e-05
62	16	16	157	173	34	799	0.00573401	5.16134	2.99424e-07	5.22189e-05
63	20	19	124	129	30	407	0.055809	2.88582	1.61327e-06	2.8907e-05
64	16	16	95	107	36	267	0.130856	2.03366	2.64675e-06	2.02265e-05
65	15	15	129	137	39	361	0.0671075	2.70146	1.80616e-06	2.69144e-05
66	22	22	122	132	44	350	0.0732439	2.61396	1.90784e-06	2.60477e-05
67	17	17	130	144	38	590	0.0199741	3.91332	7.88517e-07	3.9477e-05
68	8	8	83	89	25	337	0.102528	2.27762	2.35094e-06	2.29297e-05
69	20	20	116	124	41	400	0.0596823	2.81872	1.68619e-06	2.82528e-05
70	11	9	119	130	30	575	0.0235436	3.7489	8.92063e-07	3.78898e-05
71	23	22	227	256	51	1210	0.000418564	7.77868	3.29585e-08	7.87418e-05
72	13	13	117	130	32	540	0.0281446	3.5704	1.01405e-06	3.60301e-05
73	18	17	101	115	24	740	0.0111513	4.4962	5.10841e-07	4.581e-05
74	15	14	61	66	32	90	0.417496	0.87348	3.55186e-06	8.50753e-06
75	16	16	132	140	33	391	0.0565121	2.8733	1.62064e-06	2.86777e-05
76	18	17	126	136	45	416	0.0510127	2.97568	1.51917e-06	2.97803e-05
77	28	28	286	312	63	1800	1.45291e-05	11.1394	1.64544e-09	0.000113251
78	20	19	89	92	35	352	0.0932044	2.37296	2.22722e-06	2.38961e-05
79	9	9	88	98	25	367	0.0831474	2.48714	2.08133e-06	2.50317e-05
80	23	22	166	185	42	726	0.00771646	4.8644	3.78241e-07	4.90175e-05
81	13	12	58	61	22	173	0.282132	1.26538	3.56484e-06	1.26353e-05
82	21	21	114	121	34	307	0.0977267	2.32558	2.2616e-06	2.31421e-05
83	16	16	114	123	31	517	0.0330696	3.40914	1.13802e-06	3.44129e-05
84	10	10	57	62	18	199	0.245549	1.40426	3.45567e-06	1.40733e-05
85	18	18	161	173	40	714	0.00884556	4.72784	4.21956e-07	4.77025e-05
86	15	13	84	89	39	145	0.272963	1.29842	3.47431e-06	1.27282e-05
87	19	18	145	162	39	583	0.0184875	3.99066	7.4174e-07	4.01212e-05
88	15	15	137	155	41	576	0.0200205	3.911	7.87888e-07	3.93541e-05
89	16	15	147	163	35	636	0.0140204	4.26724	6.0279e-07	4.29937e-05
90	14	14	132	142	29	892	0.00433532	5.44096	2.40222e-07	5.54104e-05
91	23	21	132	146	36	643	0.015053	4.19618	6.38336e-07	4.2406e-05
92	16	16	99	115	37	285	0.113529	2.1757	2.45613e-06	2.16344e-05
93	24	24	185	205	43	1248	0.000474998	7.6522	3.69938e-08	7.7882e-05
94	18	17	142	154	39	614	0.0165972	4.09852	6.85743e-07	4.13167e-05
95	16	16	98	106	35	402	0.0661467	2.71588	1.80865e-06	2.7343e-05
96	21	20	161	169	42	501	0.0268787	3.61642	9.71918e-07	3.61594e-05
97	17	16	86	100	25	440	0.0565856	2.872	1.64231e-06	2.90234e-05
98	12	11	91	96	32	231	0.168473	1.78098	2.98075e-06	1.76927e-05
99	14	14	81	85	23	318	0.115834	2.1556	2.51294e-06	2.16944e-05
100	17	17	109	121	35	405	0.0592861	2.82538	1.68071e-06	2.83491e-05
101	16	16	65	67	25	108	0.378492	0.97156	3.60339e-06	9.52037e-06
102	22	22	154	168	42	659	0.0120832	4.41594	5.37678e-07	4.4498e-05
103	19	19	214	235	50	1451	0.000139716	8.8759	1.26249e-08	9.03615e-05
104	17	17	86	89	33	226	0.180591	1.71152	3.07582e-06	1.70319e-05
105	21	21	122	135	46	333	0.0783868	2.5461	1.98427e-06	2.53138e-05
106	11	11	78	86	27	299	0.126821	2.06498	2.63043e-06	2.07413e-05
107	26	25	147	165	43	734	0.00839936	4.7796	4.05803e-07	4.83136e-05
108	15	15	116	127	33	668	0.0149303	4.20436	6.36955e-07	4.26618e-05
109	23	23	176	193	38	810	0.00478131	5.34304	2.57867e-07	5.39323e-05
110	17	17	105	114	40	291	0.110801	2.20002	2.42618e-06	2.18968e-05
111	19	19	185	209	46	849	0.00354428	5.64242	2.01697e-07	5.69076e-05
112	19	18	161	174	42	571	0.0182276	4.00482	7.32036e-07	4.01609e-05
113	6	6	19	20	13	13	0.825389	0.1919	1.50195e-06	1.81968e-06
114	16	16	143	154	36	735	0.00895431	4.71562	4.27531e-07	4.77458e-05
115	19	18	110	117	30	367	0.0737953	2.60646	1.92637e-06	2.61043e-05
116	17	17	69	75	29	163	0.271906	1.3023	3.50603e-06	1.28943e-05
117	15	15	116	135	41	299	0.0932287	2.3727	2.19155e-06	2.35073e-05
118	11	10	82	93	27	389	0.0766934	2.56794	1.98777e-06	2.59184e-05
119	17	17	159	179	39	799	0.00552197	5.19902	2.90221e-07	5.25575e-05
120	11	10	86	92	25	405	0.071129	2.64326	1.90001e-06	2.67121e-05
121	19	19	133	139	32	832	0.00599925	5.11612	3.12279e-07	5.2053e-05
122	10	10	63	68	22	188	0.250114	1.38584	3.45844e-06	1.38275e-05
123	22	21	237	257	56	1442	0.000127402	8.96816	1.16096e-08	9.11251e-05
124	13	13	152	170	43	678	0.0108304	4.5254	4.94086e-07	4.56204e-05
125	19	19	169	188	46	770	0.00605034	5.10764	3.11742e-07	5.15247e-05
126	15	15	120	135	41	434	0.0468315	3.0612	1.4368e-06	3.06802e-05
127	13	13	60	66	24	118	0.361939	1.01628	3.61767e-06	9.99526e-06
128	17	17	121	130	31	577	0.0233047	3.7591	8.85487e-07	3.7996e-05
129	8	8	51	57	21	143	0.337139	1.08726	3.64635e-06	1.08156e-05
130	20	19	195	218	45	916	0.00238004	6.04064	1.45124e-07	6.09756e-05
131	13	13	65	67	30	155	0.297822	1.21126	3.57911e-06	1.20176e-05
132	23	21	161	173	50	574	0.0180639	4.01384	7.27323e-07	4.02639e-05
133	13	13	111	120	29	530	0.0315368	3.4566	1.10172e-06	3.49343e-05
134	21	21	195	217	42	895	0.00266578	5.92726	1.59422e-07	5.98033e-05
135	16	16	216	238	39	1463	0.000128969	8.95594	1.17579e-08	9.11684e-05
136	12	12	106	117	27	589	0.023786	3.73866	9.01484e-07	3.78998e-05
137	18	18	122	138	38	535	0.0274568	3.59514	9.94378e-07	3.6216e-05
138	19	19	256	284	45	1975	7.09571e-06	11.856	8.58362e-10	0.000120969
139	20	20	139	156	41	590	0.0185241	3.98868	7.43826e-07	4.01544e-05
140	10	10	54	57	26	67	0.496754	0.69966	3.36672e-06	6.77744e-06
141	12	11	56	61	21	143	0.328776	1.11238	3.63013e-06	1.10414e-05
142	15	15	146	157	39	763	0.00761786	4.87726	3.76344e-07	4.94029e-05
143	25	24	233	250	53	1259	0.000338529	7.9909	2.74231e-08	8.10066e-05
144	16	16	122	139	38	433	0.0459032	3.08122	1.41625e-06	3.08529e-05
145	15	15	158	171	36	717	0.00882135	4.73058	4.21211e-07	4.7749e-05
146	18	17	137	147	35	730	0.00959839	4.64616	4.5194e-07	4.7085e-05
147	16	16	125	138	34	585	0.0212768	3.85014	8.27085e-07	3.88727e-05
148	21	21	139	146	45	441	0.0421728	3.16598	1.33574e-06	3.16731e-05
149	18	18	149	164	39	732	0.00853893	4.76312	4.11157e-07	4.81509e-05
150	18	18	134	152	35	624	0.0159713	4.13696	6.66566e-07	4.17352e-05
151	14	14	122	139	35	480	0.0361196	3.32092	1.20459e-06	3.33502e-05
152	15	15	62	65	29	96	0.407465	0.8978	3.57342e-06	8.76988e-06
153	16	16	172	186	39	1077	0.00128015	6.66078	8.66963e-08	6.77237e-05
154	12	12	94	104	33	284	0.12227	2.10152	2.56283e-06	2.09604e-05
155	18	18	94	103	39	284	0.123041	2.09524	2.57203e-06	2.09039e-05
156	20	20	98	108	38	258	0.136144	1.99404	2.6963e-06	1.98047e-05
157	21	21	218	244	49	1694	3.82365e-05	10.1717	3.96822e-09	0.000103781
158	11	11	71	73	29	114	0.353511	1.03984	3.59799e-06	1.01779e-05
159	25	25	211	227	51	935	0.00204152	6.19406	1.27581e-07	6.24931e-05
160	14	14	103	114	35	331	0.090354	2.40402	2.17049e-06	2.40221e-05
161	20	20	160	177	43	865	0.00399361	5.52306	2.23448e-07	5.59514e-05
162	17	16	144	156	41	493	0.0303797	3.49398	1.06331e-06	3.50005e-05
163	20	19	146	155	38	548	0.0230936	3.7682	8.74471e-07	3.78664e-05
164	19	18	87	98	30	273	0.134292	2.00774	2.69084e-06	2.00372e-05
165	21	20	110	120	36	333	0.0861298	2.4519	2.10734e-06	2.44671e-05
166	22	21	212	239	40	1410	0.000167937	8.69192	1.48471e-08	8.84088e-05
167	12	12	136	153	27	829	0.00557903	5.18874	2.93925e-07	5.26839e-05
168	18	16	138	153	40	568	0.0211178	3.85764	8.19711e-07	3.88161e-05
169	15	15	122	134	37	471	0.0390224	3.24362	1.27173e-06	3.25897e-05
170	15	14	112	125	37	356	0.074229	2.6006	1.92783e-06	2.59714e-05
171	17	16	50	57	30	84	0.4555	0.78636	3.49856e-06	7.6807e-06
172	13	13	33	35	15	81	0.53105	0.6329	3.3347e-06	6.27946e-06
173	19	19	92	96	33	242	0.159282	1.83708	2.91123e-06	1.82772e-05
174	12	11	90	98	32	344	0.0934957	2.36984	2.2261e-06	2.38097e-05
175	22	22	152	173	48	549	0.0205203	3.88634	7.9897e-07	3.89356e-05
176	12	12	76	81	26	250	0.168019	1.78368	3.00007e-06	1.78556e-05
177	15	15	144	161	34	1032	0.00188415	6.27428	1.20438e-07	6.39215e-05
178	15	15	124	135	29	624	0.0177708	4.0302	7.24613e-07	4.07755e-05
179	20	20	160	176	48	660	0.0114327	4.47128	5.14501e-07	4.50027e-05
