Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	16	16	29	29	16	22	0.745038	0.29432	2.09051e-06	2.80591e-06
2	8	8	5	5	5	0	0.969088	0.0314	2.73513e-07	2.82238e-07
3	20	20	34	35	22	20	0.724843	0.3218	2.20231e-06	3.03833e-06
4	10	10	10	10	7	3	0.924872	0.0781	6.69492e-07	7.23876e-07
5	11	10	16	17	9	15	0.832552	0.18326	1.46247e-06	1.75661e-06
6	14	14	19	19	12	8	0.852042	0.16012	1.27599e-06	1.49757e-06
7	12	11	16	16	8	15	0.837797	0.17698	1.42439e-06	1.70016e-06
8	5	5	7	8	6	2	0.94135	0.06044	5.2513e-07	5.57847e-07
9	9	8	17	17	9	19	0.81574	0.20366	1.60631e-06	1.96914e-06
10	18	18	19	20	11	15	0.817013	0.2021	1.57353e-06	1.92595e-06
11	13	13	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
12	10	10	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
13	10	10	12	12	9	3	0.913328	0.09066	7.64246e-07	8.36771e-07
14	9	9	25	27	8	125	0.446168	0.80706	3.64329e-06	8.16574e-06
15	12	12	26	28	17	16	0.773028	0.25744	1.87897e-06	2.43066e-06
16	12	11	7	7	5	2	0.947281	0.05416	4.74966e-07	5.014e-07
17	14	14	29	32	13	37	0.677287	0.38966	2.5549e-06	3.77225e-06
18	12	12	20	21	9	20	0.791457	0.23388	1.77925e-06	2.24806e-06
19	17	16	18	18	11	10	0.848708	0.16404	1.31328e-06	1.54739e-06
20	8	8	9	9	5	7	0.911905	0.09222	8.0244e-07	8.79961e-07
21	11	11	24	24	14	21	0.772734	0.25782	1.90907e-06	2.47054e-06
22	11	11	26	26	12	28	0.736328	0.30608	2.17612e-06	2.95537e-06
23	8	7	11	11	7	5	0.909755	0.09458	8.06579e-07	8.8659e-07
24	12	12	7	7	2	11	0.904783	0.10006	8.86324e-07	9.79598e-07
25	18	17	20	20	17	3	0.868576	0.1409	1.11903e-06	1.28835e-06
26	14	13	35	38	17	42	0.63582	0.45284	2.78273e-06	4.3766e-06
27	5	4	10	10	9	1	0.934354	0.0679	5.77066e-07	6.17609e-07
28	17	17	29	29	15	24	0.737477	0.30452	2.14766e-06	2.91218e-06
29	9	8	9	9	7	2	0.935457	0.06672	5.74646e-07	6.14295e-07
30	13	13	15	16	6	23	0.804302	0.21778	1.70932e-06	2.12523e-06
31	11	11	11	11	9	2	0.923781	0.07928	6.71764e-07	7.2719e-07
32	12	12	17	18	9	12	0.840095	0.17424	1.38923e-06	1.65366e-06
33	11	11	8	8	6	3	0.936562	0.06554	5.72221e-07	6.1098e-07
34	11	11	18	19	8	19	0.805558	0.21622	1.6772e-06	2.08204e-06
35	12	11	18	19	11	9	0.847707	0.16522	1.31454e-06	1.5507e-06
36	11	11	8	8	8	0	0.951001	0.05024	4.29454e-07	4.51581e-07
37	15	15	20	21	15	12	0.824416	0.19308	1.50291e-06	1.823e-06
38	9	9	14	14	10	7	0.883716	0.12362	1.02705e-06	1.1622e-06
39	15	14	24	26	14	16	0.782798	0.24488	1.81435e-06	2.31777e-06
40	11	11	19	19	9	17	0.813817	0.20602	1.60791e-06	1.97577e-06
41	14	14	33	33	18	26	0.711884	0.33984	2.30952e-06	3.24423e-06
42	13	13	23	23	10	20	0.781578	0.24644	1.84527e-06	2.36096e-06
43	21	19	28	29	14	38	0.686657	0.37592	2.51045e-06	3.65604e-06
44	15	14	29	30	18	25	0.729132	0.3159	2.20326e-06	3.02176e-06
45	7	7	14	14	9	8	0.87922	0.12872	1.06854e-06	1.21533e-06
46	9	9	7	7	5	2	0.947281	0.05416	4.74966e-07	5.014e-07
47	9	9	5	5	2	4	0.949519	0.0518	4.69794e-07	4.94771e-07
48	18	18	18	18	14	5	0.870628	0.13854	1.1159e-06	1.28172e-06
49	11	10	19	22	12	20	0.786502	0.24016	1.8125e-06	2.30451e-06
50	17	17	28	28	14	32	0.712454	0.33904	2.33742e-06	3.2808e-06
51	13	12	14	16	10	7	0.872686	0.13618	1.11276e-06	1.27509e-06
52	15	15	22	24	13	17	0.78866	0.23742	1.7808e-06	2.25801e-06
53	15	14	40	40	18	42	0.627884	0.4654	2.81888e-06	4.4895e-06
54	7	7	16	16	10	10	0.859435	0.15148	1.23285e-06	1.43449e-06
55	20	20	29	31	17	34	0.692062	0.36808	2.46125e-06	3.5564e-06
56	10	10	43	44	18	60	0.558601	0.58232	3.16821e-06	5.67169e-06
57	10	10	14	14	9	6	0.888234	0.11852	9.8511e-07	1.10907e-06
58	12	12	22	22	10	40	0.710235	0.34216	2.39148e-06	3.36718e-06
59	9	8	15	16	9	10	0.859435	0.15148	1.23285e-06	1.43449e-06
60	7	6	6	6	2	10	0.915138	0.08868	7.96186e-07	8.70018e-07
61	8	8	11	12	8	5	0.90406	0.10086	8.52562e-07	9.43037e-07
62	8	8	8	9	5	7	0.911905	0.09222	8.0244e-07	8.79961e-07
63	14	13	13	14	12	2	0.90654	0.09812	8.12743e-07	8.96533e-07
64	10	10	18	19	13	9	0.847707	0.16522	1.31454e-06	1.5507e-06
65	10	10	19	19	10	18	0.809677	0.21112	1.64276e-06	2.0289e-06
66	16	16	24	24	17	9	0.821503	0.19662	1.50577e-06	1.83294e-06
67	12	12	30	31	14	33	0.6956	0.36298	2.43688e-06	3.50327e-06
68	4	4	4	7	2	15	0.886513	0.12046	1.05684e-06	1.19213e-06
69	14	14	9	9	8	1	0.94024	0.06162	5.27627e-07	5.61162e-07
70	7	5	12	13	9	5	0.8984	0.10714	8.97937e-07	9.99485e-07
71	16	16	38	39	18	70	0.547759	0.60192	3.24316e-06	5.92078e-06
72	8	8	11	12	8	5	0.90406	0.10086	8.52562e-07	9.43037e-07
73	12	12	9	9	7	2	0.935457	0.06672	5.74646e-07	6.14295e-07
74	10	10	11	11	8	4	0.914407	0.08948	7.62118e-07	8.33456e-07
75	11	11	20	20	12	12	0.82961	0.1868	1.46555e-06	1.76655e-06
76	12	12	8	9	7	2	0.935457	0.06672	5.74646e-07	6.14295e-07
77	21	21	35	35	17	35	0.671461	0.3983	2.57527e-06	3.83533e-06
78	14	13	9	9	7	2	0.935457	0.06672	5.74646e-07	6.14295e-07
79	7	7	13	13	8	6	0.89383	0.11224	9.40861e-07	1.05262e-06
80	17	16	24	24	14	19	0.780657	0.24762	1.84569e-06	2.36427e-06
81	9	8	6	6	2	10	0.915138	0.08868	7.96186e-07	8.70018e-07
82	15	15	18	18	10	14	0.83157	0.18444	1.4635e-06	1.75992e-06
83	11	11	18	18	11	9	0.853048	0.15894	1.27467e-06	1.49426e-06
84	6	6	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
85	12	12	18	18	6	22	0.798325	0.22524	1.74433e-06	2.18499e-06
86	12	11	16	16	10	8	0.868246	0.14128	1.15323e-06	1.32823e-06
87	13	13	16	16	7	14	0.84208	0.17188	1.38693e-06	1.64703e-06
88	10	10	22	23	16	10	0.822473	0.19544	1.50482e-06	1.82963e-06
89	11	10	13	13	8	6	0.89383	0.11224	9.40861e-07	1.05262e-06
90	9	9	18	18	9	19	0.810633	0.20994	1.64201e-06	2.02559e-06
91	16	14	16	17	12	7	0.867222	0.14246	1.15474e-06	1.33154e-06
92	11	11	15	16	11	6	0.877148	0.13108	1.07184e-06	1.22196e-06
93	18	18	29	29	16	26	0.729993	0.31472	2.20344e-06	3.01844e-06
94	13	12	19	21	9	21	0.787431	0.23898	1.81203e-06	2.3012e-06
95	11	11	16	16	8	19	0.820879	0.19738	1.57009e-06	1.91269e-06
96	15	14	37	39	16	44	0.625427	0.46932	2.83901e-06	4.53932e-06
97	11	10	12	13	8	7	0.889283	0.11734	9.83326e-07	1.10575e-06
98	18	18	17	19	13	7	0.856398	0.15502	1.23701e-06	1.44444e-06
99	9	9	8	8	7	1	0.946163	0.05534	4.77542e-07	5.04714e-07
100	11	11	19	20	11	30	0.756843	0.2786	2.06084e-06	2.72295e-06
101	11	11	15	16	10	7	0.872686	0.13618	1.11276e-06	1.27509e-06
102	15	15	18	18	13	7	0.861793	0.14874	1.19616e-06	1.38799e-06
103	13	13	16	16	9	11	0.855063	0.15658	1.27201e-06	1.48763e-06
104	12	12	4	4	4	0	0.975193	0.02512	2.20189e-07	2.2579e-07
105	15	15	17	18	9	14	0.83157	0.18444	1.4635e-06	1.75992e-06
106	7	7	4	4	3	1	0.970232	0.03022	2.70621e-07	2.78924e-07
107	19	18	25	26	13	21	0.763089	0.27038	1.97139e-06	2.58343e-06
108	10	10	17	17	12	7	0.867222	0.14246	1.15474e-06	1.33154e-06
109	11	11	11	12	8	10	0.881298	0.12636	1.06523e-06	1.2087e-06
110	11	11	12	13	10	3	0.90761	0.09694	8.10694e-07	8.93218e-07
111	13	13	20	20	13	8	0.846707	0.1664	1.3158e-06	1.55402e-06
112	13	12	29	32	16	29	0.705492	0.34886	2.36141e-06	3.34719e-06
113	3	3	3	3	2	1	0.976344	0.02394	2.17213e-07	2.22476e-07
114	11	11	16	16	8	14	0.84208	0.17188	1.38693e-06	1.64703e-06
115	13	12	13	13	10	4	0.902993	0.10204	8.54549e-07	9.46352e-07
116	11	11	10	10	6	5	0.915486	0.0883	7.59984e-07	8.30142e-07
117	10	10	9	9	7	2	0.935457	0.06672	5.74646e-07	6.14295e-07
118	7	6	9	9	5	6	0.916567	0.08712	7.57843e-07	8.26828e-07
119	12	12	13	13	8	6	0.89383	0.11224	9.40861e-07	1.05262e-06
120	7	6	13	13	8	7	0.889283	0.11734	9.83326e-07	1.10575e-06
121	14	14	35	36	11	76	0.541355	0.61368	3.28615e-06	6.07024e-06
122	6	6	7	7	5	2	0.947281	0.05416	4.74966e-07	5.014e-07
123	16	15	37	37	15	45	0.630111	0.46186	2.82261e-06	4.47956e-06
124	8	8	14	14	10	5	0.892776	0.11342	9.42711e-07	1.05593e-06
125	13	13	12	12	10	2	0.917998	0.08556	7.19378e-07	7.83638e-07
126	10	10	11	12	8	7	0.894885	0.11106	9.39006e-07	1.0493e-06
127	13	12	14	14	11	3	0.901929	0.10322	8.56531e-07	9.49666e-07
128	12	12	16	16	7	30	0.776095	0.25348	1.93803e-06	2.49716e-06
129	4	4	2	3	2	1	0.976344	0.02394	2.17213e-07	2.22476e-07
130	14	13	26	26	13	19	0.770913	0.26018	1.90968e-06	2.47717e-06
131	9	9	10	10	5	8	0.901586	0.1036	8.92157e-07	9.89542e-07
132	17	15	19	19	10	18	0.809677	0.21112	1.64276e-06	2.0289e-06
133	8	8	7	7	6	1	0.952124	0.04906	4.26805e-07	4.48266e-07
134	15	15	27	28	13	32	0.712454	0.33904	2.33742e-06	3.2808e-06
135	10	10	29	29	16	29	0.718909	0.33002	2.28458e-06	3.17784e-06
136	7	7	12	12	7	7	0.894885	0.11106	9.39006e-07	1.0493e-06
137	12	12	13	14	9	8	0.87922	0.12872	1.06854e-06	1.21533e-06
138	13	13	25	28	14	34	0.705224	0.34924	2.38864e-06	3.38706e-06
139	14	14	28	29	19	14	0.776064	0.25352	1.84769e-06	2.38085e-06
140	5	5	0	0	0	0	1	-0	0	0
141	8	7	12	13	10	4	0.902993	0.10204	8.54549e-07	9.46352e-07
142	10	10	20	20	12	15	0.817013	0.2021	1.57353e-06	1.92595e-06
143	18	17	37	37	21	26	0.694224	0.36496	2.40898e-06	3.47002e-06
144	11	11	17	17	13	5	0.876113	0.13226	1.07348e-06	1.22528e-06
145	10	10	20	20	13	10	0.838115	0.1766	1.39151e-06	1.66028e-06
146	13	12	18	18	11	14	0.83157	0.18444	1.4635e-06	1.75992e-06
147	7	7	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
148	15	15	16	16	9	13	0.846386	0.16678	1.34905e-06	1.59389e-06
149	12	12	22	22	15	8	0.836139	0.17896	1.39377e-06	1.66691e-06
150	9	9	6	6	4	3	0.948399	0.05298	4.72383e-07	4.98085e-07
151	9	9	23	23	12	33	0.73144	0.31274	2.23213e-06	3.05169e-06
152	10	10	8	8	6	3	0.936562	0.06554	5.72221e-07	6.1098e-07
153	11	11	19	20	11	12	0.82961	0.1868	1.46555e-06	1.76655e-06
154	11	11	21	21	13	14	0.81605	0.20328	1.57438e-06	1.92926e-06
155	13	13	16	16	9	11	0.855063	0.15658	1.27201e-06	1.48763e-06
156	11	11	8	8	7	1	0.946163	0.05534	4.77542e-07	5.04714e-07
157	15	15	33	35	16	61	0.588075	0.5309	3.06787e-06	5.21679e-06
158	7	7	10	10	5	9	0.896999	0.1087	9.35279e-07	1.04267e-06
159	19	19	33	33	19	27	0.708263	0.34494	2.3354e-06	3.29737e-06
160	9	9	11	11	6	7	0.900523	0.10478	8.94089e-07	9.92856e-07
161	14	14	17	17	10	14	0.836809	0.17816	1.42548e-06	1.70347e-06
162	11	11	20	22	12	17	0.798628	0.22486	1.71315e-06	2.14511e-06
163	14	13	19	20	9	27	0.768511	0.2633	1.97012e-06	2.56355e-06
164	13	12	11	12	8	5	0.90406	0.10086	8.52562e-07	9.43037e-07
165	15	15	12	12	8	5	0.90406	0.10086	8.52562e-07	9.43037e-07
166	15	15	33	34	17	43	0.648677	0.43282	2.727e-06	4.20395e-06
167	7	7	8	9	6	3	0.930698	0.07182	6.21174e-07	6.67428e-07
168	12	11	25	25	13	35	0.714981	0.3355	2.3386e-06	3.27085e-06
169	10	10	14	15	11	4	0.891723	0.1146	9.44554e-07	1.05925e-06
170	10	10	15	16	8	14	0.84208	0.17188	1.38693e-06	1.64703e-06
171	12	11	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
172	8	8	7	7	5	2	0.947281	0.05416	4.74966e-07	5.014e-07
173	13	13	7	7	7	0	0.956992	0.04396	3.78139e-07	3.95133e-07
174	7	7	14	14	9	6	0.888234	0.11852	9.8511e-07	1.10907e-06
175	16	16	26	26	14	18	0.774855	0.25508	1.87827e-06	2.42404e-06
176	8	8	6	6	5	1	0.958122	0.04278	3.7541e-07	3.91819e-07
177	14	14	22	23	14	19	0.785574	0.24134	1.81297e-06	2.30783e-06
178	10	10	15	16	9	10	0.859435	0.15148	1.23285e-06	1.43449e-06
179	14	14	43	46	22	45	0.595484	0.51838	2.97003e-06	4.98758e-06
180	12	12	12	12	10	3	0.913328	0.09066	7.64246e-07	8.36771e-07
181	9	9	8	9	6	6	0.916567	0.08712	7.57843e-07	8.26828e-07
182	14	14	17	18	12	7	0.861793	0.14874	1.19616e-06	1.38799e-06
183	10	10	11	11	7	4	0.914407	0.08948	7.62118e-07	8.33456e-07
184	16	16	36	40	16	74	0.533338	0.6286	3.30123e-06	6.18976e-06
185	8	8	7	7	3	6	0.928152	0.07456	6.62638e-07	7.13932e-07
186	16	15	18	19	14	5	0.865178	0.14482	1.15776e-06	1.33817e-06
187	10	10	8	8	5	4	0.931797	0.07064	6.18819e-07	6.64114e-07
188	9	9	13	15	8	11	0.86045	0.1503	1.23146e-06	1.43118e-06
189	12	12	23	24	17	9	0.821503	0.19662	1.50577e-06	1.83294e-06
190	14	14	16	16	12	5	0.881632	0.12598	1.03048e-06	1.16883e-06
191	14	14	29	31	18	29	0.709936	0.34258	2.33621e-06	3.29074e-06
192	5	5	11	11	7	5	0.909755	0.09458	8.06579e-07	8.8659e-07
193	17	17	20	21	14	7	0.845709	0.16758	1.31705e-06	1.55733e-06
194	14	14	14	14	9	7	0.883716	0.12362	1.02705e-06	1.1622e-06
195	13	13	20	20	9	47	0.693988	0.3653	2.51655e-06	3.62621e-06
196	11	11	14	15	10	6	0.882673	0.1248	1.02877e-06	1.16551e-06
197	11	10	19	19	9	16	0.817978	0.20092	1.57267e-06	1.92264e-06
198	12	12	9	9	8	1	0.94024	0.06162	5.27627e-07	5.61162e-07
199	8	8	11	11	5	8	0.895942	0.10988	9.37145e-07	1.04599e-06
200	14	13	29	29	13	38	0.686657	0.37592	2.51045e-06	3.65604e-06
201	13	13	21	22	18	5	0.849031	0.16366	1.27992e-06	1.50751e-06
202	19	19	21	21	15	7	0.845709	0.16758	1.31705e-06	1.55733e-06
203	9	9	27	28	9	48	0.656626	0.42064	2.71248e-06	4.13093e-06
204	11	11	10	10	8	2	0.929601	0.073	6.23523e-07	6.70742e-07
205	11	10	24	24	13	19	0.780657	0.24762	1.84569e-06	2.36427e-06
206	11	11	11	11	6	7	0.900523	0.10478	8.94089e-07	9.92856e-07
207	13	13	21	21	9	22	0.783425	0.24408	1.84444e-06	2.35433e-06
208	10	9	9	9	6	4	0.925964	0.07692	6.67214e-07	7.20561e-07
209	15	15	21	23	14	12	0.814126	0.20564	1.57606e-06	1.93589e-06
210	6	6	14	14	5	14	0.852723	0.15932	1.30819e-06	1.53413e-06
211	18	17	36	37	21	30	0.680206	0.38536	2.5049e-06	3.68256e-06
212	9	9	14	15	11	5	0.887187	0.1197	9.86889e-07	1.11238e-06
213	10	10	27	29	12	33	0.704392	0.35042	2.38815e-06	3.39038e-06
214	11	11	23	23	11	24	0.765796	0.26684	1.97077e-06	2.57349e-06
215	16	16	21	21	12	12	0.824416	0.19308	1.50291e-06	1.823e-06
216	13	13	28	29	12	46	0.659205	0.41672	2.69029e-06	4.08111e-06
217	6	6	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
218	15	15	19	19	10	18	0.809677	0.21112	1.64276e-06	2.0289e-06
219	7	7	25	25	9	64	0.616683	0.4834	2.9673e-06	4.81171e-06
220	19	18	24	25	14	17	0.783723	0.2437	1.81389e-06	2.31445e-06
221	10	10	12	12	9	4	0.908682	0.09576	8.0864e-07	8.89904e-07
222	9	9	8	9	4	11	0.89349	0.11262	9.76132e-07	1.09249e-06
223	12	12	30	30	16	20	0.747964	0.2904	2.06146e-06	2.75609e-06
224	10	10	26	27	15	16	0.777898	0.25116	1.8469e-06	2.37422e-06
225	13	13	18	19	12	17	0.813817	0.20602	1.60791e-06	1.97577e-06
226	9	9	15	15	7	19	0.82605	0.1911	1.53335e-06	1.85624e-06
227	11	11	18	18	13	5	0.870628	0.13854	1.1159e-06	1.28172e-06
228	13	13	18	18	10	19	0.810633	0.20994	1.64201e-06	2.02559e-06
229	15	14	24	26	18	12	0.798932	0.22448	1.68194e-06	2.10524e-06
230	10	9	12	13	7	12	0.866893	0.14284	1.18887e-06	1.37142e-06
231	7	7	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
232	12	11	19	20	10	18	0.804608	0.2174	1.67789e-06	2.08535e-06
233	8	8	8	8	5	6	0.922341	0.08084	7.10553e-07	7.7038e-07
234	14	14	19	19	9	19	0.805558	0.21622	1.6772e-06	2.08204e-06
235	13	13	18	18	14	4	0.87508	0.13344	1.07511e-06	1.22859e-06
236	16	16	25	25	17	9	0.81636	0.2029	1.54242e-06	1.88939e-06
237	8	8	4	4	4	0	0.975193	0.02512	2.20189e-07	2.2579e-07
238	19	19	31	32	18	35	0.684231	0.37946	2.50838e-06	3.66599e-06
239	10	10	7	7	6	1	0.952124	0.04906	4.26805e-07	4.48266e-07
240	10	10	19	20	11	24	0.78036	0.248	1.8761e-06	2.40415e-06
241	12	12	10	10	9	1	0.934354	0.0679	5.77066e-07	6.17609e-07
242	15	15	29	30	16	23	0.736608	0.3057	2.14757e-06	2.91549e-06
243	14	14	16	16	8	12	0.850713	0.16168	1.31075e-06	1.54076e-06
244	5	5	7	9	4	11	0.89349	0.11262	9.76132e-07	1.09249e-06
245	17	17	23	23	15	11	0.818289	0.20054	1.54064e-06	1.88276e-06
246	8	8	11	12	6	12	0.872354	0.13656	1.14712e-06	1.31497e-06
247	23	23	21	22	14	12	0.819255	0.19936	1.53975e-06	1.87945e-06
248	15	15	23	23	16	13	0.809985	0.21074	1.61108e-06	1.98903e-06
249	11	11	17	17	10	11	0.84971	0.16286	1.31202e-06	1.54407e-06
250	12	12	16	16	10	9	0.863829	0.14638	1.19326e-06	1.38136e-06
251	10	10	17	17	9	24	0.795201	0.22916	1.77712e-06	2.23481e-06
252	14	14	21	22	13	15	0.806816	0.21466	1.64497e-06	2.03885e-06
253	14	14	28	29	14	28	0.722585	0.32492	2.25787e-06	3.12471e-06
254	11	11	14	14	9	9	0.874748	0.13382	1.10959e-06	1.26847e-06
255	9	9	14	14	7	11	0.86587	0.14402	1.19034e-06	1.37473e-06
256	13	13	28	28	13	45	0.66675	0.40534	2.64802e-06	3.97153e-06
257	11	10	9	9	8	1	0.94024	0.06162	5.27627e-07	5.61162e-07
258	13	13	11	11	7	7	0.900523	0.10478	8.94089e-07	9.92856e-07
259	13	12	18	19	7	36	0.738658	0.30292	2.20512e-06	2.9853e-06
260	3	3	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
261	15	15	29	30	15	21	0.744159	0.2955	2.09051e-06	2.80923e-06
262	10	10	11	11	7	5	0.909755	0.09458	8.06579e-07	8.8659e-07
263	18	18	21	23	12	25	0.7619	0.27194	2.00123e-06	2.62662e-06
264	9	9	19	20	12	13	0.825389	0.1919	1.50195e-06	1.81968e-06
265	11	11	32	32	17	26	0.716369	0.33356	2.28363e-06	3.18779e-06
266	11	11	11	11	7	5	0.909755	0.09458	8.06579e-07	8.8659e-07
267	18	17	29	30	14	36	0.689354	0.372	2.48597e-06	3.60622e-06
268	13	13	17	17	9	15	0.832552	0.18326	1.46247e-06	1.75661e-06
269	7	7	7	7	4	4	0.937667	0.06436	5.69789e-07	6.07666e-07
270	15	15	30	30	15	24	0.73286	0.3108	2.17559e-06	2.96862e-06
271	7	7	17	17	10	11	0.84971	0.16286	1.31202e-06	1.54407e-06
272	19	18	29	31	15	30	0.706325	0.34768	2.36186e-06	3.34387e-06
273	9	9	23	24	12	23	0.764892	0.26802	1.97098e-06	2.57681e-06
274	12	11	21	22	13	16	0.802711	0.21976	1.67925e-06	2.09198e-06
275	10	10	12	13	10	3	0.90761	0.09694	8.10694e-07	8.93218e-07
276	11	11	15	15	10	8	0.873716	0.135	1.11117e-06	1.27178e-06
277	13	13	6	6	6	0	0.963021	0.03768	3.26161e-07	3.38686e-07
278	10	9	22	23	15	10	0.822473	0.19544	1.50482e-06	1.82963e-06
279	15	15	23	23	15	15	0.801765	0.22094	1.67993e-06	2.09529e-06
280	13	13	19	21	11	23	0.77944	0.24918	1.87647e-06	2.40746e-06
281	17	17	16	16	12	5	0.881632	0.12598	1.03048e-06	1.16883e-06
282	10	10	31	32	12	40	0.667003	0.40496	2.62243e-06	3.93165e-06
283	9	9	17	17	9	9	0.858422	0.15266	1.23425e-06	1.43781e-06
284	12	12	22	22	10	29	0.751218	0.28606	2.09042e-06	2.78271e-06
285	14	13	24	26	14	20	0.766991	0.26528	1.94072e-06	2.5303e-06
286	13	13	13	13	12	1	0.916915	0.08674	7.21568e-07	7.86952e-07
287	11	11	21	22	9	31	0.743594	0.29626	2.14823e-06	2.88898e-06
288	16	16	27	27	13	22	0.754455	0.28176	2.03176e-06	2.69302e-06
289	8	8	10	10	6	6	0.910829	0.0934	8.04513e-07	8.83275e-07
290	9	9	17	18	12	8	0.857409	0.15384	1.23563e-06	1.44112e-06
291	10	9	8	8	5	6	0.922341	0.08084	7.10553e-07	7.7038e-07
292	11	11	13	14	11	6	0.888234	0.11852	9.8511e-07	1.10907e-06
293	12	12	17	18	6	31	0.76251	0.27114	2.03071e-06	2.66319e-06
294	17	17	35	36	19	28	0.691508	0.36888	2.434e-06	3.51984e-06
295	14	14	10	10	8	3	0.924872	0.0781	6.69492e-07	7.23876e-07
296	13	13	16	17	7	22	0.803354	0.21896	1.70997e-06	2.12854e-06
297	16	16	16	16	10	9	0.863829	0.14638	1.19326e-06	1.38136e-06
298	8	8	16	16	6	26	0.79209	0.23308	1.80963e-06	2.28462e-06
299	22	21	30	31	18	18	0.750902	0.28648	2.03215e-06	2.70627e-06
300	10	10	8	8	7	1	0.946163	0.05534	4.77542e-07	5.04714e-07
301	12	11	12	12	8	5	0.90406	0.10086	8.52562e-07	9.43037e-07
302	9	8	13	14	6	21	0.822818	0.19502	1.56834e-06	1.90606e-06
303	11	10	28	29	11	51	0.642608	0.44222	2.79327e-06	4.34677e-06
304	14	14	28	29	15	20	0.752676	0.28412	2.03196e-06	2.69964e-06
305	15	15	22	22	15	8	0.836139	0.17896	1.39377e-06	1.66691e-06
306	11	11	26	26	12	25	0.74768	0.29078	2.09049e-06	2.79597e-06
307	8	8	8	8	4	10	0.903716	0.10124	8.88274e-07	9.82913e-07
308	16	15	22	24	11	27	0.749447	0.28842	2.09046e-06	2.78934e-06
309	11	11	16	16	10	10	0.859435	0.15148	1.23285e-06	1.43449e-06
310	14	14	18	18	8	15	0.82734	0.18954	1.50001e-06	1.81305e-06
311	12	10	20	20	8	29	0.760712	0.2735	2.03096e-06	2.66981e-06
312	6	5	9	9	7	2	0.935457	0.06672	5.74646e-07	6.14295e-07
313	14	13	27	27	16	14	0.785873	0.24096	1.78232e-06	2.26795e-06
314	19	17	20	21	16	6	0.850033	0.16248	1.27862e-06	1.5042e-06
315	17	17	28	29	14	36	0.693697	0.36572	2.46247e-06	3.54978e-06
316	9	9	9	10	5	15	0.869967	0.1393	1.18444e-06	1.36147e-06
317	9	9	21	22	14	11	0.823444	0.19426	1.50387e-06	1.82631e-06
318	11	11	11	11	10	1	0.928505	0.07418	6.25865e-07	6.74057e-07
319	11	11	22	22	16	10	0.827654	0.18916	1.46758e-06	1.77318e-06
320	13	13	14	15	10	6	0.882673	0.1248	1.02877e-06	1.16551e-06
321	16	15	11	11	9	3	0.919082	0.08438	7.17181e-07	7.80323e-07
322	15	15	22	23	14	13	0.809985	0.21074	1.61108e-06	1.98903e-06
323	6	6	21	22	12	15	0.806816	0.21466	1.64497e-06	2.03885e-06
324	18	18	23	26	13	21	0.763089	0.27038	1.97139e-06	2.58343e-06
325	9	8	10	10	5	11	0.887897	0.1189	1.02014e-06	1.14894e-06
326	11	10	10	10	9	1	0.934354	0.0679	5.77066e-07	6.17609e-07
327	11	11	12	12	9	3	0.913328	0.09066	7.64246e-07	8.36771e-07
328	12	12	7	8	7	1	0.946163	0.05534	4.77542e-07	5.04714e-07
329	14	14	15	16	11	6	0.877148	0.13108	1.07184e-06	1.22196e-06
330	11	11	17	18	11	11	0.844391	0.16914	1.35147e-06	1.60052e-06
331	6	6	9	9	4	8	0.907266	0.09732	8.46564e-07	9.33094e-07
