Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	7	7	58	61	19	156	0.307685	1.17868	3.60978e-06	1.17321e-05
2	6	6	55	64	20	151	0.309741	1.17202	3.60407e-06	1.16358e-05
3	10	10	98	108	22	358	0.081754	2.50404	2.0535e-06	2.5118e-05
4	7	7	40	45	16	115	0.419329	0.8691	3.62739e-06	8.65046e-06
5	7	6	57	61	19	243	0.197428	1.62238	3.22887e-06	1.63547e-05
6	4	4	33	34	14	80	0.537127	0.62152	3.31401e-06	6.16987e-06
7	12	11	94	102	36	169	0.222582	1.50246	3.28023e-06	1.47372e-05
8	10	10	122	135	34	490	0.0351968	3.3468	1.18457e-06	3.36557e-05
9	10	10	50	54	20	211	0.242872	1.41522	3.46318e-06	1.42593e-05
10	7	7	33	34	18	74	0.553818	0.59092	3.24043e-06	5.85108e-06
11	9	9	73	77	17	552	0.0369289	3.29876	1.24362e-06	3.3676e-05
12	13	13	108	127	31	571	0.0244858	3.70966	9.18413e-07	3.75079e-05
13	7	7	38	42	18	94	0.475609	0.74316	3.50301e-06	7.36532e-06
14	10	10	98	107	33	514	0.0371289	3.29336	1.23826e-06	3.33504e-05
15	12	12	84	95	29	250	0.153877	1.8716	2.86917e-06	1.86458e-05
16	4	4	35	38	10	115	0.438174	0.82514	3.61727e-06	8.25533e-06
17	11	11	94	108	24	469	0.0464147	3.07014	1.43959e-06	3.10158e-05
18	11	11	63	66	26	132	0.336997	1.08768	3.61906e-06	1.07391e-05
19	7	7	30	32	20	30	0.701903	0.35396	2.38669e-06	3.40032e-06
20	12	11	97	107	34	272	0.127561	2.05916	2.614e-06	2.04921e-05
21	10	10	105	116	27	559	0.027893	3.57938	1.0111e-06	3.62494e-05
22	12	12	90	94	33	403	0.0709613	2.64562	1.896e-06	2.67188e-05
23	9	9	70	74	19	243	0.181951	1.70402	3.10926e-06	1.70885e-05
24	11	11	117	127	29	694	0.0130762	4.33696	5.7592e-07	4.40433e-05
25	6	5	7	7	7	0	0.956992	0.04396	3.78139e-07	3.95133e-07
26	10	9	89	93	32	239	0.164814	1.80294	2.95815e-06	1.79485e-05
27	12	12	122	130	34	430	0.0493213	3.0094	1.48879e-06	3.01855e-05
28	13	13	74	84	34	189	0.225053	1.49142	3.32713e-06	1.47838e-05
29	10	9	94	96	29	411	0.0672741	2.69898	1.83367e-06	2.72567e-05
30	6	6	18	18	9	18	0.814778	0.20484	1.60711e-06	1.97245e-06
31	6	6	37	40	21	36	0.647394	0.4348	2.70009e-06	4.1707e-06
32	9	8	65	70	22	171	0.269362	1.3117	3.5117e-06	1.30371e-05
33	9	9	59	65	26	215	0.222084	1.5047	3.35185e-06	1.50927e-05
34	10	10	65	70	23	212	0.218537	1.5208	3.32516e-06	1.52156e-05
35	10	10	51	56	22	116	0.389349	0.94328	3.63049e-06	9.32452e-06
36	14	13	147	167	36	628	0.014242	4.25156	6.09478e-07	4.27944e-05
37	6	6	89	97	23	452	0.0542387	2.91436	1.59959e-06	2.94916e-05
38	15	15	74	82	26	492	0.0485986	3.02416	1.49539e-06	3.07702e-05
39	10	10	67	72	21	210	0.218022	1.52316	3.31877e-06	1.52222e-05
40	17	16	165	180	43	716	0.00837922	4.782	4.03912e-07	4.82039e-05
41	15	15	115	131	34	452	0.0438106	3.12788	1.37613e-06	3.14108e-05
42	5	5	52	56	18	113	0.395352	0.92798	3.62344e-06	9.16512e-06
43	10	10	45	48	25	86	0.477095	0.74004	3.47274e-06	7.27894e-06
44	7	7	61	68	19	210	0.223568	1.49804	3.35272e-06	1.49964e-05
45	5	5	69	81	21	365	0.0934639	2.37018	2.23994e-06	2.39659e-05
46	9	8	26	26	17	16	0.782798	0.24488	1.81435e-06	2.31777e-06
47	6	6	47	50	17	114	0.408444	0.8954	3.62681e-06	8.87956e-06
48	6	6	42	44	13	117	0.417688	0.87302	3.634e-06	8.70028e-06
49	5	4	8	8	8	0	0.951001	0.05024	4.29454e-07	4.51581e-07
50	13	13	66	68	31	76	0.442799	0.81464	3.48773e-06	7.87656e-06
51	5	5	52	59	19	127	0.361237	1.01822	3.64067e-06	1.00783e-05
52	10	10	40	42	24	30	0.659179	0.41676	2.61351e-06	3.9648e-06
53	7	6	72	80	22	281	0.144352	1.9355	2.8071e-06	1.94462e-05
54	5	4	11	12	8	7	0.894885	0.11106	9.39006e-07	1.0493e-06
55	11	11	146	155	35	743	0.00854251	4.7627	4.11983e-07	4.82273e-05
56	12	12	50	52	25	74	0.494623	0.70396	3.39664e-06	6.86713e-06
57	7	7	18	19	11	18	0.809677	0.21112	1.64276e-06	2.0289e-06
58	4	4	40	50	12	380	0.105189	2.252	2.42071e-06	2.3013e-05
59	6	6	35	35	13	85	0.520326	0.6533	3.37795e-06	6.49199e-06
60	10	10	57	60	33	77	0.463245	0.7695	3.4642e-06	7.47811e-06
61	17	17	65	70	30	96	0.394869	0.9292	3.57441e-06	9.05212e-06
62	10	10	105	114	33	356	0.079538	2.53152	2.01632e-06	2.53504e-05
63	13	13	85	92	26	353	0.0927303	2.37806	2.22082e-06	2.39492e-05
64	7	7	44	46	18	87	0.480667	0.73258	3.47002e-06	7.21918e-06
65	9	9	143	156	34	689	0.0111805	4.49358	5.0776e-07	4.54146e-05
66	7	7	49	51	18	88	0.463439	0.76908	3.50107e-06	7.55455e-06
67	6	6	50	56	23	138	0.348025	1.05548	3.65199e-06	1.04934e-05
68	10	10	84	95	25	354	0.0905367	2.402	2.18842e-06	2.41717e-05
69	9	9	100	108	22	424	0.0583883	2.84064	1.67135e-06	2.86248e-05
70	10	10	105	113	33	721	0.0124412	4.38674	5.55969e-07	4.46876e-05
