Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
2	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
3	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
4	1	1	5	5	2	4	0.949519	0.0518	4.69794e-07	4.94771e-07
5	1	1	2	2	1	1	0.982495	0.01766	1.63122e-07	1.66028e-07
6	0	0	0	0	0	0	1	-0	0	0
7	5	5	63	69	20	216	0.215473	1.53492	3.31218e-06	1.53717e-05
8	0	0	0	0	0	0	1	-0	0	0
9	4	4	45	48	18	216	0.245848	1.40304	3.48767e-06	1.41863e-05
10	2	2	32	36	9	196	0.293558	1.22568	3.65369e-06	1.24462e-05
11	2	2	19	20	8	37	0.7303	0.3143	2.26019e-06	3.09488e-06
12	3	3	20	20	9	40	0.719211	0.3296	2.34052e-06	3.25428e-06
13	5	5	34	38	14	81	0.521138	0.65174	3.36072e-06	6.4488e-06
14	3	3	10	10	6	7	0.906196	0.0985	8.48569e-07	9.36408e-07
15	0	0	0	0	0	0	1	-0	0	0
16	2	2	5	5	2	4	0.949519	0.0518	4.69794e-07	4.94771e-07
17	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
18	3	3	12	13	3	39	0.755376	0.28054	2.11959e-06	2.80601e-06
19	1	1	10	10	4	16	0.865541	0.1444	1.2244e-06	1.41461e-06
20	2	2	17	18	12	12	0.840095	0.17424	1.38923e-06	1.65366e-06
21	3	3	23	24	9	58	0.639851	0.44652	2.83868e-06	4.43647e-06
22	5	5	41	45	12	256	0.204293	1.5882	3.29775e-06	1.61422e-05
23	2	2	28	33	7	126	0.427483	0.84984	3.65821e-06	8.55755e-06
24	0	0	0	0	0	0	1	-0	0	0
25	2	2	23	24	10	70	0.601866	0.50772	3.05391e-06	5.07407e-06
26	1	1	7	9	3	21	0.849065	0.16362	1.37873e-06	1.62383e-06
27	2	2	32	38	8	174	0.324315	1.12604	3.69401e-06	1.13902e-05
28	1	1	3	3	1	3	0.966436	0.03414	3.17709e-07	3.28742e-07
29	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
30	1	1	4	4	3	1	0.970232	0.03022	2.70621e-07	2.78924e-07
31	1	1	14	14	2	58	0.681322	0.38372	2.63807e-06	3.87199e-06
32	1	1	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
33	0	0	0	0	0	0	1	-0	0	0
34	3	3	9	10	7	4	0.920167	0.0832	7.14978e-07	7.77009e-07
35	2	2	25	25	8	74	0.586021	0.5344	3.13114e-06	5.34305e-06
36	6	6	44	48	20	89	0.469851	0.75534	3.49491e-06	7.43834e-06
37	3	3	18	21	7	45	0.696714	0.36138	2.49172e-06	3.57639e-06
38	4	4	37	41	17	68	0.546468	0.60428	3.23914e-06	5.92741e-06
39	2	2	21	26	10	77	0.57351	0.55598	3.18808e-06	5.55889e-06
40	5	5	24	25	13	31	0.729716	0.3151	2.2317e-06	3.05832e-06
41	3	3	42	48	13	208	0.256087	1.36224	3.52406e-06	1.37612e-05
42	0	0	0	0	0	0	1	-0	0	0
43	3	3	18	18	10	11	0.844391	0.16914	1.35147e-06	1.60052e-06
44	1	1	3	3	2	1	0.976344	0.02394	2.17213e-07	2.22476e-07
45	3	3	6	6	5	1	0.958122	0.04278	3.7541e-07	3.91819e-07
46	2	2	12	17	4	43	0.721762	0.32606	2.34164e-06	3.24434e-06
47	3	3	16	16	8	17	0.829294	0.18718	1.49806e-06	1.80643e-06
48	2	2	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
49	2	2	6	8	2	16	0.876481	0.13184	1.14093e-06	1.30171e-06
50	3	3	33	39	10	164	0.339148	1.08132	3.7019e-06	1.09153e-05
51	0	0	0	0	0	0	1	-0	0	0
52	2	2	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
53	1	1	2	2	1	1	0.982495	0.01766	1.63122e-07	1.66028e-07
54	2	2	21	24	11	44	0.687207	0.37512	2.53758e-06	3.6926e-06
55	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
56	1	1	25	28	10	68	0.592953	0.52264	3.07956e-06	5.19359e-06
57	1	1	0	0	0	0	1	-0	0	0
58	1	1	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
59	1	1	2	2	1	1	0.982495	0.01766	1.63122e-07	1.66028e-07
60	0	0	0	0	0	0	1	-0	0	0
61	5	5	20	20	9	35	0.737787	0.3041	2.20496e-06	2.98861e-06
62	2	2	28	29	10	72	0.577342	0.54932	3.15377e-06	5.46257e-06
63	2	2	25	27	9	99	0.509431	0.67446	3.45612e-06	6.78427e-06
64	3	3	20	23	10	68	0.611867	0.49124	3.0051e-06	4.91135e-06
65	4	4	49	57	18	201	0.25081	1.38306	3.48558e-06	1.38973e-05
66	3	3	42	50	9	279	0.176065	1.7369	3.10694e-06	1.76465e-05
67	0	0	0	0	0	0	1	-0	0	0
68	2	2	10	10	8	2	0.929601	0.073	6.23523e-07	6.70742e-07
69	0	0	0	0	0	0	1	-0	0	0
70	3	3	23	25	9	50	0.662324	0.412	2.69424e-06	4.06785e-06
71	2	2	18	18	3	49	0.695628	0.36294	2.51788e-06	3.61958e-06
72	2	2	0	0	0	0	1	-0	0	0
73	2	2	17	18	7	48	0.699185	0.35784	2.49361e-06	3.56645e-06
74	3	3	7	7	7	0	0.956992	0.04396	3.78139e-07	3.95133e-07
75	2	2	49	49	12	142	0.356322	1.03192	3.67398e-06	1.03108e-05
76	0	0	0	0	0	0	1	-0	0	0
77	2	2	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
78	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
79	3	3	33	35	12	75	0.547551	0.6023	3.26376e-06	5.96066e-06
80	1	0	3	3	2	1	0.976344	0.02394	2.17213e-07	2.22476e-07
81	2	2	7	9	5	10	0.898059	0.10752	9.33407e-07	1.03936e-06
82	1	1	4	4	4	0	0.975193	0.02512	2.20189e-07	2.2579e-07
83	1	1	16	18	5	40	0.728302	0.31704	2.28788e-06	3.14138e-06
84	1	1	0	0	0	0	1	-0	0	0
85	0	0	0	0	0	0	1	-0	0	0
86	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
87	2	2	42	50	8	286	0.169891	1.7726	3.06117e-06	1.80185e-05
88	5	5	23	25	11	72	0.592029	0.5242	3.10032e-06	5.23678e-06
89	3	3	17	20	7	79	0.589489	0.5285	3.1399e-06	5.32647e-06
90	5	5	56	60	18	218	0.225688	1.4886	3.37853e-06	1.49699e-05
91	2	2	37	40	8	162	0.34048	1.0774	3.69948e-06	1.08655e-05
92	2	2	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
93	3	3	16	16	14	2	0.895225	0.11068	9.03665e-07	1.00943e-06
94	0	0	0	0	0	0	1	-0	0	0
95	3	3	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
96	1	1	5	6	2	10	0.915138	0.08868	7.96186e-07	8.70018e-07
97	3	3	48	57	12	390	0.0956595	2.34696	2.29004e-06	2.39395e-05
98	2	2	13	15	4	66	0.649989	0.4308	2.82973e-06	4.35351e-06
99	3	3	24	25	12	68	0.60423	0.5038	3.0358e-06	5.02425e-06
100	2	2	5	5	5	0	0.969088	0.0314	2.73513e-07	2.82238e-07
101	2	2	5	5	5	0	0.969088	0.0314	2.73513e-07	2.82238e-07
102	3	3	7	7	6	1	0.952124	0.04906	4.26805e-07	4.48266e-07
103	0	0	0	0	0	0	1	-0	0	0
104	2	2	15	17	2	106	0.523426	0.64736	3.45028e-06	6.59173e-06
105	1	1	4	4	3	1	0.970232	0.03022	2.70621e-07	2.78924e-07
106	2	2	7	7	4	6	0.928152	0.07456	6.62638e-07	7.13932e-07
107	1	1	2	2	1	1	0.982495	0.01766	1.63122e-07	1.66028e-07
108	2	2	13	13	4	45	0.732611	0.31114	2.28927e-06	3.12481e-06
109	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
110	1	1	11	12	5	14	0.863501	0.14676	1.22724e-06	1.42124e-06
111	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
112	0	0	0	0	0	0	1	-0	0	0
113	1	1	2	2	1	1	0.982495	0.01766	1.63122e-07	1.66028e-07
