Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	10	9	23	27	14	47	0.664142	0.40926	2.67074e-06	4.02135e-06
2	7	6	11	13	6	17	0.845066	0.16834	1.38344e-06	1.63708e-06
3	10	9	5	5	5	0	0.969088	0.0314	2.73513e-07	2.82238e-07
4	10	7	6	6	6	0	0.963021	0.03768	3.26161e-07	3.38686e-07
5	9	6	22	23	17	9	0.826678	0.19034	1.46859e-06	1.77649e-06
6	6	6	6	6	5	1	0.958122	0.04278	3.7541e-07	3.91819e-07
7	13	11	31	31	20	20	0.743282	0.29668	2.09051e-06	2.81254e-06
8	10	10	12	12	9	3	0.913328	0.09066	7.64246e-07	8.36771e-07
9	11	7	19	20	10	39	0.722889	0.3245	2.31407e-06	3.20115e-06
10	7	6	12	14	10	4	0.89734	0.10832	8.99852e-07	1.0028e-06
11	10	6	9	11	5	12	0.87785	0.13028	1.10479e-06	1.25852e-06
12	13	9	36	39	19	73	0.539442	0.61722	3.2799e-06	6.08018e-06
13	10	7	7	8	2	21	0.854414	0.15734	1.33919e-06	1.56738e-06
14	12	9	8	8	8	0	0.951001	0.05024	4.29454e-07	4.51581e-07
15	12	11	33	35	15	48	0.628386	0.4646	2.84411e-06	4.52606e-06
16	4	2	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
17	11	8	29	30	11	49	0.645132	0.4383	2.7721e-06	4.29695e-06
18	11	7	17	18	9	16	0.823131	0.19464	1.53612e-06	1.86619e-06
19	9	8	8	9	3	16	0.870994	0.13812	1.18295e-06	1.35816e-06
20	12	11	16	16	12	6	0.877148	0.13108	1.07184e-06	1.22196e-06
21	11	9	17	17	14	3	0.885095	0.12206	9.90429e-07	1.11901e-06
22	12	10	28	28	13	29	0.723438	0.32374	2.25814e-06	3.1214e-06
23	9	6	11	12	8	4	0.908682	0.09576	8.0864e-07	8.89904e-07
24	12	11	10	10	8	2	0.929601	0.073	6.23523e-07	6.70742e-07
25	7	3	7	7	7	0	0.956992	0.04396	3.78139e-07	3.95133e-07
26	10	8	19	19	12	11	0.839105	0.17542	1.39037e-06	1.65697e-06
27	12	11	15	16	13	4	0.88614	0.12088	9.88662e-07	1.11569e-06
28	16	13	43	46	23	52	0.574601	0.55408	3.07958e-06	5.35952e-06
29	11	8	12	12	8	7	0.894885	0.11106	9.39006e-07	1.0493e-06
30	6	6	5	5	5	0	0.969088	0.0314	2.73513e-07	2.82238e-07
31	9	8	27	31	11	69	0.578926	0.54658	3.1355e-06	5.41607e-06
32	10	8	16	18	9	22	0.798325	0.22524	1.74433e-06	2.18499e-06
33	9	7	13	14	6	19	0.831254	0.18482	1.49609e-06	1.7998e-06
34	10	9	12	12	10	2	0.917998	0.08556	7.19378e-07	7.83638e-07
35	11	9	12	12	8	7	0.894885	0.11106	9.39006e-07	1.0493e-06
36	14	11	18	20	12	13	0.825389	0.1919	1.50195e-06	1.81968e-06
37	7	5	0	0	0	0	1	-0	0	0
38	17	13	40	45	25	57	0.563662	0.5733	3.13889e-06	5.56873e-06
39	10	7	23	27	14	37	0.698891	0.35826	2.43914e-06	3.49001e-06
40	18	17	58	62	29	78	0.455136	0.78716	3.47912e-06	7.64414e-06
41	17	12	35	38	21	30	0.675947	0.39164	2.52737e-06	3.739e-06
42	6	5	8	8	5	4	0.931797	0.07064	6.18819e-07	6.64114e-07
43	13	10	27	29	12	46	0.659205	0.41672	2.69029e-06	4.08111e-06
44	9	4	7	7	7	0	0.956992	0.04396	3.78139e-07	3.95133e-07
45	7	5	10	10	6	7	0.906196	0.0985	8.48569e-07	9.36408e-07
46	10	6	17	18	5	68	0.631385	0.45984	2.92275e-06	4.62911e-06
47	6	5	17	18	11	11	0.844391	0.16914	1.35147e-06	1.60052e-06
48	10	9	29	31	17	36	0.685039	0.37828	2.50907e-06	3.66267e-06
49	5	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
50	13	12	15	17	9	12	0.845388	0.16796	1.35026e-06	1.59721e-06
51	5	5	3	3	2	1	0.976344	0.02394	2.17213e-07	2.22476e-07
52	12	8	14	16	11	6	0.877148	0.13108	1.07184e-06	1.22196e-06
53	7	5	26	29	16	34	0.700809	0.35552	2.41324e-06	3.44351e-06
54	5	2	0	0	0	0	1	-0	0	0
55	11	11	48	56	21	127	0.368108	0.99938	3.64757e-06	9.90898e-06
56	13	9	25	28	18	17	0.769096	0.26254	1.91028e-06	2.4838e-06
57	9	8	26	26	11	81	0.561929	0.57638	3.24313e-06	5.77143e-06
58	5	5	14	14	6	23	0.814468	0.20522	1.63898e-06	2.01233e-06
59	8	6	8	10	4	13	0.878886	0.1291	1.10318e-06	1.25521e-06
60	10	9	7	7	6	1	0.952124	0.04906	4.26805e-07	4.48266e-07
61	18	14	44	47	24	58	0.553795	0.59096	3.17589e-06	5.73476e-06
62	10	8	26	27	15	19	0.766087	0.26646	1.94097e-06	2.53362e-06
63	15	14	47	51	19	102	0.431503	0.84048	3.58079e-06	8.29841e-06
64	9	6	23	23	9	27	0.754168	0.28214	2.06106e-06	2.73289e-06
65	10	9	6	6	4	3	0.948399	0.05298	4.72383e-07	4.98085e-07
66	9	7	10	11	8	4	0.914407	0.08948	7.62118e-07	8.33456e-07
67	9	8	7	7	6	1	0.952124	0.04906	4.26805e-07	4.48266e-07
68	10	7	14	15	9	8	0.873716	0.135	1.11117e-06	1.27178e-06
