Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	23	21	51	53	30	38	0.590586	0.52664	2.9593e-06	5.01078e-06
2	13	12	33	34	15	67	0.573946	0.55522	3.14473e-06	5.47914e-06
3	29	26	42	44	21	58	0.564328	0.57212	3.14072e-06	5.56542e-06
4	16	13	16	18	14	5	0.870628	0.13854	1.1159e-06	1.28172e-06
5	17	12	45	45	27	30	0.646876	0.4356	2.67428e-06	4.13414e-06
6	21	17	14	14	10	7	0.883716	0.12362	1.02705e-06	1.1622e-06
7	19	14	51	54	22	145	0.340064	1.07862	3.65654e-06	1.07525e-05
8	20	18	33	33	23	27	0.708263	0.34494	2.3354e-06	3.29737e-06
9	8	7	10	12	6	12	0.872354	0.13656	1.14712e-06	1.31497e-06
10	23	20	65	71	33	94	0.39642	0.92528	3.5687e-06	9.0023e-06
11	19	13	33	34	22	20	0.729409	0.31552	2.17501e-06	2.98188e-06
12	15	11	12	12	10	2	0.917998	0.08556	7.19378e-07	7.83638e-07
13	16	11	37	41	21	46	0.611353	0.49208	2.90911e-06	4.75848e-06
14	14	11	21	21	15	9	0.837127	0.17778	1.39264e-06	1.6636e-06
15	18	14	46	48	31	32	0.628361	0.46464	2.77091e-06	4.40975e-06
16	19	14	25	25	13	21	0.767897	0.2641	1.94047e-06	2.52699e-06
17	21	18	39	40	20	49	0.605864	0.5011	2.94537e-06	4.86143e-06
18	16	13	23	24	17	10	0.817324	0.20172	1.54153e-06	1.88607e-06
19	24	19	60	61	35	52	0.522944	0.64828	3.24551e-06	6.20623e-06
20	14	8	15	15	13	2	0.900865	0.1044	8.58507e-07	9.5298e-07
21	17	12	35	36	23	23	0.709369	0.34338	2.30841e-06	3.25418e-06
22	16	13	48	55	27	54	0.537514	0.6208	3.21101e-06	5.97381e-06
23	13	9	21	24	13	24	0.761001	0.27312	2.00139e-06	2.62994e-06
24	19	17	29	31	19	25	0.724568	0.32218	2.23037e-06	3.07821e-06
25	25	16	46	48	24	52	0.567429	0.56664	3.1052e-06	5.47241e-06
26	21	17	62	71	35	95	0.394404	0.93038	3.5715e-06	9.05543e-06
27	10	8	28	30	13	38	0.682359	0.3822	2.53325e-06	3.71249e-06
28	25	21	60	65	32	90	0.420126	0.8672	3.55052e-06	8.45108e-06
29	14	12	52	57	23	108	0.403024	0.90876	3.60944e-06	8.9559e-06
30	19	16	17	18	14	5	0.870628	0.13854	1.1159e-06	1.28172e-06
31	17	14	41	44	20	82	0.499314	0.69452	3.41562e-06	6.84062e-06
32	18	14	46	47	25	37	0.616399	0.48386	2.84713e-06	4.61897e-06
33	17	13	20	21	14	12	0.824416	0.19308	1.50291e-06	1.823e-06
34	11	9	12	13	7	12	0.866893	0.14284	1.18887e-06	1.37142e-06
35	18	14	33	35	23	24	0.710206	0.3422	2.30878e-06	3.25086e-06
36	14	10	22	22	10	25	0.7667	0.26566	1.97055e-06	2.57018e-06
37	19	15	31	34	21	22	0.722007	0.32572	2.22967e-06	3.08815e-06
38	15	12	42	43	17	48	0.597596	0.51484	2.97462e-06	4.97764e-06
39	22	13	22	25	14	33	0.722311	0.3253	2.28581e-06	3.16459e-06
40	17	12	47	53	31	44	0.572788	0.55724	3.05272e-06	5.32958e-06
41	21	19	50	51	28	44	0.580027	0.54468	3.02582e-06	5.21669e-06
42	19	16	30	31	20	26	0.720882	0.32728	2.25733e-06	3.13134e-06
43	29	20	46	51	33	36	0.604182	0.50388	2.89501e-06	4.79162e-06
44	22	19	58	60	42	26	0.600856	0.5094	2.86507e-06	4.76832e-06
45	12	8	13	14	6	20	0.827025	0.18992	1.53242e-06	1.85293e-06
46	14	9	10	10	4	13	0.878886	0.1291	1.10318e-06	1.25521e-06
47	15	10	13	14	10	4	0.89734	0.10832	8.99852e-07	1.0028e-06
48	17	14	60	64	29	63	0.485187	0.72322	3.37692e-06	6.96004e-06
49	18	13	40	46	22	46	0.592455	0.52348	2.9864e-06	5.04072e-06
50	19	13	44	47	21	63	0.539852	0.61646	3.23934e-06	6.00043e-06
51	20	17	31	34	25	19	0.733139	0.31042	2.14718e-06	2.92875e-06
52	22	17	31	37	14	103	0.468762	0.75766	3.54444e-06	7.56128e-06
53	23	17	51	54	30	47	0.560559	0.57882	3.10854e-06	5.54543e-06
54	12	8	9	9	5	10	0.898059	0.10752	9.33407e-07	1.03936e-06
55	28	25	76	82	47	65	0.428931	0.84646	3.46677e-06	8.08236e-06
56	16	12	36	39	25	41	0.63507	0.45402	2.78155e-06	4.37992e-06
57	16	13	26	27	16	25	0.742999	0.29706	2.11934e-06	2.85242e-06
58	18	13	22	23	14	20	0.781578	0.24644	1.84527e-06	2.36096e-06
59	15	10	53	57	29	51	0.538989	0.61806	3.19475e-06	5.92731e-06
60	12	9	23	24	14	18	0.784648	0.24252	1.81343e-06	2.31114e-06
61	14	13	20	20	11	25	0.77639	0.2531	1.90781e-06	2.45728e-06
62	17	15	31	37	24	34	0.66647	0.40576	2.59596e-06	3.89509e-06
63	21	17	41	47	18	91	0.468013	0.75926	3.50455e-06	7.48816e-06
