Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	1280	1012	60	60	58	2	0.679091	0.387	2.37215e-06	3.49312e-06
2	1197	930	67	67	63	4	0.64329	0.44116	2.56964e-06	3.99452e-06
3	1326	1045	80	81	70	12	0.565593	0.56988	2.94666e-06	5.20985e-06
4	1222	936	70	70	66	5	0.628072	0.4651	2.64858e-06	4.217e-06
5	1227	962	87	89	76	14	0.532421	0.63032	3.07085e-06	5.7677e-06
6	1261	1004	83	84	79	5	0.57521	0.55302	2.88023e-06	5.00726e-06
7	1227	963	78	79	76	3	0.599643	0.51142	2.76961e-06	4.61876e-06
8	1176	931	65	67	53	17	0.602023	0.50746	2.82063e-06	4.68525e-06
9	1154	915	68	68	63	5	0.636011	0.45254	2.61025e-06	4.1041e-06
10	1304	983	76	78	69	9	0.585236	0.53574	2.8566e-06	4.88111e-06
11	1202	967	69	71	62	10	0.608426	0.49688	2.76171e-06	4.53911e-06
12	1218	938	72	75	62	17	0.572524	0.5577	2.94096e-06	5.13683e-06
13	1225	970	78	78	64	17	0.561839	0.57654	2.98122e-06	5.30618e-06
14	1210	975	70	71	64	7	0.617806	0.48158	2.70581e-06	4.37971e-06
15	1243	945	63	65	54	15	0.615882	0.4847	2.75059e-06	4.46609e-06
16	1244	963	87	88	83	5	0.560941	0.57814	2.93543e-06	5.23305e-06
17	1262	995	76	77	67	11	0.582946	0.53966	2.87447e-06	4.93093e-06
18	1223	953	54	54	51	3	0.70158	0.35442	2.25037e-06	3.20757e-06
19	1290	1032	74	76	57	37	0.51377	0.66598	3.21412e-06	6.25595e-06
20	1206	937	69	70	62	9	0.615389	0.4855	2.72589e-06	4.42953e-06
21	1235	943	52	52	45	7	0.696101	0.36226	2.30215e-06	3.30721e-06
22	1228	962	67	67	60	7	0.633522	0.45646	2.6316e-06	4.15392e-06
23	1256	1002	87	89	73	20	0.516376	0.66092	3.14292e-06	6.0865e-06
24	1246	1003	90	91	81	11	0.533882	0.62758	3.05445e-06	5.7212e-06
25	1261	975	62	62	59	3	0.667204	0.40466	2.4414e-06	3.65915e-06
26	1266	998	87	88	78	12	0.541268	0.61384	3.0338e-06	5.60499e-06
27	1177	935	68	70	61	11	0.609144	0.4957	2.76296e-06	4.5358e-06
28	1296	1023	77	79	70	10	0.578614	0.54712	2.88768e-06	4.99069e-06
29	1210	948	72	73	68	6	0.613215	0.48904	2.72235e-06	4.43947e-06
30	1252	1006	85	85	75	11	0.554383	0.5899	2.98397e-06	5.38251e-06
31	1230	971	78	80	68	15	0.560515	0.5789	2.97791e-06	5.31281e-06
32	1243	980	85	87	80	7	0.558746	0.58206	2.95179e-06	5.28287e-06
33	1228	954	81	84	73	12	0.555037	0.58872	2.98565e-06	5.3792e-06
34	1179	916	68	68	57	12	0.613706	0.48824	2.74697e-06	4.47604e-06
35	1244	964	84	85	78	8	0.56293	0.5746	2.94025e-06	5.22311e-06
36	1207	950	69	69	60	12	0.609864	0.49452	2.7642e-06	4.53248e-06
37	1252	987	68	69	62	8	0.622433	0.47412	2.68888e-06	4.31995e-06
38	1213	972	49	50	47	3	0.719427	0.3293	2.14517e-06	2.98178e-06
39	1272	984	82	83	73	13	0.555693	0.58754	2.98734e-06	5.37588e-06
40	1233	968	63	66	58	9	0.631044	0.46038	2.65274e-06	4.20374e-06
41	1194	938	59	61	54	8	0.654502	0.42388	2.53186e-06	3.86837e-06
42	1251	967	80	82	72	11	0.564926	0.57106	2.94506e-06	5.21317e-06
43	1333	1048	102	103	89	16	0.482661	0.72844	3.21657e-06	6.66423e-06
44	1273	983	66	69	58	14	0.603675	0.50472	2.80029e-06	4.63875e-06
45	1189	925	52	53	48	5	0.698835	0.35834	2.27638e-06	3.25739e-06
46	1211	955	58	58	53	5	0.677233	0.38974	2.39715e-06	3.53963e-06
47	1217	957	74	78	66	16	0.564712	0.57144	2.96646e-06	5.25304e-06
48	1229	929	69	71	64	7	0.617806	0.48158	2.70581e-06	4.37971e-06
49	1236	954	65	65	61	4	0.65142	0.4286	2.52857e-06	3.88163e-06
50	1218	957	55	56	52	4	0.689299	0.37208	2.32542e-06	3.3736e-06
51	1254	997	79	84	71	24	0.522088	0.64992	3.14129e-06	6.0168e-06
52	1276	969	70	72	67	6	0.617078	0.48276	2.70467e-06	4.38303e-06
53	1278	984	77	77	65	14	0.574095	0.55496	2.92233e-06	5.09033e-06
54	1194	942	69	70	65	5	0.628072	0.4651	2.64858e-06	4.217e-06
55	1320	1036	98	99	84	19	0.487424	0.71862	3.21595e-06	6.59784e-06
56	1220	940	87	90	78	13	0.531794	0.6315	3.06899e-06	5.77102e-06
57	1225	978	76	76	68	8	0.595663	0.51808	2.8086e-06	4.71508e-06
58	1239	972	79	79	73	6	0.590539	0.52672	2.82169e-06	4.77816e-06
59	1236	955	63	63	61	2	0.666417	0.40584	2.44073e-06	3.66247e-06
60	1194	933	78	78	69	12	0.57635	0.55104	2.9051e-06	5.04051e-06
61	1229	972	68	68	60	9	0.623167	0.47294	2.68999e-06	4.31664e-06
62	1229	995	67	68	60	8	0.626354	0.46784	2.67046e-06	4.2635e-06
63	1262	1001	82	85	76	9	0.560066	0.5797	2.95505e-06	5.27624e-06
64	1227	978	54	56	46	13	0.658375	0.41798	2.53593e-06	3.8518e-06
65	1223	972	85	85	77	10	0.557217	0.5848	2.96962e-06	5.32938e-06
66	1283	1002	69	71	61	12	0.602252	0.50708	2.79769e-06	4.64538e-06
67	1241	961	61	63	56	7	0.649638	0.43134	2.55186e-06	3.92813e-06
68	1252	998	75	76	68	11	0.586619	0.53338	2.85946e-06	4.87448e-06
69	1261	996	65	69	59	15	0.600604	0.50982	2.81796e-06	4.69188e-06
