Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	529	411	31	31	31	0	0.823098	0.19468	1.44032e-06	1.74988e-06
2	476	362	19	20	18	2	0.873017	0.1358	1.07837e-06	1.23522e-06
3	558	449	12	12	12	0	0.92741	0.07536	6.28201e-07	6.77371e-07
4	491	373	20	22	16	10	0.827654	0.18916	1.46758e-06	1.77318e-06
5	495	392	28	28	25	4	0.821815	0.19624	1.47357e-06	1.79307e-06
6	517	402	22	22	18	5	0.849031	0.16366	1.27992e-06	1.50751e-06
7	495	384	17	17	15	2	0.889621	0.11696	9.48225e-07	1.06588e-06
8	462	363	16	16	14	2	0.895225	0.11068	9.03665e-07	1.00943e-06
9	448	356	14	14	14	0	0.915834	0.08792	7.23753e-07	7.90266e-07
10	544	415	22	23	21	2	0.856724	0.15464	1.20332e-06	1.40456e-06
11	479	381	15	16	14	2	0.895225	0.11068	9.03665e-07	1.00943e-06
12	489	371	23	23	22	1	0.861104	0.14954	1.16372e-06	1.35143e-06
13	493	408	29	30	26	4	0.811558	0.2088	1.5468e-06	1.90596e-06
14	484	393	20	20	20	0	0.881968	0.1256	9.95699e-07	1.12895e-06
15	505	391	20	21	18	3	0.863139	0.14718	1.16075e-06	1.3448e-06
16	505	388	24	24	18	7	0.829925	0.18642	1.43301e-06	1.72667e-06
17	517	406	20	20	20	0	0.881968	0.1256	9.95699e-07	1.12895e-06
18	492	384	16	17	15	2	0.889621	0.11696	9.48225e-07	1.06588e-06
19	535	417	23	23	21	3	0.852365	0.15974	1.24249e-06	1.45769e-06
20	481	377	22	22	20	2	0.862121	0.14836	1.16224e-06	1.34811e-06
21	500	397	22	22	18	10	0.827654	0.18916	1.46758e-06	1.77318e-06
22	495	374	19	19	17	3	0.874048	0.13462	1.07674e-06	1.2319e-06
23	513	411	20	21	19	2	0.867552	0.14208	1.12059e-06	1.29167e-06
24	507	412	18	18	17	1	0.888572	0.11814	9.50052e-07	1.06919e-06
