Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	37	33	44	45	34	18	0.687702	0.3744	2.40458e-06	3.49654e-06
2	24	20	22	23	17	8	0.830905	0.18524	1.43195e-06	1.72336e-06
3	45	40	19	19	15	5	0.865178	0.14482	1.15776e-06	1.33817e-06
4	28	20	5	5	5	0	0.969088	0.0314	2.73513e-07	2.82238e-07
5	30	23	18	19	12	13	0.830589	0.18562	1.46452e-06	1.76324e-06
6	34	28	10	10	9	1	0.934354	0.0679	5.77066e-07	6.17609e-07
7	32	22	23	24	16	14	0.800819	0.22212	1.68061e-06	2.09861e-06
8	21	17	15	16	12	7	0.872686	0.13618	1.11276e-06	1.27509e-06
9	26	17	10	10	9	1	0.934354	0.0679	5.77066e-07	6.17609e-07
10	41	36	22	22	17	8	0.836139	0.17896	1.39377e-06	1.66691e-06
11	33	19	10	11	7	5	0.909755	0.09458	8.06579e-07	8.8659e-07
12	28	22	8	8	5	4	0.931797	0.07064	6.18819e-07	6.64114e-07
13	29	23	19	19	12	13	0.830589	0.18562	1.46452e-06	1.76324e-06
14	26	20	8	8	8	0	0.951001	0.05024	4.29454e-07	4.51581e-07
15	32	25	7	8	7	1	0.946163	0.05534	4.77542e-07	5.04714e-07
16	32	25	17	18	14	5	0.870628	0.13854	1.1159e-06	1.28172e-06
17	35	28	20	21	17	5	0.854379	0.15738	1.23976e-06	1.45107e-06
18	28	24	12	14	9	6	0.888234	0.11852	9.8511e-07	1.10907e-06
19	39	31	35	37	28	9	0.7571	0.27826	1.94329e-06	2.56676e-06
20	26	14	14	14	9	7	0.883716	0.12362	1.02705e-06	1.1622e-06
21	30	25	19	20	16	4	0.864158	0.146	1.15925e-06	1.34148e-06
22	29	21	17	17	12	5	0.876113	0.13226	1.07348e-06	1.22528e-06
23	25	18	8	9	6	4	0.925964	0.07692	6.67214e-07	7.20561e-07
24	32	30	9	9	8	1	0.94024	0.06162	5.27627e-07	5.61162e-07
25	34	23	19	20	13	9	0.8424	0.1715	1.35386e-06	1.60715e-06
26	35	30	18	19	15	4	0.869602	0.13972	1.11747e-06	1.28504e-06
27	21	17	14	15	11	4	0.891723	0.1146	9.44554e-07	1.05925e-06
28	40	32	28	29	22	10	0.792059	0.23312	1.71743e-06	2.16831e-06
29	26	21	16	16	13	3	0.890671	0.11578	9.46393e-07	1.06256e-06
30	33	27	19	19	17	2	0.878517	0.12952	1.03557e-06	1.17877e-06
31	30	23	5	5	5	0	0.969088	0.0314	2.73513e-07	2.82238e-07
32	31	26	20	20	18	2	0.873017	0.1358	1.07837e-06	1.23522e-06
33	30	24	25	25	15	46	0.675974	0.3916	2.6061e-06	3.85532e-06
34	38	28	29	31	22	13	0.770296	0.26098	1.87999e-06	2.44061e-06
35	32	23	19	19	14	5	0.865178	0.14482	1.15776e-06	1.33817e-06
36	26	21	16	17	12	7	0.867222	0.14246	1.15474e-06	1.33154e-06
37	33	28	8	9	7	3	0.930698	0.07182	6.21174e-07	6.67428e-07
38	27	22	16	17	13	4	0.880593	0.12716	1.03218e-06	1.17214e-06
39	36	27	18	18	14	5	0.870628	0.13854	1.1159e-06	1.28172e-06
40	30	22	28	30	18	27	0.721733	0.3261	2.2576e-06	3.12802e-06
41	35	29	23	26	16	15	0.786801	0.23978	1.78182e-06	2.26464e-06
42	33	28	19	19	16	3	0.874048	0.13462	1.07674e-06	1.2319e-06
43	46	36	17	17	14	4	0.880593	0.12716	1.03218e-06	1.17214e-06
44	36	32	32	32	24	10	0.777276	0.25196	1.817e-06	2.33766e-06
45	23	15	8	8	7	1	0.946163	0.05534	4.77542e-07	5.04714e-07
46	26	17	7	7	6	1	0.952124	0.04906	4.26805e-07	4.48266e-07
47	27	19	13	13	10	4	0.902993	0.10204	8.54549e-07	9.46352e-07
48	41	30	40	43	32	14	0.710746	0.34144	2.25386e-06	3.17111e-06
49	30	24	18	19	13	7	0.856398	0.15502	1.23701e-06	1.44444e-06
50	33	26	32	33	19	25	0.715524	0.33474	2.28331e-06	3.1911e-06
51	33	28	20	20	14	7	0.851037	0.1613	1.27731e-06	1.50088e-06
52	37	30	16	16	11	9	0.863829	0.14638	1.19326e-06	1.38136e-06
53	37	24	27	27	22	5	0.822785	0.19506	1.47258e-06	1.78975e-06
54	24	13	7	7	6	1	0.952124	0.04906	4.26805e-07	4.48266e-07
55	44	38	44	46	29	27	0.652738	0.42658	2.63131e-06	4.03119e-06
56	28	20	18	18	15	3	0.879554	0.12834	1.03388e-06	1.17546e-06
57	29	24	11	11	10	1	0.928505	0.07418	6.25865e-07	6.74057e-07
58	31	24	22	23	16	9	0.826678	0.19034	1.46859e-06	1.77649e-06
59	27	20	22	22	17	7	0.840415	0.17386	1.35624e-06	1.61378e-06
60	24	19	14	15	11	4	0.891723	0.1146	9.44554e-07	1.05925e-06
61	26	22	9	9	8	1	0.94024	0.06162	5.27627e-07	5.61162e-07
62	29	26	7	8	7	1	0.946163	0.05534	4.77542e-07	5.04714e-07
63	35	28	19	19	13	16	0.817978	0.20092	1.57267e-06	1.92264e-06
64	29	25	17	17	11	12	0.845388	0.16796	1.35026e-06	1.59721e-06
65	28	22	10	10	8	2	0.929601	0.073	6.23523e-07	6.70742e-07
66	38	34	11	11	10	1	0.928505	0.07418	6.25865e-07	6.74057e-07
67	31	22	17	18	12	7	0.861793	0.14874	1.19616e-06	1.38799e-06
68	19	15	4	4	3	1	0.970232	0.03022	2.70621e-07	2.78924e-07
69	34	24	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
70	23	16	9	9	9	0	0.945048	0.05652	4.80111e-07	5.08028e-07
71	39	30	25	27	24	3	0.831221	0.18486	1.39935e-06	1.68348e-06
72	25	18	13	14	10	4	0.89734	0.10832	8.99852e-07	1.0028e-06
73	32	22	19	19	15	4	0.869602	0.13972	1.11747e-06	1.28504e-06
74	29	24	26	26	18	14	0.790824	0.23468	1.74891e-06	2.2115e-06
75	30	27	23	23	16	7	0.835153	0.18014	1.3949e-06	1.67023e-06
76	32	24	21	22	19	3	0.857735	0.15346	1.2019e-06	1.40125e-06
77	36	29	11	11	11	0	0.933252	0.06908	5.79478e-07	6.20924e-07
78	35	24	22	22	19	3	0.857735	0.15346	1.2019e-06	1.40125e-06
79	20	15	9	9	8	1	0.94024	0.06162	5.27627e-07	5.61162e-07
80	40	27	15	15	15	0	0.910101	0.0942	7.70595e-07	8.46714e-07
