Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	5	4	11	13	5	36	0.767022	0.26524	2.03001e-06	2.64661e-06
2	6	4	29	30	11	39	0.678887	0.3873	2.55643e-06	3.76562e-06
3	6	4	18	19	7	29	0.765505	0.26722	2.00054e-06	2.61337e-06
4	5	3	19	25	7	67	0.60732	0.4987	3.01906e-06	4.97111e-06
5	4	4	0	0	0	0	1	-0	0	0
6	2	2	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
7	11	9	6	6	6	0	0.963021	0.03768	3.26161e-07	3.38686e-07
8	6	5	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
9	7	6	18	20	11	22	0.78836	0.2378	1.81156e-06	2.29788e-06
10	5	5	11	11	9	2	0.923781	0.07928	6.71764e-07	7.2719e-07
11	9	5	14	17	7	23	0.799267	0.22406	1.74374e-06	2.18167e-06
12	12	9	27	28	17	20	0.757418	0.27784	2.002e-06	2.6432e-06
13	6	4	7	7	5	2	0.947281	0.05416	4.74966e-07	5.014e-07
14	6	3	11	11	8	4	0.914407	0.08948	7.62118e-07	8.33456e-07
15	6	5	19	20	10	19	0.800515	0.2225	1.71189e-06	2.13848e-06
16	3	2	16	16	7	19	0.820879	0.19738	1.57009e-06	1.91269e-06
17	7	5	8	8	4	10	0.903716	0.10124	8.88274e-07	9.82913e-07
18	5	3	7	8	3	9	0.908337	0.09614	8.44553e-07	9.2978e-07
19	6	5	2	3	2	1	0.976344	0.02394	2.17213e-07	2.22476e-07
20	9	8	29	35	17	32	0.681813	0.383	2.5063e-06	3.67593e-06
21	9	7	35	38	21	41	0.639071	0.44774	2.763e-06	4.32347e-06
22	9	7	34	38	21	33	0.665684	0.40694	2.59511e-06	3.8984e-06
23	7	3	13	14	10	10	0.870298	0.13892	1.15018e-06	1.3216e-06
24	4	3	0	0	0	0	1	-0	0	0
25	5	4	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
26	7	5	29	32	16	56	0.614737	0.48656	2.93954e-06	4.78178e-06
27	11	10	27	29	18	16	0.768189	0.26372	1.91057e-06	2.48711e-06
28	9	6	21	25	13	35	0.714981	0.3355	2.3386e-06	3.27085e-06
29	7	5	22	25	9	45	0.679431	0.3865	2.58332e-06	3.80218e-06
30	4	3	18	20	9	23	0.78435	0.2429	1.84402e-06	2.35102e-06
31	5	4	9	10	6	7	0.906196	0.0985	8.48569e-07	9.36408e-07
32	5	4	23	24	14	17	0.78866	0.23742	1.7808e-06	2.25801e-06
33	7	5	11	11	8	4	0.914407	0.08948	7.62118e-07	8.33456e-07
34	9	7	38	44	14	107	0.439543	0.82202	3.5906e-06	8.16895e-06
35	3	1	18	20	7	34	0.741559	0.299	2.17683e-06	2.93548e-06
36	13	12	49	52	29	56	0.542178	0.61216	3.20467e-06	5.91073e-06
37	5	4	6	8	4	10	0.903716	0.10124	8.88274e-07	9.82913e-07
38	11	8	50	56	17	168	0.298651	1.20848	3.60993e-06	1.20874e-05
39	7	6	18	19	8	17	0.813817	0.20602	1.60791e-06	1.97577e-06
40	16	13	45	49	24	52	0.563877	0.57292	3.11759e-06	5.52886e-06
41	9	8	49	58	21	100	0.417179	0.87424	3.58243e-06	8.58728e-06
42	5	5	12	12	11	1	0.922692	0.08046	6.7403e-07	7.30504e-07
43	6	5	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
44	4	3	8	8	6	2	0.94135	0.06044	5.2513e-07	5.57847e-07
45	5	3	24	25	9	48	0.669115	0.4018	2.65075e-06	3.96158e-06
46	9	4	4	4	4	0	0.975193	0.02512	2.20189e-07	2.2579e-07
47	6	5	30	31	16	26	0.720882	0.32728	2.25733e-06	3.13134e-06
48	5	4	5	6	3	4	0.943574	0.05808	5.20116e-07	5.51218e-07
49	3	2	14	17	8	25	0.791156	0.23426	1.81012e-06	2.28794e-06
50	12	9	17	18	10	11	0.844391	0.16914	1.35147e-06	1.60052e-06
51	4	4	12	14	6	13	0.857083	0.15422	1.26934e-06	1.481e-06
52	9	7	21	25	12	31	0.729716	0.3151	2.2317e-06	3.05832e-06
53	6	4	16	16	10	12	0.850713	0.16168	1.31075e-06	1.54076e-06
54	4	4	8	9	3	16	0.870994	0.13812	1.18295e-06	1.35816e-06
55	9	9	36	39	11	147	0.369864	0.99462	3.70309e-06	1.0012e-05
56	9	8	40	45	14	93	0.469118	0.7569	3.50972e-06	7.48153e-06
57	5	3	3	3	2	1	0.976344	0.02394	2.17213e-07	2.22476e-07
58	4	2	9	9	2	28	0.819288	0.19932	1.6351e-06	1.99576e-06
59	4	3	20	21	9	28	0.759815	0.27468	2.03108e-06	2.67313e-06
60	5	4	11	11	7	6	0.905127	0.09968	8.50568e-07	9.39723e-07
61	11	6	7	7	2	11	0.904783	0.10006	8.86324e-07	9.79598e-07
62	9	8	24	27	15	27	0.735459	0.30726	2.17599e-06	2.95868e-06
63	10	8	21	21	12	24	0.775475	0.25428	1.90813e-06	2.4606e-06
64	6	4	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
65	7	7	8	8	6	2	0.94135	0.06044	5.2513e-07	5.57847e-07
66	5	5	26	28	8	87	0.538192	0.61954	3.33847e-06	6.20312e-06
67	4	3	8	8	8	0	0.951001	0.05024	4.29454e-07	4.51581e-07
68	6	4	9	10	7	3	0.924872	0.0781	6.69492e-07	7.23876e-07
69	7	6	5	5	5	0	0.969088	0.0314	2.73513e-07	2.82238e-07
70	6	4	27	32	9	94	0.506435	0.68036	3.44418e-06	6.80084e-06
71	11	9	25	28	19	16	0.773028	0.25744	1.87897e-06	2.43066e-06
72	4	3	6	7	1	21	0.859796	0.15106	1.29909e-06	1.51093e-06
73	4	4	4	4	3	1	0.970232	0.03022	2.70621e-07	2.78924e-07
74	9	6	20	23	10	28	0.750332	0.28724	2.09044e-06	2.78602e-06
75	10	9	32	34	16	39	0.662046	0.41242	2.6425e-06	3.99141e-06
76	3	3	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
77	7	5	24	26	16	25	0.74768	0.29078	2.09049e-06	2.79597e-06
78	3	3	20	20	6	27	0.768511	0.2633	1.97012e-06	2.56355e-06
79	4	4	13	16	7	16	0.833535	0.18208	1.46143e-06	1.75329e-06
80	9	7	17	19	8	25	0.781281	0.24682	1.87573e-06	2.40083e-06
81	6	2	0	0	0	0	1	-0	0	0
82	6	4	28	31	14	58	0.612332	0.49048	2.95855e-06	4.8316e-06
83	10	9	60	65	24	108	0.383276	0.959	3.60566e-06	9.40748e-06
84	9	7	24	28	9	65	0.602095	0.50734	3.03106e-06	5.03419e-06
85	2	1	3	3	2	1	0.976344	0.02394	2.17213e-07	2.22476e-07
86	4	4	21	23	9	35	0.724017	0.32294	2.28642e-06	3.15796e-06
87	4	3	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
88	10	7	15	15	10	15	0.843074	0.1707	1.38577e-06	1.64371e-06
89	7	7	38	44	17	96	0.464906	0.76592	3.52607e-06	7.58448e-06
90	11	8	40	45	19	89	0.478787	0.7365	3.4803e-06	7.269e-06
91	9	5	21	26	10	31	0.725148	0.32138	2.25867e-06	3.11477e-06
92	9	6	23	25	16	13	0.799875	0.2233	1.68127e-06	2.10192e-06
93	7	5	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
94	6	3	6	7	5	3	0.942462	0.05926	5.22626e-07	5.54533e-07
95	11	7	21	23	8	53	0.660512	0.41474	2.71758e-06	4.11435e-06
96	6	5	35	39	9	115	0.435431	0.83142	3.6192e-06	8.31177e-06
97	10	6	28	33	14	47	0.639582	0.44694	2.7886e-06	4.36003e-06
98	13	12	23	27	12	40	0.68828	0.37356	2.51182e-06	3.64941e-06
99	7	4	4	4	4	0	0.975193	0.02512	2.20189e-07	2.2579e-07
100	13	10	43	51	22	129	0.375995	0.97818	3.65956e-06	9.73301e-06
101	4	4	4	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
102	9	4	17	18	5	61	0.654332	0.42414	2.78561e-06	4.25718e-06
103	4	3	14	17	7	19	0.81574	0.20366	1.60631e-06	1.96914e-06
104	5	2	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
105	3	2	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
106	7	5	8	8	6	2	0.94135	0.06044	5.2513e-07	5.57847e-07
