Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	1	0	0	0	0	0	1	-0	0	0
2	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
3	1	1	6	6	5	1	0.958122	0.04278	3.7541e-07	3.91819e-07
4	1	1	26	37	10	244	0.228376	1.47676	3.43776e-06	1.50531e-05
5	1	1	0	0	0	0	1	-0	0	0
6	0	0	0	0	0	0	1	-0	0	0
7	5	5	15	15	11	5	0.887187	0.1197	9.86889e-07	1.11238e-06
8	2	1	0	0	0	0	1	-0	0	0
9	4	3	28	37	12	132	0.404315	0.90556	3.68014e-06	9.10214e-06
10	2	2	10	18	4	57	0.667818	0.40374	2.70109e-06	4.04465e-06
11	2	2	0	0	0	0	1	-0	0	0
12	3	2	9	13	1	78	0.61913	0.47944	3.02025e-06	4.87821e-06
13	5	3	6	6	6	0	0.963021	0.03768	3.26161e-07	3.38686e-07
14	3	2	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
15	0	0	0	0	0	0	1	-0	0	0
16	2	1	0	0	0	0	1	-0	0	0
17	1	1	18	32	4	259	0.218305	1.52186	3.39854e-06	1.55678e-05
18	3	2	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
19	2	2	53	91	7	1805	5.67429e-05	9.77698	5.73343e-09	0.000101042
20	2	1	44	87	8	1985	2.32348e-05	10.6699	2.56466e-09	0.00011038
21	3	2	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
22	5	5	18	24	11	59	0.636596	0.45162	2.85806e-06	4.4896e-06
23	2	2	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
24	0	0	0	0	0	0	1	-0	0	0
25	2	1	20	33	3	304	0.172451	1.75764	3.10676e-06	1.80153e-05
26	1	1	0	0	0	0	1	-0	0	0
27	2	2	27	53	5	589	0.0355527	3.33674	1.219e-06	3.42872e-05
28	1	1	0	0	0	0	1	-0	0	0
29	1	1	0	0	0	0	1	-0	0	0
30	1	0	0	0	0	0	1	-0	0	0
31	1	1	42	60	7	912	0.0065519	5.028	3.39679e-07	5.18443e-05
32	1	1	3	3	1	3	0.966436	0.03414	3.17709e-07	3.28742e-07
33	0	0	0	0	0	0	1	-0	0	0
34	3	1	5	5	3	2	0.959253	0.0416	3.72674e-07	3.88504e-07
35	2	2	0	0	0	0	1	-0	0	0
36	6	4	28	42	15	149	0.359278	1.02366	3.69612e-06	1.02876e-05
37	3	2	19	47	10	241	0.217782	1.52426	3.36651e-06	1.54581e-05
38	4	4	64	104	20	944	0.00422169	5.46752	2.36534e-07	5.60283e-05
39	2	1	0	0	0	0	1	-0	0	0
40	5	3	68	134	16	2636	6.25246e-07	14.2851	9.23008e-11	0.000147623
41	3	3	4	4	4	0	0.975193	0.02512	2.20189e-07	2.2579e-07
42	0	0	0	0	0	0	1	-0	0	0
43	3	3	0	0	0	0	1	-0	0	0
44	1	1	0	0	0	0	1	-0	0	0
45	3	2	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
46	2	2	47	75	13	665	0.0210154	3.8625	8.31519e-07	3.95671e-05
47	3	1	39	60	9	600	0.0321675	3.4368	1.13444e-06	3.52668e-05
48	2	1	0	0	0	0	1	-0	0	0
49	2	1	6	7	6	1	0.952124	0.04906	4.26805e-07	4.48266e-07
50	3	3	24	32	11	175	0.335055	1.09346	3.72067e-06	1.11046e-05
51	0	0	0	0	0	0	1	-0	0	0
52	2	1	21	31	5	207	0.286396	1.25038	3.6511e-06	1.27484e-05
53	1	1	2	2	1	1	0.982495	0.01766	1.63122e-07	1.66028e-07
54	2	2	31	53	6	674	0.0230465	3.77024	8.94286e-07	3.88035e-05
55	1	1	0	0	0	0	1	-0	0	0
56	2	1	12	19	3	136	0.443561	0.81292	3.68094e-06	8.29862e-06
57	1	0	0	0	0	0	1	-0	0	0
58	1	1	11	12	4	36	0.771854	0.25896	1.99923e-06	2.59017e-06
59	1	1	15	24	1	276	0.210489	1.55832	3.37194e-06	1.60195e-05
60	1	1	81	147	11	2405	1.87171e-06	13.1887	2.54708e-10	0.000136083
61	5	4	19	25	8	89	0.542862	0.6109	3.3332e-06	6.14004e-06
62	2	2	23	40	7	529	0.0523868	2.9491	1.59075e-06	3.03654e-05
63	2	2	10	27	4	276	0.206561	1.57716	3.34398e-06	1.61888e-05
64	3	3	5	7	3	7	0.92343	0.07966	7.08332e-07	7.67066e-07
65	4	4	32	47	18	204	0.263011	1.33556	3.5486e-06	1.34922e-05
66	3	3	11	14	8	16	0.84407	0.16952	1.38461e-06	1.6404e-06
67	0	0	0	0	0	0	1	-0	0	0
68	2	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
69	1	1	35	45	6	502	0.0582623	2.8428	1.70202e-06	2.9213e-05
70	3	2	54	92	13	870	0.00663923	5.01476	3.41383e-07	5.14191e-05
71	2	1	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
72	2	0	0	0	0	0	1	-0	0	0
73	2	1	8	15	4	36	0.757448	0.2778	2.09019e-06	2.75951e-06
74	3	3	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
75	3	2	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
76	0	0	0	0	0	0	1	-0	0	0
77	2	1	15	43	4	706	0.020845	3.87064	8.32535e-07	3.99393e-05
78	1	0	0	0	0	0	1	-0	0	0
79	3	2	17	18	13	6	0.8662	0.14364	1.15625e-06	1.33486e-06
80	1	0	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
81	2	1	36	56	9	397	0.0928862	2.37638	2.25295e-06	2.42549e-05
82	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
83	2	2	0	0	0	0	1	-0	0	0
84	1	1	0	0	0	0	1	-0	0	0
85	0	0	0	0	0	0	1	-0	0	0
86	1	0	0	0	0	0	1	-0	0	0
87	2	2	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
88	5	3	88	174	10	7167	4.47957e-17	37.6444	1.74984e-20	0.000390628
89	3	3	0	0	0	0	1	-0	0	0
90	5	4	12	14	11	4	0.89734	0.10832	8.99852e-07	1.0028e-06
91	2	2	28	35	10	169	0.339019	1.0817	3.71401e-06	1.09552e-05
92	2	0	0	0	0	0	1	-0	0	0
93	3	1	2	3	1	3	0.966436	0.03414	3.17709e-07	3.28742e-07
94	0	0	0	0	0	0	1	-0	0	0
95	3	1	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
96	2	1	4	4	2	3	0.960386	0.04042	3.69931e-07	3.8519e-07
97	3	3	7	7	7	0	0.956992	0.04396	3.78139e-07	3.95133e-07
98	3	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
99	3	2	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
100	2	0	3	3	2	1	0.976344	0.02394	2.17213e-07	2.22476e-07
101	2	0	0	0	0	0	1	-0	0	0
102	4	3	53	82	12	751	0.0129707	4.34506	5.77609e-07	4.45317e-05
103	0	0	0	0	0	0	1	-0	0	0
104	3	1	0	0	0	0	1	-0	0	0
105	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
106	2	2	6	6	5	1	0.958122	0.04278	3.7541e-07	3.91819e-07
107	1	0	0	0	0	0	1	-0	0	0
108	3	3	13	17	11	13	0.841087	0.17306	1.38808e-06	1.65034e-06
109	1	0	0	0	0	0	1	-0	0	0
110	2	2	35	70	9	727	0.015807	4.1473	6.73051e-07	4.25792e-05
111	1	1	0	0	0	0	1	-0	0	0
112	0	0	0	0	0	0	1	-0	0	0
113	1	0	0	0	0	0	1	-0	0	0
114	2	2	0	0	0	0	1	-0	0	0
115	4	3	38	53	6	393	0.0966035	2.33714	2.30622e-06	2.38731e-05
116	4	2	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
117	5	4	143	220	38	2660	3.22359e-07	14.9476	4.95636e-11	0.000153753
118	3	2	8	10	3	18	0.856758	0.1546	1.30302e-06	1.52087e-06
119	0	0	0	0	0	0	1	-0	0	0
120	2	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
121	1	0	0	0	0	0	1	-0	0	0
122	3	3	11	11	6	11	0.882338	0.12518	1.06356e-06	1.20539e-06
123	2	2	44	80	14	541	0.0383309	3.2615	1.27492e-06	3.32609e-05
124	3	3	11	11	9	2	0.923781	0.07928	6.71764e-07	7.2719e-07
125	2	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
126	3	2	6	6	6	0	0.963021	0.03768	3.26161e-07	3.38686e-07
127	3	2	3	3	2	1	0.976344	0.02394	2.17213e-07	2.22476e-07
128	0	0	0	0	0	0	1	-0	0	0
129	2	1	47	73	14	599	0.0297972	3.51334	1.07113e-06	3.59475e-05
130	1	1	0	0	0	0	1	-0	0	0
131	4	4	77	113	26	809	0.0079424	4.83554	3.92063e-07	4.93633e-05
132	1	1	47	91	13	901	0.00570404	5.16658	3.0237e-07	5.30097e-05
133	2	1	30	56	10	494	0.0566377	2.87108	1.66565e-06	2.94089e-05
134	1	1	0	0	0	0	1	-0	0	0
135	3	3	42	66	18	764	0.0134217	4.31088	5.94842e-07	4.43193e-05
136	1	0	0	0	0	0	1	-0	0	0
137	0	0	0	0	0	0	1	-0	0	0
138	1	1	0	0	0	0	1	-0	0	0
139	1	1	14	17	7	24	0.795201	0.22916	1.77712e-06	2.23481e-06
140	1	0	0	0	0	0	1	-0	0	0
141	3	2	34	57	13	588	0.034848	3.35676	1.20086e-06	3.44598e-05
142	7	5	47	65	19	755	0.0141407	4.2587	6.19145e-07	4.37847e-05
143	2	1	0	0	0	0	1	-0	0	0
144	2	1	59	112	11	1625	0.000124543	8.99086	1.15406e-08	9.26636e-05
145	4	4	30	43	15	214	0.256291	1.36144	3.53625e-06	1.37978e-05
146	0	0	0	0	0	0	1	-0	0	0
147	3	3	68	112	20	1001	0.00300205	5.80846	1.78647e-07	5.95085e-05
148	2	1	0	0	0	0	1	-0	0	0
149	2	1	29	46	6	483	0.0637887	2.75218	1.80266e-06	2.82599e-05
150	4	1	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
151	3	2	20	29	7	149	0.38984	0.94202	3.72446e-06	9.55383e-06
152	2	1	31	47	11	210	0.255085	1.36616	3.52298e-06	1.3811e-05
153	2	1	20	33	6	177	0.329579	1.10994	3.71348e-06	1.12673e-05
154	6	4	7	7	6	1	0.952124	0.04906	4.26805e-07	4.48266e-07
155	0	0	0	0	0	0	1	-0	0	0
156	3	3	0	0	0	0	1	-0	0	0
157	1	0	0	0	0	0	1	-0	0	0
158	2	2	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
159	1	1	0	0	0	0	1	-0	0	0
160	3	1	0	0	0	0	1	-0	0	0
161	1	1	15	23	6	93	0.538623	0.61874	3.36083e-06	6.23968e-06
162	2	2	8	8	4	10	0.903716	0.10124	8.88274e-07	9.82913e-07
163	1	0	0	0	0	0	1	-0	0	0
164	0	0	0	0	0	0	1	-0	0	0
165	1	0	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
166	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
167	1	1	11	15	3	78	0.611402	0.492	3.05157e-06	4.9911e-06
168	2	1	39	64	12	640	0.0255806	3.66592	9.62289e-07	3.76179e-05
169	3	2	6	6	5	1	0.958122	0.04278	3.7541e-07	3.91819e-07
170	4	4	80	136	14	1954	2.0006e-05	10.8195	2.23065e-09	0.000111499
171	4	2	4	4	2	2	0.965296	0.03532	3.20533e-07	3.32057e-07
172	2	0	0	0	0	0	1	-0	0	0
173	0	0	0	0	0	0	1	-0	0	0
174	4	1	21	24	13	27	0.749447	0.28842	2.09046e-06	2.78934e-06
175	2	2	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
176	3	1	6	6	3	3	0.948399	0.05298	4.72383e-07	4.98085e-07
177	2	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
178	4	3	79	131	18	2408	2.03813e-06	13.1035	2.75839e-10	0.000135339
179	4	4	16	25	9	95	0.526502	0.6415	3.40059e-06	6.45884e-06
180	0	0	0	0	0	0	1	-0	0	0
181	2	1	27	50	9	708	0.0197461	3.9248	7.98545e-07	4.04407e-05
182	1	1	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
183	5	5	18	20	8	57	0.659482	0.4163	2.74183e-06	4.15754e-06
184	1	1	0	0	0	0	1	-0	0	0
185	3	2	16	26	9	58	0.631865	0.45908	2.87458e-06	4.54936e-06
186	1	1	0	0	0	0	1	-0	0	0
187	2	2	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
188	1	1	23	37	7	436	0.0857808	2.45596	2.16636e-06	2.52546e-05
189	0	0	0	0	0	0	1	-0	0	0
190	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
191	1	1	15	30	4	280	0.198612	1.6164	3.29115e-06	1.65707e-05
192	1	0	0	0	0	0	1	-0	0	0
193	1	1	0	0	0	0	1	-0	0	0
194	3	2	8	8	7	1	0.946163	0.05534	4.77542e-07	5.04714e-07
195	3	1	0	0	0	0	1	-0	0	0
196	3	2	4	4	4	0	0.975193	0.02512	2.20189e-07	2.2579e-07
197	5	3	22	39	4	630	0.0314952	3.45792	1.1236e-06	3.56754e-05
198	0	0	0	0	0	0	1	-0	0	0
199	5	4	18	32	5	378	0.118985	2.12876	2.60466e-06	2.18907e-05
200	2	1	12	14	6	24	0.810325	0.21032	1.6737e-06	2.06546e-06
201	2	1	8	12	3	45	0.737227	0.30486	2.26208e-06	3.06837e-06
202	4	4	87	151	17	2671	4.70072e-07	14.5704	7.07187e-11	0.000150442
203	4	3	145	201	39	2791	1.86212e-07	15.4964	2.9727e-11	0.000159641
204	3	3	8	9	5	5	0.921254	0.08202	7.12769e-07	7.73694e-07
205	3	3	2	3	1	3	0.966436	0.03414	3.17709e-07	3.28742e-07
206	2	2	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
207	0	0	0	0	0	0	1	-0	0	0
