Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut	SiDom
H	1	1	10	4.58728	0.5	1000	0	196.69	154.456	17.122	17.464	15.169	2.816	0.884147	0.124036	9.88987e-07	1.13542e-06	0.4
H	1	1	10	4.58728	1	1000	0	393.261	308.74	34.94	35.71	30.785	6.046	0.776284	0.255093	1.78732e-06	2.33699e-06	0.4
H	1	1	10	4.58728	2	1000	0	786.609	617.459	69.065	70.603	60.314	12.653	0.604065	0.507917	2.77024e-06	4.65766e-06	0.4
H	1	1	10	4.58728	4	1000	0	1573.26	1234.79	138.248	141.129	119.374	26.985	0.361985	1.02391	3.35023e-06	9.40019e-06	0.4
H	1	1	50	1.24344	0.5	1000	0	725.475	569.437	18.298	18.627	16.907	2.051	0.880981	0.127438	1.01059e-06	1.16043e-06	0.4
H	1	1	50	1.24344	1	1000	0	1451.14	1139.01	36.514	37.169	33.573	4.35	0.775568	0.255606	1.78567e-06	2.32923e-06	0.4
H	1	1	50	1.24344	2	1000	0	2901.7	2278.18	72.983	74.32	66.53	9.418	0.599414	0.514761	2.78168e-06	4.69559e-06	0.4
H	1	1	50	1.24344	4	1000	0	5803.68	4557.3	145.915	148.631	131.411	20.845	0.355803	1.03971	3.33729e-06	9.49743e-06	0.4
H	1	1	100	0.727649	0.5	1000	0	1239.91	973.08	18.422	18.735	17.171	1.861	0.881182	0.127147	1.00834e-06	1.15643e-06	0.4
H	1	1	100	0.727649	1	1000	0	2479.24	1946.81	36.49	37.113	33.868	3.868	0.777694	0.252796	1.76926e-06	2.30046e-06	0.4
H	1	1	100	0.727649	2	1000	0	4958.56	3893.38	72.983	74.231	67.166	8.512	0.602547	0.509582	2.76389e-06	4.64243e-06	0.4
H	1	1	100	0.727649	4	1000	0	9917.42	7786.42	146.258	148.81	132.484	19.769	0.357361	1.03535	3.33506e-06	9.45036e-06	0.4
H	1	1	200	0.448328	0.5	1000	0	2012.03	1579.58	18.335	18.645	17.041	1.931	0.881404	0.126939	1.00668e-06	1.15507e-06	0.4
H	1	1	200	0.448328	1	1000	0	4024.09	3159.42	36.416	37.039	33.931	3.667	0.77884	0.251307	1.76064e-06	2.2856e-06	0.4
H	1	1	200	0.448328	2	1000	0	8048.22	6319.21	73.262	74.491	67.671	8.191	0.602382	0.509578	2.76476e-06	4.64005e-06	0.4
H	1	1	200	0.448328	4	1000	0	16095.9	12636.3	146.165	148.73	133.014	19.036	0.358621	1.03111	3.33599e-06	9.40689e-06	0.4
H	1	1	400	0.302604	0.5	1000	0	2980.83	2340.14	18.024	18.31	16.804	1.8	0.883868	0.124167	9.8633e-07	1.1292e-06	0.4
H	1	1	400	0.302604	1	1000	0	5962.1	4681.73	36.278	36.944	33.788	3.831	0.778678	0.251546	1.76231e-06	2.28895e-06	0.4
H	1	1	400	0.302604	2	1000	0	11923.8	9360.57	72.12	73.372	66.759	7.957	0.607376	0.501357	2.74142e-06	4.56445e-06	0.4
H	1	1	400	0.302604	4	1000	0	23847	18721.3	144.238	146.735	131.539	18.354	0.364528	1.0151	3.33443e-06	9.25804e-06	0.4
H	1	1	800	0.232827	0.5	1000	0	3874.51	3041.82	17.893	18.209	16.77	1.711	0.884764	0.123079	9.79346e-07	1.11877e-06	0.4
