Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	1	0	0	0	0	0	1	-0	0	0
2	1	1	0	0	0	0	1	-0	0	0
3	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
4	1	1	9	13	2	56	0.692643	0.36724	2.56921e-06	3.70928e-06
5	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
6	0	0	0	0	0	0	1	-0	0	0
7	5	5	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
8	0	0	0	0	0	0	1	-0	0	0
9	4	3	12	15	4	31	0.777012	0.2523	1.93775e-06	2.49384e-06
10	2	2	7	8	2	13	0.889994	0.11654	1.01665e-06	1.14231e-06
11	2	2	0	0	0	0	1	-0	0	0
12	3	2	4	7	1	21	0.859796	0.15106	1.29909e-06	1.51093e-06
13	5	3	0	0	0	0	1	-0	0	0
14	3	2	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
15	0	0	0	0	0	0	1	-0	0	0
16	2	1	0	0	0	0	1	-0	0	0
17	1	1	9	16	2	56	0.679716	0.38608	2.63636e-06	3.87862e-06
18	3	2	0	0	0	0	1	-0	0	0
19	1	1	45	67	6	626	0.0269611	3.61336	9.9873e-07	3.70434e-05
20	2	1	25	39	2	703	0.0217048	3.83022	8.58515e-07	3.95541e-05
21	3	2	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
22	5	5	10	11	7	10	0.886849	0.12008	1.02188e-06	1.15226e-06
23	2	2	4	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
24	0	0	0	0	0	0	1	-0	0	0
25	2	1	11	16	3	69	0.636112	0.45238	2.90662e-06	4.56935e-06
26	1	1	0	0	0	0	1	-0	0	0
27	2	2	24	33	5	379	0.117638	2.14014	2.58807e-06	2.20003e-05
28	1	1	0	0	0	0	1	-0	0	0
29	1	1	0	0	0	0	1	-0	0	0
30	1	0	0	0	0	0	1	-0	0	0
31	1	1	30	36	3	529	0.0537195	2.92398	1.61908e-06	3.01396e-05
