Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	21	19	152	208	39	1928	1.45337e-05	11.139	1.65949e-09	0.000114182
2	11	10	93	135	22	1442	0.000274105	8.202	2.30902e-08	8.42385e-05
3	26	23	153	221	43	2775	1.78196e-07	15.5404	2.84971e-11	0.00015992
4	14	11	47	62	17	186	0.26238	1.33796	3.51131e-06	1.33825e-05
5	15	11	166	219	37	1949	1.2186e-05	11.3152	1.41259e-09	0.000115919
6	18	14	49	54	20	146	0.338335	1.08372	3.65591e-06	1.08056e-05
7	17	13	119	181	23	3088	4.64226e-08	16.8855	8.0911e-12	0.000174292
8	18	16	103	128	34	712	0.0118546	4.43504	5.34122e-07	4.50561e-05
9	13	6	24	33	8	185	0.316403	1.15074	3.69951e-06	1.16924e-05
10	23	20	153	196	47	1174	0.000733062	7.21828	5.38376e-08	7.34421e-05
11	12	7	56	77	19	407	0.077362	2.55926	2.00922e-06	2.59717e-05
12	13	9	51	65	14	270	0.167764	1.7852	3.02227e-06	1.80151e-05
13	14	9	119	169	20	2448	1.30917e-06	13.5461	1.82772e-10	0.00013961
14	12	10	50	62	12	354	0.111385	2.19476	2.48488e-06	2.23089e-05
15	16	14	151	215	43	1630	6.35807e-05	9.6632	6.27818e-09	9.87433e-05
16	17	12	80	112	18	845	0.00665185	5.01286	3.40706e-07	5.12197e-05
17	19	16	98	141	30	669	0.0136042	4.29738	5.91852e-07	4.35052e-05
18	14	11	46	59	24	154	0.314768	1.15592	3.6239e-06	1.15129e-05
19	22	17	148	194	32	1699	5.10237e-05	9.88322	5.16483e-09	0.000101224
20	12	6	27	31	9	159	0.365832	1.00558	3.73078e-06	1.01981e-05
21	15	11	120	151	40	599	0.0182575	4.00318	7.36696e-07	4.03504e-05
22	15	12	169	235	38	1435	0.000151595	8.7943	1.35694e-08	8.95113e-05
23	15	11	80	116	30	706	0.0131797	4.32908	5.80696e-07	4.406e-05
24	17	15	74	103	15	788	0.00941322	4.66564	4.48851e-07	4.76831e-05
25	23	15	181	260	49	2060	5.34794e-06	12.1388	6.63843e-10	0.000124131
26	19	15	208	305	48	2920	5.01925e-08	16.8074	8.65146e-12	0.000172365
27	9	7	123	189	27	1900	1.88892e-05	10.8769	2.10844e-09	0.000111622
28	22	18	170	232	53	1385	0.000199348	8.52046	1.72805e-08	8.66853e-05
29	12	10	124	160	22	1555	0.000131658	8.9353	1.2067e-08	9.16537e-05
30	17	14	45	54	14	343	0.123883	2.08842	2.63534e-06	2.12729e-05
31	15	13	137	182	27	1871	2.28843e-05	10.6851	2.51008e-09	0.000109686
32	16	12	199	276	38	2272	1.64055e-06	13.3205	2.23604e-10	0.000136298
33	15	11	94	126	19	1296	0.000610715	7.40088	4.63979e-08	7.5973e-05
34	21	15	140	187	31	1649	6.88032e-05	9.58426	6.75457e-09	9.81723e-05
35	19	17	126	157	38	954	0.00287599	5.85136	1.71269e-07	5.95513e-05
36	12	9	22	29	11	78	0.559943	0.57992	3.23724e-06	5.78137e-06
37	17	14	113	149	33	985	0.00258193	5.95922	1.56844e-07	6.07469e-05
38	13	10	130	177	26	1490	0.000164836	8.71056	1.46967e-08	8.91597e-05
39	20	11	48	67	17	447	0.0671746	2.70046	1.84949e-06	2.75325e-05
40	15	10	133	168	32	1294	0.000473935	7.65444	3.70795e-08	7.82376e-05
41	19	17	194	276	35	2799	1.11618e-07	16.0082	1.83388e-11	0.000164299
42	17	14	73	104	28	546	0.0321379	3.43772	1.12101e-06	3.48813e-05
43	27	18	106	137	34	724	0.0105381	4.55276	4.86878e-07	4.62018e-05
44	20	17	202	288	52	1560	5.74474e-05	9.76464	5.69561e-09	9.91447e-05
45	10	7	53	76	17	462	0.0588078	2.83348	1.69587e-06	2.88376e-05
