Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	27	23	111	133	19	892	0.00458741	5.38444	2.51859e-07	5.49023e-05
2	16	14	61	71	14	331	0.118365	2.13398	2.55608e-06	2.15949e-05
3	33	30	90	96	20	632	0.0217949	3.82608	8.49982e-07	3.89992e-05
4	19	15	28	30	8	84	0.539669	0.6168	3.32253e-06	6.15662e-06
5	20	14	68	74	13	399	0.0821162	2.49962	2.08388e-06	2.53773e-05
6	24	19	25	25	10	40	0.696979	0.361	2.46488e-06	3.53652e-06
7	23	17	62	70	12	896	0.00667624	5.0092	3.44218e-07	5.15587e-05
8	24	22	88	93	15	482	0.0477279	3.04224	1.47287e-06	3.08598e-05
9	18	11	32	33	8	61	0.595508	0.51834	3.03941e-06	5.1039e-06
10	30	25	74	83	23	208	0.205555	1.58204	3.23479e-06	1.57369e-05
11	17	12	26	32	6	135	0.410878	0.88946	3.6894e-06	8.97931e-06
12	19	14	44	48	9	297	0.162652	1.81614	3.00745e-06	1.849e-05
13	20	14	68	76	15	363	0.097434	2.32858	2.29724e-06	2.35774e-05
14	18	13	22	22	8	41	0.706622	0.34726	2.41686e-06	3.42031e-06
15	22	18	72	86	15	451	0.0584152	2.84018	1.68338e-06	2.88176e-05
16	23	17	51	58	15	181	0.276004	1.28734	3.55799e-06	1.28911e-05
17	25	21	80	95	15	606	0.025042	3.6872	9.40609e-07	3.75612e-05
18	19	16	47	53	12	202	0.255882	1.36304	3.51188e-06	1.37246e-05
19	28	23	99	115	17	525	0.0333833	3.3997	1.14793e-06	3.43864e-05
20	17	10	23	24	9	41	0.697802	0.35982	2.46548e-06	3.5332e-06
21	21	16	60	69	16	258	0.173927	1.74912	3.06168e-06	1.76032e-05
22	20	16	87	106	11	741	0.0117397	4.44478	5.32455e-07	4.53551e-05
23	20	16	48	53	15	183	0.281918	1.26614	3.58461e-06	1.27151e-05
24	22	20	43	52	11	230	0.223228	1.49956	3.38323e-06	1.51559e-05
25	24	16	66	87	12	804	0.00959263	4.64676	4.56897e-07	4.763e-05
26	25	21	101	113	22	636	0.0191924	3.95324	7.70984e-07	4.01713e-05
27	13	11	62	75	13	369	0.095093	2.3529	2.26699e-06	2.38397e-05
28	29	25	103	117	28	456	0.0468708	3.06036	1.44517e-06	3.08331e-05
29	18	16	96	113	15	930	0.00428498	5.45264	2.39069e-07	5.57925e-05
30	23	20	57	62	13	251	0.188349	1.66946	3.17107e-06	1.68362e-05
31	20	16	69	75	15	356	0.101611	2.2866	2.3522e-06	2.3149e-05
32	22	18	80	100	15	749	0.0117031	4.4479	5.31808e-07	4.54415e-05
33	21	16	64	72	18	229	0.197887	1.62006	3.21205e-06	1.62317e-05
34	14	12	18	20	9	24	0.78036	0.248	1.8761e-06	2.40415e-06
35	22	15	51	57	18	238	0.207679	1.57176	3.29446e-06	1.58632e-05
36	17	13	67	72	14	498	0.050189	2.99196	1.532e-06	3.05246e-05
37	23	18	52	60	18	165	0.295732	1.2183	3.59428e-06	1.21538e-05
38	18	15	67	72	15	299	0.138476	1.97706	2.76274e-06	1.99511e-05
39	26	17	25	27	10	48	0.660763	0.41436	2.69226e-06	4.07448e-06
40	21	15	90	104	18	665	0.0175164	4.04462	7.21746e-07	4.12041e-05
41	25	23	96	107	17	586	0.0257181	3.66056	9.56095e-07	3.71759e-05
42	23	18	35	40	16	120	0.42181	0.8632	3.64186e-06	8.63389e-06
43	34	25	52	63	18	223	0.2159	1.53294	3.32592e-06	1.54049e-05
44	26	23	129	150	21	1135	0.00119394	6.7305	8.21109e-08	6.87733e-05
45	15	10	30	38	8	170	0.330999	1.10564	3.69979e-06	1.11777e-05
46	18	12	31	37	5	145	0.378379	0.97186	3.70541e-06	9.79288e-06
47	19	13	34	37	9	119	0.43203	0.83926	3.63398e-06	8.41141e-06
48	30	22	151	176	24	1487	0.000168432	8.68898	1.4981e-08	8.89438e-05
49	21	16	49	57	16	120	0.379098	0.96996	3.63688e-06	9.5935e-06
50	23	16	111	128	15	979	0.00303744	5.79674	1.79946e-07	5.92427e-05
51	24	21	56	66	14	398	0.0867886	2.44428	2.15865e-06	2.48726e-05
52	26	20	51	59	10	231	0.212541	1.54862	3.31653e-06	1.56042e-05
53	27	19	81	91	14	397	0.0745578	2.59618	1.9557e-06	2.62306e-05
54	16	10	10	10	2	29	0.810017	0.2107	1.70536e-06	2.10534e-06
55	32	28	144	167	22	1559	0.000123452	8.99966	1.13898e-08	9.22614e-05
56	19	13	50	58	17	285	0.162392	1.81774	2.99077e-06	1.84169e-05
57	20	17	38	42	9	166	0.32944	1.11036	3.68674e-06	1.11909e-05
58	21	15	47	54	9	285	0.166523	1.79262	3.02925e-06	1.81911e-05
59	18	13	83	100	16	460	0.0510985	2.974	1.53735e-06	3.0086e-05
60	16	11	25	29	7	104	0.490407	0.71252	3.5127e-06	7.16283e-06
61	17	16	53	67	11	326	0.124511	2.08336	2.62761e-06	2.11034e-05
62	20	18	54	60	14	181	0.272559	1.2999	3.54435e-06	1.3004e-05
63	25	19	68	82	16	341	0.104972	2.25406	2.38782e-06	2.27471e-05
64	20	16	47	54	11	351	0.11893	2.12922	2.58053e-06	2.16979e-05
65	19	14	18	19	8	27	0.773353	0.25702	1.93887e-06	2.5071e-06
66	27	24	43	48	18	74	0.507205	0.67884	3.36852e-06	6.64134e-06
67	22	15	71	85	15	615	0.0254688	3.6703	9.54443e-07	3.7475e-05
68	11	9	33	38	6	157	0.353688	1.03934	3.7091e-06	1.04869e-05
69	24	17	76	82	15	352	0.0992454	2.31016	2.31555e-06	2.33316e-05
70	15	10	13	14	6	15	0.848386	0.16442	1.34661e-06	1.58726e-06
71	28	22	112	133	24	863	0.00531863	5.23654	2.8381e-07	5.33615e-05
72	17	13	26	33	6	110	0.463829	0.76824	3.57492e-06	7.70742e-06
73	22	15	31	39	10	107	0.453563	0.79062	3.57712e-06	7.88671e-06
74	20	16	50	60	7	414	0.0830593	2.4882	2.10838e-06	2.5384e-05
75	20	19	65	71	12	475	0.0567909	2.86838	1.66091e-06	2.9246e-05
76	22	18	71	81	13	540	0.0382857	3.26268	1.27354e-06	3.32642e-05
77	34	29	105	117	20	519	0.033991	3.38166	1.16183e-06	3.41805e-05
78	25	14	81	90	19	384	0.0801705	2.5236	2.04302e-06	2.54834e-05
79	13	10	38	41	10	171	0.323169	1.12958	3.68417e-06	1.14001e-05
80	29	19	52	54	14	157	0.319877	1.13982	3.64342e-06	1.13901e-05
81	17	8	17	19	6	38	0.731162	0.31312	2.26044e-06	3.09157e-06
82	26	20	50	62	14	318	0.133833	2.01116	2.72968e-06	2.03961e-05
83	20	16	90	98	18	402	0.0695548	2.66564	1.87043e-06	2.68914e-05
84	14	9	55	63	8	536	0.043751	3.12924	1.40159e-06	3.20356e-05
85	23	19	79	92	14	637	0.0217866	3.82646	8.50528e-07	3.9039e-05
86	19	12	26	28	10	35	0.701636	0.35434	2.41377e-06	3.44019e-06
87	23	14	30	34	12	76	0.548197	0.60112	3.2658e-06	5.95734e-06
88	19	14	43	53	11	299	0.156025	1.85774	2.94552e-06	1.88785e-05
89	20	15	49	58	6	541	0.0440099	3.12334	1.40915e-06	3.2019e-05
90	18	14	44	51	10	390	0.0993327	2.30928	2.34433e-06	2.36008e-05
91	28	17	71	83	18	295	0.131896	2.02574	2.68533e-06	2.03594e-05
92	21	18	64	81	13	548	0.036755	3.30348	1.23825e-06	3.36892e-05
93	30	24	103	108	20	550	0.0307078	3.48324	1.08459e-06	3.53196e-05
94	23	17	24	28	10	79	0.560604	0.57874	3.2392e-06	5.77806e-06
95	20	15	120	134	18	1201	0.000942834	6.96662	6.72966e-08	7.1377e-05
96	26	21	105	121	22	1316	0.000569085	7.47148	4.36793e-08	7.67535e-05
97	21	17	31	37	9	134	0.400212	0.91576	3.68532e-06	9.20841e-06
98	16	13	20	21	13	19	0.795504	0.22878	1.74607e-06	2.19493e-06
99	18	12	25	29	6	166	0.357464	1.02872	3.73804e-06	1.04571e-05
100	21	14	56	62	13	510	0.0502693	2.99036	1.53813e-06	3.05977e-05
101	21	18	70	79	21	192	0.228706	1.47532	3.35304e-06	1.46609e-05
102	27	18	58	64	20	198	0.243724	1.41172	3.44455e-06	1.4133e-05
103	23	22	65	74	21	192	0.236001	1.44392	3.39338e-06	1.43787e-05
104	22	17	40	47	11	200	0.268431	1.31516	3.56468e-06	1.32797e-05
105	26	21	45	54	12	215	0.237968	1.43562	3.44382e-06	1.44718e-05
106	15	13	42	47	13	144	0.357164	1.02956	3.6803e-06	1.03042e-05
107	32	22	86	96	15	539	0.035022	3.35178	1.19277e-06	3.40578e-05
108	19	17	16	17	8	19	0.81574	0.20366	1.60631e-06	1.96914e-06
109	20	17	54	66	11	635	0.0259138	3.65298	9.70863e-07	3.74651e-05
110	21	20	66	81	15	342	0.105096	2.25288	2.39029e-06	2.27438e-05
111	23	20	77	95	20	604	0.0252988	3.677	9.47564e-07	3.7455e-05
112	24	21	114	138	15	1425	0.000293351	8.13414	2.44962e-08	8.35046e-05
113	9	8	4	4	3	1	0.970232	0.03022	2.70621e-07	2.78924e-07
114	21	19	69	82	15	449	0.0605152	2.80486	1.72381e-06	2.84855e-05
115	24	18	36	41	7	139	0.380458	0.96638	3.69039e-06	9.69987e-06
116	21	18	53	58	15	216	0.230884	1.46584	3.40571e-06	1.47507e-05
117	19	18	48	59	12	273	0.17156	1.76282	3.05991e-06	1.78358e-05
118	15	11	26	32	10	52	0.627407	0.46616	2.86678e-06	4.56925e-06
119	22	20	80	89	15	361	0.0907161	2.40002	2.19578e-06	2.42049e-05
120	15	10	27	32	9	78	0.549493	0.59876	3.26987e-06	5.95071e-06
121	24	20	66	79	10	799	0.0103474	4.57102	4.85425e-07	4.69128e-05
122	13	11	25	29	4	133	0.422984	0.86042	3.68153e-06	8.7037e-06
123	28	22	135	146	23	722	0.0100611	4.59908	4.68882e-07	4.66035e-05
124	16	13	40	45	11	118	0.412962	0.8844	3.63814e-06	8.80986e-06
125	23	19	54	64	17	177	0.271276	1.30462	3.53125e-06	1.30172e-05
126	20	18	72	80	16	472	0.0544975	2.9096	1.61284e-06	2.95947e-05
127	17	12	32	37	6	229	0.246533	1.40026	3.51459e-06	1.42561e-05
128	22	19	48	53	13	225	0.22756	1.48034	3.40127e-06	1.49467e-05
129	12	8	33	40	7	230	0.240701	1.4242	3.485e-06	1.44785e-05
130	25	22	107	116	18	551	0.0290546	3.53858	1.04086e-06	3.58243e-05
131	17	14	49	53	15	104	0.421793	0.86324	3.59266e-06	8.51758e-06
132	28	23	64	72	17	234	0.192905	1.64556	3.18242e-06	1.64974e-05
133	17	13	36	37	13	137	0.394136	0.93106	3.69219e-06	9.36781e-06
134	26	23	93	105	26	559	0.0298879	3.5103	1.06486e-06	3.56285e-05
135	20	19	135	151	17	1450	0.00023799	8.34328	2.03641e-08	8.55667e-05
136	16	11	76	96	14	603	0.0252689	3.67818	9.46531e-07	3.74583e-05
137	22	17	45	54	10	236	0.213799	1.54272	3.33261e-06	1.55876e-05
138	35	28	104	124	24	688	0.013739	4.28752	5.98402e-07	4.35551e-05
139	25	17	92	104	22	482	0.0445421	3.11132	1.40222e-06	3.14808e-05
140	13	10	34	35	9	104	0.472272	0.7502	3.54276e-06	7.50152e-06
141	16	10	25	29	12	29	0.718909	0.33002	2.28458e-06	3.17784e-06
142	19	15	69	74	17	357	0.101731	2.28542	2.35464e-06	2.31457e-05
143	23	18	52	61	14	330	0.126681	2.06608	2.65743e-06	2.09773e-05
144	20	15	102	122	16	655	0.0164627	4.10666	6.8631e-07	4.16889e-05
145	19	15	23	26	10	64	0.612822	0.48968	2.98332e-06	4.86816e-06
146	23	20	83	90	15	422	0.0660463	2.7174	1.81644e-06	2.75025e-05
147	21	18	41	46	15	122	0.40209	0.91108	3.65051e-06	9.07884e-06
148	26	20	75	84	17	296	0.130404	2.03712	2.66924e-06	2.0469e-05
149	22	15	38	40	16	98	0.471894	0.751	3.52267e-06	7.46496e-06
150	23	20	86	98	20	491	0.0441775	3.11954	1.3969e-06	3.16203e-05
151	18	15	114	136	15	1436	0.000280853	8.17768	2.35849e-08	8.39761e-05
152	19	17	47	55	12	265	0.183251	1.6969	3.14915e-06	1.71849e-05
153	21	17	29	31	8	113	0.46256	0.77098	3.58665e-06	7.75393e-06
154	16	11	29	33	9	104	0.478241	0.73764	3.53354e-06	7.38862e-06
155	23	17	84	98	16	605	0.0247003	3.70094	9.30644e-07	3.76775e-05
156	24	15	54	67	16	327	0.123878	2.08846	2.62083e-06	2.11565e-05
157	26	18	135	161	22	1372	0.000332696	8.00828	2.72767e-08	8.19868e-05
158	15	15	72	84	13	506	0.0446849	3.10812	1.41325e-06	3.1627e-05
159	31	26	101	115	26	672	0.0157739	4.1494	6.6561e-07	4.2197e-05
160	18	11	43	47	7	250	0.208012	1.57016	3.31495e-06	1.59363e-05
161	25	20	75	86	14	771	0.0114224	4.47218	5.23376e-07	4.58202e-05
162	21	17	32	33	14	47	0.639582	0.44694	2.7886e-06	4.36003e-06
163	25	19	37	49	11	168	0.312072	1.16452	3.64885e-06	1.16923e-05
164	24	18	62	66	12	345	0.113724	2.17398	2.50835e-06	2.20565e-05
165	26	18	76	86	14	414	0.0705467	2.65148	1.8943e-06	2.68516e-05
166	27	22	67	73	21	140	0.309611	1.17244	3.57889e-06	1.15593e-05
167	16	13	65	71	11	431	0.0710778	2.64398	1.91258e-06	2.69082e-05
168	22	16	50	54	19	122	0.382388	0.96132	3.64432e-06	9.53042e-06
169	17	13	38	45	12	160	0.333337	1.0986	3.68053e-06	1.10415e-05
170	19	16	46	48	10	278	0.179202	1.71924	3.13255e-06	1.74805e-05
171	21	14	24	29	6	149	0.38984	0.94202	3.72446e-06	9.55383e-06
