Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	25	23	31	33	15	45	0.646139	0.43674	2.74853e-06	4.25376e-06
2	14	13	28	28	8	82	0.552092	0.59404	3.27802e-06	5.93746e-06
3	31	28	25	26	10	49	0.661543	0.41318	2.69325e-06	4.07116e-06
4	17	13	7	7	6	1	0.952124	0.04906	4.26805e-07	4.48266e-07
5	19	13	19	20	10	16	0.812857	0.2072	1.60871e-06	1.97908e-06
6	22	18	10	10	8	3	0.924872	0.0781	6.69492e-07	7.23876e-07
7	21	16	21	21	9	26	0.767605	0.26448	1.97034e-06	2.56686e-06
8	22	20	16	19	10	15	0.82216	0.19582	1.53703e-06	1.8695e-06
9	16	9	5	6	4	3	0.948399	0.05298	4.72383e-07	4.98085e-07
10	28	24	20	21	10	16	0.807768	0.21348	1.64424e-06	2.03553e-06
11	21	15	12	12	6	9	0.885804	0.12126	1.02361e-06	1.15557e-06
12	17	12	14	14	5	25	0.806203	0.21542	1.70802e-06	2.1186e-06
13	18	12	16	16	7	16	0.833535	0.18208	1.46143e-06	1.75329e-06
14	16	11	12	12	6	9	0.885804	0.12126	1.02361e-06	1.15557e-06
15	20	16	30	33	13	70	0.568792	0.56424	3.17505e-06	5.58209e-06
16	21	15	18	20	6	35	0.737787	0.3041	2.20496e-06	2.98861e-06
17	23	20	32	34	15	48	0.632345	0.45832	2.82634e-06	4.46961e-06
18	18	15	14	15	7	12	0.856073	0.1554	1.27068e-06	1.48431e-06
19	26	21	33	35	13	53	0.612565	0.4901	2.93524e-06	4.79173e-06
20	15	9	5	5	1	10	0.920904	0.0824	7.49219e-07	8.1357e-07
21	19	14	14	14	8	12	0.861466	0.14912	1.23006e-06	1.42786e-06
22	18	15	26	31	9	59	0.609217	0.49558	2.97587e-06	4.88473e-06
23	15	10	12	13	9	5	0.8984	0.10714	8.97937e-07	9.99485e-07
24	20	18	12	13	5	23	0.819599	0.19894	1.60304e-06	1.95588e-06
25	22	14	20	20	10	23	0.78435	0.2429	1.84402e-06	2.35102e-06
26	23	19	19	21	11	16	0.807768	0.21348	1.64424e-06	2.03553e-06
27	12	10	19	20	6	40	0.719211	0.3296	2.34052e-06	3.25428e-06
28	27	23	34	39	13	93	0.487132	0.71922	3.47951e-06	7.14284e-06
29	16	14	32	34	9	110	0.460925	0.77452	3.57856e-06	7.76387e-06
30	21	18	13	13	7	10	0.87578	0.13264	1.10799e-06	1.26515e-06
31	19	16	24	25	9	35	0.714981	0.3355	2.3386e-06	3.27085e-06
32	20	16	23	25	9	56	0.642364	0.4426	2.81783e-06	4.38665e-06
33	19	15	24	25	13	26	0.748563	0.2896	2.09048e-06	2.79265e-06
34	18	13	19	19	8	19	0.805558	0.21622	1.6772e-06	2.08204e-06
35	20	14	20	20	9	24	0.78036	0.248	1.8761e-06	2.40415e-06
36	16	12	24	28	9	57	0.627169	0.46654	2.8907e-06	4.60913e-06
37	21	16	14	15	9	10	0.864849	0.1452	1.1918e-06	1.37805e-06
38	16	13	25	28	12	40	0.683971	0.37984	2.5347e-06	3.70586e-06
39	24	15	10	10	7	4	0.920167	0.0832	7.14978e-07	7.77009e-07
40	19	13	25	26	15	29	0.732582	0.31118	2.20397e-06	3.0085e-06
41	23	21	39	41	13	58	0.575061	0.55328	3.10307e-06	5.39608e-06
42	21	18	14	14	8	16	0.84407	0.16952	1.38461e-06	1.6404e-06
43	32	23	11	12	9	3	0.913328	0.09066	7.64246e-07	8.36771e-07
44	24	21	44	45	16	81	0.498725	0.6957	3.41324e-06	6.84393e-06
45	18	14	9	9	7	3	0.930698	0.07182	6.21174e-07	6.67428e-07
46	16	10	4	4	2	3	0.960386	0.04042	3.69931e-07	3.8519e-07
47	17	12	7	7	5	2	0.947281	0.05416	4.74966e-07	5.014e-07
48	28	20	40	40	14	82	0.512016	0.6694	3.38689e-06	6.61483e-06
49	19	14	15	17	7	19	0.81574	0.20366	1.60631e-06	1.96914e-06
50	21	14	20	24	11	32	0.730577	0.31392	2.23192e-06	3.055e-06
51	22	19	16	16	6	32	0.768219	0.26368	2e-06	2.60342e-06
52	24	18	19	20	10	17	0.808722	0.2123	1.6435e-06	2.03222e-06
53	25	18	26	28	11	51	0.646657	0.43594	2.77437e-06	4.29033e-06
54	14	8	8	8	4	7	0.917649	0.08594	7.55696e-07	8.23513e-07
55	30	26	40	41	13	126	0.406537	0.90008	3.66255e-06	9.00913e-06
56	17	13	35	39	15	117	0.431012	0.84162	3.62827e-06	8.41804e-06
57	18	15	8	8	6	2	0.94135	0.06044	5.2513e-07	5.57847e-07
58	20	14	17	18	8	22	0.798325	0.22524	1.74433e-06	2.18499e-06
59	16	11	26	26	11	34	0.714137	0.33668	2.3382e-06	3.27417e-06
60	14	10	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
61	15	14	12	12	4	24	0.820567	0.19776	1.60221e-06	1.95257e-06
62	18	16	14	15	9	13	0.851718	0.1605	1.30947e-06	1.53745e-06
63	23	18	20	20	8	27	0.768511	0.2633	1.97012e-06	2.56355e-06
64	18	14	16	17	9	12	0.845388	0.16796	1.35026e-06	1.59721e-06
