Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	1280	1012	25	25	17	10	0.812207	0.208	1.57773e-06	1.94252e-06
2	1197	930	21	22	15	8	0.836139	0.17896	1.39377e-06	1.66691e-06
3	1326	1045	18	18	14	10	0.848708	0.16404	1.31328e-06	1.54739e-06
4	1222	936	15	16	11	11	0.855063	0.15658	1.27201e-06	1.48763e-06
5	1227	962	19	21	18	3	0.863139	0.14718	1.16075e-06	1.3448e-06
6	1261	1004	23	24	21	3	0.847029	0.16602	1.28252e-06	1.51414e-06
7	1227	963	15	15	12	3	0.896282	0.1095	9.01762e-07	1.00611e-06
8	1176	931	17	17	10	11	0.84971	0.16286	1.31202e-06	1.54407e-06
9	1154	915	18	18	11	13	0.835822	0.17934	1.42657e-06	1.70679e-06
10	1304	983	16	16	10	8	0.868246	0.14128	1.15323e-06	1.32823e-06
11	1202	967	13	13	10	3	0.90761	0.09694	8.10694e-07	8.93218e-07
12	1218	938	23	23	17	7	0.835153	0.18014	1.3949e-06	1.67023e-06
13	1225	970	20	21	15	9	0.837127	0.17778	1.39264e-06	1.6636e-06
14	1210	975	23	23	19	4	0.848029	0.16484	1.28123e-06	1.51083e-06
15	1243	945	14	15	12	4	0.891723	0.1146	9.44554e-07	1.05925e-06
16	1244	963	22	22	18	5	0.849031	0.16366	1.27992e-06	1.50751e-06
17	1262	995	12	12	11	1	0.922692	0.08046	6.7403e-07	7.30504e-07
18	1223	953	17	17	13	4	0.880593	0.12716	1.03218e-06	1.17214e-06
19	1290	1032	20	20	15	6	0.855388	0.1562	1.23839e-06	1.44775e-06
20	1206	937	21	21	18	3	0.863139	0.14718	1.16075e-06	1.3448e-06
21	1235	943	24	25	17	11	0.808075	0.2131	1.61264e-06	1.99566e-06
22	1228	962	13	13	12	1	0.916915	0.08674	7.21568e-07	7.86952e-07
23	1256	1002	27	27	17	21	0.758312	0.27666	2.00186e-06	2.63988e-06
24	1246	1003	16	16	10	8	0.868246	0.14128	1.15323e-06	1.32823e-06
25	1261	975	22	22	16	6	0.844712	0.16876	1.3183e-06	1.56065e-06
26	1266	998	23	23	18	6	0.839423	0.17504	1.35743e-06	1.61709e-06
27	1177	935	26	28	21	7	0.809337	0.21154	1.5802e-06	1.95247e-06
28	1296	1023	24	24	20	4	0.84272	0.17112	1.32077e-06	1.56728e-06
29	1210	948	22	22	17	6	0.844712	0.16876	1.3183e-06	1.56065e-06
30	1252	1006	13	14	10	5	0.892776	0.11342	9.42711e-07	1.05593e-06
31	1230	971	15	15	12	4	0.891723	0.1146	9.44554e-07	1.05925e-06
32	1243	980	18	18	15	3	0.879554	0.12834	1.03388e-06	1.17546e-06
33	1228	954	14	16	13	4	0.88614	0.12088	9.88662e-07	1.11569e-06
34	1179	916	17	17	14	3	0.885095	0.12206	9.90429e-07	1.11901e-06
35	1244	964	18	18	15	4	0.87508	0.13344	1.07511e-06	1.22859e-06
36	1207	950	14	15	11	4	0.891723	0.1146	9.44554e-07	1.05925e-06
37	1252	987	18	18	13	7	0.861793	0.14874	1.19616e-06	1.38799e-06
38	1213	972	15	15	11	4	0.891723	0.1146	9.44554e-07	1.05925e-06
39	1272	984	20	22	16	7	0.840415	0.17386	1.35624e-06	1.61378e-06
40	1233	968	20	20	13	13	0.825389	0.1919	1.50195e-06	1.81968e-06
41	1194	938	22	22	18	6	0.844712	0.16876	1.3183e-06	1.56065e-06
42	1251	967	22	22	18	5	0.849031	0.16366	1.27992e-06	1.50751e-06
43	1333	1048	21	21	16	6	0.850033	0.16248	1.27862e-06	1.5042e-06
44	1273	983	22	22	17	6	0.844712	0.16876	1.3183e-06	1.56065e-06
45	1189	925	27	27	19	15	0.781875	0.24606	1.8148e-06	2.32108e-06
46	1211	955	16	16	13	4	0.88614	0.12088	9.88662e-07	1.11569e-06
47	1217	957	8	8	8	0	0.951001	0.05024	4.29454e-07	4.51581e-07
48	1229	929	17	17	13	5	0.876113	0.13226	1.07348e-06	1.22528e-06
49	1236	954	21	22	15	8	0.836139	0.17896	1.39377e-06	1.66691e-06
