Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	2964	2327	77	80	38	93	0.376552	0.9767	3.56112e-06	9.4572e-06
2	2837	2230	80	81	41	70	0.420765	0.86568	3.48881e-06	8.29158e-06
3	3034	2381	77	78	42	58	0.455828	0.78564	3.41171e-06	7.48464e-06
4	2874	2212	79	83	42	67	0.42192	0.86294	3.47876e-06	8.24508e-06
5	2883	2257	81	81	39	118	0.329401	1.11048	3.57135e-06	1.0842e-05
6	2935	2313	78	78	44	78	0.411626	0.88764	3.51829e-06	8.5473e-06
7	2882	2255	62	63	36	41	0.546216	0.60474	3.13237e-06	5.73466e-06
8	2804	2211	68	70	38	64	0.464869	0.766	3.41765e-06	7.35186e-06
9	2771	2181	71	71	37	54	0.48613	0.72128	3.3431e-06	6.87697e-06
10	3000	2304	81	83	39	118	0.325289	1.12304	3.5635e-06	1.09549e-05
11	2921	2278	80	80	43	61	0.443304	0.8135	3.43868e-06	7.75693e-06
12	2868	2217	86	88	44	76	0.390534	0.94024	3.51696e-06	9.00551e-06
13	2879	2278	69	71	41	44	0.511565	0.67028	3.24621e-06	6.34564e-06
14	2856	2281	70	71	38	52	0.491114	0.71108	3.32519e-06	6.77071e-06
15	2907	2250	65	68	34	59	0.482903	0.72794	3.36742e-06	6.9733e-06
16	2908	2223	77	78	40	84	0.399221	0.91824	3.53953e-06	8.8661e-06
17	2937	2325	71	73	42	51	0.487463	0.71854	3.3296e-06	6.83047e-06
18	2877	2245	50	50	30	33	0.617362	0.4823	2.82491e-06	4.57578e-06
19	2980	2330	76	76	40	61	0.454581	0.78838	3.42351e-06	7.53114e-06
20	2850	2213	62	65	34	44	0.531209	0.6326	3.19095e-06	6.00695e-06
21	2895	2244	89	89	43	105	0.334734	1.09442	3.54912e-06	1.06028e-05
22	2883	2285	73	75	40	66	0.445927	0.8076	3.45164e-06	7.74036e-06
23	2926	2319	64	66	27	73	0.455309	0.78678	3.46229e-06	7.60427e-06
24	2911	2321	84	84	46	87	0.378621	0.97122	3.54548e-06	9.36419e-06
25	2935	2300	72	73	34	70	0.442445	0.81544	3.46877e-06	7.84e-06
26	2942	2265	85	87	43	80	0.385059	0.95436	3.52775e-06	9.1616e-06
27	2806	2220	76	76	42	52	0.475932	0.74248	3.35672e-06	7.05294e-06
28	2989	2379	68	71	41	45	0.508963	0.67538	3.25674e-06	6.39877e-06
29	2856	2237	74	75	46	46	0.493812	0.7056	3.29753e-06	6.6777e-06
30	2921	2306	70	71	41	60	0.471479	0.75188	3.39266e-06	7.19577e-06
31	2888	2263	61	61	40	33	0.576154	0.55138	2.9941e-06	5.1967e-06
32	2906	2260	85	85	45	79	0.391919	0.9367	3.52553e-06	8.99557e-06
33	2884	2229	98	100	48	106	0.310802	1.1686	3.50487e-06	1.12769e-05
34	2810	2236	78	79	46	73	0.419614	0.86842	3.49878e-06	8.33808e-06
35	2908	2235	57	58	36	28	0.602276	0.50704	2.86785e-06	4.76169e-06
36	2852	2231	63	65	31	99	0.401278	0.9131	3.58313e-06	8.92928e-06
37	2921	2305	89	93	52	69	0.392217	0.93594	3.49694e-06	8.91582e-06
38	2861	2271	65	66	33	54	0.501636	0.68988	3.30816e-06	6.59473e-06
39	2952	2286	84	85	48	53	0.44749	0.8041	3.40724e-06	7.61411e-06
40	2892	2257	86	87	42	95	0.3567	1.03086	3.55223e-06	9.9586e-06
41	2832	2244	61	61	32	42	0.550306	0.59728	3.12293e-06	5.6749e-06
42	2920	2265	72	73	44	46	0.500054	0.69304	3.28275e-06	6.5648e-06
43	3045	2384	87	88	46	75	0.392531	0.93514	3.51409e-06	8.95238e-06
44	2954	2292	57	59	35	31	0.589418	0.52862	2.93385e-06	4.97754e-06
45	2825	2236	66	68	39	42	0.526639	0.64124	3.19672e-06	6.07003e-06
46	2858	2245	55	57	37	32	0.593831	0.52116	2.92033e-06	4.91778e-06
47	2867	2247	75	75	37	67	0.443659	0.8127	3.45765e-06	7.79349e-06
48	2885	2212	79	79	41	75	0.415356	0.87862	3.50741e-06	8.44435e-06
49	2896	2274	89	90	45	95	0.350043	1.0497	3.54521e-06	1.01279e-05
50	2869	2238	73	74	40	56	0.472215	0.75032	3.37756e-06	7.15258e-06
51	2925	2300	78	81	39	80	0.399844	0.91668	3.52779e-06	8.82291e-06
52	2957	2271	65	65	35	49	0.517834	0.6581	3.24818e-06	6.27262e-06
53	2960	2330	64	66	39	49	0.514592	0.66438	3.25689e-06	6.32907e-06
54	2833	2240	79	81	48	61	0.440529	0.81978	3.44202e-06	7.81338e-06
55	3025	2366	86	89	48	67	0.406318	0.90062	3.48773e-06	8.58376e-06
56	2872	2201	87	87	43	66	0.413557	0.88296	3.48121e-06	8.41773e-06
57	2879	2288	67	70	36	69	0.453165	0.7915	3.45199e-06	7.61752e-06
58	2900	2245	73	75	39	65	0.448207	0.8025	3.44547e-06	7.68723e-06
59	2896	2257	73	73	40	56	0.47519	0.74404	3.37201e-06	7.09613e-06
60	2833	2228	82	82	43	99	0.360645	1.01986	3.56638e-06	9.88889e-06
61	2886	2291	58	59	35	48	0.540468	0.61532	3.17838e-06	5.8808e-06
62	2886	2317	67	69	36	52	0.497321	0.69852	3.31107e-06	6.65781e-06
63	2936	2309	64	65	41	34	0.559003	0.5816	3.06089e-06	5.47562e-06
64	2883	2291	83	88	48	75	0.392531	0.93514	3.51409e-06	8.95238e-06
65	2876	2248	84	85	45	78	0.393923	0.9316	3.52263e-06	8.94244e-06
66	2968	2336	66	69	36	58	0.482333	0.72912	3.36505e-06	6.97661e-06
67	2905	2257	78	81	39	85	0.389777	0.94218	3.54252e-06	9.08858e-06
68	2922	2328	80	82	43	81	0.39532	0.92806	3.53119e-06	8.93249e-06
69	2934	2323	60	60	37	37	0.568076	0.5655	3.04079e-06	5.35278e-06
70	2824	2214	82	83	44	81	0.392845	0.93434	3.53126e-06	8.98894e-06
71	2975	2328	87	90	52	52	0.435875	0.8304	3.41866e-06	7.84321e-06
72	2847	2232	63	63	40	37	0.557474	0.58434	3.07844e-06	5.52213e-06
73	2909	2266	68	69	36	59	0.47988	0.73422	3.37343e-06	7.02974e-06
74	2881	2269	86	89	45	83	0.374479	0.98222	3.53279e-06	9.43389e-06
75	2888	2291	81	82	49	52	0.458333	0.78016	3.38783e-06	7.39163e-06
76	2909	2293	74	77	41	59	0.456366	0.78446	3.41422e-06	7.48132e-06
77	2953	2306	82	82	45	69	0.420269	0.86686	3.48609e-06	8.29489e-06
78	2939	2294	72	72	35	75	0.434022	0.83466	3.49354e-06	8.04922e-06
79	2800	2232	85	89	39	96	0.350456	1.04852	3.54824e-06	1.01246e-05
80	2984	2342	73	74	38	68	0.444182	0.81152	3.46026e-06	7.79018e-06
81	2853	2239	74	75	43	54	0.47407	0.7464	3.36721e-06	7.10276e-06
82	2949	2313	76	79	43	66	0.434865	0.83272	3.4642e-06	7.96615e-06
83	2885	2293	53	54	32	29	0.614455	0.48702	2.81975e-06	4.58903e-06
84	2813	2210	68	72	47	37	0.526839	0.64086	3.17692e-06	6.03016e-06
85	2913	2300	58	58	33	40	0.566522	0.56824	3.05881e-06	5.39929e-06
86	2872	2266	63	65	39	50	0.5152	0.6632	3.25903e-06	6.32575e-06
