Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	30	26	154	192	21	1724	4.54835e-05	9.99816	4.65931e-09	0.00010244
2	19	17	154	210	22	2450	1.00171e-06	13.8138	1.42273e-10	0.00014203
3	37	34	142	185	30	2013	1.08853e-05	11.4281	1.27793e-09	0.0001174
4	22	17	54	62	15	227	0.212873	1.54706	3.31251e-06	1.5561e-05
5	23	17	122	149	19	1127	0.00125149	6.68342	8.54666e-08	6.82918e-05
6	28	23	61	70	14	308	0.133935	2.0104	2.72107e-06	2.03164e-05
7	26	19	99	125	20	1918	2.57571e-05	10.5668	2.80663e-09	0.000108965
8	27	23	117	152	22	979	0.00261247	5.94746	1.58309e-07	6.05974e-05
9	13	10	50	56	10	467	0.0649992	2.73338	1.81831e-06	2.79743e-05
10	34	29	176	213	24	1712	4.23797e-05	10.0688	4.36458e-09	0.000102987
11	26	16	84	107	15	872	0.00598104	5.11916	3.1324e-07	5.2372e-05
12	22	17	122	150	20	2790	2.57821e-07	15.171	4.04028e-11	0.000156709
13	23	17	133	156	17	1487	0.000190973	8.56338	1.67702e-08	8.78149e-05
14	20	15	59	63	11	408	0.0840419	2.47644	2.12076e-06	2.52345e-05
15	25	20	122	143	23	1086	0.00160178	6.43664	1.05357e-07	6.57747e-05
16	26	19	96	115	17	1040	0.00241465	6.0262	1.49105e-07	6.175e-05
17	28	24	127	146	23	1187	0.000939108	6.97058	6.69682e-08	7.13105e-05
18	22	18	88	108	16	793	0.00889256	4.72254	4.28897e-07	4.8231e-05
19	32	25	159	200	25	1647	6.40594e-05	9.6557	6.32906e-09	9.87999e-05
20	20	11	45	55	16	184	0.276983	1.2838	3.56785e-06	1.28811e-05
21	24	19	154	188	25	1776	3.57758e-05	10.2382	3.75562e-09	0.000104977
22	23	18	138	188	17	2250	3.18952e-06	12.6556	4.15154e-10	0.000130162
23	19	13	69	93	20	593	0.0270968	3.60834	9.96013e-07	3.67576e-05
24	26	24	105	133	22	1372	0.000396656	7.83244	3.18937e-08	8.04063e-05
25	28	19	94	121	17	1150	0.00132694	6.62488	9.01434e-08	6.79333e-05
26	28	23	152	192	24	1337	0.000327357	8.02446	2.6803e-08	8.1877e-05
27	16	13	116	145	15	1425	0.000280735	8.1781	2.35536e-08	8.38997e-05
28	33	26	156	189	27	1431	0.000206539	8.48502	1.79074e-08	8.67022e-05
29	20	18	189	237	21	3465	4.77506e-09	19.1599	9.43e-13	0.000197485
30	26	22	91	110	19	831	0.00723446	4.9289	3.64348e-07	5.03629e-05
31	23	17	105	127	19	1017	0.00251808	5.98426	1.5412e-07	6.12053e-05
32	25	21	158	199	17	3511	4.79439e-09	19.1558	9.48252e-13	0.000197784
33	24	19	187	239	29	3561	2.88997e-09	19.662	5.85792e-13	0.000202698
34	31	23	164	207	29	1796	2.86728e-05	10.4596	3.0712e-09	0.000107112
35	25	17	113	144	22	1445	0.000255109	8.27382	2.16603e-08	8.49059e-05
36	20	16	110	131	15	1446	0.000275402	8.19728	2.31958e-08	8.42252e-05
37	26	21	105	112	27	459	0.0476315	3.04426	1.46278e-06	3.07103e-05
38	21	18	180	217	20	1913	1.4827e-05	11.1191	1.68869e-09	0.000113893
39	29	20	79	97	18	553	0.0324044	3.42946	1.12956e-06	3.48581e-05
40	24	18	143	180	23	2043	9.63893e-06	11.5497	1.14425e-09	0.000118712
41	28	26	171	210	20	2077	6.71276e-06	11.9115	8.20378e-10	0.000122212
42	26	21	90	102	21	642	0.0199453	3.91476	7.95204e-07	3.98692e-05
43	38	29	85	110	18	682	0.0154677	4.169	6.56544e-07	4.24461e-05
44	30	26	214	267	33	3196	1.55943e-08	17.9764	2.88316e-12	0.000184885
45	18	12	63	85	17	390	0.0802346	2.5228	2.04759e-06	2.552e-05
46	21	14	80	111	11	921	0.00454294	5.39418	2.50777e-07	5.52014e-05
47	21	15	77	101	15	815	0.00830598	4.79078	4.07032e-07	4.90048e-05
48	23	17	163	188	26	1479	0.00016271	8.72354	1.45131e-08	8.91962e-05
49	24	19	83	101	22	437	0.0570984	2.86298	1.65131e-06	2.89204e-05
50	26	19	190	267	23	4784	4.73917e-12	26.0752	1.27607e-15	0.000269261
51	27	23	123	158	20	1993	1.42816e-05	11.1565	1.63971e-09	0.000114813
52	30	24	158	207	25	1833	2.37421e-05	10.6483	2.58974e-09	0.000109078
53	30	19	137	179	21	1900	2.01135e-05	10.8141	2.23375e-09	0.000111057
54	18	11	19	24	5	85	0.557541	0.58422	3.27336e-06	5.87106e-06
55	36	32	254	323	32	4374	2.69823e-11	24.3358	6.76277e-15	0.000250637
56	22	16	59	66	15	234	0.200312	1.60788	3.23678e-06	1.61587e-05
57	23	20	66	83	14	593	0.028853	3.54554	1.04428e-06	3.61931e-05
58	25	19	89	102	19	716	0.0136754	4.29216	5.98995e-07	4.3801e-05
59	21	15	152	195	19	1668	5.93891e-05	9.7314	5.91714e-09	9.96335e-05
60	18	13	55	58	12	285	0.162392	1.81774	2.99077e-06	1.84169e-05
