Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	38	34	105	114	28	350	0.0820095	2.50092	2.05283e-06	2.50316e-05
2	25	21	77	88	21	327	0.108572	2.22034	2.42571e-06	2.23419e-05
3	46	40	89	95	29	312	0.112163	2.1878	2.46087e-06	2.19401e-05
4	29	21	36	40	16	58	0.578683	0.547	3.08995e-06	5.33963e-06
5	30	23	59	64	21	178	0.269896	1.30972	3.52763e-06	1.30704e-05
6	35	29	30	32	17	31	0.698332	0.35906	2.41166e-06	3.45345e-06
7	33	23	58	66	23	210	0.226394	1.48548	3.36953e-06	1.48835e-05
8	21	17	61	65	15	314	0.134042	2.0096	2.72815e-06	2.03529e-05
9	27	18	42	45	21	77	0.509004	0.6753	3.37541e-06	6.6314e-06
10	42	37	95	101	38	192	0.199193	1.61348	3.16773e-06	1.59028e-05
11	34	20	54	58	19	188	0.266324	1.32304	3.53226e-06	1.3263e-05
12	28	22	63	64	25	132	0.341257	1.07512	3.62627e-06	1.06262e-05
13	29	23	83	90	26	269	0.144121	1.9371	2.79208e-06	1.93731e-05
14	27	21	40	42	23	110	0.43834	0.82476	3.60116e-06	8.21545e-06
15	32	25	43	46	22	57	0.560134	0.57958	3.15085e-06	5.62518e-06
16	32	25	45	52	21	201	0.25881	1.35166	3.52371e-06	1.3615e-05
17	35	28	66	69	24	137	0.322381	1.13202	3.60233e-06	1.11741e-05
18	29	25	59	65	27	117	0.366081	1.0049	3.61896e-06	9.88568e-06
19	40	32	107	114	26	329	0.0912803	2.39382	2.18305e-06	2.39158e-05
20	26	14	42	44	20	58	0.564328	0.57212	3.14072e-06	5.56542e-06
21	31	26	68	71	21	307	0.133777	2.01158	2.71831e-06	2.03197e-05
22	30	22	69	80	17	374	0.0898333	2.4098	2.19082e-06	2.43876e-05
23	25	18	41	41	22	36	0.643341	0.44108	2.7195e-06	4.22715e-06
24	33	31	60	63	22	131	0.345162	1.06374	3.62995e-06	1.05166e-05
25	35	23	62	67	28	187	0.252976	1.37446	3.4703e-06	1.37179e-05
26	36	31	81	88	32	166	0.246784	1.39924	3.40254e-06	1.37875e-05
27	22	17	67	74	18	209	0.216401	1.53062	3.30704e-06	1.5282e-05
28	41	33	90	95	32	305	0.11624	2.1521	2.50708e-06	2.15681e-05
