Radiation,Z,LET (keV/um),E (MeV/n),Cell,surv_alpha,surv_beta,mut_alpha,mut_beta
X,0,1,0.1,HF19,0.79,0.00E+00,3.10E-05,0.00E+00
He,2,20,8.99,HF19,1.09,0.00E+00,3.94E-05,0.00E+00
He,2,28,5.91,HF19,1.25,0.00E+00,4.85E-05,0.00E+00
He,2,50,2.81,HF19,1.98,0.00E+00,8.99E-05,0.00E+00
He,2,70,1.78,HF19,2.57,0.00E+00,1.35E-04,0.00E+00
He,2,90,1.23,HF19,3.16,0.00E+00,2.20E-04,0.00E+00
B,5,110,10.48,HF19,2.96,0.00E+00,2.01E-04,0.00E+00
B,5,160,6.5,HF19,2.79,0.00E+00,1.78E-04,0.00E+00
B,5,200,4.83,HF19,2,0.00E+00,2.07E-04,0.00E+00
X,0,1,0.1,V79,0.14,2.60E-02,3.50E-06,8.60E-07
He,2,20,8.99,V79,0.49,1.80E-02,1.00E-05,3.60E-06
He,2,28,5.91,V79,0.55,4.20E-02,NA,NA
He,2,50,2.81,V79,0.93,2.50E-02,4.90E-05,8.00E-06
He,2,70,1.78,V79,0.96,9.70E-02,NA,NA
He,2,90,1.23,V79,1.29,7.00E-02,6.00E-05,4.10E-05
B,5,110,10.48,V79,0.74,1.40E-01,6.20E-05,3.00E-05
B,5,200,4.83,V79,1.12,1.90E-01,5.40E-05,3.30E-05
