Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	61	51	12	12	10	2	0.917998	0.08556	7.19378e-07	7.83638e-07
2	60	49	15	16	13	4	0.88614	0.12088	9.88662e-07	1.11569e-06
3	58	48	26	29	20	12	0.784021	0.24332	1.78332e-06	2.27458e-06
4	57	43	16	16	15	1	0.899802	0.10558	8.60476e-07	9.56295e-07
5	56	44	19	19	17	2	0.878517	0.12952	1.03557e-06	1.17877e-06
6	55	37	26	26	20	7	0.819566	0.19898	1.50765e-06	1.83957e-06
7	55	47	26	28	23	6	0.813475	0.20644	1.54506e-06	1.89933e-06
8	54	41	12	14	11	4	0.89734	0.10832	8.99852e-07	1.0028e-06
9	53	40	22	23	21	2	0.856724	0.15464	1.20332e-06	1.40456e-06
10	58	46	17	17	14	4	0.880593	0.12716	1.03218e-06	1.17214e-06
11	51	42	16	16	15	1	0.899802	0.10558	8.60476e-07	9.56295e-07
12	50	36	13	14	11	3	0.901929	0.10322	8.56531e-07	9.49666e-07
13	49	42	10	11	9	3	0.919082	0.08438	7.17181e-07	7.80323e-07
14	48	35	5	5	5	0	0.969088	0.0314	2.73513e-07	2.82238e-07
15	52	41	15	15	12	4	0.891723	0.1146	9.44554e-07	1.05925e-06
16	68	54	14	15	13	2	0.900865	0.1044	8.58507e-07	9.5298e-07
17	43	36	19	21	13	36	0.729439	0.31548	2.25994e-06	3.09819e-06
18	41	35	16	16	15	1	0.899802	0.10558	8.60476e-07	9.56295e-07
19	50	44	9	10	9	1	0.934354	0.0679	5.77066e-07	6.17609e-07
20	56	41	18	18	17	1	0.888572	0.11814	9.50052e-07	1.06919e-06
21	57	43	24	24	18	9	0.821503	0.19662	1.50577e-06	1.83294e-06
22	56	45	21	22	18	4	0.853372	0.15856	1.24113e-06	1.45438e-06
23	59	46	19	21	17	5	0.854379	0.15738	1.23976e-06	1.45107e-06
24	48	41	8	8	8	0	0.951001	0.05024	4.29454e-07	4.51581e-07
25	48	41	20	22	15	10	0.827654	0.18916	1.46758e-06	1.77318e-06
26	43	35	14	16	13	4	0.88614	0.12088	9.88662e-07	1.11569e-06
27	52	40	17	17	13	4	0.880593	0.12716	1.03218e-06	1.17214e-06
28	60	41	21	22	20	2	0.862121	0.14836	1.16224e-06	1.34811e-06
29	61	48	18	19	14	7	0.856398	0.15502	1.23701e-06	1.44444e-06
30	54	40	17	19	14	9	0.847707	0.16522	1.31454e-06	1.5507e-06
31	49	34	9	9	9	0	0.945048	0.05652	4.80111e-07	5.08028e-07
32	45	34	11	12	11	1	0.922692	0.08046	6.7403e-07	7.30504e-07
33	57	42	15	15	12	4	0.891723	0.1146	9.44554e-07	1.05925e-06
34	66	53	32	32	25	9	0.78125	0.24686	1.78478e-06	2.28452e-06
35	64	48	20	21	18	3	0.863139	0.14718	1.16075e-06	1.3448e-06
36	63	46	16	16	15	1	0.899802	0.10558	8.60476e-07	9.56295e-07
