Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	342	283	92	92	73	27	0.488967	0.71546	3.24076e-06	6.62778e-06
2	339	266	109	115	81	42	0.392037	0.9364	3.41976e-06	8.72307e-06
3	336	274	101	103	84	21	0.470509	0.75394	3.26058e-06	6.9299e-06
4	334	257	113	116	81	45	0.383667	0.95798	3.42957e-06	8.93892e-06
5	331	264	119	123	88	77	0.311879	1.16514	3.44137e-06	1.10343e-05
6	329	251	115	122	85	60	0.342268	1.07216	3.44822e-06	1.00746e-05
7	327	258	108	109	84	33	0.426211	0.85282	3.36971e-06	7.90618e-06
8	325	252	121	124	74	92	0.287101	1.24792	3.41299e-06	1.18878e-05
9	322	247	118	119	91	37	0.392186	0.93602	3.40542e-06	8.68319e-06
10	336	269	113	115	80	49	0.378288	0.9721	3.44053e-06	9.095e-06
11	318	241	95	96	80	25	0.481726	0.73038	3.25035e-06	6.7473e-06
12	315	244	110	112	87	32	0.420395	0.86656	3.37258e-06	8.02239e-06
13	313	248	92	96	72	35	0.457774	0.78138	3.33197e-06	7.27863e-06
14	310	251	91	96	71	31	0.467208	0.76098	3.30134e-06	7.0661e-06
15	307	244	105	109	82	35	0.421886	0.86302	3.38034e-06	8.01245e-06
16	359	292	99	99	79	24	0.475152	0.74412	3.26121e-06	6.86351e-06
17	299	236	90	92	63	73	0.386718	0.95006	3.50827e-06	9.0719e-06
18	294	233	101	110	84	31	0.427885	0.8489	3.36162e-06	7.85637e-06
19	314	243	109	111	83	39	0.408207	0.89598	3.40358e-06	8.33788e-06
20	331	263	104	107	78	39	0.418591	0.87086	3.39565e-06	8.11209e-06
21	334	254	119	119	83	57	0.354155	1.03802	3.45155e-06	9.74586e-06
22	331	268	92	95	62	48	0.431107	0.8414	3.41131e-06	7.91292e-06
23	338	266	109	112	86	36	0.411906	0.88696	3.39202e-06	8.23493e-06
24	312	249	94	96	66	48	0.428408	0.84768	3.41414e-06	7.96936e-06
25	322	248	102	106	76	42	0.414833	0.87988	3.40787e-06	8.21504e-06
26	297	234	83	84	68	17	0.541063	0.61422	3.05423e-06	5.64486e-06
27	319	255	105	109	82	48	0.394822	0.92932	3.43621e-06	8.70318e-06
28	340	267	110	117	89	35	0.401214	0.91326	3.39589e-06	8.46403e-06
29	342	261	108	110	82	39	0.410779	0.8897	3.40184e-06	8.28143e-06
30	326	270	96	99	76	30	0.460833	0.77472	3.30984e-06	7.18231e-06
31	312	244	106	108	82	45	0.403435	0.90774	3.42409e-06	8.48733e-06
32	304	232	82	86	66	24	0.515571	0.66248	3.16029e-06	6.12969e-06
33	333	257	111	115	82	44	0.388058	0.9466	3.4263e-06	8.82933e-06
34	356	287	104	110	72	70	0.350708	1.0478	3.48203e-06	9.92856e-06
35	351	261	131	134	101	44	0.344411	1.06592	3.4103e-06	9.90184e-06
36	347	269	117	118	86	63	0.345646	1.06234	3.4593e-06	1.00082e-05
37	343	254	101	105	80	34	0.43483	0.8328	3.36277e-06	7.73353e-06
38	340	266	104	105	82	35	0.432618	0.8379	3.36865e-06	7.78666e-06
39	337	262	107	109	88	29	0.434995	0.83242	3.3467e-06	7.69365e-06
40	334	265	112	116	87	34	0.405806	0.90188	3.39029e-06	8.35445e-06
41	332	274	110	111	79	44	0.39793	0.92148	3.42361e-06	8.60354e-06
42	330	256	102	105	78	33	0.437053	0.8277	3.35674e-06	7.68039e-06
43	327	251	91	94	65	40	0.451888	0.79432	3.35816e-06	7.4314e-06
44	325	257	94	97	66	58	0.404558	0.90496	3.46186e-06	8.55714e-06
45	323	235	107	110	80	51	0.386393	0.9509	3.44625e-06	8.91903e-06
46	321	260	89	91	69	29	0.487054	0.71938	3.25235e-06	6.67759e-06
47	318	244	111	111	80	48	0.389894	0.94188	3.43734e-06	8.81608e-06
48	316	259	91	91	69	30	0.484576	0.72448	3.26155e-06	6.73073e-06
49	313	242	100	102	81	25	0.463912	0.76806	3.28727e-06	7.08599e-06
50	321	251	104	107	82	27	0.445009	0.80966	3.32622e-06	7.47449e-06
51	308	246	87	88	67	26	0.503969	0.68524	3.19963e-06	6.34885e-06
52	304	238	71	73	58	16	0.582725	0.54004	2.89661e-06	4.97081e-06
53	300	232	95	98	72	36	0.449761	0.79904	3.34831e-06	7.44466e-06
54	336	266	129	133	94	58	0.322697	1.13104	3.41713e-06	1.05893e-05
55	342	269	108	111	83	45	0.395905	0.92658	3.42723e-06	8.65668e-06
56	283	224	78	80	61	21	0.543623	0.6095	3.06147e-06	5.63161e-06
57	302	227	101	103	79	32	0.44484	0.81004	3.34269e-06	7.51437e-06
58	347	270	122	125	88	60	0.33588	1.091	3.44074e-06	1.02439e-05
59	339	264	105	109	79	45	0.400909	0.91402	3.42528e-06	8.54378e-06
60	311	235	110	116	79	46	0.381715	0.96308	3.4324e-06	8.99205e-06
61	344	269	78	80	67	14	0.563381	0.5738	2.9632e-06	5.25967e-06
62	330	269	126	130	86	73	0.304617	1.1887	3.41686e-06	1.12169e-05
63	319	252	97	97	77	23	0.483618	0.72646	3.23902e-06	6.69748e-06
64	302	232	93	96	77	25	0.481726	0.73038	3.25035e-06	6.7473e-06
65	326	250	118	122	92	38	0.382908	0.95996	3.41005e-06	8.90567e-06
66	326	258	99	100	80	25	0.469776	0.7555	3.27579e-06	6.97309e-06
67	293	231	104	109	67	85	0.326926	1.11802	3.48801e-06	1.06691e-05
68	372	287	142	143	100	55	0.307728	1.17854	3.38326e-06	1.09943e-05
69	364	287	103	105	78	36	0.430417	0.843	3.37438e-06	7.83979e-06
70	357	287	132	133	98	57	0.324347	1.12594	3.41736e-06	1.05361e-05
71	315	246	90	91	72	23	0.502188	0.68878	3.19331e-06	6.3588e-06
72	342	257	94	97	72	32	0.461922	0.77236	3.3146e-06	7.17568e-06
73	315	246	119	122	77	80	0.309078	1.17416	3.44229e-06	1.11373e-05
74	341	275	106	107	84	28	0.442746	0.81476	3.33282e-06	7.52762e-06
75	338	272	114	116	90	31	0.412063	0.88658	3.37687e-06	8.19505e-06
76	335	264	92	97	75	28	0.471442	0.75196	3.28272e-06	6.96315e-06
77	332	276	107	108	85	33	0.428896	0.84654	3.36672e-06	7.84974e-06
78	330	253	99	103	71	49	0.407897	0.89674	3.43353e-06	8.41763e-06
79	328	264	114	116	86	40	0.393576	0.93248	3.41359e-06	8.67325e-06
80	326	254	127	133	91	60	0.319423	1.14124	3.41639e-06	1.06955e-05
81	323	252	109	111	84	41	0.404065	0.90618	3.41198e-06	8.44414e-06
82	321	262	103	108	80	35	0.424544	0.85674	3.37767e-06	7.956e-06
83	319	250	94	95	81	16	0.50753	0.6782	3.15311e-06	6.21265e-06
84	323	256	113	115	76	59	0.359479	1.0231	3.46046e-06	9.62633e-06
85	314	242	97	102	75	42	0.425385	0.85476	3.39851e-06	7.98925e-06
86	311	239	98	100	76	30	0.457948	0.781	3.31497e-06	7.23876e-06
87	308	243	107	111	82	41	0.404065	0.90618	3.41198e-06	8.44414e-06
88	305	240	91	100	72	41	0.432964	0.8371	3.38718e-06	7.82322e-06
89	324	247	107	111	84	34	0.418751	0.87048	3.38024e-06	8.07221e-06
90	286	227	76	77	69	9	0.588923	0.52946	2.84136e-06	4.82466e-06
91	291	236	92	98	77	30	0.463736	0.76844	3.30452e-06	7.12586e-06
92	331	275	111	116	74	68	0.341202	1.07528	3.46695e-06	1.0161e-05
93	322	266	114	117	75	69	0.337341	1.08666	3.46468e-06	1.02706e-05
94	290	227	113	116	80	63	0.350015	1.04978	3.46351e-06	9.89531e-06
95	339	271	118	125	80	73	0.314334	1.1573	3.43714e-06	1.09347e-05
96	312	235	99	103	74	42	0.422722	0.86104	3.4011e-06	8.0457e-06
97	316	253	85	89	63	40	0.466303	0.76292	3.33368e-06	7.14916e-06
98	339	259	97	99	77	25	0.472735	0.74922	3.26974e-06	6.91664e-06
99	320	255	114	122	71	99	0.280534	1.27106	3.40759e-06	1.21468e-05
100	332	263	141	145	98	93	0.250349	1.3849	3.28615e-06	1.31263e-05
101	308	245	99	103	69	50	0.405822	0.90184	3.43762e-06	8.47076e-06
102	326	258	105	109	85	40	0.411264	0.88852	3.40449e-06	8.27812e-06
103	355	279	109	113	84	36	0.409327	0.89324	3.39389e-06	8.29137e-06
104	325	252	99	102	73	37	0.436372	0.82926	3.37036e-06	7.72358e-06
105	333	269	117	119	80	77	0.319813	1.14002	3.4567e-06	1.08085e-05
106	306	252	98	102	71	50	0.408379	0.89556	3.43623e-06	8.41432e-06
107	343	281	107	109	77	41	0.409172	0.89362	3.40891e-06	8.33125e-06
108	348	272	126	134	87	91	0.271004	1.30562	3.36021e-06	1.23991e-05
109	345	263	118	122	81	57	0.347545	1.05686	3.44598e-06	9.9152e-06
110	341	264	89	94	72	28	0.480408	0.73312	3.2638e-06	6.7938e-06
111	338	267	96	97	69	34	0.457234	0.78256	3.32955e-06	7.28195e-06
112	336	262	105	109	76	54	0.382924	0.95992	3.45473e-06	9.02198e-06
113	333	263	124	128	94	43	0.359464	1.02314	3.41851e-06	9.51002e-06
114	331	252	104	107	76	45	0.405977	0.90146	3.42274e-06	8.43089e-06
115	328	253	117	126	79	77	0.306058	1.18398	3.42897e-06	1.12037e-05
116	326	262	95	96	61	64	0.394838	0.92928	3.48227e-06	8.81949e-06
117	324	237	120	125	95	41	0.370056	0.9941	3.41725e-06	9.23441e-06
118	322	263	112	116	84	39	0.395589	0.92738	3.41002e-06	8.62012e-06
119	319	248	91	94	73	29	0.477964	0.73822	3.27259e-06	6.84694e-06
120	317	252	95	97	68	42	0.438954	0.82336	3.38303e-06	7.70701e-06
121	315	249	100	107	75	50	0.395755	0.92696	3.4417e-06	8.69655e-06
122	312	235	114	118	84	44	0.380816	0.96544	3.42684e-06	8.99868e-06
123	309	243	97	99	78	38	0.442409	0.81552	3.36557e-06	7.60737e-06
124	307	238	100	103	78	37	0.43364	0.83554	3.37373e-06	7.78003e-06
125	302	233	101	106	78	37	0.425547	0.85438	3.38283e-06	7.94937e-06
126	298	239	89	90	69	31	0.485149	0.7233	3.2638e-06	6.72741e-06
127	353	257	118	124	86	51	0.353872	1.03882	3.43585e-06	9.7093e-06
128	331	261	92	93	71	28	0.483434	0.72684	3.25707e-06	6.73736e-06
129	302	230	106	112	70	71	0.344569	1.06546	3.47829e-06	1.00946e-05
130	343	264	111	118	83	48	0.373126	0.98584	3.43694e-06	9.21121e-06
131	339	280	125	131	92	58	0.326776	1.11848	3.42342e-06	1.04764e-05
132	327	246	115	116	88	40	0.393576	0.93248	3.41359e-06	8.67325e-06
133	344	263	95	100	76	38	0.43964	0.8218	3.36932e-06	7.66382e-06
134	290	228	84	95	56	114	0.307894	1.178	3.51606e-06	1.14197e-05
135	320	251	110	111	87	28	0.431762	0.83988	3.34763e-06	7.75341e-06
136	327	251	93	95	71	35	0.460658	0.7751	3.32695e-06	7.22218e-06
137	336	247	103	105	77	55	0.390667	0.9399	3.45714e-06	8.84932e-06
138	326	249	98	100	81	21	0.479458	0.7351	3.2414e-06	6.76056e-06
