Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	5	5	18	21	8	38	0.722036	0.32568	2.31374e-06	3.20446e-06
2	5	4	13	14	7	12	0.861466	0.14912	1.23006e-06	1.42786e-06
3	4	4	4	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
4	5	3	4	4	1	6	0.945804	0.05572	5.15075e-07	5.4459e-07
5	1	1	4	5	2	4	0.949519	0.0518	4.69794e-07	4.94771e-07
6	2	2	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
7	1	0	0	0	0	0	1	-0	0	0
8	3	2	0	0	0	0	1	-0	0	0
9	7	4	56	67	14	258	0.176125	1.73656	3.08049e-06	1.74904e-05
10	5	5	49	63	11	369	0.102536	2.27754	2.37498e-06	2.31623e-05
11	4	4	0	0	0	0	1	-0	0	0
12	7	4	25	27	8	95	0.519931	0.65406	3.41685e-06	6.57174e-06
13	5	4	9	12	6	21	0.833218	0.18246	1.4941e-06	1.79317e-06
14	6	4	8	11	4	14	0.868941	0.14048	1.18592e-06	1.36479e-06
15	7	4	7	7	4	4	0.937667	0.06436	5.69789e-07	6.07666e-07
16	6	5	53	67	13	531	0.0437677	3.12886	1.40038e-06	3.19957e-05
17	4	4	34	42	17	75	0.524002	0.64626	3.33045e-06	6.35579e-06
18	3	3	38	45	7	210	0.258309	1.3536	3.53834e-06	1.36981e-05
19	8	6	0	0	0	0	1	-0	0	0
20	5	3	21	25	12	34	0.718636	0.3304	2.31237e-06	3.21772e-06
21	6	6	29	30	9	81	0.547989	0.6015	3.28641e-06	5.99722e-06
22	2	2	0	0	0	0	1	-0	0	0
23	4	3	12	13	5	24	0.81543	0.20404	1.63821e-06	2.00902e-06
24	11	10	59	77	21	274	0.152444	1.88096	2.88194e-06	1.8905e-05
25	5	4	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
26	8	6	55	62	14	205	0.238149	1.43486	3.42745e-06	1.43921e-05
27	6	6	26	37	4	271	0.198998	1.61446	3.28101e-06	1.64877e-05
28	3	1	0	0	0	0	1	-0	0	0
29	4	3	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
30	2	1	6	8	3	11	0.899119	0.10634	9.31529e-07	1.03605e-06
31	8	4	12	15	1	105	0.532752	0.6297	3.4233e-06	6.4257e-06
32	7	3	0	0	0	0	1	-0	0	0
33	4	2	5	7	3	6	0.928152	0.07456	6.62638e-07	7.13932e-07
34	6	5	39	48	13	155	0.335565	1.09194	3.6728e-06	1.09451e-05
35	4	3	7	8	4	10	0.903716	0.10124	8.88274e-07	9.82913e-07
36	3	3	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
37	4	4	8	9	7	2	0.935457	0.06672	5.74646e-07	6.14295e-07
38	3	2	9	10	4	12	0.88338	0.124	1.06189e-06	1.20207e-06
39	1	1	0	0	0	0	1	-0	0	0
40	4	3	18	22	9	40	0.710235	0.34216	2.39148e-06	3.36718e-06
41	5	5	10	11	5	10	0.886849	0.12008	1.02188e-06	1.15226e-06
42	3	3	2	2	1	1	0.982495	0.01766	1.63122e-07	1.66028e-07
43	2	1	25	31	9	113	0.46256	0.77098	3.58665e-06	7.75393e-06
44	0	0	0	0	0	0	1	-0	0	0
45	5	5	45	61	7	521	0.0478263	3.04018	1.48863e-06	3.11257e-05
46	3	1	0	0	0	0	1	-0	0	0
47	5	5	22	25	7	78	0.574187	0.5548	3.18994e-06	5.55558e-06
48	4	4	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
49	3	2	5	5	2	6	0.939883	0.062	5.64905e-07	6.01037e-07
50	9	9	19	21	8	52	0.67228	0.39708	2.65438e-06	3.94833e-06
51	5	3	17	19	8	30	0.761611	0.27232	2.03083e-06	2.6665e-06
52	4	3	0	0	0	0	1	-0	0	0
53	7	5	25	35	7	153	0.367843	1.0001	3.71707e-06	1.0105e-05
54	6	5	33	39	10	93	0.487132	0.71922	3.47951e-06	7.14284e-06
55	5	5	3	4	3	1	0.970232	0.03022	2.70621e-07	2.78924e-07
56	1	1	0	0	0	0	1	-0	0	0
57	5	5	34	41	8	227	0.242882	1.41518	3.49157e-06	1.43756e-05
58	4	4	17	20	8	46	0.697537	0.3602	2.49235e-06	3.57308e-06
59	3	3	4	4	3	1	0.970232	0.03022	2.70621e-07	2.78924e-07
60	6	6	25	33	8	176	0.331264	1.10484	3.71486e-06	1.12142e-05
61	7	6	59	64	21	180	0.267157	1.31992	3.52022e-06	1.31766e-05
62	2	2	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
63	4	4	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
64	7	7	25	34	11	96	0.495038	0.70312	3.47517e-06	7.02001e-06
65	6	4	26	36	6	206	0.278962	1.27668	3.62024e-06	1.29776e-05
66	2	2	6	6	4	2	0.953248	0.04788	4.2415e-07	4.44952e-07
67	6	6	4	8	1	28	0.824449	0.19304	1.59886e-06	1.93931e-06
68	3	3	21	26	5	91	0.533989	0.62738	3.3656e-06	6.30276e-06
69	2	2	19	25	7	66	0.610425	0.4936	3.00206e-06	4.91798e-06
70	3	2	8	8	2	21	0.854414	0.15734	1.33919e-06	1.56738e-06
71	8	7	17	25	9	55	0.645649	0.4375	2.79793e-06	4.33352e-06
72	7	4	0	0	0	0	1	-0	0	0
73	6	4	16	17	12	6	0.871656	0.13736	1.11433e-06	1.27841e-06
74	3	2	0	0	0	0	1	-0	0	0
75	3	3	28	30	9	50	0.64185	0.4434	2.79211e-06	4.35009e-06
76	6	5	36	40	8	205	0.273433	1.2967	3.5957e-06	1.31502e-05
77	4	4	8	8	3	8	0.912981	0.09104	8.00362e-07	8.76646e-07
78	3	3	12	17	6	25	0.791156	0.23426	1.81012e-06	2.28794e-06
79	1	1	0	0	0	0	1	-0	0	0
80	1	1	0	0	0	0	1	-0	0	0
81	6	6	40	46	11	265	0.193906	1.64038	3.23375e-06	1.66769e-05
82	7	6	4	5	3	3	0.954374	0.0467	4.21487e-07	4.41638e-07
83	11	9	69	77	17	295	0.136961	1.98806	2.74206e-06	2.00208e-05
84	8	4	10	10	4	12	0.88338	0.124	1.06189e-06	1.20207e-06
85	3	1	0	0	0	0	1	-0	0	0
86	5	4	0	0	0	0	1	-0	0	0
87	5	3	0	0	0	0	1	-0	0	0
