Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
B	0	4202480	4.83	3.41668e+07	0.5	1000	0	4.518	3.56	14.851	18.084	4.921	66.596	0.731821	0.453207	1.6134e-06	4.55926e-06	
B	0	4202480	4.83	3.41668e+07	1	1000	0	8.935	6.998	28.804	34.887	9.61	129.318	0.53612	0.878612	2.41533e-06	8.84037e-06	
B	0	4202480	4.83	3.41668e+07	2	1000	0	17.974	14.078	57.604	69.713	19.251	251.566	0.297317	1.72078	2.58483e-06	1.73016e-05	
B	0	4202480	4.83	3.41668e+07	4	1000	0	35.929	28.005	115.807	140.056	38.343	508.941	0.0858888	3.47515	1.53979e-06	3.49475e-05	
B	0	4202480	6.5	3.61989e+07	0.5	1000	0	5.627	4.414	14.809	17.207	5.763	46.915	0.765335	0.347326	1.59237e-06	3.46404e-06	
B	0	4202480	6.5	3.61989e+07	1	1000	0	11.198	8.766	29.994	34.855	11.512	94.681	0.576213	0.701763	2.49684e-06	6.99819e-06	
B	0	4202480	6.5	3.61989e+07	2	1000	0	22.493	17.541	59.018	68.509	22.665	187.249	0.334031	1.38521	2.90013e-06	1.38163e-05	
B	0	4202480	6.5	3.61989e+07	4	1000	0	45.1	35.235	120.398	139.829	45.866	382.998	0.104834	2.83142	1.89804e-06	2.82429e-05	
B	0	4202480	10.48	3.94528e+07	0.5	1000	0	8.118	6.354	15.581	17.312	7.242	31.678	0.79117	0.270277	1.58895e-06	2.66037e-06	
B	0	4202480	10.48	3.94528e+07	1	1000	0	16.312	12.788	31.21	34.559	14.711	60.79	0.630664	0.52706	2.49856e-06	5.18074e-06	
B	0	4202480	10.48	3.94528e+07	2	1000	0	32.724	25.476	62.353	69.178	29.135	121.619	0.395585	1.05469	3.16948e-06	1.03669e-05	
B	0	4202480	10.48	3.94528e+07	4	1000	0	65.538	51.347	125.489	138.969	58.158	246.24	0.153671	2.12855	2.49078e-06	2.0928e-05	
