Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
B	0	4202480	4.83	3.41668e+07	0.5	1000	0	4.518	3.56	14.851	18.084	3.599	92.461	0.6944	0.585119	1.65282e-06	5.93355e-06	
B	0	4202480	4.83	3.41668e+07	1	1000	0	8.935	6.998	28.804	34.887	7.074	179.68	0.482105	1.13546	2.35358e-06	1.15163e-05	
B	0	4202480	4.83	3.41668e+07	2	1000	0	17.974	14.078	57.604	69.713	14.107	361.147	0.240355	2.27965	2.27019e-06	2.3124e-05	
B	0	4202480	4.83	3.41668e+07	4	1000	0	35.929	28.005	115.807	140.056	27.58	742.779	0.0535104	4.66772	1.06167e-06	4.7372e-05	
B	0	4202480	6.5	3.61989e+07	0.5	1000	0	5.627	4.414	14.809	17.207	4.367	66.406	0.728683	0.446731	1.69309e-06	4.49966e-06	
B	0	4202480	6.5	3.61989e+07	1	1000	0	11.198	8.766	29.994	34.855	8.673	138.34	0.515945	0.924423	2.50204e-06	9.31793e-06	
B	0	4202480	6.5	3.61989e+07	2	1000	0	22.493	17.541	59.018	68.509	17.113	269.453	0.270415	1.80445	2.63279e-06	1.81841e-05	
B	0	4202480	6.5	3.61989e+07	4	1000	0	45.1	35.235	120.398	139.829	34.013	564.986	0.0650879	3.75955	1.34449e-06	3.79125e-05	
B	0	4202480	10.48	3.94528e+07	0.5	1000	0	8.118	6.354	15.581	17.312	5.839	44.206	0.758201	0.33417	1.75226e-06	3.32603e-06	
B	0	4202480	10.48	3.94528e+07	1	1000	0	16.312	12.788	31.21	34.559	11.708	86.05	0.577342	0.655886	2.64536e-06	6.52289e-06	
B	0	4202480	10.48	3.94528e+07	2	1000	0	32.724	25.476	62.353	69.178	23.025	175.746	0.328045	1.33074	3.06108e-06	1.32429e-05	
B	0	4202480	10.48	3.94528e+07	4	1000	0	65.538	51.347	125.489	138.969	44.644	369.787	0.100894	2.75864	1.9341e-06	2.74924e-05	
