Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	22	18	69	84	20	289	0.135143	2.00142	2.71599e-06	2.00971e-05
2	21	17	48	66	12	300	0.143062	1.94448	2.81338e-06	1.96655e-05
3	20	17	31	33	10	61	0.595508	0.51834	3.03941e-06	5.1039e-06
4	17	14	97	109	17	689	0.0150193	4.19842	6.42248e-07	4.27616e-05
5	19	16	36	42	15	62	0.559921	0.57996	3.17198e-06	5.66506e-06
6	19	11	35	49	8	353	0.121478	2.10802	2.61445e-06	2.1522e-05
7	18	17	82	104	21	606	0.0236659	3.74372	9.00944e-07	3.80693e-05
8	18	13	78	101	11	699	0.0150079	4.19918	6.42957e-07	4.28413e-05
9	17	12	105	116	18	634	0.0190273	3.96188	7.65552e-07	4.02344e-05
10	20	17	111	139	19	744	0.00939742	4.66732	4.45225e-07	4.73773e-05
11	16	13	35	40	6	254	0.212971	1.5466	3.35509e-06	1.57537e-05
12	15	11	63	75	12	386	0.0871957	2.4396	2.15748e-06	2.4743e-05
13	15	11	54	74	6	749	0.0137789	4.28462	6.0591e-07	4.39739e-05
14	14	9	54	63	15	222	0.217004	1.52784	3.33139e-06	1.53518e-05
15	13	9	13	14	3	32	0.777929	0.25112	1.93745e-06	2.49053e-06
16	26	20	110	141	19	1193	0.00093986	6.96978	6.70562e-08	7.1347e-05
17	12	11	56	66	17	150	0.307439	1.17948	3.59565e-06	1.16955e-05
18	10	6	51	62	11	369	0.103182	2.27126	2.38412e-06	2.31059e-05
19	15	13	35	41	9	119	0.421313	0.86438	3.63896e-06	8.6372e-06
20	19	17	61	78	14	417	0.0730552	2.61654	1.94031e-06	2.65595e-05
21	20	15	55	66	11	343	0.11489	2.16378	2.52186e-06	2.19502e-05
22	19	13	76	93	14	653	0.0199537	3.91434	7.97063e-07	3.99456e-05
23	22	19	81	98	17	543	0.0338865	3.38474	1.16512e-06	3.43832e-05
24	14	13	76	91	20	353	0.0933145	2.37178	2.22954e-06	2.38928e-05
25	14	10	29	38	8	124	0.418516	0.87104	3.65512e-06	8.73353e-06
26	11	7	55	64	10	348	0.113413	2.17672	2.50677e-06	2.2103e-05
27	16	12	43	53	8	322	0.138756	1.97504	2.78908e-06	2.01006e-05
