Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	6	5	24	27	6	58	0.627909	0.46536	2.89203e-06	4.60581e-06
2	7	5	5	6	3	4	0.943574	0.05808	5.20116e-07	5.51218e-07
3	6	6	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
4	9	8	21	23	5	115	0.481456	0.73094	3.56692e-06	7.40861e-06
5	5	4	4	4	2	2	0.965296	0.03532	3.20533e-07	3.32057e-07
6	5	3	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
7	3	1	0	0	0	0	1	-0	0	0
8	7	5	20	23	3	94	0.535883	0.62384	3.37221e-06	6.29282e-06
9	9	7	18	21	3	126	0.460943	0.77448	3.63232e-06	7.88018e-06
10	10	6	21	24	4	87	0.551883	0.59442	3.29878e-06	5.97733e-06
11	7	7	7	8	2	21	0.854414	0.15734	1.33919e-06	1.56738e-06
12	9	6	4	4	3	1	0.970232	0.03022	2.70621e-07	2.78924e-07
13	10	7	12	12	4	29	0.799907	0.22326	1.77438e-06	2.21823e-06
14	10	7	17	20	8	25	0.77639	0.2531	1.90781e-06	2.45728e-06
15	9	7	33	37	8	93	0.493289	0.70666	3.4678e-06	7.02995e-06
16	10	8	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
17	8	4	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
18	7	4	29	38	5	164	0.341284	1.07504	3.70595e-06	1.08589e-05
19	10	8	5	5	5	0	0.969088	0.0314	2.73513e-07	2.82238e-07
20	10	9	43	46	14	128	0.389972	0.94168	3.66482e-06	9.39764e-06
21	9	8	21	23	3	110	0.493891	0.70544	3.52784e-06	7.14295e-06
22	6	5	12	13	4	21	0.828002	0.18874	1.53149e-06	1.84962e-06
23	7	6	17	22	4	59	0.644642	0.43906	2.82141e-06	4.37671e-06
24	14	13	51	59	15	215	0.230612	1.46702	3.40246e-06	1.4754e-05
25	12	12	31	34	8	138	0.399589	0.91732	3.69683e-06	9.2516e-06
26	12	12	43	48	12	162	0.323797	1.12764	3.66443e-06	1.13171e-05
27	9	8	19	21	3	138	0.43358	0.83568	3.69314e-06	8.51778e-06
28	6	3	5	6	2	7	0.929248	0.07338	6.6034e-07	7.10618e-07
29	11	8	6	6	5	1	0.958122	0.04278	3.7541e-07	3.91819e-07
30	8	7	40	42	5	274	0.189919	1.66116	3.21519e-06	1.69293e-05
31	12	11	23	26	9	56	0.638343	0.44888	2.83622e-06	4.4431e-06
32	9	6	22	27	4	234	0.255902	1.36296	3.57169e-06	1.39573e-05
33	7	6	21	22	7	51	0.671487	0.39826	2.65348e-06	3.95164e-06
34	9	7	20	23	7	48	0.677572	0.38924	2.60776e-06	3.84869e-06
35	13	8	25	25	9	47	0.672536	0.3967	2.62857e-06	3.90845e-06
36	8	8	15	16	7	31	0.772147	0.25858	1.9692e-06	2.55029e-06
37	9	8	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
38	13	8	8	8	4	6	0.922341	0.08084	7.10553e-07	7.7038e-07
39	3	1	2	2	1	1	0.982495	0.01766	1.63122e-07	1.66028e-07
40	5	5	18	20	6	92	0.551673	0.5948	3.31953e-06	6.01721e-06
41	6	5	5	5	3	2	0.959253	0.0416	3.72674e-07	3.88504e-07
42	6	5	4	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
43	5	4	3	3	1	3	0.966436	0.03414	3.17709e-07	3.28742e-07
44	5	4	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
45	8	8	35	38	6	209	0.271297	1.30454	3.59465e-06	1.32498e-05
46	9	7	12	13	5	19	0.836491	0.17854	1.4583e-06	1.74335e-06
47	7	4	12	16	2	105	0.529416	0.63598	3.43176e-06	6.48215e-06
48	6	3	0	0	0	0	1	-0	0	0
49	7	5	53	61	6	367	0.104897	2.25478	2.40666e-06	2.29432e-05
50	15	15	16	18	8	17	0.818944	0.19974	1.57182e-06	1.91932e-06
51	9	6	7	7	5	3	0.942462	0.05926	5.22626e-07	5.54533e-07
52	4	3	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
53	15	13	18	19	6	47	0.69836	0.35902	2.49298e-06	3.56976e-06
54	7	7	18	23	9	24	0.765796	0.26684	1.97077e-06	2.57349e-06
55	10	8	20	21	7	46	0.69317	0.36648	2.51588e-06	3.62953e-06
56	3	2	9	9	4	15	0.875448	0.13302	1.14248e-06	1.30503e-06
57	11	11	52	55	13	355	0.115799	2.1559	2.54374e-06	2.19669e-05
58	9	8	4	4	3	1	0.970232	0.03022	2.70621e-07	2.78924e-07
59	5	5	17	17	6	47	0.707187	0.34646	2.44465e-06	3.45687e-06
60	9	8	19	20	5	53	0.673074	0.3959	2.65528e-06	3.94501e-06
61	9	8	11	12	2	39	0.760134	0.27426	2.09004e-06	2.74957e-06
62	7	4	10	11	5	12	0.87785	0.13028	1.10479e-06	1.25852e-06
63	7	7	4	4	3	1	0.970232	0.03022	2.70621e-07	2.78924e-07
64	10	10	46	52	14	327	0.136114	1.99426	2.76446e-06	2.03098e-05
65	7	5	31	34	6	133	0.409909	0.89182	3.68342e-06	8.98593e-06
66	8	5	0	0	0	0	1	-0	0	0
67	10	9	17	18	5	38	0.735768	0.30684	2.23314e-06	3.03512e-06
68	8	6	14	16	3	41	0.733755	0.30958	2.26116e-06	3.08162e-06
69	5	3	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
70	4	2	12	14	5	20	0.827025	0.18992	1.53242e-06	1.85293e-06
71	11	9	14	16	5	27	0.788061	0.23818	1.8423e-06	2.33776e-06
72	11	5	20	21	3	171	0.366418	1.00398	3.76355e-06	1.02712e-05
73	8	7	17	20	6	36	0.734034	0.3092	2.23275e-06	3.04175e-06
74	6	5	14	15	5	26	0.79708	0.2268	1.77604e-06	2.22818e-06
75	7	5	12	15	5	32	0.773059	0.2574	1.96896e-06	2.54698e-06
76	8	7	23	26	8	54	0.644887	0.43868	2.79677e-06	4.33683e-06
77	10	8	16	17	7	26	0.787131	0.23936	1.84273e-06	2.34107e-06
78	4	4	6	7	2	9	0.914059	0.08986	7.98277e-07	8.73332e-07
79	2	2	12	13	4	25	0.811282	0.20914	1.67298e-06	2.06215e-06
80	3	1	12	12	2	31	0.791789	0.23346	1.84051e-06	2.3245e-06
81	13	8	44	48	7	245	0.212049	1.55094	3.33491e-06	1.57271e-05
82	12	11	15	16	10	8	0.868246	0.14128	1.15323e-06	1.32823e-06
83	13	9	6	7	1	21	0.859796	0.15106	1.29909e-06	1.51093e-06
84	11	7	14	15	4	31	0.777012	0.2523	1.93775e-06	2.49384e-06
85	7	6	3	4	2	3	0.960386	0.04042	3.69931e-07	3.8519e-07
86	6	5	15	16	4	42	0.730022	0.31468	2.28844e-06	3.13476e-06
87	9	7	6	6	4	3	0.948399	0.05298	4.72383e-07	4.98085e-07
88	6	2	3	3	1	3	0.966436	0.03414	3.17709e-07	3.28742e-07
89	6	4	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
90	12	10	33	37	7	121	0.427646	0.84946	3.64255e-06	8.51768e-06
91	8	6	18	19	5	50	0.687757	0.37432	2.56476e-06	3.72916e-06
92	7	6	0	0	0	0	1	-0	0	0
93	8	6	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
94	9	9	16	18	4	92	0.558646	0.58224	3.29842e-06	5.90431e-06
95	7	6	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
96	5	3	7	7	2	15	0.886513	0.12046	1.05684e-06	1.19213e-06
97	11	8	27	27	10	50	0.654058	0.42456	2.73445e-06	4.18075e-06
98	9	7	14	15	5	32	0.773059	0.2574	1.96896e-06	2.54698e-06
99	11	10	4	6	2	10	0.915138	0.08868	7.96186e-07	8.70018e-07
100	6	3	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
101	14	10	22	26	8	45	0.675177	0.39278	2.60526e-06	3.85863e-06
102	5	4	20	21	5	42	0.707456	0.34608	2.41737e-06	3.41699e-06
103	9	8	34	38	14	215	0.263121	1.33514	3.5702e-06	1.35686e-05
104	5	5	9	10	3	14	0.874415	0.1342	1.14403e-06	1.30834e-06
105	10	7	11	12	5	12	0.872354	0.13656	1.14712e-06	1.31497e-06
106	7	5	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
107	7	7	19	20	7	32	0.749162	0.2888	2.11954e-06	2.82921e-06
108	8	5	15	16	6	26	0.79209	0.23308	1.80963e-06	2.28462e-06
109	11	7	24	24	6	80	0.571941	0.55872	3.20596e-06	5.6054e-06
110	8	7	16	17	3	44	0.71809	0.33116	2.36788e-06	3.29747e-06
111	4	3	16	18	2	121	0.481842	0.73014	3.58739e-06	7.44517e-06
112	11	10	8	9	5	5	0.921254	0.08202	7.12769e-07	7.73694e-07
113	6	4	3	4	1	6	0.945804	0.05572	5.15075e-07	5.4459e-07
114	6	5	18	21	6	49	0.682645	0.38178	2.58649e-06	3.78893e-06
115	4	3	11	11	3	24	0.825736	0.19148	1.5657e-06	1.89612e-06
116	7	7	15	15	5	22	0.813508	0.2064	1.63974e-06	2.01564e-06
117	9	5	13	14	3	66	0.654084	0.42452	2.81064e-06	4.29706e-06
118	13	12	50	60	8	423	0.0793331	2.5341	2.05173e-06	2.58622e-05
119	8	6	9	12	6	10	0.881298	0.12636	1.06523e-06	1.2087e-06
120	10	9	16	18	4	50	0.692089	0.36804	2.54185e-06	3.67272e-06
121	8	7	22	31	7	112	0.464925	0.76588	3.58029e-06	7.70079e-06
122	11	3	8	8	6	2	0.94135	0.06044	5.2513e-07	5.57847e-07
