Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	51	41	122	140	27	911	0.00398467	5.5253	2.24365e-07	5.6307e-05
2	50	36	71	80	17	257	0.163148	1.8131	2.96456e-06	1.8171e-05
3	49	40	105	125	24	497	0.0361637	3.3197	1.21015e-06	3.34632e-05
4	48	42	94	109	17	801	0.0084836	4.76962	4.13257e-07	4.87125e-05
5	47	36	57	66	18	400	0.0859079	2.45448	2.14588e-06	2.49788e-05
6	46	32	68	79	20	253	0.167559	1.78642	2.99965e-06	1.79021e-05
7	45	41	129	141	30	892	0.00436263	5.43468	2.41489e-07	5.53539e-05
8	45	36	185	224	21	1869	1.7759e-05	10.9386	1.98812e-09	0.00011195
9	44	35	127	149	25	782	0.00727057	4.92392	3.63244e-07	4.99609e-05
10	49	39	151	171	34	729	0.00829767	4.79178	4.01497e-07	4.83866e-05
11	42	34	91	108	17	601	0.0236749	3.74334	9.00342e-07	3.80294e-05
12	41	30	121	136	25	739	0.00982348	4.62298	4.61137e-07	4.69423e-05
13	40	32	111	133	24	743	0.00980817	4.62454	4.60842e-07	4.69855e-05
14	39	24	84	99	20	480	0.0464342	3.06972	1.44374e-06	3.10922e-05
15	38	28	87	112	23	524	0.0341921	3.37576	1.16814e-06	3.41639e-05
16	57	46	164	179	30	1057	0.00148132	6.51482	9.81612e-08	6.62659e-05
17	35	28	70	78	16	363	0.0962179	2.34114	2.27943e-06	2.36903e-05
18	33	25	121	137	21	929	0.0037043	5.59826	2.11494e-07	5.70941e-05
19	41	37	102	121	20	1092	0.00178367	6.32908	1.15674e-07	6.48516e-05
20	47	39	128	146	24	667	0.0133188	4.31858	5.8178e-07	4.36812e-05
21	48	37	110	127	25	560	0.0258988	3.65356	9.56271e-07	3.69234e-05
22	47	34	131	151	23	903	0.00387357	5.55358	2.18868e-07	5.65029e-05
23	50	41	177	201	31	1241	0.000504784	7.59138	3.90119e-08	7.72843e-05
24	43	35	142	168	25	1108	0.00122374	6.70584	8.36488e-08	6.83548e-05
25	39	31	120	145	21	916	0.00376427	5.5822	2.14018e-07	5.68549e-05
26	34	25	113	129	22	689	0.0132465	4.32402	5.81397e-07	4.38905e-05
27	43	35	60	70	18	379	0.0932473	2.3725	2.24622e-06	2.40888e-05
28	50	39	57	68	22	220	0.212452	1.54904	3.2989e-06	1.55277e-05
29	51	39	73	82	27	195	0.221029	1.50946	3.31316e-06	1.49897e-05
30	45	37	142	152	34	709	0.0103532	4.57046	4.78851e-07	4.62515e-05
31	40	27	115	135	15	1230	0.00080812	7.1208	5.8972e-08	7.29743e-05
32	37	26	63	69	16	171	0.271059	1.30542	3.51852e-06	1.29807e-05
33	48	35	111	118	29	442	0.0500246	2.99524	1.50803e-06	3.01457e-05
34	56	41	85	97	23	339	0.0965147	2.33806	2.2669e-06	2.34876e-05
35	54	37	116	131	24	767	0.0087879	4.73438	4.23118e-07	4.81478e-05
36	53	44	209	249	38	1348	0.00021637	8.43852	1.85384e-08	8.5679e-05
37	51	38	124	142	22	876	0.00470392	5.35936	2.56647e-07	5.45602e-05
38	50	39	98	111	20	493	0.040301	3.21138	1.30818e-06	3.24604e-05
39	49	34	143	161	28	1521	0.000155607	8.76818	1.39896e-08	8.99037e-05
40	48	31	126	147	24	721	0.0100492	4.60026	4.68362e-07	4.66068e-05
41	47	41	185	216	34	1600	7.36284e-05	9.51648	7.15711e-09	9.72058e-05
42	46	33	125	147	27	733	0.00945265	4.66146	4.46585e-07	4.72444e-05
43	46	30	52	61	17	174	0.280697	1.27048	3.56162e-06	1.26885e-05
44	45	41	174	204	29	1209	0.000583177	7.44702	4.41776e-08	7.57533e-05
45	44	37	132	150	26	1214	0.000798002	7.1334	5.82308e-08	7.29708e-05
46	43	35	77	94	24	254	0.15172	1.88572	2.85262e-06	1.88019e-05
47	42	32	76	87	22	370	0.0877415	2.43336	2.15583e-06	2.45702e-05
48	41	34	102	115	22	499	0.0381168	3.2671	1.25804e-06	3.30049e-05
49	40	30	185	208	24	1944	1.33949e-05	11.2206	1.54084e-09	0.000115032
50	53	45	144	165	26	842	0.00484213	5.3304	2.61727e-07	5.4052e-05
51	38	31	99	117	20	633	0.0190049	3.96306	7.64712e-07	4.02377e-05
52	37	31	64	72	18	215	0.212533	1.54866	3.29168e-06	1.54879e-05
53	35	30	99	118	23	628	0.0193737	3.94384	7.75499e-07	4.00285e-05
54	49	38	196	217	33	1231	0.000480415	7.64086	3.73072e-08	7.76561e-05
55	51	36	143	166	28	941	0.00290425	5.84158	1.72421e-07	5.93686e-05
56	29	22	79	95	12	573	0.029632	3.5189	1.06106e-06	3.58078e-05
57	36	31	131	158	27	700	0.0104387	4.56224	4.81347e-07	4.6112e-05
58	51	35	151	181	30	1266	0.000503826	7.59328	3.90383e-08	7.74836e-05
59	50	42	169	198	33	1137	0.000874254	7.04214	6.2587e-08	7.15891e-05
60	44	39	136	160	30	801	0.00615864	5.0899	3.17732e-07	5.15913e-05
61	41	33	121	144	26	736	0.00948617	4.65792	4.48075e-07	4.72345e-05
62	46	34	198	228	28	2121	4.79019e-06	12.2489	6.01483e-10	0.000125566
63	43	37	172	191	30	1146	0.000872559	7.04408	6.25382e-08	7.16721e-05
64	36	28	115	135	23	995	0.00267903	5.9223	1.62049e-07	6.0488e-05
65	38	27	110	127	15	1133	0.00139361	6.57586	9.38856e-08	6.73688e-05
66	45	37	121	140	26	649	0.0151599	4.1891	6.4257e-07	4.23861e-05
67	33	32	96	115	21	512	0.0356716	3.3334	1.20198e-06	3.36957e-05
68	62	48	106	122	23	588	0.0231685	3.76496	8.83392e-07	3.81289e-05
69	59	46	212	243	35	1899	1.35254e-05	11.2109	1.55024e-09	0.000114617
70	57	42	169	196	28	1222	0.000573886	7.46308	4.3611e-08	7.59925e-05
71	41	32	43	50	9	232	0.223756	1.4972	3.38974e-06	1.51493e-05
72	51	38	61	69	14	284	0.152328	1.88172	2.8919e-06	1.89847e-05
73	41	28	103	118	24	542	0.0300396	3.50524	1.06517e-06	3.5459e-05
74	50	38	114	125	26	465	0.0425745	3.1565	1.35229e-06	3.17629e-05
75	49	39	194	229	31	1222	0.000466469	7.67032	3.6317e-08	7.78553e-05
76	48	38	155	179	30	1184	0.000775099	7.16252	5.65929e-08	7.30138e-05
77	47	37	111	134	21	1014	0.00244693	6.01292	1.50342e-07	6.1441e-05
78	47	38	129	151	28	982	0.00258901	5.95648	1.57154e-07	6.07004e-05
79	46	34	92	104	22	477	0.0456926	3.08582	1.4263e-06	3.12151e-05
80	45	39	136	158	28	806	0.00607946	5.10284	3.14576e-07	5.17441e-05
81	44	31	133	155	20	1164	0.000997957	6.9098	7.04522e-08	7.05964e-05
82	43	36	78	90	19	296	0.125582	2.0748	2.61306e-06	2.08077e-05
83	42	26	61	70	19	241	0.188492	1.6687	3.15845e-06	1.67564e-05
84	42	33	200	227	30	1582	7.53204e-05	9.49376	7.29631e-09	9.68703e-05
85	41	34	145	184	29	1440	0.000203566	8.49952	1.76895e-08	8.68982e-05
86	40	31	56	65	17	150	0.309375	1.1732	3.60084e-06	1.16391e-05
87	38	28	101	116	22	873	0.00562362	5.18078	2.97676e-07	5.29332e-05
88	37	28	142	168	22	1162	0.00092915	6.98124	6.61778e-08	7.1224e-05
89	44	34	90	95	19	331	0.101805	2.2847	2.33638e-06	2.29496e-05
90	30	23	72	86	16	516	0.0419331	3.17168	1.35323e-06	3.22712e-05
91	32	25	66	79	13	489	0.0502864	2.99002	1.53079e-06	3.04415e-05
92	47	34	53	60	14	254	0.187833	1.6722	3.17113e-06	1.68827e-05
93	44	34	108	124	23	824	0.00686637	4.98112	3.48683e-07	5.07813e-05
94	32	28	96	114	21	716	0.0126827	4.36752	5.64104e-07	4.44784e-05
95	50	38	153	182	38	899	0.00325403	5.72786	1.88865e-07	5.80402e-05
96	40	31	83	96	17	452	0.0545804	2.90808	1.60658e-06	2.94352e-05
97	52	42	158	181	26	1224	0.000624175	7.37908	4.69704e-08	7.52521e-05
98	50	40	160	190	36	1045	0.0014697	6.5227	9.73662e-08	6.62492e-05
99	43	34	96	120	24	475	0.0417482	3.1761	1.33644e-06	3.2012e-05
100	47	35	126	140	27	741	0.00948257	4.6583	4.48282e-07	4.72744e-05
101	38	29	174	202	26	1091	0.00107799	6.83266	7.47807e-08	6.93707e-05
102	45	36	94	111	16	633	0.0197346	3.92538	7.87392e-07	3.9899e-05
103	56	42	148	171	30	898	0.0035046	5.65368	2.01045e-07	5.73662e-05
104	45	36	164	181	30	829	0.00467943	5.36458	2.53926e-07	5.42644e-05
105	48	37	166	185	35	707	0.00850161	4.7675	4.08145e-07	4.8008e-05
106	38	33	84	99	21	377	0.0785186	2.54442	2.01161e-06	2.56195e-05
107	52	41	130	154	23	909	0.00368671	5.60302	2.10109e-07	5.6991e-05
108	53	42	148	171	31	760	0.00708426	4.94988	3.54452e-07	5.00338e-05
109	52	43	143	165	30	921	0.00323638	5.7333	1.88518e-07	5.82495e-05
110	51	40	240	279	34	2141	3.14021e-06	12.6712	4.0668e-10	0.000129507
111	50	36	130	154	21	1177	0.000939822	6.96982	6.69442e-08	7.12307e-05
112	49	38	124	145	21	1203	0.000870973	7.0459	6.28007e-08	7.21041e-05
113	48	36	142	174	26	1078	0.00137333	6.59052	9.21494e-08	6.70995e-05
114	47	42	127	143	25	1155	0.00112661	6.78854	7.82329e-08	6.94409e-05
115	46	33	146	168	25	1183	0.000834782	7.08834	6.03879e-08	7.23398e-05
116	45	39	146	162	28	1184	0.000862427	7.05576	6.21415e-08	7.20542e-05
117	44	31	87	107	23	431	0.0566955	2.87006	1.64079e-06	2.89403e-05
118	49	41	177	205	37	981	0.00185383	6.2905	1.18081e-07	6.36954e-05
119	43	34	109	119	22	750	0.010334	4.57232	4.81223e-07	4.65672e-05
120	42	34	74	84	19	405	0.0747938	2.59302	1.96413e-06	2.62605e-05
121	41	36	79	94	22	439	0.0590589	2.82922	1.69095e-06	2.86315e-05
122	40	33	132	152	21	1210	0.000804282	7.12556	5.8609e-08	7.28712e-05
123	39	32	106	119	25	405	0.0600355	2.81282	1.69517e-06	2.82362e-05
124	38	32	124	149	23	740	0.0090073	4.70972	4.29912e-07	4.77293e-05
125	36	29	88	103	18	510	0.0388581	3.24784	1.2789e-06	3.2912e-05
126	35	26	60	67	16	216	0.218196	1.52236	3.32941e-06	1.52588e-05
127	55	42	184	219	30	1209	0.00053075	7.54122	4.06555e-08	7.66001e-05
128	47	38	122	143	24	743	0.00921116	4.68734	4.3799e-07	4.755e-05
129	36	26	54	66	14	217	0.218454	1.52118	3.33261e-06	1.52554e-05
130	51	34	133	150	27	1324	0.00045537	7.6944	3.58902e-08	7.88155e-05
131	50	39	170	194	27	1249	0.000506382	7.58822	3.91505e-08	7.73142e-05
132	45	29	81	94	18	345	0.0953863	2.34982	2.25465e-06	2.3637e-05
133	41	30	75	83	22	431	0.0659182	2.71934	1.81839e-06	2.75856e-05
134	32	24	58	66	18	270	0.166713	1.79148	3.01276e-06	1.80715e-05
135	43	33	131	154	25	839	0.00526845	5.24602	2.80659e-07	5.32717e-05
136	46	33	131	152	17	1690	6.95434e-05	9.57356	6.84134e-09	9.83751e-05
137	49	31	100	110	22	525	0.0344481	3.3683	1.17483e-06	3.41042e-05
138	45	33	85	95	22	354	0.0905367	2.402	2.18842e-06	2.41717e-05
139	33	22	78	90	18	412	0.069502	2.6664	1.87455e-06	2.69712e-05
140	60	45	149	183	30	1052	0.00148189	6.51444	9.81394e-08	6.6226e-05
141	48	38	150	182	27	1345	0.000334638	8.00246	2.73525e-08	8.17376e-05
142	58	48	159	190	30	1059	0.00136842	6.5941	9.16746e-08	6.69931e-05
143	56	46	190	216	31	2761	1.9749e-07	15.4376	3.13798e-11	0.000158893
144	54	45	142	159	22	1414	0.000271942	8.20992	2.28719e-08	8.41055e-05
145	52	42	192	224	44	1191	0.000563795	7.48082	4.28066e-08	7.59259e-05
146	51	42	202	231	36	1307	0.000298608	8.11638	2.46305e-08	8.24845e-05
147	55	43	179	205	36	1099	0.00101558	6.8923	7.10549e-08	6.99651e-05
148	49	34	83	95	29	228	0.172148	1.7594	3.00861e-06	1.74769e-05
149	48	36	107	125	18	1213	0.000938432	6.9713	6.7104e-08	7.15065e-05
150	47	37	153	178	31	832	0.00469602	5.36104	2.5478e-07	5.42545e-05
151	46	36	88	99	19	548	0.0328265	3.41652	1.13925e-06	3.47053e-05
152	45	33	74	83	25	229	0.184678	1.68914	3.11232e-06	1.68527e-05
153	44	34	100	116	24	414	0.0584327	2.83988	1.66796e-06	2.85451e-05
154	44	34	75	86	24	332	0.107176	2.23328	2.4109e-06	2.24947e-05
155	43	38	173	209	26	1718	4.21481e-05	10.0743	4.34465e-09	0.00010308
156	42	35	95	111	19	552	0.0298288	3.51228	1.06176e-06	3.55952e-05
157	41	34	64	74	22	215	0.20988	1.56122	3.27429e-06	1.56008e-05
158	42	33	147	169	25	863	0.00424243	5.46262	2.35003e-07	5.53936e-05
159	39	31	97	115	26	477	0.0426427	3.1549	1.35757e-06	3.1836e-05
160	38	29	50	58	14	165	0.29947	1.20574	3.6059e-06	1.20409e-05
161	37	28	90	107	16	927	0.00451812	5.39966	2.49826e-07	5.52944e-05
162	30	25	102	123	15	768	0.00919367	4.68924	4.38992e-07	4.77494e-05
163	49	35	130	156	31	774	0.00724764	4.92708	3.61881e-07	4.99309e-05
164	47	33	248	290	29	3133	1.86112e-08	17.7995	3.40281e-12	0.000182836
165	46	37	111	130	26	660	0.0152618	4.1824	6.47195e-07	4.24061e-05
166	52	43	112	121	27	408	0.058386	2.84068	1.6645e-06	2.85085e-05
167	50	38	171	191	29	1002	0.00181862	6.30968	1.16429e-07	6.4021e-05
168	40	32	144	177	25	1255	0.000546454	7.51206	4.18985e-08	7.66734e-05
169	40	32	73	84	20	263	0.154306	1.86882	2.88793e-06	1.87156e-05
170	45	37	101	118	20	688	0.0142665	4.24984	6.16548e-07	4.32165e-05
171	41	35	129	145	30	572	0.0217574	3.8278	8.39338e-07	3.85771e-05
172	49	39	140	160	21	1304	0.000473575	7.6552	3.70891e-08	7.83173e-05
173	60	52	173	200	39	901	0.00287673	5.8511	1.70195e-07	5.91625e-05
174	44	32	107	119	22	553	0.0282229	3.56762	1.01885e-06	3.60999e-05
175	40	30	111	132	20	944	0.00354095	5.64336	2.0399e-07	5.76088e-05
176	65	50	204	248	32	2016	7.21723e-06	11.839	8.74118e-10	0.000121116
177	61	46	118	139	27	620	0.0176871	4.03492	7.21435e-07	4.07888e-05
178	58	48	155	183	34	849	0.00417292	5.47914	2.31347e-07	5.544e-05
179	39	27	94	112	20	619	0.0210625	3.86026	8.25895e-07	3.92116e-05
180	51	40	105	117	21	541	0.0303834	3.49386	1.07403e-06	3.53494e-05
181	41	33	114	129	24	636	0.0173577	4.05372	7.12957e-07	4.10745e-05
182	51	35	121	137	29	522	0.0295238	3.52256	1.04717e-06	3.54689e-05
183	50	41	113	127	26	495	0.0360784	3.32206	1.20754e-06	3.34698e-05
184	49	32	98	115	16	914	0.00459126	5.3836	2.52773e-07	5.50552e-05
185	48	40	160	189	38	748	0.00672637	5.00172	3.39091e-07	5.04122e-05
186	47	37	134	158	28	870	0.00438643	5.42924	2.41888e-07	5.51446e-05
187	46	35	95	109	24	441	0.0532041	2.93362	1.57402e-06	2.95845e-05
188	46	36	146	174	28	1059	0.00151306	6.49362	9.99982e-08	6.60899e-05
189	45	33	123	143	22	870	0.00481972	5.33504	2.617e-07	5.42979e-05
190	44	30	72	84	15	530	0.0395369	3.23052	1.30085e-06	3.29022e-05
191	43	36	143	160	24	1015	0.00206774	6.1813	1.30189e-07	6.29618e-05
192	42	34	90	104	17	732	0.0124464	4.38632	5.57153e-07	4.47641e-05
193	41	34	132	146	26	610	0.0178121	4.02788	7.24106e-07	4.06526e-05
194	40	28	86	98	21	499	0.0424113	3.16034	1.35908e-06	3.20453e-05
195	39	33	78	92	20	409	0.0696927	2.66366	1.87645e-06	2.69247e-05
