Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	99	84	27	28	18	13	0.784946	0.24214	1.78282e-06	2.27126e-06
2	97	74	23	26	14	24	0.751503	0.28568	2.06125e-06	2.74283e-06
3	96	78	34	36	26	12	0.750302	0.28728	2.00309e-06	2.66971e-06
4	88	70	48	50	30	32	0.620518	0.4772	2.80638e-06	4.52264e-06
5	93	75	27	27	20	9	0.806171	0.21546	1.61418e-06	2.00228e-06
6	92	65	24	25	19	7	0.824729	0.1927	1.47059e-06	1.78312e-06
7	91	82	54	54	34	39	0.583903	0.53802	2.9898e-06	5.12037e-06
8	90	73	30	33	23	13	0.760682	0.27354	1.9424e-06	2.5535e-06
9	88	71	38	38	24	24	0.696951	0.36104	2.38372e-06	3.42021e-06
10	96	76	33	35	26	16	0.739782	0.3014	2.09047e-06	2.8258e-06
11	86	66	32	33	22	15	0.752962	0.28374	2.00271e-06	2.65977e-06
12	85	61	31	32	26	7	0.78926	0.23666	1.71921e-06	2.17826e-06
13	83	65	22	22	16	9	0.831886	0.18406	1.43088e-06	1.72005e-06
14	82	60	13	13	11	3	0.90761	0.09694	8.10694e-07	8.93218e-07
15	88	69	32	33	26	8	0.780329	0.24804	1.78526e-06	2.28784e-06
16	108	85	40	40	27	20	0.702437	0.3532	2.33249e-06	3.32057e-06
17	76	62	28	28	22	6	0.813475	0.20644	1.54506e-06	1.89933e-06
18	74	56	33	34	23	29	0.696686	0.36142	2.41059e-06	3.46008e-06
19	84	70	31	31	17	26	0.720882	0.32728	2.25733e-06	3.13134e-06
20	93	80	35	37	27	11	0.749417	0.28846	2.00321e-06	2.67303e-06
21	94	78	35	35	24	14	0.747366	0.2912	2.03249e-06	2.71953e-06
22	93	71	26	26	17	13	0.794867	0.22958	1.71562e-06	2.15837e-06
23	97	79	48	51	29	42	0.585974	0.53448	2.99457e-06	5.11042e-06
24	83	68	28	31	19	24	0.728272	0.31708	2.20308e-06	3.02507e-06
25	82	64	32	32	24	8	0.785245	0.24176	1.75219e-06	2.23139e-06
26	75	52	25	26	17	10	0.807122	0.21428	1.61341e-06	1.99897e-06
27	87	70	32	33	22	14	0.756812	0.27864	1.97273e-06	2.60664e-06
28	98	71	23	23	19	4	0.848029	0.16484	1.28123e-06	1.51083e-06
29	99	79	32	33	21	21	0.730271	0.31434	2.17516e-06	2.97857e-06
30	91	74	39	39	21	37	0.648159	0.43362	2.70113e-06	4.16738e-06
31	83	65	28	28	17	17	0.769096	0.26254	1.91028e-06	2.4838e-06
