Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	41	34	40	40	19	35	0.650704	0.4297	2.67932e-06	4.11757e-06
2	40	31	19	20	9	23	0.78435	0.2429	1.84402e-06	2.35102e-06
3	39	33	30	31	13	35	0.688541	0.37318	2.48532e-06	3.60954e-06
4	35	29	47	51	20	83	0.475409	0.74358	3.4652e-06	7.28888e-06
5	38	28	17	19	9	16	0.817978	0.20092	1.57267e-06	1.92264e-06
6	37	26	26	29	11	35	0.697244	0.36062	2.43801e-06	3.49664e-06
7	36	33	40	42	19	48	0.601361	0.50856	2.95941e-06	4.92119e-06
8	36	28	42	45	16	53	0.575279	0.5529	3.08131e-06	5.3562e-06
9	35	26	33	36	15	58	0.593404	0.52188	3.03457e-06	5.11384e-06
10	39	30	50	54	21	80	0.473729	0.74712	3.45767e-06	7.29883e-06
11	33	28	26	28	14	54	0.636838	0.45124	2.83375e-06	4.44973e-06
12	32	23	43	47	16	114	0.416212	0.87656	3.6253e-06	8.71022e-06
13	32	25	21	21	13	14	0.81605	0.20328	1.57438e-06	1.92926e-06
14	31	19	12	15	6	20	0.821848	0.1962	1.56922e-06	1.90938e-06
15	30	23	17	19	8	19	0.805558	0.21622	1.6772e-06	2.08204e-06
16	47	39	52	53	18	108	0.413276	0.88364	3.60794e-06	8.73011e-06
17	27	24	27	28	9	111	0.476189	0.74194	3.56109e-06	7.47832e-06
18	26	18	47	50	15	123	0.39012	0.9413	3.65065e-06	9.35776e-06
19	32	29	20	22	11	22	0.77852	0.25036	1.87684e-06	2.41078e-06
20	38	32	34	36	18	30	0.684491	0.37908	2.48204e-06	3.62611e-06
21	39	31	31	33	18	23	0.72286	0.32454	2.2299e-06	3.08483e-06
22	38	28	32	33	18	23	0.72286	0.32454	2.2299e-06	3.08483e-06
23	40	33	42	47	19	56	0.559473	0.58076	3.14899e-06	5.6285e-06
24	34	28	36	40	12	87	0.499124	0.6949	3.43422e-06	6.88049e-06
25	31	24	26	27	15	27	0.735459	0.30726	2.17599e-06	2.95868e-06
26	27	20	27	27	15	21	0.758312	0.27666	2.00186e-06	2.63988e-06
27	34	28	22	23	10	30	0.742717	0.29744	2.14815e-06	2.89229e-06
28	41	31	17	17	14	4	0.880593	0.12716	1.03218e-06	1.17214e-06
29	41	31	19	21	8	25	0.77153	0.25938	1.93942e-06	2.51373e-06
30	36	30	49	53	23	81	0.474288	0.74594	3.46018e-06	7.29551e-06
31	32	22	38	41	10	137	0.384358	0.95618	3.68738e-06	9.5936e-06
32	29	22	28	30	13	34	0.696422	0.3618	2.43745e-06	3.49996e-06
33	38	27	35	35	14	40	0.654555	0.4238	2.68433e-06	4.10099e-06
34	46	33	29	30	16	25	0.729132	0.3159	2.20326e-06	3.02176e-06
35	44	34	44	48	23	47	0.582084	0.54114	3.03076e-06	5.20675e-06
36	43	37	51	54	22	63	0.516634	0.66042	3.30417e-06	6.39556e-06
37	42	32	43	45	20	92	0.471517	0.7518	3.50262e-06	7.4284e-06
38	39	30	16	19	8	21	0.797383	0.22642	1.74491e-06	2.1883e-06
39	40	27	39	44	17	59	0.561457	0.57722	3.15458e-06	5.61855e-06
40	39	24	29	32	16	26	0.716369	0.33356	2.28363e-06	3.18779e-06
41	38	32	44	51	25	61	0.531857	0.63138	3.25494e-06	6.11995e-06
42	37	29	37	41	14	92	0.483512	0.72668	3.48254e-06	7.20261e-06
43	36	23	19	19	8	19	0.805558	0.21622	1.6772e-06	2.08204e-06
44	36	32	37	38	19	47	0.619811	0.47834	2.87733e-06	4.64227e-06
45	35	28	32	34	11	67	0.573946	0.55522	3.14473e-06	5.47914e-06
46	34	29	19	20	9	22	0.78836	0.2378	1.81156e-06	2.29788e-06
47	33	25	21	23	11	18	0.789591	0.23624	1.78029e-06	2.25469e-06
48	33	27	23	26	9	38	0.699717	0.35708	2.4397e-06	3.4867e-06
49	32	25	61	64	19	149	0.312916	1.16182	3.60776e-06	1.15295e-05
50	43	35	19	20	12	14	0.821191	0.197	1.53794e-06	1.87282e-06
51	30	25	25	26	11	27	0.740093	0.30098	2.14792e-06	2.90223e-06
52	29	24	16	17	9	16	0.828316	0.18836	1.49904e-06	1.80974e-06
53	27	22	39	44	16	73	0.522767	0.64862	3.32606e-06	6.36242e-06
54	40	30	39	42	19	42	0.620047	0.47796	2.8537e-06	4.60239e-06
55	41	28	49	51	21	94	0.449473	0.79968	3.53886e-06	7.87335e-06
56	22	17	16	16	8	10	0.859435	0.15148	1.23285e-06	1.43449e-06
57	28	27	55	57	19	101	0.417672	0.87306	3.58528e-06	8.58397e-06
58	42	30	60	66	23	161	0.290666	1.23558	3.56938e-06	1.228e-05
59	40	34	50	55	19	86	0.456576	0.784	3.5038e-06	7.67407e-06
60	35	32	44	47	14	84	0.485022	0.72356	3.45153e-06	7.11623e-06
61	32	28	27	28	15	21	0.753565	0.28294	2.03186e-06	2.69633e-06
62	37	27	48	55	21	85	0.458911	0.7789	3.49733e-06	7.62094e-06
63	34	29	28	30	16	25	0.729132	0.3159	2.20326e-06	3.02176e-06
64	28	21	43	52	11	168	0.306248	1.18336	3.63261e-06	1.18617e-05
65	30	23	38	39	11	79	0.523185	0.64782	3.34785e-06	6.39898e-06
66	36	29	27	30	18	15	0.767283	0.2649	1.91086e-06	2.49043e-06
67	25	24	29	29	13	41	0.676231	0.39122	2.58012e-06	3.81544e-06
68	51	39	21	21	11	14	0.81605	0.20328	1.57438e-06	1.92926e-06
69	49	39	60	66	21	138	0.326841	1.11828	3.61419e-06	1.10579e-05
70	46	31	40	48	19	70	0.517658	0.65844	3.32793e-06	6.42881e-06
71	32	26	10	11	5	13	0.873384	0.13538	1.14558e-06	1.31166e-06
72	41	28	12	12	6	10	0.881298	0.12636	1.06523e-06	1.2087e-06
73	32	21	38	41	13	96	0.473748	0.74708	3.51291e-06	7.41514e-06
74	41	32	29	30	13	45	0.658428	0.4179	2.6893e-06	4.08442e-06
75	40	31	50	52	29	36	0.6004	0.51016	2.91078e-06	4.84807e-06
76	39	31	31	34	14	48	0.632345	0.45832	2.82634e-06	4.46961e-06
77	38	31	23	23	14	12	0.814126	0.20564	1.57606e-06	1.93589e-06
78	37	29	49	51	18	88	0.463439	0.76908	3.50107e-06	7.55455e-06
79	37	28	30	33	15	35	0.679947	0.38574	2.53106e-06	3.72243e-06
80	36	31	28	32	13	43	0.656876	0.42026	2.68731e-06	4.09105e-06
81	35	23	37	39	19	40	0.638317	0.44892	2.76186e-06	4.32678e-06
82	34	29	12	12	9	3	0.913328	0.09066	7.64246e-07	8.36771e-07
83	34	22	6	6	3	6	0.933999	0.06828	6.1409e-07	6.57485e-07
84	35	28	49	52	18	109	0.413764	0.88246	3.61083e-06	8.72679e-06
85	32	26	48	53	16	117	0.394735	0.92954	3.63484e-06	9.20831e-06
86	31	24	11	11	7	4	0.914407	0.08948	7.62118e-07	8.33456e-07
87	30	21	31	34	10	89	0.51303	0.66742	3.41066e-06	6.64807e-06
88	29	20	30	30	17	24	0.73286	0.3108	2.17559e-06	2.96862e-06
89	35	26	32	34	12	38	0.665431	0.40732	2.62065e-06	3.93828e-06
90	23	18	15	16	7	30	0.776095	0.25348	1.93803e-06	2.49716e-06
91	25	19	10	10	6	4	0.920167	0.0832	7.14978e-07	7.77009e-07
92	38	27	21	21	7	35	0.733168	0.31038	2.23254e-06	3.04506e-06
93	35	27	22	25	13	18	0.779736	0.2488	1.84609e-06	2.36759e-06
94	24	20	13	13	8	8	0.884759	0.12244	1.02533e-06	1.15888e-06
95	40	29	30	31	18	31	0.702732	0.35278	2.38718e-06	3.397e-06
96	36	18	16	17	10	9	0.858422	0.15266	1.23425e-06	1.43781e-06
97	42	34	43	45	16	60	0.555104	0.5886	3.17971e-06	5.72813e-06
98	32	22	22	25	10	30	0.733447	0.31	2.20414e-06	3.00519e-06
99	34	27	26	27	12	24	0.746798	0.29196	2.0905e-06	2.79928e-06
100	38	29	30	30	12	42	0.668579	0.4026	2.62419e-06	3.92502e-06
101	30	22	40	42	16	56	0.577319	0.54936	3.0865e-06	5.34626e-06
102	36	30	19	19	7	35	0.742435	0.29782	2.17694e-06	2.93217e-06
103	46	35	68	69	25	114	0.362504	1.01472	3.60766e-06	9.95207e-06
104	36	28	38	39	15	78	0.52586	0.64272	3.33703e-06	6.34585e-06
105	38	30	36	38	16	63	0.571243	0.55994	3.1375e-06	5.4924e-06
106	29	24	19	20	11	14	0.821191	0.197	1.53794e-06	1.87282e-06
107	42	32	32	33	18	22	0.726556	0.31944	2.2027e-06	3.0317e-06
108	44	34	43	45	20	51	0.581177	0.5427	3.05114e-06	5.24994e-06
109	42	35	50	56	20	84	0.458369	0.78008	3.49472e-06	7.62425e-06
110	41	32	69	79	24	182	0.240672	1.42432	3.4006e-06	1.41296e-05
111	40	28	46	51	14	109	0.41637	0.87618	3.61008e-06	8.67035e-06
112	39	31	35	37	11	108	0.45696	0.78316	3.5766e-06	7.82695e-06
113	38	29	34	38	13	84	0.513225	0.66704	3.3915e-06	6.6082e-06
114	38	35	48	53	17	101	0.428296	0.84794	3.57978e-06	8.35818e-06
115	37	27	60	67	21	142	0.318237	1.14496	3.60464e-06	1.13269e-05
116	36	34	35	36	18	38	0.657126	0.41988	2.66213e-06	4.05118e-06
117	35	24	29	36	10	114	0.445981	0.80748	3.60767e-06	8.0893e-06
118	35	27	42	45	19	58	0.560795	0.5784	3.15271e-06	5.62187e-06
119	34	25	39	40	17	46	0.615205	0.4858	2.89271e-06	4.70203e-06
120	33	27	16	16	10	9	0.863829	0.14638	1.19326e-06	1.38136e-06
121	32	27	17	17	10	11	0.84971	0.16286	1.31202e-06	1.54407e-06
122	31	25	22	24	12	29	0.741841	0.29862	2.14808e-06	2.89561e-06
123	30	26	19	20	8	35	0.737787	0.3041	2.20496e-06	2.98861e-06
124	30	24	23	25	11	31	0.729716	0.3151	2.2317e-06	3.05832e-06
125	28	22	30	34	15	48	0.632345	0.45832	2.82634e-06	4.46961e-06
