Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	22	18	23	23	10	25	0.7619	0.27194	2.00123e-06	2.62662e-06
2	21	17	12	13	9	5	0.8984	0.10714	8.97937e-07	9.99485e-07
3	20	17	10	11	4	16	0.860123	0.15068	1.26529e-06	1.47105e-06
4	17	14	27	28	10	36	0.698067	0.35944	2.43858e-06	3.49333e-06
5	19	16	14	14	4	23	0.814468	0.20522	1.63898e-06	2.01233e-06
6	19	11	13	13	10	3	0.90761	0.09694	8.10694e-07	8.93218e-07
7	18	17	16	18	9	18	0.814778	0.20484	1.60711e-06	1.97245e-06
8	18	13	28	32	8	81	0.541149	0.61406	3.30648e-06	6.11011e-06
9	17	12	30	32	11	65	0.587159	0.53246	3.08844e-06	5.25998e-06
10	20	17	22	23	10	21	0.777602	0.25154	1.8772e-06	2.41409e-06
11	16	13	7	8	4	10	0.903716	0.10124	8.88274e-07	9.82913e-07
12	15	11	33	35	12	59	0.594105	0.5207	3.03619e-06	5.11052e-06
13	15	11	14	16	5	23	0.804302	0.21778	1.70932e-06	2.12523e-06
14	14	9	12	13	7	7	0.889283	0.11734	9.83326e-07	1.10575e-06
15	17	12	13	13	6	14	0.858095	0.15304	1.26799e-06	1.47768e-06
16	26	20	34	36	12	57	0.596438	0.51678	3.0184e-06	5.06071e-06
17	12	11	19	21	6	47	0.689644	0.37158	2.53972e-06	3.68266e-06
18	10	6	19	23	6	58	0.643882	0.44024	2.82022e-06	4.38002e-06
19	15	13	8	9	6	3	0.930698	0.07182	6.21174e-07	6.67428e-07
20	19	17	17	17	10	9	0.858422	0.15266	1.23425e-06	1.43781e-06
21	20	15	13	14	8	10	0.870298	0.13892	1.15018e-06	1.3216e-06
22	19	13	27	28	9	47	0.659984	0.41554	2.69128e-06	4.07779e-06
23	22	19	18	19	10	10	0.843395	0.17032	1.35267e-06	1.60384e-06
24	14	13	24	25	13	22	0.76399	0.2692	1.97119e-06	2.58012e-06
25	14	10	8	8	4	5	0.927057	0.07574	6.64929e-07	7.17247e-07
26	11	7	20	21	8	34	0.736917	0.30528	2.2048e-06	2.99193e-06
27	16	12	7	8	4	5	0.927057	0.07574	6.64929e-07	7.17247e-07
28	21	16	2	3	2	1	0.976344	0.02394	2.17213e-07	2.22476e-07
29	22	17	12	12	8	6	0.899461	0.10596	8.96016e-07	9.9617e-07
30	18	15	13	16	9	11	0.855063	0.15658	1.27201e-06	1.48763e-06
31	15	11	23	27	7	107	0.489065	0.71526	3.52583e-06	7.20934e-06
32	13	7	2	2	1	1	0.982495	0.01766	1.63122e-07	1.66028e-07
33	20	14	15	16	10	13	0.846386	0.16678	1.34905e-06	1.59389e-06
34	25	16	19	21	11	14	0.81605	0.20328	1.57438e-06	1.92926e-06
35	24	18	28	29	11	34	0.700809	0.35552	2.41324e-06	3.44351e-06
36	23	20	47	51	18	72	0.502842	0.68748	3.37126e-06	6.70442e-06
37	22	17	16	17	8	12	0.845388	0.16796	1.35026e-06	1.59721e-06
38	21	15	15	16	7	18	0.825076	0.19228	1.53428e-06	1.85956e-06
39	20	18	33	35	15	32	0.681813	0.383	2.5063e-06	3.67593e-06
40	20	14	15	17	8	14	0.836809	0.17816	1.42548e-06	1.70347e-06
41	19	15	21	23	6	67	0.614996	0.48614	2.98778e-06	4.85822e-06
42	19	15	18	19	9	17	0.813817	0.20602	1.60791e-06	1.97577e-06
43	18	13	12	12	3	31	0.791789	0.23346	1.84051e-06	2.3245e-06
44	18	17	10	10	7	4	0.920167	0.0832	7.14978e-07	7.77009e-07
45	17	13	8	8	4	10	0.903716	0.10124	8.88274e-07	9.82913e-07
46	17	14	14	14	7	13	0.857083	0.15422	1.26934e-06	1.481e-06
47	16	12	13	15	6	25	0.801156	0.2217	1.74255e-06	2.17504e-06
48	15	12	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
49	15	10	34	38	10	85	0.510615	0.67214	3.40137e-06	6.66133e-06
50	23	21	10	10	6	7	0.906196	0.0985	8.48569e-07	9.36408e-07
51	14	11	24	25	9	26	0.748563	0.2896	2.09048e-06	2.79265e-06
52	13	10	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
53	12	9	14	16	7	18	0.825076	0.19228	1.53428e-06	1.85956e-06
54	20	17	20	20	11	20	0.796443	0.2276	1.7455e-06	2.19162e-06
55	22	14	8	8	6	2	0.94135	0.06044	5.2513e-07	5.57847e-07
56	8	7	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
57	12	12	22	23	12	20	0.781578	0.24644	1.84527e-06	2.36096e-06
58	22	15	20	22	9	27	0.758919	0.27586	2.0312e-06	2.67644e-06
59	21	19	27	28	9	46	0.663358	0.41044	2.66979e-06	4.02466e-06
60	17	16	27	27	9	49	0.657402	0.41946	2.7135e-06	4.12761e-06
61	15	13	25	26	7	55	0.641607	0.44378	2.81663e-06	4.38996e-06
62	19	14	12	13	5	15	0.85373	0.15814	1.3069e-06	1.53082e-06
63	16	15	18	19	9	22	0.793327	0.23152	1.77819e-06	2.24143e-06
64	12	10	20	27	5	124	0.448449	0.80196	3.63809e-06	8.1126e-06
65	14	9	12	12	5	12	0.872354	0.13656	1.14712e-06	1.31497e-06
66	18	16	9	10	6	5	0.915486	0.0883	7.59984e-07	8.30142e-07
67	10	10	6	6	3	3	0.948399	0.05298	4.72383e-07	4.98085e-07
68	29	22	15	15	6	16	0.838786	0.1758	1.42329e-06	1.69685e-06
69	27	23	38	41	13	102	0.459471	0.77768	3.55352e-06	7.73394e-06
70	25	15	17	19	10	18	0.809677	0.21112	1.64276e-06	2.0289e-06
71	24	15	39	42	12	92	0.480485	0.73296	3.48786e-06	7.25905e-06
72	15	11	12	12	2	55	0.700571	0.35586	2.52184e-06	3.5997e-06
73	15	11	13	14	4	32	0.777929	0.25112	1.93745e-06	2.49053e-06
74	21	15	20	20	7	52	0.676515	0.3908	2.63292e-06	3.89188e-06
75	21	16	18	19	8	23	0.789291	0.23662	1.81108e-06	2.29457e-06
76	20	17	16	18	9	18	0.814778	0.20484	1.60711e-06	1.97245e-06
77	19	16	10	10	5	9	0.896999	0.1087	9.35279e-07	1.04267e-06
78	19	15	12	12	8	4	0.908682	0.09576	8.0864e-07	8.89904e-07
79	18	13	9	11	5	21	0.838467	0.17618	1.45618e-06	1.73672e-06
80	18	16	18	20	6	69	0.620332	0.4775	2.97458e-06	4.79514e-06
81	17	10	23	23	10	25	0.7619	0.27194	2.00123e-06	2.62662e-06
82	17	15	4	4	3	1	0.970232	0.03022	2.70621e-07	2.78924e-07
83	16	13	7	7	3	10	0.909409	0.09496	8.42536e-07	9.26465e-07
84	16	12	24	25	10	35	0.714981	0.3355	2.3386e-06	3.27085e-06
85	15	12	12	13	8	6	0.89383	0.11224	9.40861e-07	1.05262e-06
86	14	12	8	8	3	11	0.899119	0.10634	9.31529e-07	1.03605e-06
87	14	8	11	11	5	12	0.87785	0.13028	1.10479e-06	1.25852e-06
88	13	10	14	16	7	17	0.829294	0.18718	1.49806e-06	1.80643e-06
89	17	11	3	3	2	1	0.976344	0.02394	2.17213e-07	2.22476e-07
90	9	7	5	6	3	6	0.933999	0.06828	6.1409e-07	6.57485e-07
91	10	8	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
92	19	16	11	11	4	16	0.860123	0.15068	1.26529e-06	1.47105e-06
93	17	14	13	13	6	13	0.862483	0.14794	1.22865e-06	1.42455e-06
94	9	8	0	0	0	0	1	-0	0	0
95	15	11	21	23	12	19	0.785574	0.24134	1.81297e-06	2.30783e-06
96	18	10	5	7	3	6	0.928152	0.07456	6.62638e-07	7.13932e-07
97	22	19	28	29	7	68	0.589241	0.52892	3.09354e-06	5.25004e-06
98	15	11	5	6	4	3	0.948399	0.05298	4.72383e-07	4.98085e-07
99	16	11	5	5	3	3	0.954374	0.0467	4.21487e-07	4.41638e-07
100	19	12	16	16	10	6	0.877148	0.13108	1.07184e-06	1.22196e-06
101	14	12	24	25	7	41	0.693433	0.3661	2.48918e-06	3.58965e-06
102	18	17	17	19	5	30	0.761611	0.27232	2.03083e-06	2.6665e-06
103	25	21	35	38	13	89	0.500304	0.69254	3.43902e-06	6.87386e-06
104	18	13	19	19	8	21	0.797383	0.22642	1.74491e-06	2.1883e-06
105	20	15	24	26	11	31	0.725148	0.32138	2.25867e-06	3.11477e-06
106	13	9	9	10	5	9	0.896999	0.1087	9.35279e-07	1.04267e-06
107	22	17	29	30	11	44	0.661795	0.4128	2.66789e-06	4.03129e-06
108	23	18	27	27	12	30	0.724292	0.32256	2.2584e-06	3.11808e-06
109	22	18	28	29	14	45	0.662576	0.41162	2.66884e-06	4.02797e-06
110	21	17	32	32	12	53	0.624215	0.47126	2.88536e-06	4.62238e-06
111	21	13	24	26	8	52	0.651499	0.42848	2.75621e-06	4.23056e-06
112	20	16	15	16	6	24	0.800211	0.22288	1.74315e-06	2.17836e-06
113	20	17	22	23	7	42	0.698626	0.35864	2.46607e-06	3.52989e-06
114	19	18	42	45	13	103	0.445793	0.8079	3.57208e-06	8.01286e-06
115	18	12	21	22	8	60	0.641363	0.44416	2.84113e-06	4.42984e-06
116	18	17	12	12	6	9	0.885804	0.12126	1.02361e-06	1.15557e-06
117	17	10	18	19	7	35	0.742435	0.29782	2.17694e-06	2.93217e-06
118	17	15	25	25	10	35	0.714981	0.3355	2.3386e-06	3.27085e-06
119	16	13	16	16	7	14	0.84208	0.17188	1.38693e-06	1.64703e-06
120	16	14	14	15	8	14	0.847385	0.1656	1.34783e-06	1.59058e-06
121	15	14	8	8	4	6	0.922341	0.08084	7.10553e-07	7.7038e-07
122	15	12	14	16	8	13	0.846386	0.16678	1.34905e-06	1.59389e-06
123	14	10	8	8	6	2	0.94135	0.06044	5.2513e-07	5.57847e-07
124	13	12	24	25	8	42	0.689906	0.3712	2.51318e-06	3.64278e-06
125	12	10	24	24	9	50	0.666497	0.40572	2.67359e-06	4.0114e-06
126	11	8	10	10	4	10	0.892436	0.1138	9.77939e-07	1.09581e-06
127	24	18	36	39	14	71	0.544972	0.60702	3.25562e-06	5.97391e-06
128	19	15	9	9	5	5	0.921254	0.08202	7.12769e-07	7.73694e-07
129	12	7	11	11	7	5	0.909755	0.09458	8.06579e-07	8.8659e-07
