Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
He	4	2	1.23	90.0349	0.5	1000	0	9.977	7.805	15.698	17.935	4.318	57.916	0.71661	0.408003	1.97238e-06	4.08965e-06	
He	4	2	1.23	90.0349	1	1000	0	19.927	15.585	30.778	35	8.441	112.858	0.518878	0.795376	2.83862e-06	7.97217e-06	
He	4	2	1.23	90.0349	2	1000	0	39.986	31.17	61.793	70.194	16.467	236.195	0.261671	1.64541	2.89068e-06	1.65121e-05	
He	4	2	1.23	90.0349	4	1000	0	80.005	62.755	125.317	142.486	31.592	523.441	0.0614244	3.56436	1.38129e-06	3.58551e-05	
He	4	2	1.78	69.9099	0.5	1000	0	12.832	10.041	15.748	17.444	5.251	41.756	0.753502	0.322504	1.85878e-06	3.2033e-06	
He	4	2	1.78	69.9099	1	1000	0	25.705	20.027	31.469	34.557	10.266	85.353	0.567275	0.652318	2.79269e-06	6.48574e-06	
He	4	2	1.78	69.9099	2	1000	0	51.492	40.224	64.368	70.937	20.106	187.361	0.298584	1.40103	3.12007e-06	1.39593e-05	
He	4	2	1.78	69.9099	4	1000	0	103.136	80.935	129.227	142.449	37.908	416.879	0.0795857	3.02066	1.70965e-06	3.0191e-05	
He	4	2	2.81	49.9883	0.5	1000	0	18.015	14.108	15.897	17.056	6.669	28.069	0.794042	0.250264	1.65505e-06	2.45417e-06	
He	4	2	2.81	49.9883	1	1000	0	35.98	28.052	32.101	34.403	12.889	60.169	0.618754	0.522913	2.68047e-06	5.13894e-06	
He	4	2	2.81	49.9883	2	1000	0	72.091	56.539	65.291	69.979	25.091	130.99	0.364182	1.10752	3.30796e-06	1.09101e-05	
He	4	2	2.81	49.9883	4	1000	0	144.351	113.307	131.387	140.799	46.614	302.304	0.113721	2.42597	2.20331e-06	2.40101e-05	
He	4	2	5.91	28.0076	0.5	1000	0	32.185	25.055	16.293	16.974	9.103	15.483	0.836307	0.18556	1.38116e-06	1.7808e-06	
He	4	2	5.91	28.0076	1	1000	0	64.306	50.376	33.478	34.891	18.051	34.35	0.684589	0.3943	2.39644e-06	3.79464e-06	
He	4	2	5.91	28.0076	2	1000	0	128.776	101.144	66.724	69.668	34.017	76.765	0.452842	0.829017	3.30859e-06	8.01136e-06	
He	4	2	5.91	28.0076	4	1000	0	257.81	202.354	135.69	141.687	61.077	197.817	0.165898	1.89866	2.74616e-06	1.85085e-05	
He	4	2	8.99	19.9996	0.5	1000	0	45.142	35.258	16.897	17.519	10.635	11.903	0.846318	0.170725	1.30943e-06	1.62135e-06	
He	4	2	8.99	19.9996	1	1000	0	90.124	70.722	33.717	34.897	20.409	26.314	0.708998	0.353355	2.25925e-06	3.368e-06	
He	4	2	8.99	19.9996	2	1000	0	180.504	141.75	68.289	70.699	38.602	61.697	0.479935	0.758644	3.26276e-06	7.26895e-06	
He	4	2	8.99	19.9996	4	1000	0	360.829	283.434	135.728	140.334	67.363	159.032	0.196878	1.69236	2.96766e-06	1.63714e-05	
