Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	51	41	14	15	12	3	0.896282	0.1095	9.01762e-07	1.00611e-06
2	50	36	10	10	7	3	0.924872	0.0781	6.69492e-07	7.23876e-07
3	49	40	20	20	12	10	0.838115	0.1766	1.39151e-06	1.66028e-06
4	48	42	14	15	9	9	0.869271	0.1401	1.15171e-06	1.32491e-06
5	47	36	10	10	5	7	0.906196	0.0985	8.48569e-07	9.36408e-07
6	46	32	19	19	9	17	0.813817	0.20602	1.60791e-06	1.97577e-06
7	45	41	15	15	12	4	0.891723	0.1146	9.44554e-07	1.05925e-06
8	45	36	23	25	10	31	0.729716	0.3151	2.2317e-06	3.05832e-06
9	44	35	17	17	11	10	0.854055	0.15776	1.27335e-06	1.49094e-06
10	49	39	23	23	17	7	0.835153	0.18014	1.3949e-06	1.67023e-06
11	42	34	12	13	6	13	0.862483	0.14794	1.22865e-06	1.42455e-06
12	41	30	17	20	12	10	0.838115	0.1766	1.39151e-06	1.66028e-06
13	40	32	21	22	16	7	0.840415	0.17386	1.35624e-06	1.61378e-06
14	39	24	7	8	5	4	0.931797	0.07064	6.18819e-07	6.64114e-07
15	43	28	16	17	8	18	0.819911	0.19856	1.57095e-06	1.91601e-06
16	57	46	22	24	12	23	0.764892	0.26802	1.97098e-06	2.57681e-06
17	35	28	15	16	7	14	0.84208	0.17188	1.38693e-06	1.64703e-06
18	33	25	21	22	12	23	0.77456	0.25546	1.90845e-06	2.46391e-06
19	41	37	11	11	7	5	0.909755	0.09458	8.06579e-07	8.8659e-07
20	47	39	15	16	11	6	0.877148	0.13108	1.07184e-06	1.22196e-06
21	48	37	15	15	8	11	0.86045	0.1503	1.23146e-06	1.43118e-06
22	47	34	18	18	12	8	0.857409	0.15384	1.23563e-06	1.44112e-06
23	50	41	25	26	13	26	0.743877	0.29588	2.11938e-06	2.8491e-06
24	43	35	14	14	10	5	0.892776	0.11342	9.42711e-07	1.05593e-06
25	39	31	14	14	9	5	0.892776	0.11342	9.42711e-07	1.05593e-06
26	34	25	18	18	12	8	0.857409	0.15384	1.23563e-06	1.44112e-06
27	43	35	10	10	7	4	0.920167	0.0832	7.14978e-07	7.77009e-07
28	50	39	12	12	10	3	0.913328	0.09066	7.64246e-07	8.36771e-07
29	51	39	14	14	10	4	0.89734	0.10832	8.99852e-07	1.0028e-06
30	45	37	20	21	10	19	0.795504	0.22878	1.74607e-06	2.19493e-06
31	40	27	7	8	6	2	0.94135	0.06044	5.2513e-07	5.57847e-07
32	37	26	12	13	7	10	0.87578	0.13264	1.10799e-06	1.26515e-06
33	48	35	17	19	10	12	0.834836	0.18052	1.42766e-06	1.7101e-06
34	56	41	12	12	8	5	0.90406	0.10086	8.52562e-07	9.43037e-07
35	54	37	16	16	7	21	0.812548	0.20758	1.6405e-06	2.01896e-06
36	53	44	32	32	18	43	0.656876	0.42026	2.68731e-06	4.09105e-06
37	51	38	14	14	10	7	0.883716	0.12362	1.02705e-06	1.1622e-06
38	50	39	11	11	10	1	0.928505	0.07418	6.25865e-07	6.74057e-07
39	49	34	14	14	8	16	0.84407	0.16952	1.38461e-06	1.6404e-06
40	48	31	15	18	10	11	0.844391	0.16914	1.35147e-06	1.60052e-06
41	47	41	16	19	10	17	0.813817	0.20602	1.60791e-06	1.97577e-06
42	46	33	18	18	12	10	0.848708	0.16404	1.31328e-06	1.54739e-06
43	46	30	11	11	8	4	0.914407	0.08948	7.62118e-07	8.33456e-07
44	45	41	24	27	11	29	0.727996	0.31746	2.23127e-06	3.06495e-06
45	44	37	16	17	10	9	0.858422	0.15266	1.23425e-06	1.43781e-06
46	43	35	16	16	11	8	0.868246	0.14128	1.15323e-06	1.32823e-06
47	42	32	8	8	5	6	0.922341	0.08084	7.10553e-07	7.7038e-07
48	41	34	17	18	12	7	0.861793	0.14874	1.19616e-06	1.38799e-06
49	40	30	22	22	12	22	0.77852	0.25036	1.87684e-06	2.41078e-06
50	53	45	21	22	11	16	0.802711	0.21976	1.67925e-06	2.09198e-06
51	38	31	12	13	10	4	0.902993	0.10204	8.54549e-07	9.46352e-07
52	37	31	9	9	6	4	0.925964	0.07692	6.67214e-07	7.20561e-07
53	36	30	17	18	11	10	0.848708	0.16404	1.31328e-06	1.54739e-06
54	49	38	22	22	14	14	0.810941	0.20956	1.6103e-06	1.98571e-06
55	51	36	28	28	13	34	0.705224	0.34924	2.38864e-06	3.38706e-06
56	29	22	18	18	8	13	0.835822	0.17934	1.42657e-06	1.70679e-06
57	36	31	19	20	11	14	0.821191	0.197	1.53794e-06	1.87282e-06
58	51	35	23	24	13	19	0.780657	0.24762	1.84569e-06	2.36427e-06
59	50	42	23	26	14	24	0.751503	0.28568	2.06125e-06	2.74283e-06
60	44	39	21	22	14	10	0.827654	0.18916	1.46758e-06	1.77318e-06
61	41	33	12	12	11	1	0.922692	0.08046	6.7403e-07	7.30504e-07
62	46	34	23	23	12	22	0.773647	0.25664	1.90876e-06	2.46723e-06
63	43	37	22	22	11	27	0.758919	0.27586	2.0312e-06	2.67644e-06
64	36	28	19	20	11	14	0.821191	0.197	1.53794e-06	1.87282e-06
65	38	27	16	16	7	20	0.816703	0.20248	1.6055e-06	1.96583e-06
66	45	37	17	17	12	6	0.871656	0.13736	1.11433e-06	1.27841e-06
67	33	32	15	15	8	11	0.86045	0.1503	1.23146e-06	1.43118e-06
68	62	48	13	13	9	5	0.8984	0.10714	8.97937e-07	9.99485e-07
69	59	46	22	23	11	20	0.781578	0.24644	1.84527e-06	2.36096e-06
70	57	42	26	27	15	25	0.742999	0.29706	2.11934e-06	2.85242e-06
71	41	32	15	16	9	11	0.855063	0.15658	1.27201e-06	1.48763e-06
72	51	38	9	9	7	2	0.935457	0.06672	5.74646e-07	6.14295e-07
73	41	28	17	18	9	16	0.823131	0.19464	1.53612e-06	1.86619e-06
74	51	39	12	12	9	6	0.899461	0.10596	8.96016e-07	9.9617e-07
75	49	39	23	27	14	19	0.766087	0.26646	1.94097e-06	2.53362e-06
76	48	38	24	28	13	30	0.719758	0.32884	2.28489e-06	3.17453e-06
77	48	38	23	23	11	29	0.746515	0.29234	2.11947e-06	2.83916e-06
78	47	38	17	17	10	9	0.858422	0.15266	1.23425e-06	1.43781e-06
79	46	34	13	14	8	7	0.883716	0.12362	1.02705e-06	1.1622e-06
80	45	39	21	22	16	8	0.836139	0.17896	1.39377e-06	1.66691e-06
81	44	31	11	11	7	10	0.886849	0.12008	1.02188e-06	1.15226e-06
