Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
He	4	2	1.23	90.0349	0.5	1000	0	9.977	7.805	15.698	17.935	3.878	64.824	0.701091	0.443234	2.01978e-06	4.45669e-06	
He	4	2	1.23	90.0349	1	1000	0	19.927	15.585	30.778	35	7.507	130.012	0.493508	0.882861	2.85016e-06	8.88362e-06	
He	4	2	1.23	90.0349	2	1000	0	39.986	31.17	61.793	70.194	14.459	280.257	0.231708	1.87013	2.7189e-06	1.88532e-05	
He	4	2	1.23	90.0349	4	1000	0	80.005	62.755	125.317	142.486	26.716	646.852	0.0450848	4.19376	1.08914e-06	4.24123e-05	
He	4	2	1.78	69.9099	0.5	1000	0	12.832	10.041	15.748	17.444	4.769	47.727	0.738705	0.352956	1.92256e-06	3.52056e-06	
He	4	2	1.78	69.9099	1	1000	0	25.705	20.027	31.469	34.557	9.143	99.341	0.540452	0.723657	2.84643e-06	7.22897e-06	
He	4	2	1.78	69.9099	2	1000	0	51.492	40.224	64.368	70.937	17.523	225.027	0.264787	1.59312	2.97695e-06	1.59606e-05	
He	4	2	1.78	69.9099	4	1000	0	103.136	80.935	129.227	142.449	31.413	533.621	0.0558644	3.61605	1.32887e-06	3.63939e-05	
He	4	2	2.81	49.9883	0.5	1000	0	18.015	14.108	15.897	17.056	6.069	32.201	0.78109	0.271337	1.73418e-06	2.67371e-06	
He	4	2	2.81	49.9883	1	1000	0	35.98	28.052	32.101	34.403	11.566	70.835	0.592758	0.577309	2.7775e-06	5.70566e-06	
He	4	2	2.81	49.9883	2	1000	0	72.091	56.539	65.291	69.979	21.647	164.083	0.322269	1.27629	3.23082e-06	1.26684e-05	
He	4	2	2.81	49.9883	4	1000	0	144.351	113.307	131.387	140.799	37.817	405.87	0.0785463	2.95415	1.73545e-06	2.95129e-05	
He	4	2	5.91	28.0076	0.5	1000	0	32.185	25.055	16.293	16.974	8.427	17.915	0.82703	0.197963	1.45267e-06	1.91002e-06	
He	4	2	5.91	28.0076	1	1000	0	64.306	50.376	33.478	34.891	16.226	42.172	0.660958	0.434193	2.52696e-06	4.21025e-06	
He	4	2	5.91	28.0076	2	1000	0	128.776	101.144	66.724	69.668	28.879	103.584	0.403352	0.965793	3.36223e-06	9.43634e-06	
He	4	2	5.91	28.0076	4	1000	0	257.81	202.354	135.69	141.687	47.759	289.429	0.112724	2.36588	2.24271e-06	2.33762e-05	
He	4	2	8.99	19.9996	0.5	1000	0	45.142	35.258	16.897	17.519	9.853	14.189	0.837302	0.182383	1.38173e-06	1.74281e-06	
He	4	2	8.99	19.9996	1	1000	0	90.124	70.722	33.717	34.897	18.229	33.841	0.685184	0.391742	2.40237e-06	3.76793e-06	
He	4	2	8.99	19.9996	2	1000	0	180.504	141.75	68.289	70.699	32.485	86.465	0.429277	0.884961	3.36207e-06	8.58495e-06	
He	4	2	8.99	19.9996	4	1000	0	360.829	283.434	135.728	140.334	51.957	244.149	0.134981	2.12646	2.49876e-06	2.08939e-05	
