Exp_ID,Collection_date,Strain,Gender
202CC,7/19/2016,CC002,FEMALE
208CC,7/19/2016,CC002,MALE
213CC,7/19/2016,CC013,MALE
220CC,7/27/2016,CC037,MALE
226CC,7/27/2016,CC013,FEMALE
233CC,7/27/2016,CC032,FEMALE
235CC,8/1/2016,CC013,MALE
236CC,8/1/2016,CC013,MALE
239CC,8/1/2016,CC037,MALE
247CC,8/23/2016,CC002,MALE
251CC,2/9/2016,CC011,MALE
253CC,8/23/2016,CC013,FEMALE
254CC,2/9/2016,CC011,FEMALE
255CC,8/23/2016,CC061,MALE
256CC,8/23/2016,CC061,MALE
257CC,8/23/2016,CC061,MALE
258CC,2/9/2016,CC040,FEMALE
260CC,8/23/2016,CC061,FEMALE
261CC,2/9/2016,CC042,FEMALE
263CC,8/23/2016,CC037,FEMALE
280CC,2/10/2016,CC051,MALE
882CC,6/17/2016,CC037,FEMALE
893CC,6/17/2016,CC061,FEMALE
894CC,6/17/2016,CC037,MALE
903CC,7/5/2016,CC032,MALE
906CC,7/5/2016,CC032,MALE
907CC,7/19/2016,CC002,MALE
915CC,7/19/2016,CC042,FEMALE
919CC,12/8/2015,CC019,MALE
921CC,7/5/2016,CC051,FEMALE
922CC,7/5/2016,CC051,FEMALE
923CC,7/5/2016,CC051,FEMALE
925CC,12/8/2015,CC019,MALE
927CC,12/8/2015,CC019,FEMALE
928CC,12/8/2015,CC019,FEMALE
934CC,7/11/2016,CC011,MALE
937CC,7/11/2016,CC011,FEMALE
938CC,7/11/2016,CC011,FEMALE
942CC,7/11/2016,CC013,FEMALE
946CC,7/11/2016,CC037,FEMALE
951CC,7/11/2016,CC040,FEMALE
954CC,7/11/2016,CC040,MALE
B6C3 f1,,B6C3,FEMALE
B6C3 f2,,B6C3,FEMALE
B6C3 f3,,B6C3,FEMALE
B6C3 m1,,B6C3,MALE
B6C3 m2,,B6C3,MALE
B6C3 m3,,B6C3,MALE
BALBC f,,BALBC,FEMALE
BALBC f1,,BALBC,FEMALE
BALBC f2,,BALBC,FEMALE
BALBC m1,,BALBC,MALE
BALBC m2,,BALBC,MALE
BALBC m3,,BALBC,MALE
C3H f1,,C3H,FEMALE
C3H f2,,C3H,FEMALE
C3H f3,,C3H,FEMALE
C3H m1,,C3H,MALE
C3H m2,,C3H,MALE
C3H m3,,C3H,MALE
C57BL f1,,C57,FEMALE
C57BL f2,,C57,FEMALE
C57BL f3,,C57,FEMALE
C57BL m1,,C57,MALE
C57BL m2,,C57,MALE
C57BL m3,,C57,MALE
CBA f1,,CBA,FEMALE
CBA f2,,CBA,FEMALE
CBA f3,,CBA,FEMALE
CBA m1,,CBA,MALE
CBA m2,,CBA,MALE
CBA m3,,CBA,MALE
