name	Position	plate	Radiation	Radiation Type	Radiation Time	Cell Type	Antibody	Date of preparation	UserID	Race	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
P243A1	A1	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	247CC	Mouse	Foci_processed_18-Nov-2016_73665203770_foci_analysis_18-Nov-2016	569	 2.41	 3.15	466	 2.20	 2.92	665.65	338.62	 5.35	1670.63	 1.37	6569.62
P243A10	A10	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	934CC	Mouse	Foci_processed_18-Nov-2016_73665243530_foci_analysis_18-Nov-2016	715	 2.38	 3.65	601	 2.09	 2.68	595.35	339.67	 5.27	2399.59	 1.27	6133.34
P243A2	A2	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	253CC	Mouse	Foci_processed_18-Nov-2016_73665208398_foci_analysis_18-Nov-2016	655	 1.82	 3.66	540	 1.41	 1.98	658.00	347.80	 4.54	2406.87	 1.21	4234.91
P243A3	A3	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	235CC	Mouse	Foci_processed_18-Nov-2016_73665213135_foci_analysis_18-Nov-2016	748	 1.77	 2.44	618	 1.61	 2.24	624.69	315.69	 4.59	2343.91	 1.13	4614.97
P243A4	A4	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	C3H f2	Mouse	Foci_processed_18-Nov-2016_73665218345_foci_analysis_18-Nov-2016	670	 2.05	 2.85	557	 1.95	 2.65	566.02	316.06	 4.71	3078.09	 1.18	5577.11
P243A5	A5	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	915CC	Mouse	Foci_processed_18-Nov-2016_73665223197_foci_analysis_18-Nov-2016	745	 2.28	 3.76	647	 2.07	 2.72	587.59	322.33	 5.02	2583.68	 1.14	5658.73
P243A6	A6	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	C57BL f1	Mouse	Foci_processed_18-Nov-2016_73665228324_foci_analysis_18-Nov-2016	695	 1.86	 2.71	570	 1.65	 2.36	558.63	324.92	 4.66	2312.74	 1.22	4680.47
P243A7	A7	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	254CC	Mouse	Foci_processed_18-Nov-2016_73665232956_foci_analysis_18-Nov-2016	614	 1.82	 2.68	494	 1.68	 2.44	659.63	323.79	 5.25	1941.98	 1.25	4820.46
P243A8	A8	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	BALBC f1	Mouse	Foci_processed_18-Nov-2016_73665238127_foci_analysis_18-Nov-2016	580	 2.11	 2.79	475	 1.91	 2.47	718.26	362.30	 4.94	2148.89	 1.25	5931.73
P243A9	A9	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	921CC	Mouse	Foci_processed_18-Nov-2016_73665240725_foci_analysis_18-Nov-2016	765	 1.75	 2.35	639	 1.67	 2.25	591.54	336.07	 3.98	2826.30	 1.13	4486.89
P243B1	B1	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	256CC	Mouse	Foci_processed_18-Nov-2016_73665203291_foci_analysis_18-Nov-2016	543	 1.87	 3.05	443	 1.67	 2.16	789.54	471.31	 4.93	2771.73	 1.30	5363.14
P243B10	B10	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	923CC	Mouse	Foci_processed_18-Nov-2016_73665242832_foci_analysis_18-Nov-2016	790	 1.62	 2.37	654	 1.47	 1.93	517.26	295.71	 4.00	2418.68	 1.14	3814.16
P243B2	B2	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	257CC	Mouse	Foci_processed_18-Nov-2016_73665207774_foci_analysis_18-Nov-2016	687	 2.11	 5.13	581	 1.78	 2.45	606.41	337.19	 4.78	2988.79	 1.22	4792.79
P243B3	B3	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	239CC	Mouse	Foci_processed_18-Nov-2016_73665212659_foci_analysis_18-Nov-2016	508	 2.68	 3.43	414	 2.45	 2.99	636.54	359.75	 5.36	3145.39	 1.31	7936.63
P243B4	B4	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	C3H f1	Mouse	Foci_processed_18-Nov-2016_73665217688_foci_analysis_18-Nov-2016	700	 2.73	 5.29	578	 2.37	 2.70	623.66	381.14	 5.09	3078.98	 1.19	5992.93
P243B5	B5	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	233CC	Mouse	Foci_processed_18-Nov-2016_73665222580_foci_analysis_18-Nov-2016	635	 2.28	 5.08	548	 1.80	 2.84	580.17	329.39	 5.41	2411.55	 1.31	5786.56
