Strain,Ar_4h,Xray_4h,Fe_4h,Fe_8h,Fe_24h
B6C3,4.737536816,2.819917583,3.672591561,2.887923544,1.241576297
BALBC,5.465999654,2.791227707,3.394002364,2.875358746,1.137054609
C3H,5.278743287,3.886703297,4.373913831,3.315009236,1.50843984
C57,4.713373831,2.789468865,3.188560101,2.806406284,1.165343403
CBA,5.595682822,3.729899267,4.510222398,3.584189855,1.554302221
CC002,6.154122272,4.012637363,4.264845752,2.52069058,1.429003679
CC011,5.985453482,2.377857143,3.631639159,2.71206876,1.118996901
CC013,4.447099143,2.263974459,3.266018193,2.008863135,1.00843984
CC019,3.807099467,1.532211539,2.403447685,2.14126646,0.825571263
CC032,7.343912422,2.413049451,3.934261356,2.556949989,1.11796411
CC037,4.969112743,2.651968865,4.485012116,3.352240114,1.54507165
CC040,3.733573718,2.730860806,2.781942045,2.198380305,0.848986574
CC042,4.598573935,2.352747253,3.015465799,2.561542931,1.151578234
CC051,4.653342646,1.987980769,3.24168988,2.302448907,0.990995353
CC061,5.270413202,2.681043956,3.488336412,2.521959721,1.123140976
