UserID,let,hour,Strain,intercept,Bgd,FociPerGy
208CC,Ar 350 MeV/n,4,CC002,0.950197505,1.47,5.682952183
220CC,Ar 350 MeV/n,4,CC037,0.567984667,0.74,5.884810291
226CC,Ar 350 MeV/n,4,CC013,0.614540021,0.8,4.544308732
233CC,Ar 350 MeV/n,4,CC032,1.310448935,1.59,6.072927495
235CC,Ar 350 MeV/n,4,CC013,0.565504158,0.85,3.736746362
236CC,Ar 350 MeV/n,4,CC013,0.448206861,0.49,4.371881497
239CC,Ar 350 MeV/n,4,CC037,0.894535473,1.07,4.945523649
247CC,Ar 350 MeV/n,4,CC002,0.820076014,2.01,7.472550676
251CC,Ar 350 MeV/n,4,CC011,0.887968425,1.59,7.049863565
253CC,Ar 350 MeV/n,4,CC013,0.538995582,0.89,4.271894491
254CC,Ar 350 MeV/n,4,CC011,0.76366749,1.05,5.305970634
255CC,Ar 350 MeV/n,4,CC061,0.754596544,1.01,6.664923337
256CC,Ar 350 MeV/n,4,CC061,0.635514553,1.23,5.266112266
257CC,Ar 350 MeV/n,4,CC061,0.793336798,1.43,4.676455301
258CC,Ar 350 MeV/n,4,CC040,0.645625,0.38,2.84375
260CC,Ar 350 MeV/n,4,CC061,0.826797687,1.14,4.601903586
261CC,Ar 350 MeV/n,4,CC042,0.388077573,0.53,4.045705561
263CC,Ar 350 MeV/n,4,CC037,0.653588877,1.09,3.919828482
280CC,Ar 350 MeV/n,4,CC051,0.31414566,0.23,4.281802235
882CC,Ar 350 MeV/n,4,CC037,0.832629938,1.19,4.679573805
893CC,Ar 350 MeV/n,4,CC061,1.230161123,2.19,5.142671518
894CC,Ar 350 MeV/n,4,CC037,0.907657225,1.98,4.772284304
903CC,Ar 350 MeV/n,4,CC032,3.288239995,4.42,9.770172817
906CC,Ar 350 MeV/n,4,CC032,1.484013124,1.77,6.188636954
907CC,Ar 350 MeV/n,4,CC002,0.734345764,1.25,6.003345894
915CC,Ar 350 MeV/n,4,CC042,0.782548077,0.97,5.151442308
919CC,Ar 350 MeV/n,4,CC019,0.595054574,0.68,2.935420998
921CC,Ar 350 MeV/n,4,CC051,0.927201793,1.95,4.665378119
922CC,Ar 350 MeV/n,4,CC051,0.815634096,1.48,4.166320166
923CC,Ar 350 MeV/n,4,CC051,0.760862786,1.31,5.499870062
925CC,Ar 350 MeV/n,4,CC019,0.413701273,0.63,4.182659823
927CC,Ar 350 MeV/n,4,CC019,0.234636175,0.44,4.112818347
928CC,Ar 350 MeV/n,4,CC019,0.616921128,0.76,3.997498701
934CC,Ar 350 MeV/n,4,CC011,1.950533394,2.56,5.889650468
937CC,Ar 350 MeV/n,4,CC011,0.83533394,1.41,6.646504678
938CC,Ar 350 MeV/n,4,CC011,1.061378638,1.27,5.035278067
942CC,Ar 350 MeV/n,4,CC013,0.681611876,1.19,5.030113046
946CC,Ar 350 MeV/n,4,CC037,0.966964657,2.14,5.612655925
951CC,Ar 350 MeV/n,4,CC040,0.486073935,0.57,4.416677495
954CC,Ar 350 MeV/n,4,CC040,0.265825104,0.29,3.940293659
B6C3F1,Ar 350 MeV/n,4,B6C3,0.660223493,1.01,4.193866944
B6C3F2,Ar 350 MeV/n,4,B6C3,0.748987786,0.82,4.156120062
B6C3F3,Ar 350 MeV/n,4,B6C3,0.497172557,1.16,6.137474012
B6C3M1,Ar 350 MeV/n,4,B6C3,0.495051325,0.91,5.168431653
B6C3M2,Ar 350 MeV/n,4,B6C3,0.791960109,0.81,3.826370842
B6C3M3,Ar 350 MeV/n,4,B6C3,0.512512994,0.87,4.94295738
BALBCF,Ar 350 MeV/n,4,BALBC,0.245519751,0.59,5.640170218
BALBCF1,Ar 350 MeV/n,4,BALBC,0.512234927,0.93,5.688669439
BALBCF2,Ar 350 MeV/n,4,BALBC,0.655577573,1.05,5.045705561
BALBCM1,Ar 350 MeV/n,4,BALBC,0.351663202,0.7,5.917294699
BALBCM2,Ar 350 MeV/n,4,BALBC,0.663260135,0.68,5.225506757
BALBCM3,Ar 350 MeV/n,4,BALBC,0.374130717,0.42,5.278651247
C3HF1,Ar 350 MeV/n,4,C3H,0.566268191,0.85,5.707640333
C3HF2,Ar 350 MeV/n,4,C3H,0.595255327,0.83,4.635362526
C3HF3,Ar 350 MeV/n,4,C3H,0.318918919,0.96,6.570945946
C3HM1,Ar 350 MeV/n,4,C3H,0.522733888,1.03,4.816982848
C3HM2,Ar 350 MeV/n,4,C3H,0.516482588,0.92,4.82893711
C57BLF1,Ar 350 MeV/n,4,C57,0.669987656,1.15,6.535440489
C57BLF2,Ar 350 MeV/n,4,C57,0.506722323,0.62,4.10775078
C57BLF3,Ar 350 MeV/n,4,C57,0.71754158,1.32,4.367463617
C57BLM1,Ar 350 MeV/n,4,C57,0.904710239,1.48,4.759550416
C57BLM2,Ar 350 MeV/n,4,C57,0.485800416,1.18,4.151799636
C57BLM3,Ar 350 MeV/n,4,C57,0.732549376,1.1,4.358238046
CBAF1,Ar 350 MeV/n,4,CBA,0.52562435,0.54,5.615352131
CBAF2,Ar 350 MeV/n,4,CBA,0.406109667,0.33,4.978560291
CBAF3,Ar 350 MeV/n,4,CBA,0.53139618,0.54,5.07702053
CBAM1,Ar 350 MeV/n,4,CBA,0.860002599,1.57,7.288591476
CBAM2,Ar 350 MeV/n,4,CBA,0.84076988,1.07,5.276474792
CBAM3,Ar 350 MeV/n,4,CBA,0.807531185,1.23,5.338097713
C3HM3,Ar 350 MeV/n,4,C3H,0.40927105,0.64,5.112590956
202CC,Ar 350 MeV/n,4,CC002,1.103768191,1.85,5.457640333
213CC,Ar 350 MeV/n,4,CC013,0.458399168,0.82,4.727650728
208CC,Ar 350 MeV/n,8,CC002,1.051796388,1.04,1.895107848
220CC,Ar 350 MeV/n,8,CC037,0.909313929,0.59,2.061850312
226CC,Ar 350 MeV/n,8,CC013,0.980455431,1.21,1.481906185
233CC,Ar 350 MeV/n,8,CC032,1.305939449,1.33,2.388318607
235CC,Ar 350 MeV/n,8,CC013,0.845434641,0.69,1.298174376
236CC,Ar 350 MeV/n,8,CC013,1.053056133,1,1.258575884
239CC,Ar 350 MeV/n,8,CC037,1.089984407,0.88,1.518451143
247CC,Ar 350 MeV/n,8,CC002,1.513102911,1.58,0.703222453
251CC,Ar 350 MeV/n,8,CC011,1.655122141,1.49,1.563799376
253CC,Ar 350 MeV/n,8,CC013,1.020972583,0.99,0.536609927
254CC,Ar 350 MeV/n,8,CC011,1.171476741,1.03,1.898356289
255CC,Ar 350 MeV/n,8,CC061,1.40097973,1.74,2.048986486
256CC,Ar 350 MeV/n,8,CC061,1.185727001,1.19,1.577215437
257CC,Ar 350 MeV/n,8,CC061,0.911007017,1.18,1.516696985
258CC,Ar 350 MeV/n,8,CC040,0.305814709,0.45,1.910927755
260CC,Ar 350 MeV/n,8,CC061,1.052468165,0.85,1.558504418
261CC,Ar 350 MeV/n,8,CC042,0.848816268,0.68,1.48408264
263CC,Ar 350 MeV/n,8,CC037,0.855656835,0.96,0.910245582
280CC,Ar 350 MeV/n,8,CC051,0.389225572,0.26,1.749740125
882CC,Ar 350 MeV/n,8,CC037,1.004449064,1.04,1.443607069
893CC,Ar 350 MeV/n,8,CC061,1.229191788,1.26,1.498050936
894CC,Ar 350 MeV/n,8,CC037,1.059180094,1,1.261889293
903CC,Ar 350 MeV/n,8,CC032,2.945921907,3.41,4.971576143
906CC,Ar 350 MeV/n,8,CC032,1.865908914,1.41,2.028618763
907CC,Ar 350 MeV/n,8,CC002,1.281977001,1.2,2.139715437
915CC,Ar 350 MeV/n,8,CC042,1.024372401,1.17,1.492658524
919CC,Ar 350 MeV/n,8,CC019,0.637150468,0.7,1.496946466
921CC,Ar 350 MeV/n,8,CC051,1.211622271,1.48,1.80947895
922CC,Ar 350 MeV/n,8,CC051,1.370691268,1.45,1.01533264
923CC,Ar 350 MeV/n,8,CC051,1.547604167,1.9,0.828125
925CC,Ar 350 MeV/n,8,CC019,0.772514943,0.8,1.628150988
927CC,Ar 350 MeV/n,8,CC019,0.467220634,0.53,1.78891632
928CC,Ar 350 MeV/n,8,CC019,1.005034433,0.83,0.605087058
934CC,Ar 350 MeV/n,8,CC011,1.918656445,2.54,2.423206861
937CC,Ar 350 MeV/n,8,CC011,1.383102911,1.51,2.078222453
938CC,Ar 350 MeV/n,8,CC011,1.20829197,1.51,1.792002339
942CC,Ar 350 MeV/n,8,CC013,1.273801975,1.21,0.959329522
946CC,Ar 350 MeV/n,8,CC037,1.47174961,1.44,1.075461279
951CC,Ar 350 MeV/n,8,CC040,0.463242594,0.41,1.933764293
954CC,Ar 350 MeV/n,8,CC040,0.323669439,0.23,1.866164241
B6C3F1,Ar 350 MeV/n,8,B6C3,1.123185421,0.8,0.959751819
B6C3F2,Ar 350 MeV/n,8,B6C3,0.732279756,0.83,1.823122401
B6C3F3,Ar 350 MeV/n,8,B6C3,0.802725442,0.93,2.379060551
B6C3M1,Ar 350 MeV/n,8,B6C3,0.755215047,0.93,1.974694647
B6C3M2,Ar 350 MeV/n,8,B6C3,0.86558277,0.79,1.997888514
B6C3M3,Ar 350 MeV/n,8,B6C3,0.843476481,0.71,2.031997141
BALBCF,Ar 350 MeV/n,8,BALBC,0.912381107,0.33,1.953189969
BALBCF1,Ar 350 MeV/n,8,BALBC,0.875248831,0.86,2.101383836
BALBCF2,Ar 350 MeV/n,8,BALBC,0.673362136,0.81,2.458972193
BALBCM1,Ar 350 MeV/n,8,BALBC,0.797461019,0.7,1.796127859
BALBCM2,Ar 350 MeV/n,8,BALBC,0.832151117,1.13,2.600344335
BALBCM3,Ar 350 MeV/n,8,BALBC,0.55520855,0.44,2.940715956
C3HF1,Ar 350 MeV/n,8,C3H,0.909464007,1.03,2.321758056
C3HF2,Ar 350 MeV/n,8,C3H,0.683747401,0.68,2.148908524
C3HF3,Ar 350 MeV/n,8,C3H,1.461831471,0.58,0.728592775
C3HM1,Ar 350 MeV/n,8,C3H,1.028536253,1.1,1.794601091
C3HM2,Ar 350 MeV/n,8,C3H,0.709959719,0.7,1.964332121
C57BLF1,Ar 350 MeV/n,8,C57,1.461556653,1.39,2.116294179
C57BLF2,Ar 350 MeV/n,8,C57,0.258669439,0.52,3.006789241
C57BLF3,Ar 350 MeV/n,8,C57,0.693902677,1.01,2.11099922
C57BLM1,Ar 350 MeV/n,8,C57,1.054438669,0.92,0.664241164
C57BLM2,Ar 350 MeV/n,8,C57,0.8096875,1.21,1.390625
C57BLM3,Ar 350 MeV/n,8,C57,1.068892931,0.74,1.435031185
CBAF1,Ar 350 MeV/n,8,CBA,0.638073675,0.64,2.675318347
CBAF2,Ar 350 MeV/n,8,CBA,0.388789631,0.36,2.36977001
CBAF3,Ar 350 MeV/n,8,CBA,0.310652937,0.38,3.289858368
CBAM1,Ar 350 MeV/n,8,CBA,1.523010655,1.6,1.145725052
CBAM2,Ar 350 MeV/n,8,CBA,0.970410603,1.13,1.347453222
CBAM3,Ar 350 MeV/n,8,CBA,1.394935031,0.97,1.535213098
C3HM3,Ar 350 MeV/n,8,C3H,0.670422297,0.64,1.708614865
202CC,Ar 350 MeV/n,8,CC002,1.547004288,1.26,0.857425936
213CC,Ar 350 MeV/n,8,CC013,0.752826793,0.76,1.634128119
208CC,Ar 350 MeV/n,24,CC002,0.458035343,0.435,1.199844075
220CC,Ar 350 MeV/n,24,CC037,0.573232848,0.565,0.882796258
226CC,Ar 350 MeV/n,24,CC013,0.542072072,0.59,0.39527027
233CC,Ar 350 MeV/n,24,CC032,0.685675676,0.81,1.158783784
235CC,Ar 350 MeV/n,24,CC013,0.391891892,0.42,0.844594595
236CC,Ar 350 MeV/n,24,CC013,0.345717256,0.41,0.776247401
239CC,Ar 350 MeV/n,24,CC037,0.53964657,0.61,1.251559252
247CC,Ar 350 MeV/n,24,CC002,0.657713098,0.72,0.91450104
251CC,Ar 350 MeV/n,24,CC011,0.580717256,0.605,0.901247401
253CC,Ar 350 MeV/n,24,CC013,0.421424116,0.465,0.898128898
254CC,Ar 350 MeV/n,24,CC011,0.574282744,0.63,1.098752599
255CC,Ar 350 MeV/n,24,CC061,0.595280665,0.61,0.792879418
256CC,Ar 350 MeV/n,24,CC061,0.525790021,0.625,0.606808732
257CC,Ar 350 MeV/n,24,CC061,0.444760915,0.45,0.8245842
258CC,Ar 350 MeV/n,24,CC040,0.146985447,0.22,0.983887734
260CC,Ar 350 MeV/n,24,CC061,0.323118503,0.34,0.93477131
261CC,Ar 350 MeV/n,24,CC042,0.395488565,0.47,0.505197505
263CC,Ar 350 MeV/n,24,CC037,0.411143451,0.44,1.10524948
280CC,Ar 350 MeV/n,24,CC051,0.286985447,0.32,0.858887734
882CC,Ar 350 MeV/n,24,CC037,0.577151767,0.57,0.703742204
893CC,Ar 350 MeV/n,24,CC061,0.655225225,0.705,0.219594595
894CC,Ar 350 MeV/n,24,CC037,0.608367983,0.585,0.639553015
903CC,Ar 350 MeV/n,24,CC032,1.46518018,1.625,0.425675676
906CC,Ar 350 MeV/n,24,CC032,0.804864865,0.86,0.868243243
907CC,Ar 350 MeV/n,24,CC002,0.939085239,0.82,0.415800416
915CC,Ar 350 MeV/n,24,CC042,0.521871102,0.58,0.910862786
919CC,Ar 350 MeV/n,24,CC019,0.421933472,0.43,0.587058212
921CC,Ar 350 MeV/n,24,CC051,0.673711019,0.695,0.358627859
922CC,Ar 350 MeV/n,24,CC051,0.706153846,0.74,0.259615385
923CC,Ar 350 MeV/n,24,CC051,1.003014553,1.145,0.016112266
925CC,Ar 350 MeV/n,24,CC019,0.497681913,0.545,0.451403326
927CC,Ar 350 MeV/n,24,CC019,0.189220374,0.215,0.922557173
928CC,Ar 350 MeV/n,24,CC019,0.474241164,0.51,0.231288981
934CC,Ar 350 MeV/n,24,CC011,1.382124047,1.365,0.167099792
937CC,Ar 350 MeV/n,24,CC011,0.594844075,0.64,0.559511435
938CC,Ar 350 MeV/n,24,CC011,0.486153846,0.52,0.759615385
942CC,Ar 350 MeV/n,24,CC013,0.516819127,0.59,0.764033264
946CC,Ar 350 MeV/n,24,CC037,0.625790021,0.645,0.856808732
951CC,Ar 350 MeV/n,24,CC040,0.353918919,0.395,0.945945946
