UserID	let	hour	Strain	intercept	Bgd	FociPerGy
208CC	Si_350_MeV/n	4	CC002	3.18672576	3.335	7.658104197
208CC	Si_350_MeV/n	8	CC002	3.235961167	3.645	1.224674385
208CC	Si_350_MeV/n	24	CC002	1.967886751	2.085	1.23334567
208CC	Si_350_MeV/n	48	CC002	1.020206223	0.925	0.449710564
208CC	Ar_350_MeV/n	4	CC002	0.950197505	1.47	5.682952183
208CC	Ar_350_MeV/n	8	CC002	1.051796388	1.04	1.895107848
208CC	Ar_350_MeV/n	24	CC002	0.458035343	0.435	1.199844075
208CC	Ar_350_MeV/n	48	CC002	0.301496881	0.3	1.478690229
208CC	Fe_600_MeV/n	4	CC002	0.917959393	0.33	4.374456295
208CC	Fe_600_MeV/n	8	CC002	0.686030209	0.62	1.434740511
208CC	Fe_600_MeV/n	24	CC002	0.378443067	0.365	1.084527498
208CC	Fe_600_MeV/n	48	CC002	0.498548928	0.615	0.664601084
208CC	X-ray	4	CC002	0.434368132	0.355	6.074450549
208CC	X-ray	24	CC002	0.720960029	1.355	0.257090174
208CC	X-ray	48	CC002	0.226327623	0.295	0.559743041
220CC	Si_350_MeV/n	4	CC037	2.703484081	2.925	3.413531114
220CC	Si_350_MeV/n	8	CC037	1.466934395	1.675	2.022431259
220CC	Si_350_MeV/n	24	CC037	0.516402665	0.685	1.809215396
220CC	Si_350_MeV/n	48	CC037	0.71172576	0.575	1.158104197
220CC	Ar_350_MeV/n	4	CC037	0.567984667	0.74	5.884810291
220CC	Ar_350_MeV/n	8	CC037	0.909313929	0.59	2.061850312
220CC	Ar_350_MeV/n	24	CC037	0.573232848	0.565	0.882796258
220CC	Ar_350_MeV/n	48	CC037	0.526777547	0.5	1.146569647
220CC	Fe_600_MeV/n	4	CC037	1.061485134	0.68	4.967519216
220CC	Fe_600_MeV/n	8	CC037	0.360674194	0.29	3.756092475
220CC	Fe_600_MeV/n	24	CC037	0.703737413	0.655	1.548024787
220CC	Fe_600_MeV/n	48	CC037	0.641034082	0.47	0.814194423
226CC	Si_350_MeV/n	4	CC013	2.759395803	3.06	7.638567294
226CC	Si_350_MeV/n	8	CC013	2.606183068	2.905	1.369392185
226CC	Si_350_MeV/n	24	CC013	1.675092524	1.725	1.528312361
226CC	Si_350_MeV/n	48	CC013	0.762811143	0.8	1.73552822
226CC	Ar_350_MeV/n	4	CC013	0.614540021	0.8	4.544308732
226CC	Ar_350_MeV/n	8	CC013	0.980455431	1.21	1.481906185
226CC	Ar_350_MeV/n	24	CC013	0.542072072	0.59	0.39527027
226CC	Ar_350_MeV/n	48	CC013	0.294033264	0.27	1.268970894
226CC	Fe_600_MeV/n	4	CC013	0.572825925	0.42	2.586352261
226CC	Fe_600_MeV/n	8	CC013	0.288334773	0.16	2.32537389
